EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,PenaltyOffPossPct,FtPoints,Corner3Assists,DefShortMidRangeReboundPct,Corner3PctAssisted,ShortMidRangeFGA,LongMidRangeFGM,HeaveAttempts,LongMidRangeAssists,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceFtPoints,Steals,LostBallSteals,Offensive Fouls Drawn,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Fg3aBlocked,OffThreePtRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,ShortMidRangeAssists,ShortMidRangePctAssisted,NonShootingPenaltyNonTakeFoulsDrawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,PenaltyCorner3FGA,OffCorner3ReboundPct,PenaltyCorner3Frequency,SecondChanceCorner3FGA,Loose Ball Fouls,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,LostBallOutOfBoundsTurnovers,team_id,year,season,team_vs
101139-101145-1626167-201952-202331,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Jeff Teague, Paul George","Miles, Ellis, Turner, Teague, George",101139-101145-1626167-201952-202331,IND,227.0,1,4.0,3.0,6,6.0,2.0,1.0,12,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,12.0,9.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,10.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.6,1.0,0.8571428571428571,1.0,0.75,1.0,0.2857142857142857,0.2,0.25,1.0,0.6666666666666666,0.5,1.0,0.75,0.5,1.0,1.0,1.0,1.0,76.12334801762115,0.5,16.5,21.333333333333332,16.0,18.333333333333332,0.5714285714285714,0.75,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.607007142857143,0.6613,0.125,0.16666666666666666,0.16666666666666666,5.08,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-101145-1626167-201952-203922,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Jeff Teague, Glenn Robinson III","Miles, Ellis, Turner, Teague, Robinson III",101139-101145-1626167-201952-203922,IND,5.0,1,,,1,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,576.0,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-101145-1626167-202331-202362,1610612754,"CJ Miles, Monta Ellis, Myles Turner, Paul George, Lance Stephenson","Miles, Ellis, Turner, George, Stephenson",101139-101145-1626167-202331-202362,IND,171.0,1,3.0,3.0,6,6.0,,,12,1.0,1.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,13.0,10.0,,,,,2.0,9.0,,2.0,1.0,,,3.0,3.0,1.0,,9.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,13.0,,,1.0,0.75,0.75,1.0,,1.1,,1.0833333333333333,,0.8,,,,0.5,,,0.5,,,,,,101.05263157894737,1.0,14.5,14.0,14.5,13.5,0.2,1.0,1.0,,,0.4,1.0,1.0,0.4,0.5,0.5,1.0,,,,1.0,0.5,0.63841,,0.16666666666666666,0.5,,0.1,24.25,,,,,,,,,2.0,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-101145-201152-202338-202362,1610612754,"CJ Miles, Monta Ellis, Thaddeus Young, Kevin Seraphin, Lance Stephenson","Miles, Ellis, Young, Seraphin, Stephenson",101139-101145-201152-202338-202362,IND,171.0,1,3.0,-3.0,4,4.0,2.0,,8,,,,,1.0,,,,2.0,1.0,2.0,,2.0,3.0,6.0,,,,2.0,,,,1.0,,,1.0,,1.0,,,2.0,,,1.0,,1.0,,1.0,,,2.0,2.0,1.0,,,,,,3.0,1.0,1.0,,,,0.5,,0.25,,0.3,,0.5,,,,1.0,,,0.5,,,,1.0,,67.36842105263158,,20.75,22.0,20.75,18.75,,,,,0.25,,,,0.5,,,,,,,0.5,,0.4083666666666667,,0.2,0.3333333333333333,,18.35,34.2,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-101145-201952-202331-202338,1610612754,"CJ Miles, Monta Ellis, Jeff Teague, Paul George, Kevin Seraphin","Miles, Ellis, Teague, George, Seraphin",101139-101145-201952-202331-202338,IND,146.0,1,2.0,9.0,5,5.0,3.0,1.0,10,2.0,3.0,,,,,,1.0,2.0,2.0,3.0,1.0,2.0,9.0,,,,2.0,4.0,,3.0,,2.0,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,,,2.0,1.0,3.0,,,2.0,2.0,1.0,,,,,,7.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,,0.7,,0.75,1.0,0.4,,,,,1.0,1.0,0.6666666666666666,0.5,1.0,,,1.0,98.63013698630138,,15.0,14.2,13.0,13.4,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,,0.4,0.5,0.5,1.0,,,,1.0,0.5,0.66328,,0.16666666666666666,0.25,0.2222222222222222,1.0999999999999999,25.8,,,,,,,,,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-1626167-201152-201952-202331,1610612754,"CJ Miles, Myles Turner, Thaddeus Young, Jeff Teague, Paul George","Miles, Turner, Young, Teague, George",101139-1626167-201152-201952-202331,IND,1791.0,3,30.0,12.0,61,60.0,12.0,8.0,121,10.0,17.0,5.0,8.0,8.0,7.0,9.0,3.0,10.0,15.0,34.0,10.0,19.0,71.0,59.0,5.0,8.0,11.0,12.0,18.0,24.0,6.0,10.0,3.0,1.0,6.0,8.0,14.0,2.0,4.0,36.0,10.0,10.0,12.0,4.0,26.0,11.0,37.0,6.0,10.0,14.0,15.0,3.0,2.0,,,2.0,1.0,60.0,0.4,0.42857142857142855,0.8,0.5263157894736842,0.5263157894736842,0.4411764705882353,0.625,0.5660377358490566,0.5,0.5847457627118644,0.5,0.3584905660377358,0.029411764705882353,,1.0,0.631578947368421,0.5263157894736842,0.7142857142857143,0.6666666666666666,0.39285714285714285,0.7142857142857143,0.6363636363636364,0.6666666666666666,0.6666666666666666,97.28643216080401,0.5,15.049180327868852,14.55,13.852459016393443,13.783333333333333,0.32075471698113206,0.5882352941176471,0.5882352941176471,0.4,0.1509433962264151,0.16981132075471697,0.7777777777777778,0.7777777777777778,0.18867924528301888,0.3,0.3333333333333333,0.6666666666666666,0.8,0.625,0.4,0.6792452830188679,0.3,0.5173132075471698,0.6583666666666667,0.05454545454545454,0.08333333333333333,0.15492957746478872,7.070588235294117,25.031578947368423,14.0,8.0,7.0,10.0,1.0,10.0,0.8,0.22950819672131148,11.0,6.0,0.5,0.8571428571428571,9.0,4.0,,2.0,0.16981132075471697,0.5,0.5714285714285714,0.5,1.0,6.0,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,5.0,12.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,7.0,1.0,0.5,0.4,0.5,0.5454545454545454,0.05263157894736842,0.125,0.1,0.1111111111111111,0.5,0.25,0.14285714285714285,1.0,0.07692307692307693,0.1111111111111111,0.1111111111111111,0.2,0.2857142857142857,1.0,0.2857142857142857,0.5,0.45299285714285714,0.16901408450704225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-1626167-201152-202331-202362,1610612754,"CJ Miles, Myles Turner, Thaddeus Young, Paul George, Lance Stephenson","Miles, Turner, Young, George, Stephenson",101139-1626167-201152-202331-202362,IND,28.0,1,,,1,1.0,,,2,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,102.85714285714286,,13.0,15.0,13.0,15.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-1626167-201166-202331-202362,1610612754,"CJ Miles, Myles Turner, Aaron Brooks, Paul George, Lance Stephenson","Miles, Turner, Brooks, George, Stephenson",101139-1626167-201166-202331-202362,IND,131.0,1,2.0,-1.0,3,4.0,,,7,1.0,1.0,,,,,1.0,,,2.0,2.0,,1.0,4.0,5.0,,,,4.0,,,,,,,2.0,,2.0,,1.0,4.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,4.0,1.0,1.0,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,,,1.0,,,76.94656488549619,,17.666666666666668,19.5,17.666666666666668,18.25,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,,,,,,,,,,0.6666666666666666,,0.4927333333333333,,,,,3.9,24.1,,,,,,,,,,,,,1.0,,,,0.3333333333333333,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-1626167-201952-202331-202362,1610612754,"CJ Miles, Myles Turner, Jeff Teague, Paul George, Lance Stephenson","Miles, Turner, Teague, George, Stephenson",101139-1626167-201952-202331-202362,IND,287.0,4,5.0,-8.0,11,13.0,5.0,1.0,24,2.0,3.0,,,,,,1.0,3.0,2.0,3.0,1.0,3.0,12.0,20.0,,,,2.0,2.0,3.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,,1.0,2.0,1.0,3.0,2.0,3.0,4.0,6.0,2.0,1.0,,,1.0,,12.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.5833333333333334,,0.6666666666666666,,0.5,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,0.5,0.3333333333333333,1.0,,,1.0,120.41811846689896,,13.272727272727273,10.846153846153847,13.272727272727273,10.538461538461538,0.5,0.6666666666666666,1.0,0.5,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,0.3333333333333333,0.5447166666666666,,0.25,0.4,,1.4000000000000001,25.666666666666668,10.0,,,1.0,1.0,10.0,,0.9090909090909091,5.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,,,1.0,3.0,,2.0,3.0,1.0,3.0,5.0,12.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,12.0,,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.6666666666666666,,,,,,,,,,,,,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5447166666666666,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
101139-1626167-202331-202362-202730,1610612754,"CJ Miles, Myles Turner, Paul George, Lance Stephenson, Lavoy Allen","Miles, Turner, George, Stephenson, Allen",101139-1626167-202331-202362-202730,IND,92.0,1,2.0,2.0,3,2.0,,,5,1.0,1.0,,,,,,,,2.0,2.0,,,4.0,2.0,,,,2.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,1.0,,,1.0,,1.0,,,,,,,,,,,4.0,0.5,0.5,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,78.26086956521739,,19.666666666666668,16.5,19.666666666666668,16.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,0.5,,0.50615,,,,,6.4,,,,,1.0,,,,,,,,,1.0,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2017,2016-17,True
