EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,FG2M,FG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,TwoPtShootingFoulsDrawn,Fg2Pct,PenaltyFg2Pct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,AtRimFGM,AtRimFGA,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Assists,FTDefRebounds,DefFTReboundPct,Arc3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,OffThreePtRebounds,FTOffRebounds,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,LostBallSteals,PenaltyTurnovers,Charge Fouls,SecondChanceFg3Pct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls,BlockedShortMidRange,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsPutbacks,Fg2aBlocked,SelfOReb,SecondChanceTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,Travels,BlockingFouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,HeaveAttempts,Fg3aBlocked,BlockedArc3,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101150-1626149-1626155-201569-201583,1610612745,"Lou Williams, Montrezl Harrell, Sam Dekker, Eric Gordon, Ryan Anderson","Williams, Harrell, Dekker, Gordon, Anderson",101150-1626149-1626155-201569-201583,HOU,118.0,1,2.0,3.0,4.0,4,3.0,3.0,8,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,4.0,1.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,4.0,3.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,1.0,0.75,0.875,0.6666666666666666,1.0,1.0,0.5,1.0,97.6271186440678,14.5,15.0,14.5,11.25,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.5501,0.525375,0.5714285714285714,24.066666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-1627786-201583-201628,1610612745,"Lou Williams, Montrezl Harrell, Troy Williams, Ryan Anderson, Bobby Brown","Williams, Harrell, Williams, Anderson, Brown",101150-1626149-1627786-201583-201628,HOU,218.0,1,4.0,-1.0,8.0,7,3.0,4.0,15,,,,,3.0,1.0,1.0,3.0,1.0,6.0,7.0,,1.0,,2.0,,3.0,,,,,3.0,4.0,5.0,,,2.0,2.0,1.0,2.0,,5.0,2.0,3.0,,,0.3333333333333333,,0.3333333333333333,0.5,0.5,0.5,0.5,0.6,1.0,1.0,,99.08256880733946,14.375,14.714285714285714,13.875,14.714285714285714,,,,,0.6,,,0.5,0.6,0.43865,0.39035,0.3333333333333333,25.333333333333332,0.375,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626149-201569-201583-2772,1610612745,"Lou Williams, Montrezl Harrell, Eric Gordon, Ryan Anderson, Trevor Ariza","Williams, Harrell, Gordon, Anderson, Ariza",101150-1626149-201569-201583-2772,HOU,36.0,1,1.0,2.0,1.0,2,,,3,,,,,,,,,,2.0,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,120.0,10.0,13.0,10.0,13.0,,,,,,,,,1.0,0.6538,,,,,,,,,,1.0,1.0,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.2,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201569-201583-201935,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Ryan Anderson, James Harden","Williams, Dekker, Gordon, Anderson, Harden",101150-1626155-201569-201583-201935,HOU,119.0,1,2.0,3.0,6.0,6,,6.0,12,,,,,1.0,,1.0,1.0,,5.0,2.0,,,,,3.0,1.0,1.0,1.0,,3.0,2.0,3.0,3.0,2.0,2.0,,,,,,5.0,,,,1.0,1.0,,1.0,0.625,,0.625,,0.25,1.0,0.6666666666666666,1.0,145.21008403361344,7.166666666666667,12.666666666666666,7.166666666666667,10.333333333333334,,,,,0.25,,,,0.75,0.5549,,,26.8,,,,1.0,,1.0,1.0,3.0,,,,,2.0,,1.0,,,,2.0,,2.0,,2.0,,0.3333333333333333,,,1.0,,,,,1.0,,,0.25,,,,1.0,1.0,1.0,,,,3.6333333333333333,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201569-201583-201976,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Ryan Anderson, Patrick Beverley","Williams, Dekker, Gordon, Anderson, Beverley",101150-1626155-201569-201583-201976,HOU,289.0,1,5.0,-9.0,9.0,9,4.0,,18,,1.0,,,6.0,3.0,2.0,7.0,,10.0,19.0,2.0,3.0,,8.0,6.0,6.0,2.0,3.0,,8.0,,2.0,2.0,,,1.0,2.0,,,,10.0,8.0,4.0,,1.0,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.5555555555555556,1.0,0.5555555555555556,1.0,0.7777777777777778,,0.25,,89.6885813148789,12.0,20.11111111111111,12.0,17.88888888888889,0.1111111111111111,,,,0.6666666666666666,,,0.75,1.0,0.5564055555555556,0.6005875,0.8,24.900000000000002,0.4444444444444444,,,,,2.0,2.0,2.0,,,1.0,1.0,2.0,,2.0,,1.0,,,,,,,,1.0,1.0,,,,0.5,,,,,0.5,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,2.0,2.0,2.0,0.2222222222222222,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201569-201976-203991,1610612745,"Lou Williams, Sam Dekker, Eric Gordon, Patrick Beverley, Clint Capela","Williams, Dekker, Gordon, Beverley, Capela",101150-1626155-201569-201976-203991,HOU,156.0,1,3.0,-4.0,5.0,6,,,11,,,,,2.0,,1.0,2.0,,3.0,7.0,,,,,3.0,2.0,1.0,1.0,,3.0,2.0,2.0,2.0,,,,,,,,3.0,,,,1.0,0.5,,0.5,0.5,,0.5,,0.6666666666666666,0.6666666666666666,0.5,,101.53846153846153,12.2,15.833333333333334,12.2,14.333333333333334,,,,,0.6666666666666666,,,,0.6666666666666666,0.5149,,,24.55,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,2.0,,2.0,,2.0,,,,,1.0,,,,,0.6666666666666666,,,0.3333333333333333,,,,0.5,0.5,0.5,,,,8.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,2.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201583-201628-203991,1610612745,"Lou Williams, Sam Dekker, Ryan Anderson, Bobby Brown, Clint Capela","Williams, Dekker, Anderson, Brown, Capela",101150-1626155-201583-201628-203991,HOU,184.0,1,3.0,-1.0,6.0,6,,6.0,12,,,,,2.0,,,2.0,1.0,7.0,8.0,,,,,,2.0,,,,,1.0,2.0,4.0,,,,1.0,1.0,2.0,,5.0,,,,,,,,0.42857142857142855,,0.4375,,0.2857142857142857,1.0,1.0,,93.91304347826086,20.333333333333332,10.333333333333334,16.166666666666668,10.333333333333334,,,,,0.2857142857142857,,,,0.5714285714285714,0.4659642857142857,,,25.65,,2.0,1.0,1.0,2.0,,3.0,5.0,,2.0,,,6.0,,,,1.0,2.0,,,,,,1.0,0.6,,0.5,,,1.0,0.25,,,1.0,1.0,0.14285714285714285,1.0,1.0,0.2857142857142857,,,,0.125,0.16666666666666666,0.2857142857142857,12.02,1.0,2.0,0.2857142857142857,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.46335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-1626155-201935-201976-203991,1610612745,"Lou Williams, Sam Dekker, James Harden, Patrick Beverley, Clint Capela","Williams, Dekker, Harden, Beverley, Capela",101150-1626155-201935-201976-203991,HOU,117.0,1,2.0,-5.0,3.0,4,,,7,,,,,1.0,,,1.0,,,5.0,,,,,,1.0,,,,,,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,,1.0,,86.15384615384616,14.666666666666666,18.25,14.666666666666666,18.25,,,,,0.3333333333333333,,,,0.3333333333333333,0.4522833333333333,,,24.9,,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,0.3333333333333333,,,0.3333333333333333,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201935-201976,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Patrick Beverley","Williams, Gordon, Anderson, Harden, Beverley",101150-201569-201583-201935-201976,HOU,32.0,1,1.0,3.0,2.0,1,,,3,1.0,1.0,,,1.0,,2.0,2.0,,6.0,3.0,,,,,6.0,1.0,2.0,2.0,1.0,6.0,,,,,,,,,,,6.0,,,,1.0,1.0,,1.0,1.5,,1.5,,1.0,,,,135.0,6.0,20.0,6.0,20.0,0.5,1.0,1.0,1.0,0.5,,,,1.0,0.4485,,,26.15,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
101150-201569-201583-201935-203991,1610612745,"Lou Williams, Eric Gordon, Ryan Anderson, James Harden, Clint Capela","Williams, Gordon, Anderson, Harden, Capela",101150-201569-201583-201935-203991,HOU,316.0,2,5.0,11.0,10.0,10,5.0,,20,,1.0,,1.0,4.0,1.0,2.0,5.0,1.0,13.0,2.0,,2.0,,4.0,,4.0,,2.0,,4.0,6.0,8.0,9.0,1.0,,,1.0,1.0,2.0,,10.0,4.0,5.0,,,0.4,,0.4,0.75,0.5,0.7222222222222222,0.5,0.625,1.0,0.875,1.0,91.13924050632912,16.0,15.6,14.7,13.8,0.125,,,,0.5,0.25,,0.25,0.75,0.55518125,0.5878375,0.3076923076923077,24.68,0.5,1.0,2.0,2.0,,2.0,3.0,3.0,,3.0,2.0,2.0,2.0,6.0,2.0,,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.5,,,0.5,0.3333333333333333,,1.0,1.0,1.0,0.25,1.0,1.0,,0.5,0.5,0.5,0.1111111111111111,0.25,0.23076923076923078,4.8999999999999995,1.0,1.0,0.125,1.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,1.5,,0.3333333333333333,0.5,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2017,2016-17,False
