EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,FtPoints,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Steals,LostBallSteals,RecoveredBlocks,BlocksRecoveredPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,BadPassSteals,Technical Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PtsPutbacks,OffAtRimReboundPct,DefLongMidRangeReboundPct,Corner3FGM,Corner3FGA,Corner3Assists,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls Drawn,PtsUnassisted3s,Offensive Fouls,SecondChanceFtPoints,FTDefRebounds,PenaltyTurnovers,DefFTReboundPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,SecondChanceArc3FGM,SelfOReb,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,LostBallOutOfBoundsTurnovers,3SecondViolations,DefensiveGoaltends,Travels,Arc3PctBlocked,BlockedLongMidRange,BlockedShortMidRange,Charge Fouls,FTOffRebounds,Clear Path Fouls,BlockedArc3,OffensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,team_id,year,season,team_vs
101112-101114-201567-202681-202697,1610612739,"Channing Frye, Deron Williams, Kevin Love, Kyrie Irving, Iman Shumpert","Frye, Williams, Love, Irving, Shumpert",101112-101114-201567-202681-202697,CLE,114.0,1,2.0,4.0,4.0,4.0,8,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,6.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,101.05263157894737,16.5,12.0,16.5,11.25,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.25,0.25,0.468175,6.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-201567-202681-2747,1610612739,"Channing Frye, Deron Williams, Kevin Love, Kyrie Irving, JR Smith","Frye, Williams, Love, Irving, Smith",101112-101114-201567-202681-2747,CLE,36.0,1,1.0,1.0,1.0,,2,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,1.0,80.0,20.0,16.0,20.0,16.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-201567-2544-2594,1610612739,"Channing Frye, Deron Williams, Kevin Love, LeBron James, Kyle Korver","Frye, Williams, Love, James, Korver",101112-101114-201567-2544-2594,CLE,563.0,2,9.0,17.0,17.0,,34,2.0,4.0,3.0,10.0,4.0,9.0,18.0,23.0,29.0,8.0,10.0,4.0,5.0,1.0,11.0,,,,19.0,0.4444444444444444,0.4444444444444444,0.5,0.525,0.5476190476190477,86.96269982238012,16.41176470588235,16.705882352941178,14.823529411764707,15.823529411764707,0.2,0.5,0.6666666666666666,0.5,0.5,0.3,0.3333333333333333,0.2,0.3,0.427005,8.505555555555555,-6.0,2.0,3.0,4.0,9.0,3.0,,2.0,1.0,0.75,0.8,0.5,0.047619047619047616,0.05263157894736842,5.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.1,0.1111111111111111,0.25,0.1,1.0,1.0,0.5555555555555556,0.5,0.7142857142857143,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.1,0.5,0.5,1.0,0.75,0.3333333333333333,0.5,0.4692,0.17391304347826086,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-201567-2544-2747,1610612739,"Channing Frye, Deron Williams, Kevin Love, LeBron James, JR Smith","Frye, Williams, Love, James, Smith",101112-101114-201567-2544-2747,CLE,74.0,1,1.0,4.0,3.0,,7,2.0,2.0,,1.0,1.0,3.0,4.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,,,,6.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,136.2162162162162,12.0,8.666666666666666,12.0,8.666666666666666,0.5,1.0,1.0,1.0,0.25,,,0.25,0.5,0.566425,7.05,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-202681-202697-2594,1610612739,"Channing Frye, Deron Williams, Kyrie Irving, Iman Shumpert, Kyle Korver","Frye, Williams, Irving, Shumpert, Korver",101112-101114-202681-202697-2594,CLE,123.0,1,2.0,5.0,5.0,,10,,,,,3.0,2.0,3.0,7.0,1.0,4.0,,2.0,3.0,,7.0,2.0,2.0,2.0,7.0,1.0,1.0,0.6666666666666666,0.7,0.7,117.07317073170732,12.6,12.0,12.6,12.0,,,,,,,,0.6,0.4,0.44714,15.466666666666667,6.0,,,3.0,3.0,,,,,,1.0,,,,,,,2.0,1.0,2.0,1.0,2.0,,,,3.0,2.0,1.0,,1.0,1.0,,2.0,,3.0,,,,,,1.0,1.0,,1.0,0.5,0.5,,,,0.4,,,,,1.0,,,,1.0,,,0.6666666666666666,0.6666666666666666,1.0,0.4,0.5,0.5,1.0,,,0.5,,,26.2,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-202682-202697-2210,1610612739,"Channing Frye, Deron Williams, Derrick Williams, Iman Shumpert, Richard Jefferson","Frye, Williams, Williams, Shumpert, Jefferson",101112-101114-202682-202697-2210,CLE,35.0,1,1.0,,1.0,1.0,1,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,0.5,41.14285714285714,,17.0,,17.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-202682-202697-2563,1610612739,"Channing Frye, Deron Williams, Derrick Williams, Iman Shumpert, Dahntay Jones","Frye, Williams, Williams, Shumpert, Jones",101112-101114-202682-202697-2563,CLE,180.0,1,3.0,7.0,7.0,,14,3.0,4.0,,,,3.0,4.0,11.0,4.0,,6.0,,,,,1.0,1.0,1.0,11.0,,,0.75,0.6,0.625,112.0,10.714285714285714,15.0,9.285714285714286,15.0,0.8,0.75,1.0,,,,,,1.0,0.57995,1.9,7.0,5.0,1.0,2.0,3.0,3.0,,7.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.3333333333333333,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,0.2,0.25,0.25,,,1.0,,0.5,,1.0,,,,,,0.2,,,,1.0,,,,,25.6,2.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,3.0,4.0,1.0,5.0,11.0,1.0,1.0,1.0,1.0,11.0,7.0,1.0,0.75,0.6,0.625,1.0,1.0,0.8,0.75,0.2,0.57995,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-202682-202697-2592,1610612739,"Channing Frye, Deron Williams, Derrick Williams, Iman Shumpert, James Jones","Frye, Williams, Williams, Shumpert, Jones",101112-101114-202682-202697-2592,CLE,18.0,1,,1.0,,,1,1.0,2.0,,,,1.0,2.0,2.0,,,2.0,,,,,,,,,,,0.5,0.5,0.5,80.0,18.0,,17.0,,1.0,0.5,1.0,,,,,,1.0,0.36715,2.2,2.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,0.5,0.5,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,0.3083,1.0,,,,,,1.0,1.0,2.0,,1.0,2.0,,,2.0,,,,,2.0,1.0,,0.5,0.5,0.5,,,1.0,0.5,,0.36715,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-202682-202697-2594,1610612739,"Channing Frye, Deron Williams, Derrick Williams, Iman Shumpert, Kyle Korver","Frye, Williams, Williams, Shumpert, Korver",101112-101114-202682-202697-2594,CLE,106.0,1,2.0,4.0,3.0,3.0,7,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,5.0,2.0,4.0,1.0,1.0,,2.0,,,,6.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,95.09433962264151,11.75,19.666666666666668,11.75,19.666666666666668,0.25,1.0,1.0,,0.25,1.0,1.0,0.25,0.5,0.4298,9.266666666666667,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,0.25,,,,,1.0,,,,,,,1.0,1.0,1.0,0.25,,,,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
101112-101114-202682-2210-2563,1610612739,"Channing Frye, Deron Williams, Derrick Williams, Richard Jefferson, Dahntay Jones","Frye, Williams, Williams, Jefferson, Jones",101112-101114-202682-2210-2563,CLE,151.0,1,3.0,5.0,5.0,5.0,10,2.0,2.0,,,1.0,3.0,3.0,9.0,6.0,4.0,2.0,2.0,3.0,2.0,7.0,,,,7.0,0.6666666666666666,0.6666666666666666,1.0,0.9,0.9,95.36423841059603,10.2,20.0,8.4,20.0,0.4,1.0,1.0,1.0,,,,0.2,0.8,0.46525999999999995,8.0,3.0,,,3.0,4.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,,,,3.0,1.0,,,,,,,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.4,,,,,1.0,,1.0,,,,,1.0,1.0,,0.2,,,,1.0,1.0,,0.54,0.2222222222222222,24.75,,,,,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.54,0.2222222222222222,0.2,,,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2017,2016-17,True
