EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Steals,BadPassSteals,SecondChanceTurnovers,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeFGM,LongMidRangeAssists,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3FGA,SecondChanceFG3A,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,LostBallSteals,2pt And 1 Free Throw Trips,SecondChanceArc3FGA,PtsUnassisted3s,ShortMidRangeAssists,Travels,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,Loose Ball Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,3pt And 1 Free Throw Trips,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,HeaveAttempts,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
1626153-1626181-1627751-1627783-1627832,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Pascal Siakam, Fred VanVleet","Wright, Powell, Poeltl, Siakam, VanVleet",1626153-1626181-1627751-1627783-1627832,TOR,854.0,4,14.0,-8.0,28.0,29.0,20.0,22.0,5.0,57.0,3.0,7.0,1.0,3.0,3.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,4.0,11.0,2.0,7.0,10.0,24.0,32.0,2.0,4.0,3.0,7.0,4.0,9.0,1.0,5.0,8.0,19.0,2.0,6.0,6.0,2.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,4.0,3.0,1.0,8.0,6.0,14.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,6.0,3.0,4.0,1.0,7.0,10.0,1.0,1.0,16.0,3.0,5.0,2.0,2.0,2.0,1.0,17.0,18.0,19.0,1.0,3.0,0.25,0.3333333333333333,1.0,0.2857142857142857,0.2,0.2857142857142857,0.36363636363636365,0.5,0.4444444444444444,0.3888888888888889,0.5,0.39285714285714285,0.46153846153846156,0.5833333333333334,0.4523809523809524,0.3888888888888889,0.18181818181818182,0.2857142857142857,0.6666666666666666,1.0,0.5,0.375,0.42857142857142855,1.0,0.4,0.5833333333333334,0.4166666666666667,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,1.0,0.1,96.11241217798596,15.785714285714286,14.206896551724139,14.071428571428571,12.689655172413794,0.3888888888888889,0.42857142857142855,0.6,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.5,0.5,1.0,0.2777777777777778,0.2,0.2,1.0,0.75,0.3333333333333333,0.5,0.42857142857142855,0.14285714285714285,0.5,0.21428571428571427,0.7777777777777778,0.2,0.47736111111111107,0.4894,0.4833321428571429,0.14285714285714285,0.21428571428571427,0.2916666666666667,0.7916666666666666,5.763636363636364,24.74285714285714,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627783-201960,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Pascal Siakam, DeMarre Carroll","Wright, Powell, Poeltl, Siakam, Carroll",1626153-1626181-1627751-1627783-201960,TOR,97.0,1,2.0,,4.0,4.0,,4.0,1.0,8.0,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,0.5,1.0,,1.0,1.0,1.0,,1.0,0.3333333333333333,,1.0,,1.0,,,1.0,,118.76288659793815,13.5,10.75,13.0,10.75,,,,,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.4952833333333333,,,,,,,4.5,26.1,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627783-203998,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Pascal Siakam, Bruno Caboclo","Wright, Powell, Poeltl, Siakam, Caboclo",1626153-1626181-1627751-1627783-203998,TOR,286.0,1,5.0,-2.0,8.0,9.0,2.0,6.0,,17.0,,1.0,,,,,,1.0,2.0,,1.0,,1.0,,,,2.0,4.0,,1.0,4.0,8.0,10.0,,,,,,1.0,,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,,1.0,,,,2.0,,,,2.0,2.0,,4.0,,4.0,,,1.0,,1.0,,,1.0,,,,,3.0,,2.0,6.0,3.0,,2.0,2.0,2.0,,8.0,1.0,2.0,,,0.5,0.5,,,,,0.5,,,0.4,,,0.5,,0.16666666666666666,0.2,,,,,,0.6666666666666666,,1.0,,0.8,,,,,1.0,,1.0,1.0,,85.5944055944056,18.375,15.444444444444445,18.375,15.444444444444445,0.2,,,,0.2,,,0.4,0.2,,,,,,,,,,,,0.5,,,0.4,,0.44206,,0.46465,0.375,0.42857142857142855,,0.125,13.85,22.8,0.25,1.0,1.0,,,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-200782,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, PJ Tucker","Wright, Powell, Poeltl, VanVleet, Tucker",1626153-1626181-1627751-1627832-200782,TOR,56.0,1,1.0,-1.0,2.0,1.0,,,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,,1.0,,,,,,,,,,,,,,,,,,,,77.14285714285714,18.5,19.0,10.5,16.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,0.4896,0.4896,,0.5,,,,,23.7,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-202335,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Patrick Patterson","Wright, Powell, Poeltl, VanVleet, Patterson",1626153-1626181-1627751-1627832-202335,TOR,332.0,1,6.0,-2.0,11.0,11.0,2.0,,1.0,22.0,3.0,4.0,1.0,1.0,1.0,2.0,,,2.0,,,,,1.0,3.0,1.0,4.0,6.0,1.0,3.0,5.0,16.0,18.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,2.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,1.0,,,2.0,,2.0,1.0,3.0,,1.0,,,,,1.0,1.0,,2.0,,3.0,4.0,,1.0,6.0,4.0,,1.0,1.0,1.0,,14.0,2.0,2.0,,,0.25,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.5,0.6111111111111112,1.0,0.3333333333333333,0.7272727272727273,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,1.0,,,0.6666666666666666,0.5,,,0.5,0.25,1.0,,,,,,,,95.42168674698796,13.363636363636363,16.818181818181817,13.181818181818182,15.272727272727273,0.4444444444444444,0.75,1.0,0.3333333333333333,,,,0.2222222222222222,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,,,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.5431222222222222,0.4923,0.5321166666666667,0.36363636363636365,0.5,0.125,0.125,6.083333333333333,24.666666666666668,0.18181818181818182,1.0,,,,1.0,1.0,1.0,,1.0,0.5,0.5,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-202709,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Cory Joseph","Wright, Powell, Poeltl, VanVleet, Joseph",1626153-1626181-1627751-1627832-202709,TOR,54.0,1,1.0,-2.0,1.0,2.0,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,18.0,18.0,18.0,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.4122,,0.4122,,,,,13.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-1627832-203512,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, Fred VanVleet, Lucas Nogueira","Wright, Powell, Poeltl, VanVleet, Nogueira",1626153-1626181-1627751-1627832-203512,TOR,164.0,2,3.0,-2.0,6.0,7.0,,6.0,,13.0,,2.0,,,,,,2.0,1.0,,,,,,1.0,,1.0,5.0,,1.0,,2.0,4.0,,,,,,,,,,,2.0,,,,1.0,,1.0,1.0,,1.0,,,,2.0,,,,2.0,1.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,0.2,,,0.16666666666666666,,,0.16666666666666666,,,0.16666666666666666,0.2,0.5,,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,114.14634146341463,12.333333333333334,12.857142857142858,12.333333333333334,12.857142857142858,0.3333333333333333,,,,0.3333333333333333,,,0.16666666666666666,,,,,0.16666666666666666,,,,,,,,,,,0.5,,0.5133583333333334,,,,,,,7.959999999999999,27.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-200782-202335,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, PJ Tucker, Patrick Patterson","Wright, Powell, Poeltl, Tucker, Patterson",1626153-1626181-1627751-200782-202335,TOR,4113.0,15,69.0,20.0,127.0,128.0,13.0,15.0,8.0,255.0,20.0,32.0,4.0,6.0,3.0,5.0,7.0,14.0,23.0,3.0,9.0,,,8.0,19.0,1.0,37.0,69.0,11.0,28.0,33.0,140.0,120.0,4.0,7.0,2.0,10.0,3.0,10.0,,1.0,3.0,9.0,46.0,28.0,30.0,4.0,19.0,8.0,6.0,23.0,10.0,33.0,7.0,3.0,11.0,76.0,1.0,10.0,,16.0,27.0,8.0,51.0,11.0,62.0,1.0,19.0,4.0,11.0,11.0,1.0,8.0,30.0,3.0,21.0,4.0,33.0,38.0,5.0,5.0,37.0,17.0,3.0,14.0,8.0,14.0,1.0,130.0,9.0,13.0,,1.0,0.6216216216216216,0.6571428571428571,0.9090909090909091,0.39285714285714285,,0.39285714285714285,0.5362318840579711,0.5714285714285714,0.3,0.5515463917525774,0.4444444444444444,0.2727272727272727,0.6150442477876106,0.5,0.375,0.28865979381443296,0.08695652173913043,0.1875,0.6333333333333333,1.0,,0.5094339622641509,0.3225806451612903,0.6956521739130435,0.0625,0.5657894736842105,0.23404255319148937,0.6363636363636364,0.14285714285714285,,0.5,0.2857142857142857,0.6470588235294118,0.8333333333333334,0.024390243902439025,89.27789934354486,15.10236220472441,17.1484375,14.669291338582678,15.671875,0.32989690721649484,0.625,0.7692307692307693,0.55,0.14432989690721648,0.5,0.5,0.23711340206185566,0.09278350515463918,0.3333333333333333,0.3333333333333333,1.0,0.1958762886597938,0.42105263157894735,0.42105263157894735,0.875,0.6666666666666666,0.6666666666666666,0.45454545454545453,0.6,,,0.09090909090909091,0.6185567010309279,0.42105263157894735,0.5056597938144329,0.58115625,0.4440136363636364,0.15454545454545454,0.2073170731707317,0.07142857142857142,0.06428571428571428,8.008695652173913,24.785714285714285,0.10236220472440945,12.0,5.0,,5.0,7.0,0.5,10.0,8.0,0.5714285714285714,0.43478260869565216,0.43478260869565216,0.8,,2.0,,,,7.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.15384615384615385,0.16666666666666666,0.5714285714285714,0.25,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-201942-202335,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, DeMar DeRozan, Patrick Patterson","Wright, Powell, Poeltl, DeRozan, Patterson",1626153-1626181-1627751-201942-202335,TOR,968.0,5,16.0,6.0,32.0,32.0,16.0,18.0,5.0,64.0,8.0,9.0,1.0,1.0,4.0,5.0,3.0,8.0,2.0,,,,,4.0,10.0,5.0,11.0,19.0,4.0,10.0,5.0,39.0,33.0,2.0,2.0,,7.0,5.0,10.0,2.0,5.0,1.0,17.0,14.0,8.0,6.0,2.0,10.0,4.0,1.0,7.0,2.0,9.0,2.0,,4.0,20.0,2.0,2.0,,4.0,2.0,4.0,10.0,4.0,14.0,,2.0,,2.0,1.0,,,3.0,3.0,5.0,,9.0,5.0,,1.0,6.0,3.0,,,,,,32.0,17.0,16.0,3.0,,0.6363636363636364,0.7,0.5,0.4,0.4,0.4,0.5789473684210527,1.0,0.5,0.5862068965517241,0.875,0.5333333333333333,0.609375,0.875,0.53125,0.3448275862068966,0.05263157894736842,0.1111111111111111,0.6666666666666666,1.0,,1.0,0.25,0.5714285714285714,0.4,0.6666666666666666,0.3076923076923077,,0.4,0.4,,1.0,0.5,1.0,,95.20661157024794,13.71875,16.53125,12.53125,15.53125,0.3103448275862069,0.8888888888888888,1.0,0.5,0.27586206896551724,0.375,0.375,0.06896551724137931,,,,,0.3448275862068966,0.4,0.4,0.5,0.25,1.0,0.3333333333333333,0.8,,,0.3333333333333333,0.6551724137931034,0.4,0.5382844827586207,0.5186000000000001,0.5576466666666666,0.09375,0.13636363636363635,0.1794871794871795,0.4358974358974359,5.6421052631578945,25.47,0.5,5.0,4.0,,,,,,,1.0,,,,,2.0,,,,1.0,,2.0,6.0,3.0,1.0,,,,,,,,,1.0,,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.4,,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
1626153-1626181-1627751-201960-202335,1610612761,"Delon Wright, Norman Powell, Jakob Poeltl, DeMarre Carroll, Patrick Patterson","Wright, Powell, Poeltl, Carroll, Patterson",1626153-1626181-1627751-201960-202335,TOR,486.0,3,8.0,1.0,15.0,13.0,,5.0,2.0,28.0,,,,,,,1.0,1.0,2.0,1.0,4.0,,,2.0,4.0,,1.0,3.0,3.0,8.0,5.0,16.0,15.0,,1.0,1.0,4.0,,,,,,,2.0,,6.0,,4.0,2.0,,1.0,2.0,3.0,1.0,1.0,,8.0,2.0,1.0,,3.0,2.0,,5.0,3.0,8.0,1.0,2.0,1.0,1.0,2.0,,1.0,4.0,,5.0,,8.0,4.0,,,5.0,2.0,,2.0,2.0,2.0,,12.0,,,,,1.0,1.0,0.6666666666666666,0.375,,0.375,0.3333333333333333,,,0.5,0.75,,0.6153846153846154,1.0,,0.7272727272727273,,,0.5,,,0.4,0.5,0.75,0.4,0.5555555555555556,0.42857142857142855,,,0.5,,1.0,1.0,0.5,0.14285714285714285,82.96296296296296,15.133333333333333,19.923076923076923,13.4,17.46153846153846,,,,,0.09090909090909091,1.0,1.0,0.18181818181818182,0.36363636363636365,0.25,0.25,1.0,0.36363636363636365,0.5,0.5,0.5,,,,,,,,0.7272727272727273,0.5,0.5135000000000001,,,0.23076923076923078,0.4,0.25,,14.533333333333333,24.475,,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,,0.125,,,1.0,3.0,1.0,1.0,,,,,,,0.5,0.3333333333333333,1.0,,0.5,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1610612761,2017,2016-17,True
