EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,DefTwoPtRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,FtPoints,FTA,Technical Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3PctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,DefShortMidRangeReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,FTDefRebounds,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,SecondChanceArc3Frequency,BadPassSteals,LostBallTurnovers,Offensive Fouls,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,ShortMidRangeAssists,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Loose Ball Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,FTOffRebounds,OffFTReboundPct,SecondChanceTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,PenaltyCorner3FGM,Charge Fouls,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,BlockedLongMidRange,OffensiveGoaltends,HeaveAttempts,3SecondViolations,3pt And 1 Free Throw Trips,DefensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101107-1626163-1626203-1627362-201158,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Briante Weber, Marco Belinelli","Williams, Kaminsky, Graham, Weber, Belinelli",101107-1626163-1626203-1627362-201158,CHA,290.0,1,5.0,-2.0,8.0,8.0,16.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,6.0,2.0,8.0,10.0,6.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,8.0,0.75,0.75,0.6666666666666666,0.5,0.5,0.25,0.5,0.5,1.0,1.0,1.0,1.0,79.44827586206897,18.75,17.5,18.75,17.5,0.25,1.0,1.0,0.5,0.125,0.375,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5,0.486575,10.366666666666667,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-201158-201196,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Marco Belinelli, Ramon Sessions","Williams, Kaminsky, Graham, Belinelli, Sessions",101107-1626163-1626203-201158-201196,CHA,11.0,1,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.376,15.5,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-201158-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Marco Belinelli, Kemba Walker","Williams, Kaminsky, Graham, Belinelli, Walker",101107-1626163-1626203-201158-202689,CHA,27.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,53.33333333333333,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-201158-203148,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Marco Belinelli, Brian Roberts","Williams, Kaminsky, Graham, Belinelli, Roberts",101107-1626163-1626203-201158-203148,CHA,287.0,1,5.0,16.0,9.0,8.0,17.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,6.0,22.0,6.0,2.0,2.0,4.0,,1.0,7.0,1.0,,20.0,2.0,5.0,6.0,,,,,1.0,1.0,2.0,,20.0,0.5,0.5,0.6666666666666666,1.2222222222222223,1.2222222222222223,0.6666666666666666,,,,1.0,0.8333333333333334,1.0,85.29616724738676,12.0,22.375,11.555555555555555,20.75,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0,,0.4444444444444444,0.7777777777777778,0.5140944444444444,9.133333333333333,24.666666666666668,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,2.0,18.0,4.0,6.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.6666666666666666,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6726,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-201196-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Ramon Sessions, Kemba Walker","Williams, Kaminsky, Graham, Sessions, Walker",101107-1626163-1626203-201196-202689,CHA,68.0,1,1.0,2.0,2.0,2.0,4.0,,,1.0,,,,1.0,1.0,,3.0,1.0,,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,0.5,1.0,84.70588235294117,17.0,17.0,11.5,14.0,,,,,1.0,,,,,,,0.3955,7.6,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.3955,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-201587-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Nicolas Batum, Kemba Walker","Williams, Kaminsky, Graham, Batum, Walker",101107-1626163-1626203-201587-202689,CHA,86.0,1,1.0,,3.0,3.0,6.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,,4.0,1.0,,,,,,,,1.0,2.0,,,,,1.0,,,1.0,2.0,,,1.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,,,,,1.0,,100.46511627906976,6.666666666666667,22.0,6.666666666666667,22.0,0.3333333333333333,1.0,1.0,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.5234,9.7,24.5,,1.0,,1.0,,3.0,1.0,,,,,,,1.0,1.0,3.0,,,,,,1.0,1.0,,,,,,1.0,1.0,1.5,1.0,,,1.0,,,,,,,,,,,,,0.6,,1.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5234,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-202689-203087,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Kemba Walker, Jeremy Lamb","Williams, Kaminsky, Graham, Walker, Lamb",101107-1626163-1626203-202689-203087,CHA,70.0,1,1.0,-3.0,1.0,2.0,3.0,,,,,1.0,,,1.0,1.0,,3.0,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,1.0,2.0,,,,,,,,0.5,1.0,,,0.5,0.5,,61.71428571428571,27.0,21.5,27.0,17.0,,,,,,0.5,,,,,0.5,0.4814,16.8,23.1,,1.0,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1626203-203087-203148,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Jeremy Lamb, Brian Roberts","Williams, Kaminsky, Graham, Lamb, Roberts",101107-1626163-1626203-203087-203148,CHA,59.0,1,1.0,4.0,3.0,2.0,5.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,2.0,,1.0,,1.0,1.0,,1.0,2.0,,2.0,2.0,,,,,,,,1.0,4.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,,,,,1.0,,122.03389830508475,5.333333333333333,21.5,5.333333333333333,21.5,,,,,,0.5,1.0,1.0,1.0,0.5,0.5,0.5042,17.0,24.1,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1627362-201158-201587,1610612766,"Marvin Williams, Frank Kaminsky, Briante Weber, Marco Belinelli, Nicolas Batum","Williams, Kaminsky, Weber, Belinelli, Batum",101107-1626163-1627362-201158-201587,CHA,275.0,3,5.0,-8.0,7.0,6.0,13.0,1.0,1.0,2.0,,1.0,4.0,1.0,4.0,5.0,5.0,13.0,,2.0,4.0,,,1.0,,,3.0,,1.0,3.0,,,,,,1.0,2.0,2.0,3.0,,,0.25,0.2777777777777778,0.2777777777777778,0.5555555555555556,,,,,,,68.07272727272728,25.428571428571427,16.166666666666668,22.428571428571427,16.166666666666668,0.1111111111111111,1.0,1.0,,0.2222222222222222,0.1111111111111111,,,,0.4444444444444444,0.6666666666666666,0.46765,9.8,24.96,1.0,2.0,0.3333333333333333,0.2857142857142857,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,1.0,0.2,0.2,1.0,0.5,0.5,,0.5,,,0.1111111111111111,,,,0.25,0.25,1.0,0.5,1.0,,0.25,0.4998,0.4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
101107-1626163-1627362-201158-203077,1610612766,"Marvin Williams, Frank Kaminsky, Briante Weber, Marco Belinelli, Michael Kidd-Gilchrist","Williams, Kaminsky, Weber, Belinelli, Kidd-Gilchrist",101107-1626163-1627362-201158-203077,CHA,383.0,5,6.0,6.0,12.0,12.0,24.0,6.0,7.0,,1.0,1.0,2.0,7.0,8.0,2.0,21.0,15.0,6.0,8.0,2.0,,3.0,5.0,2.0,1.0,12.0,2.0,3.0,3.0,1.0,,1.0,,2.0,2.0,6.0,1.0,21.0,0.42857142857142855,0.42857142857142855,0.875,1.0,1.05,0.2,,,0.5,1.0,0.5,1.0,90.23498694516971,15.0,16.916666666666668,15.0,16.916666666666668,0.7,0.8571428571428571,0.8571428571428571,0.3333333333333333,,0.1,1.0,1.0,1.0,0.2,0.9,0.538295,3.825,25.4,,,,,,11.0,,,,,,2.0,2.0,,,,6.0,2.0,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,2.0,2.0,2.0,,,2.0,2.0,,1.0,5.0,,,,,,1.0,1.0,5.0,2.0,1.0,1.0,1.25,,,,1.0,1.0,,0.5158,0.1,0.125,0.23809523809523808,0.16666666666666666,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2017,2016-17,True
