EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2A,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,LongMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,SecondChancePoints,PtsUnassisted3s,Corner3Assists,ShortMidRangeAssists,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChancePointsPct,FTDefRebounds,BlockingFoulsDrawn,DefFTReboundPct,DefLongMidRangeReboundPct,Offensive Fouls,Blocked3s,BlockedCorner3,Loose Ball Fouls Drawn,LongMidRangePctBlocked,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimFGM,SecondChanceFtPoints,Charge Fouls Drawn,SecondChanceAtRimAccuracy,PtsPutbacks,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,BlockedArc3,HeaveAttempts,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
1626169-1626199-1626246-1627740-1627771,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Henry Ellenson, Michael Gbinije","Johnson, Hilliard, Marjanovic, Ellenson, Gbinije",1626169-1626199-1626246-1627740-1627771,DET,148.0,1,2.0,4.0,7.0,6.0,3.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,8.0,4.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,3.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.4375,0.625,0.5,0.625,0.25,0.5,0.25,1.0,1.0,0.75,0.4,0.3333333333333333,1.0,1.0,1.0,126.48648648648648,10.571428571428571,12.333333333333334,10.0,11.666666666666666,0.125,1.0,1.0,0.125,0.5,0.25,0.25,0.25,0.5,0.5,1.0,1.0,0.5,0.5,0.375,0.5,0.47244375,0.40995,0.4213375,0.125,0.16666666666666666,0.625,13.65,26.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-1627740-202397,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Henry Ellenson, Ish Smith","Johnson, Hilliard, Marjanovic, Ellenson, Smith",1626169-1626199-1626246-1627740-202397,DET,807.0,4,13.0,-4.0,24.0,26.0,5.0,8.0,4.0,50.0,3.0,7.0,3.0,3.0,4.0,2.0,7.0,1.0,1.0,2.0,7.0,14.0,2.0,9.0,2.0,22.0,26.0,1.0,,,1.0,3.0,5.0,8.0,6.0,7.0,2.0,2.0,5.0,2.0,12.0,2.0,2.0,2.0,4.0,6.0,4.0,10.0,3.0,2.0,4.0,,1.0,22.0,5.0,5.0,1.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.5,,0.43478260869565216,0.5,0.44,0.5,0.391304347826087,0.5,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.5454545454545454,0.2857142857142857,,0.2,0.5,0.5,89.2193308550186,14.791666666666666,17.384615384615383,13.25,16.5,0.30434782608695654,0.42857142857142855,0.5,0.13043478260869565,0.17391304347826086,0.75,0.75,0.30434782608695654,0.2857142857142857,0.2857142857142857,1.0,0.25,0.6666666666666666,0.5,0.6956521739130435,0.2857142857142857,0.5282543478260869,0.7098,0.5428499999999999,0.041666666666666664,0.06666666666666667,0.22727272727272727,7.421428571428572,25.177777777777777,0.20833333333333334,2.0,1.0,2.0,1.0,3.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.5,0.5,0.5,0.75,1.0,0.07692307692307693,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08695652173913043,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-1627740-203493,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Henry Ellenson, Reggie Bullock","Johnson, Hilliard, Marjanovic, Ellenson, Bullock",1626169-1626199-1626246-1627740-203493,DET,343.0,1,6.0,,10.0,10.0,10.0,10.0,2.0,20.0,1.0,4.0,,1.0,3.0,1.0,3.0,,1.0,3.0,2.0,7.0,1.0,3.0,2.0,9.0,9.0,,2.0,7.0,1.0,3.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,2.0,3.0,5.0,2.0,2.0,2.0,,1.0,9.0,9.0,10.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.35,0.35,0.4090909090909091,0.4090909090909091,0.3,,0.4,1.0,0.5,0.4,0.42857142857142855,0.5,0.5,,1.0,83.96501457725947,18.1,16.2,16.6,15.6,0.4,0.25,0.3333333333333333,,0.3,0.3333333333333333,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,1.0,,0.3,0.3333333333333333,0.7,0.3333333333333333,0.5202899999999999,0.591,0.5202899999999999,0.09090909090909091,0.125,1.0,9.314285714285715,24.766666666666666,1.0,3.0,,,,3.0,2.0,,1.0,,,,1.0,1.0,1.0,,,2.0,,2.0,,,,,,,,0.14285714285714285,0.25,,0.3333333333333333,,,1.0,0.16666666666666666,,,,,,1.0,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-1627740-2757,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Henry Ellenson, Beno Udrih","Johnson, Hilliard, Marjanovic, Ellenson, Udrih",1626169-1626199-1626246-1627740-2757,DET,1317.0,4,22.0,-6.0,41.0,43.0,9.0,22.0,3.0,84.0,4.0,10.0,9.0,7.0,10.0,1.0,4.0,,,,14.0,29.0,2.0,7.0,3.0,37.0,43.0,,3.0,5.0,1.0,2.0,10.0,16.0,3.0,4.0,1.0,1.0,7.0,,15.0,,3.0,8.0,3.0,11.0,3.0,14.0,4.0,5.0,5.0,1.0,3.0,35.0,10.0,9.0,0.5,0.2857142857142857,0.5,0.2857142857142857,0.4827586206896552,0.6,0.4722222222222222,0.6428571428571429,0.4868421052631579,0.7142857142857143,0.19444444444444445,0.42857142857142855,0.2,0.7272727272727273,,0.6111111111111112,0.15,,,0.3333333333333333,0.6666666666666666,91.84510250569477,16.29268292682927,15.093023255813954,16.024390243902438,14.325581395348838,0.2777777777777778,0.4,0.5,0.25,0.2777777777777778,0.7,0.7,0.1111111111111111,0.25,0.25,,,,,0.4722222222222222,0.25,0.5004916666666667,0.4677,0.4923928571428572,0.07894736842105263,0.0967741935483871,0.2702702702702703,9.055172413793104,24.357142857142858,0.21951219512195122,1.0,3.0,3.0,2.0,2.0,1.0,12.0,2.0,6.0,2.0,3.0,1.0,8.0,7.0,1.0,3.0,3.0,1.0,6.0,3.0,,,,,0.42857142857142855,0.42857142857142855,0.06896551724137931,0.2,0.5,0.16666666666666666,,1.0,0.8,0.05555555555555555,0.5,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.08333333333333333,0.5,0.2857142857142857,1.0,1.0,,1.0,2.0,,2.0,1.0,2.0,,,0.14285714285714285,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-1627771-202699,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Michael Gbinije, Tobias Harris","Johnson, Hilliard, Marjanovic, Gbinije, Harris",1626169-1626199-1626246-1627771-202699,DET,129.0,1,2.0,1.0,5.0,4.0,5.0,4.0,,9.0,,,,,1.0,,,,,,,1.0,1.0,1.0,4.0,7.0,6.0,,,1.0,1.0,1.0,7.0,,3.0,,,1.0,1.0,,3.0,,,,1.0,1.0,,1.0,1.0,2.0,4.0,,1.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,,,0.75,0.75,0.875,0.875,0.5,0.5,,,,0.5,,,,,,100.46511627906978,13.4,15.5,13.4,15.5,,,,,0.5,,,,,,,,,,0.5,,0.46505,,0.46505,0.3333333333333333,0.5,1.0,17.5,22.9,1.0,,,1.0,1.0,,4.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,0.5,,0.5,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-1627771-202720,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Michael Gbinije, Jon Leuer","Johnson, Hilliard, Marjanovic, Gbinije, Leuer",1626169-1626199-1626246-1627771-202720,DET,228.0,1,4.0,-5.0,8.0,8.0,8.0,4.0,,16.0,,,1.0,,1.0,,2.0,,,2.0,,2.0,,3.0,4.0,4.0,9.0,,,2.0,,3.0,4.0,,,2.0,,,,,,,,1.0,2.0,4.0,,4.0,1.0,3.0,6.0,,1.0,4.0,4.0,8.0,,,,,,,,,0.25,0.25,0.6,0.6666666666666666,,0.5,,0.6,,,,1.0,0.5,101.05263157894737,12.125,16.375,12.125,15.375,,,,0.2,0.2,,,0.4,,,,,0.4,,0.6,,0.49793000000000004,,0.49793000000000004,0.16666666666666666,0.3333333333333333,1.0,16.4,24.566666666666666,1.0,,,1.0,1.0,,4.0,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-202397-202694,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Ish Smith, Marcus Morris","Johnson, Hilliard, Marjanovic, Smith, Morris",1626169-1626199-1626246-202397-202694,DET,309.0,1,5.0,7.0,12.0,11.0,4.0,4.0,2.0,23.0,2.0,3.0,,2.0,4.0,2.0,3.0,,2.0,2.0,4.0,7.0,2.0,3.0,,14.0,7.0,,1.0,1.0,2.0,2.0,8.0,2.0,6.0,3.0,2.0,2.0,5.0,2.0,12.0,1.0,,2.0,4.0,6.0,1.0,7.0,2.0,1.0,,,,14.0,8.0,4.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5714285714285714,1.0,0.7,1.3333333333333333,0.7,1.3333333333333333,0.3,0.5714285714285714,,1.0,1.0,0.6666666666666666,0.25,,1.0,0.5,1.0,107.18446601941747,10.666666666666666,16.454545454545453,9.583333333333334,14.636363636363637,0.3,0.6666666666666666,1.0,,0.4,0.5,0.5,0.3,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,1.0,0.6,0.6666666666666666,0.53355,,0.4871833333333333,,,0.5714285714285714,11.071428571428571,26.53333333333333,0.3333333333333333,1.0,,,,1.0,,6.0,1.0,3.0,2.0,1.0,,2.0,2.0,,1.0,2.0,,3.0,2.0,,,,,0.75,0.75,0.14285714285714285,0.3333333333333333,0.3333333333333333,,,0.5,1.0,,1.0,,,0.5,,1.0,,,,1.0,1.0,1.0,,3.0,2.0,3.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,2.0,,,,,0.6666666666666666,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-202397-202699,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Ish Smith, Tobias Harris","Johnson, Hilliard, Marjanovic, Smith, Harris",1626169-1626199-1626246-202397-202699,DET,271.0,2,5.0,14.0,12.0,11.0,7.0,4.0,,23.0,2.0,3.0,,1.0,1.0,3.0,4.0,,2.0,3.0,3.0,4.0,4.0,6.0,2.0,20.0,6.0,,1.0,1.0,3.0,4.0,13.0,,9.0,4.0,3.0,3.0,6.0,2.0,15.0,,,,3.0,3.0,,3.0,1.0,1.0,2.0,,,20.0,13.0,7.0,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,1.0,0.9,1.1,0.9090909090909091,1.0833333333333333,0.6,1.0,,,,0.75,,,,1.0,,122.2140221402214,10.666666666666666,13.0,10.666666666666666,13.0,0.3,0.6666666666666666,1.0,,0.1,1.0,1.0,0.4,0.75,0.75,0.6666666666666666,,0.6,0.6666666666666666,0.9,0.75,0.58204,,0.60578,,,0.65,5.825,25.25,0.5833333333333334,,,2.0,1.0,,2.0,6.0,1.0,3.0,2.0,1.0,,3.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,,,,,,,1.0,,,1.0,0.2,,0.2,1.0,1.0,,,1.0,,,,,,,0.2,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,0.5,0.5,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-202694-2757,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Marcus Morris, Beno Udrih","Johnson, Hilliard, Marjanovic, Morris, Udrih",1626169-1626199-1626246-202694-2757,DET,259.0,1,4.0,-7.0,8.0,9.0,,,1.0,17.0,1.0,1.0,1.0,1.0,2.0,,3.0,,,,3.0,4.0,,3.0,,6.0,13.0,,,,,,,,,3.0,,,3.0,,6.0,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,6.0,,,,,,,0.75,,0.42857142857142855,,0.375,,0.42857142857142855,0.5,,,0.3333333333333333,0.5,0.25,,0.3333333333333333,,,94.51737451737452,16.125,14.444444444444445,15.625,14.444444444444445,0.14285714285714285,1.0,1.0,0.14285714285714285,0.2857142857142857,0.5,0.5,0.42857142857142855,,,,,,,0.5714285714285714,,0.5437642857142857,,,0.125,0.2,,11.775,25.2,,,1.0,,,,,6.0,,3.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
1626169-1626199-1626246-202699-203484,1610612765,"Stanley Johnson, Darrun Hilliard, Boban Marjanovic, Tobias Harris, Kentavious Caldwell-Pope","Johnson, Hilliard, Marjanovic, Harris, Caldwell-Pope",1626169-1626199-1626246-202699-203484,DET,246.0,1,4.0,,7.0,6.0,4.0,2.0,,13.0,2.0,2.0,1.0,,2.0,,,,,,3.0,5.0,1.0,2.0,,9.0,9.0,,1.0,2.0,1.0,2.0,5.0,2.0,3.0,,,1.0,3.0,,7.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,9.0,5.0,4.0,1.0,0.5,0.5,0.5,0.6,0.5,0.6428571428571429,0.625,0.6428571428571429,0.625,0.2857142857142857,,,1.0,,0.25,,,,,1.0,76.09756097560977,17.0,21.166666666666668,17.0,15.0,0.2857142857142857,1.0,1.0,0.14285714285714285,0.2857142857142857,,,,,,,,,,0.5714285714285714,,0.4532357142857143,,0.4790375,,,0.5555555555555556,9.2,22.85,0.5714285714285714,,1.0,2.0,2.0,,,4.0,,2.0,2.0,,,1.0,,1.0,,,,,,,1.0,,,0.6666666666666666,0.6666666666666666,,,,,,,,,1.0,1.0,1.0,,0.2857142857142857,,0.5,1.0,1.0,,,,,1.0,,1.0,,,0.25,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2017,2016-17,True
