EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,TotalPoss,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Minutes,FtPoints,Points,OpponentPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,Steals,BadPassSteals,Fouls,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceFtPoints,PtsUnassisted2s,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,ShootingFouls,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimFrequency,PenaltyArc3Frequency,PenaltyDefPoss,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,PenaltyTurnovers,OffShortMidRangeReboundPct,NonShootingPenaltyNonTakeFouls,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedAtRim,RecoveredBlocks,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,OffAtRimReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,2pt And 1 Free Throw Trips,HeaveAttempts,FTOffRebounds,Charge Fouls,OffFTReboundPct,SecondChanceCorner3PctAssisted,LostBallSteals,DefensiveGoaltends,LongMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Offensive Fouls Drawn,BlockingFouls,Clear Path Fouls,BlockedShortMidRange,OffCorner3ReboundPct,BlockingFoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,HeaveMakes,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Arc3PctBlocked,OffensiveGoaltends,3SecondViolations,BlockedCorner3,team_id,year,season,team_vs
101108-101109-101138-1718-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Paul Pierce, Jamal Crawford","Paul, Felton, Bass, Pierce, Crawford",101108-101109-101138-1718-2037,LAC,19.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.57894736842107,17.0,2.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-200755-201578,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, JJ Redick, Marreese Speights","Paul, Felton, Bass, Redick, Speights",101108-101109-101138-200755-201578,LAC,39.0,1,1.0,1.0,2.0,,,,,,,,73.84615384615384,21.0,18.0,21.0,18.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-201578-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Marreese Speights, Jamal Crawford","Paul, Felton, Bass, Speights, Crawford",101108-101109-101138-201578-2037,LAC,218.0,2,9.0,7.0,16.0,,2.0,2.0,1.0,1.0,1.0,,105.68807339449542,13.444444444444445,13.857142857142858,11.333333333333334,13.857142857142858,4.0,2.0,6.0,9.0,1.0,2.0,1.0,4.0,0.375,0.125,0.16666666666666666,-3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.4,1.0,0.5,0.2857142857142857,1.0,0.5,1.0,0.5,0.2857142857142857,1.0,1.0,1.0,1.0,0.14285714285714285,0.5714285714285714,0.5,0.5,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.43227499999999996,0.368,0.4065,0.3333333333333333,0.3333333333333333,16.18,24.7,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-201599-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, DeAndre Jordan, Jamal Crawford","Paul, Felton, Bass, Jordan, Crawford",101108-101109-101138-201599-2037,LAC,60.0,2,3.0,1.0,4.0,,,,1.0,1.0,1.0,,96.0,17.0,9.0,17.0,9.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,0.5,0.5,2.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,0.402,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-201933-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Blake Griffin, Jamal Crawford","Paul, Felton, Bass, Griffin, Crawford",101108-101109-101138-201933-2037,LAC,171.0,1,6.0,6.0,12.0,,3.0,4.0,1.0,,1.0,,101.05263157894737,16.0,12.5,16.0,12.5,3.0,2.0,6.0,5.0,1.0,2.0,1.0,4.0,0.5,0.16666666666666666,0.16666666666666666,1.0,,1.0,,1.0,4.0,,,2.0,5.0,,,,2.0,,,,2.0,,1.0,1.0,,2.0,2.0,,,2.0,,,,0.5,0.5,0.4,,,0.4,,,1.0,,,1.0,1.0,1.0,1.0,,0.8,0.25,0.25,,,,0.2,0.41475999999999996,,,0.3333333333333333,,13.419999999999998,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101138-202325-2037,1610612746,"Chris Paul, Raymond Felton, Brandon Bass, Wesley Johnson, Jamal Crawford","Paul, Felton, Bass, Johnson, Crawford",101108-101109-101138-202325-2037,LAC,111.0,1,4.0,3.0,7.0,,3.0,3.0,1.0,,1.0,,90.8108108108108,11.75,21.333333333333332,11.75,21.333333333333332,2.0,,6.0,1.0,1.0,,,6.0,1.0,,,5.0,1.0,,1.0,,,,,3.0,3.0,,,,,1.0,1.0,2.0,6.0,,3.0,3.0,,6.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,0.6666666666666666,0.4691,,0.5787,,0.3333333333333333,2.6999999999999997,,0.25,2.0,2.0,,,2.0,,,,,,1.0,,,,,,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-101187-201578-2037,1610612746,"Chris Paul, Raymond Felton, Alan Anderson, Marreese Speights, Jamal Crawford","Paul, Felton, Anderson, Speights, Crawford",101108-101109-101187-201578-2037,LAC,46.0,1,1.0,2.0,3.0,,2.0,2.0,,,,,93.91304347826086,20.0,13.0,20.0,13.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,0.25,0.5,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,0.51135,,,,,,26.3,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201578-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, Marreese Speights, Jamal Crawford","Paul, Felton, Pierce, Speights, Crawford",101108-101109-1718-201578-2037,LAC,192.0,2,6.0,6.0,12.0,,2.0,3.0,,,,,90.0,14.666666666666666,17.333333333333332,14.333333333333334,17.333333333333332,3.0,9.0,9.0,9.0,5.0,10.0,4.0,9.0,0.5625,0.5714285714285714,0.6666666666666666,,4.0,1.0,,,1.0,,1.0,,2.0,1.0,,1.0,,,,6.0,,1.0,,,,,,,,1.0,,6.0,4.0,,,,,,,,,,0.75,0.3333333333333333,,1.0,,,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.5009,0.544,0.5598,,0.6666666666666666,9.35,24.8,0.6666666666666666,,1.0,,,,1.0,2.0,1.0,,,,0.5,1.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201599-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Jamal Crawford","Paul, Felton, Pierce, Jordan, Crawford",101108-101109-1718-201599-2037,LAC,107.0,2,2.0,4.0,6.0,,3.0,3.0,,,,,80.74766355140187,22.0,15.75,22.0,15.75,2.0,,3.0,,1.0,1.0,,3.0,0.5,0.3333333333333333,,3.0,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,3.0,2.0,,,1.0,,,,,,,,,0.5,,,,,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.54755,,,,,10.1,25.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-201599,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, DeAndre Jordan","Paul, Felton, Redick, Speights, Jordan",101108-101109-200755-201578-201599,LAC,56.0,2,1.0,2.0,3.0,,,1.0,1.0,,1.0,,77.14285714285714,18.0,19.0,17.0,19.0,1.0,,,4.0,,,,,,,,-4.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3945,,0.3945,,,6.6,,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
