EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,FTOffRebounds,DefThreePtRebounds,OffFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ShortMidRangeFGM,OpponentPoints,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,BlockingFoulsDrawn,DefCorner3ReboundPct,LostBallTurnovers,SecondChanceCorner3FGA,OffTwoPtRebounds,BadPassSteals,Offensive Fouls,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,HeaveAttempts,Travels,Loose Ball Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,LostBallOutOfBoundsTurnovers,Corner3FGM,SecondChanceFtPoints,PtsUnassisted3s,Corner3Accuracy,UnblockedCorner3Accuracy,Offensive Fouls Drawn,SelfOReb,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceTurnovers,Corner3Assists,Loose Ball Fouls Drawn,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceFG3M,FTDefRebounds,Defensive 3 Seconds Violations,SecondChanceFg3Pct,DefFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,ShortMidRangePctBlocked,PtsPutbacks,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,OffensiveGoaltends,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,StepOutOfBoundsTurnovers,Charge Fouls,BlockedLongMidRange,3SecondViolations,DefensiveGoaltends,LongMidRangePctBlocked,Clear Path Fouls,BlockedArc3,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1626154-1626170-1626171-1626245-1627756,1610612741,"RJ Hunter, Jerian Grant, Bobby Portis, Cristiano Felicio, Denzel Valentine","Hunter, Grant, Portis, Felicio, Valentine",1626154-1626170-1626171-1626245-1627756,CHI,125.0,1,2.0,5.0,5.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.625,0.625,0.3333333333333333,0.6,0.6,0.6666666666666666,1.0,115.19999999999999,1.0,8.6,16.4,8.6,15.8,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.4871833333333333,0.4871833333333333,0.3333333333333333,0.5,1.0,9.7,25.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626154-1626170-1626245-1627756-1627835,1610612741,"RJ Hunter, Jerian Grant, Cristiano Felicio, Denzel Valentine, Paul Zipser","Hunter, Grant, Felicio, Valentine, Zipser",1626154-1626170-1626245-1627756-1627835,CHI,106.0,1,2.0,5.0,4.0,3.0,1.0,7.0,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,,,1.0,,,2.0,2.0,1.0,1.0,,2.0,3.0,3.0,5.0,,,,,,,1.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,3.0,,1.0,,0.5,0.5,1.0,,0.5,,0.5,,0.5,1.0,1.0,1.0,,95.09433962264151,1.0,17.25,12.333333333333334,13.25,12.333333333333334,,,,,0.5,0.5,,,1.0,0.5,0.4168875,0.3561,0.2,0.3333333333333333,,18.8,24.2,0.25,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626154-1626170-1626245-1627756-202703,1610612741,"RJ Hunter, Jerian Grant, Cristiano Felicio, Denzel Valentine, Nikola Mirotic","Hunter, Grant, Felicio, Valentine, Mirotic",1626154-1626170-1626245-1627756-202703,CHI,90.0,1,2.0,2.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,2.0,3.0,,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,,96.0,,14.666666666666666,15.333333333333334,12.666666666666666,15.333333333333334,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.4671166666666667,0.4671166666666667,,,1.0,5.6,25.1,1.0,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626154-1626171-1626245-1627756-1627835,1610612741,"RJ Hunter, Bobby Portis, Cristiano Felicio, Denzel Valentine, Paul Zipser","Hunter, Portis, Felicio, Valentine, Zipser",1626154-1626171-1626245-1627756-1627835,CHI,228.0,1,4.0,-2.0,7.0,8.0,6.0,15.0,,1.0,,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,,2.0,3.0,,,2.0,3.0,1.0,1.0,,2.0,1.0,4.0,4.0,1.0,1.0,,,,,2.0,3.0,1.0,2.0,,,,,,,3.0,,6.0,,1.0,1.0,0.3333333333333333,,0.16666666666666666,,0.21428571428571427,,0.5,0.16666666666666666,0.4444444444444444,,,94.73684210526316,,12.428571428571429,17.625,12.428571428571429,14.75,0.16666666666666666,,,,0.16666666666666666,0.5,0.2,,0.6,0.6666666666666666,0.5215500000000001,0.53728,0.2857142857142857,0.5,,9.466666666666667,24.633333333333336,0.8571428571428571,8.0,,,,,,,,,,,,,,,,0.5,,,,,,,1.0,,3.0,,1.0,1.0,0.16666666666666666,,,,,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626166-1626170-1626171-1626245-1627756,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Cristiano Felicio, Denzel Valentine","Payne, Grant, Portis, Felicio, Valentine",1626166-1626170-1626171-1626245-1627756,CHI,300.0,1,5.0,-7.0,11.0,11.0,,22.0,,1.0,,,,7.0,,,2.0,8.0,2.0,8.0,,,,,,,7.0,,2.0,,6.0,2.0,4.0,5.0,,,,,1.0,,1.0,2.0,,1.0,,,,,,,8.0,,,,,,,,0.3,,0.36363636363636365,,0.8,1.0,1.0,,,105.6,,15.818181818181818,11.454545454545455,15.454545454545455,11.454545454545455,0.1,,,,,0.7,,,,0.9,0.5273100000000001,,0.09090909090909091,0.3333333333333333,,6.35,25.95,,,1.0,,,,,,,1.0,1.0,,,,0.16666666666666666,0.125,0.2,1.0,,,,,,,1.0,,2.0,,1.0,1.0,0.1,,,,,,15.0,,,,,1.0,2.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.1,0.2857142857142857,0.2857142857142857,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626166-1626170-1626171-1627756-203477,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Denzel Valentine, Isaiah Canaan","Payne, Grant, Portis, Valentine, Canaan",1626166-1626170-1626171-1627756-203477,CHI,97.0,1,2.0,2.0,4.0,4.0,4.0,8.0,,,,,1.0,,,,3.0,,2.0,2.0,,3.0,,2.0,2.0,,,,,,,1.0,3.0,3.0,,,,,,,1.0,2.0,,,1.0,,,,,,2.0,2.0,4.0,1.0,,,,,,,0.25,0.25,,1.0,1.0,1.0,,118.76288659793815,,12.0,12.25,12.0,12.25,,,,,0.3333333333333333,,,,,,0.36123333333333335,0.36123333333333335,,,1.0,10.966666666666667,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626166-1626170-1626171-1627756-203530,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Denzel Valentine, Joffrey Lauvergne","Payne, Grant, Portis, Valentine, Lauvergne",1626166-1626170-1626171-1627756-203530,CHI,132.0,1,2.0,,6.0,6.0,,12.0,1.0,1.0,,,1.0,,,2.0,3.0,,,4.0,,,,,,,,,,,,1.0,4.0,4.0,,,1.0,1.0,2.0,,,,,,,,,,,,4.0,,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,1.0,1.0,,1.0,130.9090909090909,,8.166666666666666,13.833333333333334,8.166666666666666,13.833333333333334,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,0.5572333333333334,,,,,9.5,,,6.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,1.0,0.3333333333333333,,,,,1.0,4.0,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626166-1626170-1626171-201577-202710,1610612741,"Cameron Payne, Jerian Grant, Bobby Portis, Robin Lopez, Jimmy Butler","Payne, Grant, Portis, Lopez, Butler",1626166-1626170-1626171-201577-202710,CHI,213.0,1,4.0,-3.0,6.0,7.0,,13.0,1.0,1.0,,,,1.0,,2.0,3.0,3.0,2.0,6.0,,,,,,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,4.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,4.0,,,,0.5,0.5,0.6666666666666666,,0.3333333333333333,,0.42857142857142855,,0.5,0.5,0.5,,,87.88732394366198,,13.833333333333334,18.571428571428573,12.0,17.142857142857142,0.16666666666666666,1.0,1.0,,,0.16666666666666666,,,,0.6666666666666666,0.5432083333333334,,0.14285714285714285,0.25,,6.3,24.099999999999998,,2.0,1.0,,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,0.5,,0.6666666666666666,,,,0.3333333333333333,1.0,1.0,2.0,,,,,,0.3333333333333333,0.5,1.0,,0.63045,1.0,9.0,1.0,0.5,0.5,1.0,2.0,,,,1.0,,,,,,,,2.0,,,,,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626166-1626170-1626245-1627756-203477,1610612741,"Cameron Payne, Jerian Grant, Cristiano Felicio, Denzel Valentine, Isaiah Canaan","Payne, Grant, Felicio, Valentine, Canaan",1626166-1626170-1626245-1627756-203477,CHI,67.0,1,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,,,,1.0,2.0,,,2.0,1.0,2.0,,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,1.0,,,85.97014925373134,,11.0,22.5,11.0,22.5,1.0,0.5,1.0,1.0,,,1.0,0.5,,1.0,0.6682,0.6682,,,1.0,1.6,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
1626166-1626170-1626245-1627835-203477,1610612741,"Cameron Payne, Jerian Grant, Cristiano Felicio, Paul Zipser, Isaiah Canaan","Payne, Grant, Felicio, Zipser, Canaan",1626166-1626170-1626245-1627835-203477,CHI,44.0,1,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,3.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.5,1.5,,,1.0,,,65.45454545454545,,27.0,17.0,27.0,17.0,,,,,,,,,,,0.3643,0.3643,1.0,1.0,1.0,13.5,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2017,2016-17,True
