EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,FTDefRebounds,TwoPtShootingFoulsDrawn,DefFTReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,BlockingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceFtPoints,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,AtRimPctBlocked,Offensive Fouls,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,LostBallSteals,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,BlockedCorner3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,OffCorner3ReboundPct,Charge Fouls Drawn,Technical Free Throw Trips,team_id,year,season,team_vs
101108-101109-1718-200755-201599,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, JJ Redick, DeAndre Jordan","Paul, Felton, Pierce, Redick, Jordan",101108-101109-1718-200755-201599,LAC,170.0,1,3.0,5.0,6.0,5.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,8.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,8.0,8.0,5.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.875,0.875,0.8,0.8,0.25,1.0,1.0,1.0,93.17647058823529,14.6,16.166666666666668,14.6,15.166666666666666,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.25,1.0,0.25,1.0,0.5,0.5863375,0.5863375,1.0,7.666666666666667,22.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201578-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, Marreese Speights, Jamal Crawford","Paul, Felton, Pierce, Speights, Crawford",101108-101109-1718-201578-2037,LAC,69.0,1,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,1.0,2.0,,1.0,,2.0,5.0,1.0,2.0,,1.0,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,83.47826086956522,18.0,16.5,18.0,16.5,0.6666666666666666,0.5,0.5,,,,,,,,,,0.6666666666666666,0.5,,,1.0,0.5312666666666667,0.5312666666666667,1.0,2.45,24.9,1.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201599-201601,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Luc Mbah a Moute","Paul, Felton, Pierce, Jordan, Mbah a Moute",101108-101109-1718-201599-201601,LAC,14.0,1,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,13.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-1718-201599-2037,1610612746,"Chris Paul, Raymond Felton, Paul Pierce, DeAndre Jordan, Jamal Crawford","Paul, Felton, Pierce, Jordan, Crawford",101108-101109-1718-201599-2037,LAC,935.0,3,16.0,29.0,28.0,18.0,14.0,57.0,2.0,3.0,1.0,2.0,1.0,8.0,3.0,1.0,4.0,,1.0,5.0,14.0,4.0,8.0,11.0,33.0,32.0,2.0,7.0,2.0,3.0,9.0,19.0,6.0,4.0,12.0,3.0,4.0,7.0,1.0,1.0,18.0,5.0,11.0,14.0,,,,3.0,6.0,12.0,5.0,28.0,19.0,18.0,5.0,0.6,0.75,1.0,0.5,0.6666666666666666,0.5,0.35714285714285715,0.2857142857142857,0.5,0.5,0.5892857142857143,0.6333333333333333,0.36363636363636365,0.7142857142857143,0.7142857142857143,1.0,87.78609625668449,18.06896551724138,14.678571428571429,17.448275862068964,13.607142857142858,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.5,0.36363636363636365,0.125,0.14285714285714285,0.13636363636363635,0.18181818181818182,0.25,0.25,1.0,0.2,0.5,0.1,,0.5,0.44540227272727273,0.431785,0.5757575757575758,9.635714285714286,24.7625,0.6206896551724138,1.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,2.0,4.0,3.0,3.0,0.5,0.8333333333333334,0.8333333333333334,0.375,0.25,1.0,0.18181818181818182,0.3333333333333333,1.0,0.2,0.48160000000000003,0.15151515151515152,1.0,1.0,1.0,0.043478260869565216,0.06666666666666667,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,0.07142857142857142,0.125,0.8,0.7142857142857143,0.16666666666666666,1.0,0.5,1.0,0.8333333333333334,0.09090909090909091,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,1.0,0.3333333333333333,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-201599,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, DeAndre Jordan","Paul, Felton, Redick, Speights, Jordan",101108-101109-200755-201578-201599,LAC,1.0,1,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-201601,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Luc Mbah a Moute","Paul, Felton, Redick, Speights, Mbah a Moute",101108-101109-200755-201578-201601,LAC,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-201933,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Blake Griffin","Paul, Felton, Redick, Speights, Griffin",101108-101109-200755-201578-201933,LAC,78.0,1,1.0,3.0,3.0,,,6.0,1.0,1.0,,,,,1.0,,,,,1.0,2.0,,1.0,1.0,3.0,2.0,,,,,,,2.0,,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,,3.0,,,,1.0,1.0,,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,1.0,1.0,,110.76923076923076,15.0,11.0,15.0,11.0,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,,,,0.6666666666666666,0.6113000000000001,,,7.6,26.7,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,1.0,,0.3333333333333333,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-202325,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Wesley Johnson","Paul, Felton, Redick, Speights, Johnson",101108-101109-200755-201578-202325,LAC,122.0,1,2.0,5.0,4.0,,,9.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,3.0,3.0,,,,,,,2.0,,,1.0,,1.0,,,2.0,,1.0,1.0,,,1.0,1.0,2.0,2.0,,3.0,,,,1.0,1.0,,,,,1.0,,1.0,,0.75,,,,1.0,,106.22950819672131,15.2,11.5,15.2,11.5,,,,,1.0,1.0,1.0,,,,,,,,,,,0.3906,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,0.5,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,3.0,,,,,,,,,0.3333333333333333,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201578-2037,1610612746,"Chris Paul, Raymond Felton, JJ Redick, Marreese Speights, Jamal Crawford","Paul, Felton, Redick, Speights, Crawford",101108-101109-200755-201578-2037,LAC,60.0,2,1.0,2.0,4.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,2.0,2.0,7.0,,,,,2.0,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,144.0,16.0,7.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
101108-101109-200755-201599-201601,1610612746,"Chris Paul, Raymond Felton, JJ Redick, DeAndre Jordan, Luc Mbah a Moute","Paul, Felton, Redick, Jordan, Mbah a Moute",101108-101109-200755-201599-201601,LAC,792.0,4,13.0,26.0,21.0,11.0,5.0,47.0,3.0,4.0,2.0,3.0,3.0,8.0,2.0,2.0,3.0,,,8.0,14.0,6.0,9.0,6.0,40.0,27.0,3.0,5.0,2.0,3.0,4.0,16.0,10.0,6.0,15.0,5.0,5.0,10.0,1.0,2.0,25.0,5.0,10.0,13.0,,,4.0,8.0,8.0,8.0,3.0,37.0,16.0,11.0,3.0,0.625,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6,0.7391304347826086,0.75,0.7407407407407407,0.7272727272727273,0.391304347826087,0.7142857142857143,0.7142857142857143,,85.45454545454545,15.346153846153847,18.714285714285715,14.307692307692308,17.714285714285715,0.17391304347826086,0.75,0.75,0.6666666666666666,0.34782608695652173,0.375,0.375,0.08695652173913043,0.13043478260869565,0.6666666666666666,0.6666666666666666,0.5,0.375,0.6666666666666666,,,0.5652173913043478,0.4373739130434782,0.417875,0.4,7.485714285714286,25.311111111111114,0.4230769230769231,13.0,3.0,1.0,1.0,6.0,3.0,1.0,2.0,3.0,2.0,6.0,3.0,3.0,0.5,0.5,0.5,0.6,0.375,1.0,0.2608695652173913,0.5,1.0,0.375,0.4243,0.075,,1.0,,0.041666666666666664,0.06666666666666667,2.0,4.0,,,2.0,,,4.0,,4.0,2.0,1.0,5.0,,1.0,1.0,2.0,,3.0,2.0,,,1.0,1.0,,,,0.3333333333333333,0.7142857142857143,0.5,,0.5,1.0,0.8333333333333334,,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,0.6666666666666666,0.6666666666666666,,,,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2017,2016-17,True
