EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsPutbacks,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffArc3ReboundPct,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceFtPoints,DefShortMidRangeReboundPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,LostBallSteals,BlockingFoulsDrawn,SecondChanceTurnovers,BlockingFouls,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Loose Ball Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,SelfORebPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,Travels,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,OffLongMidRangeReboundPct,DefCorner3ReboundPct,HeaveAttempts,Offensive Fouls Drawn,DefensiveGoaltends,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls,ShortMidRangeAssists,Technical Free Throw Trips,BlockedLongMidRange,ShortMidRangePctAssisted,SecondChanceCorner3FGA,Charge Fouls Drawn,3SecondViolations,SecondChanceCorner3Frequency,Charge Fouls,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,OffensiveGoaltends,Corner3PctBlocked,BlockedArc3,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
200779-202324-202330-202407-203546,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Elijah Millsap, Ian Clark","Novak, Favors, Hayward, Millsap, Clark",200779-202324-202330-202407-203546,UTA,125.0,1,2.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,0.5,0.625,0.5,0.5,0.5,0.5,80.64,18.75,16.666666666666668,18.75,15.666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,0.6062,0.5,0.6666666666666666,0.1,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-202692-203504,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Alec Burks, Trey Burke","Novak, Favors, Hayward, Burks, Burke",200779-202324-202330-202692-203504,UTA,308.0,4,5.0,-5.0,12.0,10.0,22.0,2.0,3.0,3.0,2.0,6.0,3.0,2.0,9.0,14.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,9.0,0.5,0.5,0.3333333333333333,0.3888888888888889,0.45,0.3333333333333333,0.5,0.6666666666666666,,102.85714285714285,13.583333333333334,14.5,13.583333333333334,14.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.5399833333333333,0.1,0.14285714285714285,7.933333333333334,25.2,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.25,1.0,1.0,0.5,1.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,0.3333333333333333,0.56375,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-202692-204060,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Alec Burks, Joe Ingles","Novak, Favors, Hayward, Burks, Ingles",200779-202324-202330-202692-204060,UTA,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203497-203504,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Rudy Gobert, Trey Burke","Novak, Favors, Hayward, Gobert, Burke",200779-202324-202330-203497-203504,UTA,2.0,1,,-2.0,1.0,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1440.0,2.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203504-203918,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Rodney Hood","Novak, Favors, Hayward, Burke, Hood",200779-202324-202330-203504-203918,UTA,186.0,3,3.0,-2.0,8.0,7.0,15.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,9.0,11.0,,3.0,,2.0,,6.0,,2.0,4.0,2.0,4.0,1.0,7.0,,,0.5,0.5714285714285714,0.5,0.7142857142857143,,0.5,,116.12903225806451,12.875,11.857142857142858,12.25,11.857142857142858,0.2857142857142857,0.5,0.5,,0.42857142857142855,1.0,0.4894357142857143,0.125,0.3333333333333333,2.6,24.36,8.0,7.0,1.0,2.0,,,1.0,3.0,2.0,1.0,2.0,5.0,9.0,2.0,6.0,1.0,2.0,1.0,1.0,,,2.0,1.0,2.0,4.0,,9.0,8.0,1.0,0.4,0.4,0.5,0.5714285714285714,0.5,1.0,1.0,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,0.42857142857142855,0.3333333333333333,0.4894357142857143,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.4,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.5,1.0,0.5,0.2857142857142857,0.5,0.3333333333333333,0.4706,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203504-203957,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Dante Exum","Novak, Favors, Hayward, Burke, Exum",200779-202324-202330-203504-203957,UTA,250.0,4,4.0,-7.0,10.0,7.0,17.0,2.0,4.0,2.0,2.0,5.0,5.0,,4.0,11.0,,2.0,,,,,3.0,3.0,5.0,,,,4.0,,,0.4,0.2,0.2,0.5,0.5,0.5,0.3333333333333333,97.91999999999999,12.7,17.571428571428573,11.8,16.0,0.4,0.5,1.0,,0.2,0.9,0.5339,,,2.54,23.72,5.0,6.0,,,1.0,,,,,,1.0,3.0,,4.0,,,,,,,,1.0,1.0,1.0,4.0,,,5.0,,,,,,,1.0,,0.6666666666666666,,0.1,,,,,,,,,0.4268375,,0.5,1.0,1.0,,2.0,,3.0,,3.0,,,,2.0,,,,,,,1.0,1.0,,2.0,,1.0,2.0,,,,,,,,0.3333333333333333,0.2,0.25,0.5,,0.3,,,,1.0,,,0.75,,,0.5692,,2.0,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202330-203504-204060,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Joe Ingles","Novak, Favors, Hayward, Burke, Ingles",200779-202324-202330-203504-204060,UTA,120.0,3,2.0,-6.0,6.0,5.0,11.0,1.0,1.0,3.0,1.0,2.0,3.0,,2.0,8.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,0.5,0.2,0.2,0.6,1.0,1.0,1.0,132.0,11.0,10.8,11.0,10.8,0.2,1.0,1.0,1.0,0.6,0.8,0.506825,,,6.25,28.96666666666667,2.0,1.0,,,1.0,,,2.0,,,,2.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,0.2,,,,,,,1.0,,0.3291,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202344-203504-203957,1610612762,"Steve Novak, Derrick Favors, Trevor Booker, Trey Burke, Dante Exum","Novak, Favors, Booker, Burke, Exum",200779-202324-202344-203504-203957,UTA,80.0,1,1.0,7.0,3.0,3.0,6.0,,,1.0,,,3.0,1.0,7.0,,,1.0,,2.0,,6.0,2.0,3.0,4.0,1.0,2.0,1.0,6.0,,,,1.0,0.875,1.0,1.0,1.0,,108.0,12.333333333333334,14.333333333333334,12.333333333333334,14.333333333333334,,,,,0.3333333333333333,1.0,0.6201,0.25,1.0,,23.96666666666667,,,,,,,1.0,,2.0,,,,,,6.0,1.0,2.0,1.0,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,0.5,1.0,,1.0,1.0,,1.0,0.6666666666666666,0.5,0.5,1.0,,,,,,,,0.14285714285714285,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202407-202683-203504,1610612762,"Steve Novak, Derrick Favors, Elijah Millsap, Enes Kanter, Trey Burke","Novak, Favors, Millsap, Kanter, Burke",200779-202324-202407-202683-203504,UTA,19.0,1,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,19.0,,19.0,,1.0,,,,,1.0,0.4431,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
200779-202324-202407-203497-203504,1610612762,"Steve Novak, Derrick Favors, Elijah Millsap, Rudy Gobert, Trey Burke","Novak, Favors, Millsap, Gobert, Burke",200779-202324-202407-203497-203504,UTA,41.0,1,1.0,2.0,2.0,1.0,3.0,,,1.0,,,1.0,2.0,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,0.5,1.0,1.0,1.0,1.0,105.36585365853658,11.5,18.0,11.5,18.0,,,,,1.0,1.0,0.2532,0.5,1.0,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,False
