EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,Fouls,SecondsPlayed,OffPoss,PenaltyOffPoss,PenaltyDefPoss,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyArc3FGA,PenaltyFG3A,DefAtRimReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceFtPoints,Fg2aBlocked,Loose Ball Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,Corner3Assists,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls,BlockedCorner3,Technical Free Throw Trips,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,3SecondViolations,HeaveAttempts,SecondChanceCorner3FGM,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1882-200794-201143-201952-2594,1610612737,"Elton Brand, Paul Millsap, Al Horford, Jeff Teague, Kyle Korver","Brand, Millsap, Horford, Teague, Korver",1882-200794-201143-201952-2594,ATL,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
1882-200794-201960-203145-203471,1610612737,"Elton Brand, Paul Millsap, DeMarre Carroll, Kent Bazemore, Dennis Schroder","Brand, Millsap, Carroll, Bazemore, Schroder",1882-200794-201960-203145-203471,ATL,1,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
1882-201960-203145-203471-203544,1610612737,"Elton Brand, DeMarre Carroll, Kent Bazemore, Dennis Schroder, Pero Antic","Brand, Carroll, Bazemore, Schroder, Antic",1882-201960-203145-203471-203544,ATL,1,-2.0,1.0,2.0,2.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,261.8181818181818,1.0,10.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
1882-202714-203098-203118-203488,1610612737,"Elton Brand, Shelvin Mack, John Jenkins, Mike Scott, Mike Muscala","Brand, Mack, Jenkins, Scott, Muscala",1882-202714-203098-203118-203488,ATL,1,2.0,7.0,15.0,5.0,1.0,218.0,8.0,,7.0,,,99.08256880733946,16.875,11.857142857142858,16.75,11.428571428571429,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,7.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.5,1.0,0.25,0.25,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,0.5714285714285714,0.8,1.0,0.8,0.25,1.0,0.6666666666666666,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7142857142857143,0.3333333333333333,0.4645,0.6943,0.2857142857142857,9.6,26.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-202714,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Shelvin Mack","Millsap, Horford, Teague, Carroll, Mack",200794-201143-201952-201960-202714,ATL,1,-2.0,2.0,4.0,2.0,,61.0,2.0,2.0,,2.0,,94.42622950819673,16.5,14.0,16.5,8.0,1.0,1.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,,,,,,,,,,,,,,1.0,,,,,1.0,,0.558825,,,,25.2,2.0,2.0,1.0,1.0,0.558825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-203145,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Kent Bazemore","Millsap, Horford, Teague, Carroll, Bazemore",200794-201143-201952-201960-203145,ATL,7,15.0,59.0,118.0,57.0,12.0,1846.0,59.0,8.0,14.0,8.0,,92.04767063921994,14.542372881355933,16.74576271186441,14.0,16.0,0.13559322033898305,31.0,5.0,14.0,16.0,3.0,3.0,8.0,4.0,11.0,2.0,5.0,16.0,23.0,35.0,5.0,18.0,72.0,4.0,4.0,11.0,30.0,16.0,3.0,2.0,16.0,5.0,15.0,19.0,2.0,42.0,2.0,12.0,24.0,6.0,30.0,6.0,5.0,,2.0,7.0,7.0,61.0,0.6521739130434783,0.6818181818181818,0.2777777777777778,0.2777777777777778,0.6571428571428571,1.0,0.5754716981132075,0.9166666666666666,0.6101694915254238,0.9166666666666666,0.33962264150943394,0.6,0.16666666666666666,0.6774193548387096,0.24,,0.6,0.7142857142857143,0.3018867924528302,0.875,0.875,0.1509433962264151,0.20754716981132076,0.36363636363636365,0.36363636363636365,0.5,0.03773584905660377,0.3018867924528302,0.3125,0.3125,0.5,1.0,0.6415094339622641,0.3125,0.533883962264151,0.597875,0.1527777777777778,8.17142857142857,25.177777777777777,1.0,1.0,0.3333333333333333,0.125,0.53556875,3.0,5.0,5.0,1.0,2.0,11.0,1.0,2.0,4.0,7.0,1.0,9.0,12.0,4.0,4.0,9.0,4.0,4.0,9.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,13.0,1.0,7.0,2.0,2.0,2.0,9.0,0.8,0.5,0.5714285714285714,0.5,0.5,0.7142857142857143,1.0,0.8181818181818182,0.3076923076923077,0.5,0.14285714285714285,0.36363636363636365,0.7777777777777778,1.0,0.6428571428571429,0.625,0.625,0.8,0.8,0.6666666666666666,0.3333333333333333,0.5,1.0,0.625,0.6,0.11864406779661017,0.17073170731707318,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-203471,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Dennis Schroder","Millsap, Horford, Teague, Carroll, Schroder",200794-201143-201952-201960-203471,ATL,6,-1.0,24.0,51.0,28.0,5.0,824.0,27.0,3.0,,3.0,,89.12621359223301,15.777777777777779,16.583333333333332,14.592592592592593,16.333333333333332,0.1111111111111111,14.0,3.0,8.0,9.0,1.0,1.0,4.0,1.0,4.0,,,7.0,10.0,17.0,,7.0,27.0,1.0,1.0,6.0,10.0,10.0,,,7.0,,5.0,5.0,,10.0,2.0,6.0,9.0,3.0,12.0,3.0,1.0,,1.0,1.0,4.0,21.0,0.5,0.5,,,0.5882352941176471,1.0,0.4166666666666667,1.0,0.48214285714285715,1.0,0.2916666666666667,0.8571428571428571,0.2857142857142857,0.8888888888888888,0.21428571428571427,,0.6666666666666666,1.0,0.375,0.8888888888888888,1.0,0.16666666666666666,0.16666666666666666,0.25,0.25,,,0.2916666666666667,,,1.0,1.0,0.6666666666666666,,0.5574708333333334,0.639,0.2222222222222222,6.788235294117648,24.985714285714288,1.0,1.0,1.0,0.3333333333333333,0.4126666666666667,,,1.0,,,7.0,,,,2.0,,,,,,4.0,1.0,1.0,2.0,1.0,2.0,,,,,,,9.0,,1.0,9.0,1.0,5.0,,,,,,,,,,,1.0,1.0,0.14285714285714285,1.0,0.3333333333333333,0.14285714285714285,1.0,1.0,0.5,0.25,0.25,1.0,,1.0,,,,,,0.17857142857142858,0.23809523809523808,,4.0,1.0,1.0,0.058823529411764705,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-201960-2594,1610612737,"Paul Millsap, Al Horford, Jeff Teague, DeMarre Carroll, Kyle Korver","Millsap, Horford, Teague, Carroll, Korver",200794-201143-201952-201960-2594,ATL,14,82.0,467.0,942.0,463.0,77.0,14626.0,475.0,83.0,44.0,80.0,7.0,92.74442773143716,14.974736842105264,16.08779443254818,14.227368421052631,15.32762312633833,0.17473684210526316,244.0,55.0,105.0,164.0,21.0,35.0,74.0,32.0,77.0,32.0,39.0,103.0,163.0,315.0,51.0,135.0,545.0,26.0,45.0,68.0,204.0,122.0,21.0,26.0,103.0,39.0,102.0,146.0,26.0,336.0,45.0,119.0,182.0,66.0,248.0,47.0,22.0,7.0,24.0,58.0,40.0,477.0,0.6257668711656442,0.68,0.37777777777777777,0.37777777777777777,0.5174603174603175,0.5777777777777777,0.5322222222222223,0.5583333333333333,0.5595482546201233,0.5666666666666667,0.3,0.7125748502994012,0.30405405405405406,0.7381974248927039,0.28820960698689957,0.30434782608695654,0.6862745098039216,0.765625,0.36444444444444446,0.6402439024390244,0.6645569620253164,0.16444444444444445,0.1711111111111111,0.4155844155844156,0.42105263157894735,0.8125,0.07111111111111111,0.2288888888888889,0.3786407766990291,0.39,0.5833333333333334,0.6,0.6644444444444444,0.3786407766990291,0.5182267777777778,0.52906,0.12477064220183487,7.078095238095238,25.04222222222222,18.0,22.0,0.6730769230769231,0.26865671641791045,0.49713283582089546,14.0,23.0,26.0,5.0,13.0,66.0,5.0,15.0,22.0,45.0,25.0,87.0,132.0,44.0,32.0,69.0,7.0,21.0,53.0,10.0,25.0,34.0,22.0,12.0,,7.0,6.0,94.0,2.0,,86.0,11.0,37.0,29.0,9.0,30.0,81.0,0.8627450980392157,0.3333333333333333,0.4888888888888889,0.4626865671641791,0.5506329113924051,0.5862068965517241,0.9090909090909091,0.803030303030303,0.25925925925925924,0.42105263157894735,0.15555555555555556,0.2786885245901639,0.7954545454545454,0.8181818181818182,0.6571428571428571,0.35135135135135137,0.3939393939393939,0.2692307692307692,0.8205128205128205,0.42857142857142855,0.21666666666666667,0.38461538461538464,0.8,0.34328358208955223,0.6086956521739131,0.07966457023060797,0.10850439882697947,0.1596330275229358,1.0,15.0,7.0,0.047619047619047616,0.036585365853658534,12.0,2.0,1.0,4.0,5.0,6.0,3.0,12.0,9.0,3.0,3.0,3.0,6.0,12.0,3.0,1.0,10.0,1.0,1.0,17.0,3.0,18.0,1.0,6.0,0.2727272727272727,0.022222222222222223,0.10810810810810811,0.012987012987012988,0.02912621359223301,0.2,0.04265402843601896,0.6,0.375,0.375,1.0,0.03333333333333333,0.05970149253731343,0.25,0.2777777777777778,0.007352941176470588,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-202714-203145,1610612737,"Paul Millsap, Al Horford, Jeff Teague, Shelvin Mack, Kent Bazemore","Millsap, Horford, Teague, Mack, Bazemore",200794-201143-201952-202714-203145,ATL,2,-6.0,13.0,25.0,16.0,2.0,380.0,12.0,,2.0,,1.0,94.73684210526316,13.416666666666666,16.846153846153847,12.916666666666666,16.692307692307693,,6.0,1.0,1.0,1.0,,,5.0,1.0,3.0,1.0,1.0,2.0,3.0,9.0,1.0,3.0,10.0,,,,2.0,4.0,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,5.0,1.0,6.0,1.0,1.0,,,1.0,1.0,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.375,,0.4166666666666667,,0.25,,,0.6666666666666666,0.125,,,,0.08333333333333333,1.0,1.0,0.4166666666666667,0.25,0.3333333333333333,0.5,1.0,0.08333333333333333,0.16666666666666666,0.5,0.5,,,0.3333333333333333,0.5,0.4726166666666667,,,10.133333333333333,25.7,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,4.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,0.8,0.5,,,1.0,0.8,,,0.2,0.25,,,,,,,,,0.08333333333333333,0.1111111111111111,,,2.0,,0.2222222222222222,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
200794-201143-201952-202714-2594,1610612737,"Paul Millsap, Al Horford, Jeff Teague, Shelvin Mack, Kyle Korver","Millsap, Horford, Teague, Mack, Korver",200794-201143-201952-202714-2594,ATL,1,,3.0,7.0,2.0,,101.0,4.0,,,,,99.8019801980198,14.0,15.0,14.0,15.0,,2.0,,,1.0,,,1.0,,,,,2.0,1.0,2.0,,2.0,2.0,,,,2.0,,,,2.0,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,,,0.5,,0.25,,0.25,,0.5,,,1.0,,,,,0.25,,,0.25,,,,,,0.5,,,,,0.75,,0.531275,,,4.9,25.6,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2015,2014-15,False
