EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,FG3APct,LiveBallTurnoverPct,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Blocked2s,BlockedAtRim,Blocks,FTDefRebounds,DeadBallTurnovers,Offensive Fouls,DefFTReboundPct,PenaltyAtRimFGA,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,Steals,BadPassSteals,StepOutOfBoundsTurnovers,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffThreePtRebounds,SelfOReb,LostBallSteals,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyAtRimFGM,PenaltyFG2M,PenaltyFtPoints,PenaltyFg2Pct,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,Corner3Assists,2pt And 1 Free Throw Trips,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BadPassOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SecondChanceFtPoints,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,OffAtRimReboundPct,PenaltyCorner3FGA,OffCorner3ReboundPct,PenaltyCorner3Frequency,PtsPutbacks,LongMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls Drawn,RecoveredBlocks,ShortMidRangePctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,LostBallTurnovers,BlockingFouls,Loose Ball Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,OffensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,SecondChanceTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,3SecondViolations,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3FGA,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Travels,HeaveAttempts,HeaveMakes,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1890-202389-202681-202684-202697,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Tristan Thompson, Iman Shumpert","Marion, Mozgov, Irving, Thompson, Shumpert",1890-202389-202681-202684-202697,CLE,77.0,1,1.0,2.0,2.0,3.0,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.5064935064935,13.5,16.666666666666668,12.0,16.666666666666668,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4530666666666667,0.5477,0.5,11.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202389-202681-202684-2544,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Tristan Thompson, LeBron James","Marion, Mozgov, Irving, Thompson, James",1890-202389-202681-202684-2544,CLE,105.0,1,2.0,-2.0,3.0,2.0,,5,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,,68.57142857142857,24.666666666666668,15.5,24.666666666666668,15.5,,,,,0.5,,,,,,,,0.5,0.455175,,,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,1.0,0.5,0.5,0.455175,25.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202389-202681-2034-2544,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Mike Miller, LeBron James","Marion, Mozgov, Irving, Miller, James",1890-202389-202681-2034-2544,CLE,25.0,1,,,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,,25.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202389-203521-2544-2747,1610612739,"Shawn Marion, Timofey Mozgov, Matthew Dellavedova, LeBron James, JR Smith","Marion, Mozgov, Dellavedova, James, Smith",1890-202389-203521-2544-2747,CLE,15.0,1,,,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,192.0,12.0,3.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202389-203521-2592-2747,1610612739,"Shawn Marion, Timofey Mozgov, Matthew Dellavedova, James Jones, JR Smith","Marion, Mozgov, Dellavedova, Jones, Smith",1890-202389-203521-2592-2747,CLE,299.0,2,5.0,,9.0,9.0,,18,1.0,3.0,,,1.0,,1.0,2.0,5.0,10.0,10.0,,,,2.0,1.0,2.0,,,5.0,,1.0,3.0,4.0,,4.0,2.0,3.0,10.0,0.5,0.5,0.4,,0.625,,0.625,,0.6,,1.0,0.6666666666666666,,,0.5,,86.68896321070234,15.0,18.22222222222222,15.0,17.555555555555557,0.375,0.3333333333333333,0.5,,0.125,0.125,,,,,,,0.75,0.51546875,,,5.0600000000000005,5.0,3.0,2.0,3.0,3.0,2.0,3.0,,,1.0,,,5.0,0.375,,0.375,0.4,0.52232,25.599999999999998,0.5555555555555556,4.0,,,,,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.3,0.3,0.2,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202389-203925-2592-2747,1610612739,"Shawn Marion, Timofey Mozgov, Joe Harris, James Jones, JR Smith","Marion, Mozgov, Harris, Jones, Smith",1890-202389-203925-2592-2747,CLE,130.0,1,2.0,4.0,4.0,5.0,,9,1.0,1.0,,,,,,1.0,1.0,4.0,,,,,2.0,1.0,1.0,1.0,,2.0,,2.0,2.0,4.0,,4.0,,,4.0,1.0,1.0,1.0,,0.5,,0.6666666666666666,,1.0,,0.6666666666666666,0.8,,,1.0,1.0,99.6923076923077,7.0,20.4,7.0,16.6,0.5,1.0,1.0,1.0,,,,,,,,,1.0,0.703175,,,0.1,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,0.5,1.0,0.5,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,2.0,2.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202684-202697-203521-2592,1610612739,"Shawn Marion, Tristan Thompson, Iman Shumpert, Matthew Dellavedova, James Jones","Marion, Thompson, Shumpert, Dellavedova, Jones",1890-202684-202697-203521-2592,CLE,51.0,1,1.0,-3.0,3.0,3.0,1.0,6,,1.0,,1.0,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,,169.41176470588235,10.0,7.0,7.666666666666667,7.0,0.5,,,,,,,,,1.0,,,1.0,0.53115,,,1.8,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,3.0,0.5,1.0,0.5,0.5,0.53115,25.9,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202684-2034-203521-2592,1610612739,"Shawn Marion, Tristan Thompson, Mike Miller, Matthew Dellavedova, James Jones","Marion, Thompson, Miller, Dellavedova, Jones",1890-202684-2034-203521-2592,CLE,66.0,1,1.0,2.0,2.0,2.0,,4,1.0,1.0,,,,,,1.0,1.0,4.0,2.0,,,,2.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,,4.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,,1.0,87.27272727272727,12.5,20.5,12.5,20.5,1.0,1.0,1.0,1.0,,,,,,,,,1.0,0.7076,,,0.9,2.0,,,,1.0,,,,,,,1.0,2.0,,,,,0.7076,,1.0,2.0,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,2.0,2.0,1.0,0.5,0.5,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202684-203521-2544-2592,1610612739,"Shawn Marion, Tristan Thompson, Matthew Dellavedova, LeBron James, James Jones","Marion, Thompson, Dellavedova, James, Jones",1890-202684-203521-2544-2592,CLE,176.0,2,3.0,,4.0,5.0,,9,,,,,1.0,,1.0,1.0,2.0,6.0,6.0,,,,2.0,1.0,2.0,,,5.0,,1.0,,1.0,,1.0,,,6.0,1.0,1.0,0.5,,0.8333333333333334,,1.0,,,,1.0,1.0,,,,,73.63636363636364,27.25,13.4,27.25,13.4,,,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.4506333333333334,,,14.2,,,,1.0,,,,1.0,1.0,1.0,,2.0,,0.3333333333333333,1.0,,,,24.0,,,,,,,,,,,1.0,,,1.0,,,,3.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-202684-203521-2592-2747,1610612739,"Shawn Marion, Tristan Thompson, Matthew Dellavedova, James Jones, JR Smith","Marion, Thompson, Dellavedova, Jones, Smith",1890-202684-203521-2592-2747,CLE,142.0,2,2.0,-5.0,4.0,4.0,1.0,8,1.0,2.0,1.0,1.0,,,1.0,1.0,3.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,0.5,0.5,,0.5,0.3333333333333333,,1.0,,81.12676056338029,16.25,19.25,14.25,19.25,0.5,0.5,0.5,1.0,,0.25,,,,1.0,1.0,1.0,0.75,0.58615,0.6861,1.0,6.766666666666667,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,0.25,,0.25,0.5,0.61555,26.9,0.5,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
