EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,OffTwoPtRebounds,OffRebounds,Loose Ball Fouls,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Corner3FGA,FtPoints,PenaltyFtPoints,DefThreePtRebounds,BadPassTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Blocked2s,BlockedAtRim,Blocks,AtRimPctBlocked,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,SelfOReb,BadPassSteals,Travels,SecondChanceTurnovers,BlockingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,RecoveredBlocks,BlocksRecoveredPct,PtsUnassisted3s,Fg3aBlocked,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,FTOffRebounds,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,BlockedCorner3,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
101110-101198-202338-2446-2743,1610612764,"Martell Webster, Will Bynum, Kevin Seraphin, Rasual Butler, Kris Humphries","Webster, Bynum, Seraphin, Butler, Humphries",101110-101198-202338-2446-2743,WAS,252.0,1,4.0,-1.0,10.0,9.0,9.0,19.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,6.0,7.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5,1.0,0.6,0.6,1.0,0.5,108.57142857142857,11.8,14.88888888888889,11.8,13.666666666666666,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.48822857142857146,7.859999999999999,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-101198-1718-201196-203078,1610612764,"Marcin Gortat, Will Bynum, Paul Pierce, Ramon Sessions, Bradley Beal","Gortat, Bynum, Pierce, Sessions, Beal",101162-101198-1718-201196-203078,WAS,14.0,1,,2.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,102.85714285714286,14.0,,14.0,,,,,,,,,1.0,1.0,1.0,,,,0.232,21.5,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.232,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-101198-1718-203078-203490,1610612764,"Marcin Gortat, Will Bynum, Paul Pierce, Bradley Beal, Otto Porter Jr.","Gortat, Bynum, Pierce, Beal, Porter Jr.",101162-101198-1718-203078-203490,WAS,85.0,2,1.0,2.0,4.0,3.0,,7.0,1.0,3.0,,1.0,,,1.0,1.0,4.0,1.0,2.0,,,2.0,1.0,,,,,,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,0.25,0.2,0.2,0.2,1.0,,1.0,1.0,,1.0,118.58823529411764,10.5,14.333333333333334,8.75,14.333333333333334,0.6,0.3333333333333333,0.3333333333333333,,0.2,,,,,,,0.2,0.8,0.52699,4.05,25.4,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5,0.5,0.494275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-101198-201196-203078-203490,1610612764,"Marcin Gortat, Will Bynum, Ramon Sessions, Bradley Beal, Otto Porter Jr.","Gortat, Bynum, Sessions, Beal, Porter Jr.",101162-101198-201196-203078-203490,WAS,8.0,1,,-3.0,,1.0,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-101198-202066-203490-2400,1610612764,"Marcin Gortat, Will Bynum, Garrett Temple, Otto Porter Jr., Drew Gooden","Gortat, Bynum, Temple, Porter Jr., Gooden",101162-101198-202066-203490-2400,WAS,104.0,1,2.0,,3.0,5.0,3.0,8.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,1.0,1.0,3.0,3.0,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,,1.0,110.76923076923076,14.666666666666666,12.0,14.666666666666666,12.0,,,,,,,,,,,,,1.0,0.52305,,23.8,2.0,,,2.0,2.0,2.0,,,1.0,,1.0,0.6666666666666666,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-1718-201196-202066-203490,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Garrett Temple, Otto Porter Jr.","Gortat, Pierce, Sessions, Temple, Porter Jr.",101162-1718-201196-202066-203490,WAS,194.0,1,3.0,4.0,7.0,7.0,,14.0,,,,2.0,1.0,2.0,2.0,1.0,4.0,2.0,8.0,4.0,2.0,,2.0,1.0,2.0,,1.0,5.0,2.0,,2.0,4.0,1.0,1.0,,,,,,,8.0,,1.0,1.0,0.25,0.4166666666666667,0.4444444444444444,0.3333333333333333,,,1.0,1.0,,1.0,103.91752577319588,13.0,14.714285714285714,11.285714285714286,14.714285714285714,,,,,0.3333333333333333,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.39093,12.625,33.1,4.0,,3.0,2.0,2.0,4.0,,,0.16666666666666666,0.3511666666666667,0.25,0.5714285714285714,2.0,,,1.0,,2.0,2.0,,0.6666666666666666,0.6666666666666666,,0.5,,,0.3622,,3.0,2.0,,,,5.0,6.0,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.25,0.5,1.0,0.5,0.5,1.0,0.25,0.5,0.3333333333333333,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-1718-201196-202322-203490,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, John Wall, Otto Porter Jr.","Gortat, Pierce, Sessions, Wall, Porter Jr.",101162-1718-201196-202322-203490,WAS,113.0,2,2.0,2.0,4.0,4.0,2.0,8.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,,2.0,1.0,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,4.0,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,,1.0,,0.5,,,101.94690265486726,14.25,14.0,14.25,14.0,0.3333333333333333,,,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.4254,9.4,24.4,1.0,,,2.0,,,,,1.0,,0.5,0.25,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-1718-201196-203078-203490,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Bradley Beal, Otto Porter Jr.","Gortat, Pierce, Sessions, Beal, Porter Jr.",101162-1718-201196-203078-203490,WAS,1614.0,4,27.0,3.0,53.0,52.0,41.0,105.0,9.0,18.0,5.0,10.0,2.0,8.0,10.0,16.0,36.0,13.0,66.0,63.0,14.0,18.0,10.0,7.0,16.0,4.0,1.0,41.0,6.0,2.0,14.0,21.0,5.0,,3.0,3.0,2.0,6.0,4.0,15.0,55.0,4.0,0.4375,0.5384615384615384,0.4444444444444444,0.6020408163265306,0.6111111111111112,0.2653061224489796,0.5,1.0,0.6666666666666666,0.5454545454545454,0.5,0.5,93.68029739776952,16.641509433962263,14.076923076923077,16.30188679245283,13.096153846153847,0.3673469387755102,0.5,0.6,0.4444444444444444,0.20408163265306123,0.5,0.5,0.16326530612244897,0.25,0.25,0.5,0.20408163265306123,0.6326530612244898,0.4934928571428571,6.761111111111111,25.553846153846152,19.0,5.0,10.0,18.0,18.0,19.0,0.5,0.5714285714285714,0.5625,0.4421535714285714,0.2727272727272727,0.3584905660377358,7.0,3.0,1.0,4.0,1.0,7.0,7.0,3.0,0.35,0.2916666666666667,0.5555555555555556,0.4,0.6,0.2,0.611,3.0,7.0,2.0,6.0,1.0,4.0,12.0,12.0,1.0,1.0,0.46153846153846156,,0.061224489795918366,7.0,2.0,9.0,4.0,27.0,7.0,3.0,9.0,7.0,2.0,6.0,1.0,0.6923076923076923,0.6923076923076923,0.08333333333333333,,,0.7,0.7,1.0,0.14285714285714285,0.7,0.11320754716981132,0.15,1.0,,1.0,0.16666666666666666,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,11.0,2.0,6.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.75,0.9,0.9166666666666666,0.8,0.5,0.047619047619047616,0.4,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.2857142857142857,0.25,0.14285714285714285,0.5,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-1718-201196-203078-2400,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Bradley Beal, Drew Gooden","Gortat, Pierce, Sessions, Beal, Gooden",101162-1718-201196-203078-2400,WAS,385.0,2,6.0,-3.0,12.0,12.0,,24.0,3.0,5.0,,2.0,,3.0,2.0,3.0,10.0,2.0,9.0,12.0,4.0,2.0,2.0,2.0,3.0,2.0,,7.0,1.0,,5.0,6.0,,,,1.0,,1.0,,4.0,9.0,,0.6666666666666666,0.6666666666666666,0.3,0.375,0.34615384615384615,0.16666666666666666,,,1.0,0.8333333333333334,1.0,,89.76623376623377,18.416666666666668,13.666666666666666,18.083333333333332,12.5,0.4166666666666667,0.6,0.6,0.6666666666666666,0.16666666666666666,,,0.25,,,,0.16666666666666666,0.5833333333333334,0.4674,8.35,27.2,7.0,1.0,5.0,5.0,5.0,7.0,0.2,0.35714285714285715,0.35714285714285715,0.446,0.5555555555555556,0.5833333333333334,1.0,1.0,,1.0,,1.0,1.0,3.0,0.14285714285714285,0.125,,0.5,1.0,,0.6063,,,,4.0,,1.0,2.0,2.0,,,0.8,,,1.0,2.0,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,0.5,0.5,1.0,0.2857142857142857,0.5,0.07692307692307693,0.09090909090909091,1.0,1.0,1.0,,,1.0,3.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,0.5,,,,,0.8,,,,,,,,,0.42857142857142855,0.3333333333333333,,,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
101162-1718-201196-203078-2403,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Bradley Beal, Nene","Gortat, Pierce, Sessions, Beal, Nene",101162-1718-201196-203078-2403,WAS,2170.0,3,36.0,-7.0,70.0,71.0,1.0,141.0,5.0,12.0,4.0,9.0,3.0,15.0,15.0,12.0,36.0,23.0,73.0,80.0,8.0,16.0,15.0,4.0,16.0,1.0,2.0,44.0,21.0,,29.0,37.0,5.0,2.0,7.0,8.0,5.0,15.0,4.0,11.0,61.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.5338983050847458,0.5538461538461539,0.3898305084745763,0.4666666666666667,,0.84,0.8055555555555556,0.9,1.0,93.56682027649771,17.042857142857144,13.76056338028169,16.285714285714285,13.32394366197183,0.2033898305084746,0.4166666666666667,0.5,0.2,0.15254237288135594,0.4444444444444444,0.4444444444444444,0.2542372881355932,0.2,0.21428571428571427,0.6666666666666666,0.2542372881355932,0.5932203389830508,0.5016898305084746,10.149999999999999,25.195652173913043,7.0,1.0,3.0,8.0,8.0,7.0,0.3333333333333333,0.5,0.5,0.52342,0.1095890410958904,0.1,7.0,2.0,3.0,4.0,3.0,5.0,8.0,,0.21739130434782608,0.24242424242424243,0.2857142857142857,,0.2857142857142857,0.42857142857142855,0.49584999999999996,8.0,10.0,3.0,8.0,2.0,2.0,16.0,13.0,2.0,2.0,0.7272727272727273,1.0,0.13559322033898305,10.0,1.0,13.0,2.0,36.0,10.0,3.0,12.0,9.0,,4.0,0.9230769230769231,0.5652173913043478,0.5652173913043478,0.08333333333333333,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.9,0.2,0.6666666666666666,0.06349206349206349,0.1,2.0,1.0,3.0,0.16666666666666666,2.0,1.0,2.0,3.0,,1.0,2.0,1.0,3.0,2.0,,12.0,1.0,4.0,3.0,1.0,,3.0,2.0,1.0,,1.0,,1.0,0.6666666666666666,0.5,0.75,0.8571428571428571,0.8571428571428571,0.7,0.7,,0.25,0.375,0.42857142857142855,1.0,1.0,0.6666666666666666,1.0,0.4,0.5,0.2,,1.0,0.1643835616438356,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,0.043478260869565216,0.06666666666666667,0.125,0.3,0.4,0.2,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,False
