EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PtsAssisted2s,PtsUnassisted3s,HeaveMakes,HeaveAttempts,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,Travels,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,SecondChanceFG2A,Technical Free Throw Trips,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,Steals,BadPassSteals,ShortMidRangeFGM,LongMidRangeFGM,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,NonHeaveArc3Accuracy,Charge Fouls Drawn,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,Loose Ball Fouls Drawn,PenaltyTurnovers,Offensive Fouls,ShortMidRangePctBlocked,Loose Ball Fouls,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFoulsDrawn,FTOffRebounds,OffFTReboundPct,BadPassOutOfBoundsTurnovers,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,OffAtRimReboundPct,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SelfOReb,SelfORebPct,BlockingFoulsDrawn,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,BlockingFouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,3pt And 1 Free Throw Trips,Charge Fouls,SecondChanceCorner3FGA,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,3SecondViolations,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1713-201144-201145-201188-201584,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Courtney Lee","Carter, Conley, Green, Gasol, Lee",1713-201144-201145-201188-201584,MEM,307.0,2,5.0,-4.0,10.0,12.0,4.0,7.0,1.0,22,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,7.0,12.0,16.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,2.0,2.0,10.0,3.0,2.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3125,0.5,0.5454545454545454,0.5,0.875,0.5,0.25,0.25,1.0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.3333333333333333,1.0,1.0,1.0,1.0,103.19218241042346,14.6,13.416666666666666,11.4,12.75,0.5,0.25,0.3333333333333333,0.25,0.5,0.5,1.0,0.25,1.0,0.5,1.0,0.5,1.0,0.5833875,0.664925,0.2222222222222222,0.4,0.16666666666666666,0.5833333333333334,2.025,24.125,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201188-201585,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Kosta Koufos","Carter, Conley, Green, Gasol, Koufos",1713-201144-201145-201188-201585,MEM,230.0,3,4.0,2.0,8.0,8.0,2.0,4.0,1.0,16,1.0,1.0,,,,,,2.0,1.0,1.0,4.0,1.0,2.0,2.0,7.0,5.0,1.0,,,,1.0,2.0,,3.0,,,,,,1.0,,2.0,,3.0,2.0,,5.0,1.0,6.0,1.0,,2.0,2.0,1.0,2.0,,1.0,,7.0,3.0,2.0,,,0.5,,0.25,,0.4166666666666667,0.5,0.5,,0.5,0.3333333333333333,,,,0.5,1.0,,0.7142857142857143,0.25,,,1.0,,100.17391304347825,11.25,17.5,8.75,16.375,0.16666666666666666,1.0,1.0,,,,,0.3333333333333333,1.0,,,,0.5,0.4875,0.4295,0.14285714285714285,0.2,,0.42857142857142855,13.175,43.85,0.25,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201188-201979,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Nick Calathes","Carter, Conley, Green, Gasol, Calathes",1713-201144-201145-201188-201979,MEM,219.0,1,4.0,4.0,6.0,5.0,,,1.0,11,2.0,3.0,,,1.0,1.0,,,,2.0,6.0,1.0,1.0,1.0,8.0,4.0,,,,,,,,,2.0,3.0,,,1.0,2.0,1.0,5.0,,,3.0,,3.0,1.0,4.0,,,,1.0,2.0,1.0,,,,8.0,,,,1.0,1.0,1.0,0.3333333333333333,,0.5,,0.5,,,0.14285714285714285,,,,0.75,,,0.6,0.25,,1.0,,,72.32876712328768,17.666666666666668,22.6,17.333333333333332,22.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.0,1.0,1.0,,,,,,0.5714285714285714,0.46822857142857144,,,,,,7.8,24.1,,2.0,1.0,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,,,0.25,,0.5,,0.5,0.2857142857142857,0.14285714285714285,,,,,0.535,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201188-203210,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, JaMychal Green","Carter, Conley, Green, Gasol, Green",1713-201144-201145-201188-203210,MEM,16.0,1,,1.0,1.0,1.0,1.0,1.0,,2,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,0.25,,0.25,1.0,,,,,,,,,,,,,180.0,7.0,9.0,7.0,9.0,,,,,,,,1.0,,,,,1.0,0.5646,0.5646,,,,1.0,,25.4,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201188-2216,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Zach Randolph","Carter, Conley, Green, Gasol, Randolph",1713-201144-201145-201188-2216,MEM,328.0,3,5.0,8.0,11.0,9.0,4.0,7.0,1.0,20,1.0,1.0,,,,,,3.0,,3.0,4.0,2.0,3.0,5.0,17.0,9.0,,,,1.0,1.0,1.0,4.0,9.0,,6.0,3.0,,2.0,5.0,,12.0,,,4.0,,4.0,,4.0,,,1.0,5.0,4.0,6.0,,3.0,,17.0,9.0,4.0,,1.0,0.6666666666666666,0.6666666666666666,0.75,1.0,0.8571428571428571,1.25,0.85,,1.125,0.42857142857142855,,,,0.8,,,0.6666666666666666,,,1.0,,,87.80487804878048,14.0,19.333333333333332,13.090909090909092,17.77777777777778,0.14285714285714285,1.0,1.0,,,,,0.42857142857142855,,,,,0.5714285714285714,0.4825785714285714,0.4589,0.3,0.42857142857142855,,0.5294117647058824,10.175,24.866666666666664,0.36363636363636365,2.0,1.0,2.0,1.0,1.0,1.0,6.0,,,,3.0,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,0.5,1.0,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,,,1.0,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201188-2754,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Tony Allen","Carter, Conley, Green, Gasol, Allen",1713-201144-201145-201188-2754,MEM,409.0,4,7.0,-3.0,13.0,12.0,,2.0,,25,1.0,2.0,,,,,,1.0,,5.0,9.0,,1.0,2.0,12.0,15.0,,,,,,,,,4.0,,1.0,,,3.0,,6.0,,,4.0,,4.0,,4.0,,,2.0,2.0,3.0,2.0,,1.0,,12.0,,,,,,,0.5555555555555556,,0.5,,0.5454545454545454,,,0.1,,,,1.0,,,0.6666666666666666,,,1.0,,,88.0195599022005,15.384615384615385,17.416666666666668,15.384615384615385,15.5,0.2,0.5,0.5,,,,,0.1,,,,,0.3,0.48240999999999995,,0.09090909090909091,0.1,,,10.644444444444444,24.0,,3.0,4.0,,,,,6.0,,,,3.0,,,2.0,2.0,,,,,,0.6,0.6,,1.0,,,1.0,,,0.3,0.4,,,,,,,,,,1.0,,,,2.0,2.0,,,1.0,2.0,,,,2.0,,,,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201188-2757,1610612763,"Vince Carter, Mike Conley, Jeff Green, Marc Gasol, Beno Udrih","Carter, Conley, Green, Gasol, Udrih",1713-201144-201145-201188-2757,MEM,31.0,1,1.0,,1.0,,,,,1,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,46.4516129032258,15.0,,15.0,,,,,,,,,1.0,,,,,1.0,0.6018,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201584-201585,1610612763,"Vince Carter, Mike Conley, Jeff Green, Courtney Lee, Kosta Koufos","Carter, Conley, Green, Lee, Koufos",1713-201144-201145-201584-201585,MEM,48.0,1,1.0,3.0,3.0,2.0,,,2.0,5,1.0,2.0,,,,,,,,1.0,3.0,,,1.0,3.0,,,1.0,3.0,,,,,,2.0,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.5,1.5,,,,,,0.5,,,0.5,0.5,,1.0,,,150.0,10.333333333333334,8.5,9.666666666666666,7.0,0.6666666666666666,0.5,0.5,,,,,,,,,,0.6666666666666666,0.5971,,0.3333333333333333,0.3333333333333333,1.0,,4.8,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,0.3333333333333333,,,,,,0.6361,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201584-2216,1610612763,"Vince Carter, Mike Conley, Jeff Green, Courtney Lee, Zach Randolph","Carter, Conley, Green, Lee, Randolph",1713-201144-201145-201584-2216,MEM,70.0,1,1.0,3.0,3.0,3.0,,3.0,,6,1.0,1.0,,,,,,1.0,,2.0,2.0,,1.0,,4.0,1.0,,,,,,,,,2.0,,1.0,,,1.0,,2.0,,,2.0,,2.0,,2.0,,,,1.0,1.0,,,,,4.0,,,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,,0.3333333333333333,,,,1.0,,,1.0,,,1.0,,,123.42857142857142,11.333333333333334,12.0,11.333333333333334,12.0,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,,,0.6666666666666666,0.58395,,,,,,10.65,25.8,,,1.0,,,,,2.0,,,,1.0,1.0,,,,,,,,,0.5,0.5,,,,,1.0,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
1713-201144-201145-201585-201979,1610612763,"Vince Carter, Mike Conley, Jeff Green, Kosta Koufos, Nick Calathes","Carter, Conley, Green, Koufos, Calathes",1713-201144-201145-201585-201979,MEM,272.0,1,5.0,-7.0,9.0,9.0,8.0,5.0,1.0,18,2.0,2.0,2.0,2.0,,,,2.0,,3.0,6.0,1.0,2.0,,9.0,16.0,,,,3.0,6.0,2.0,,9.0,4.0,,2.0,1.0,,1.0,,2.0,,,2.0,,2.0,1.0,3.0,1.0,,1.0,4.0,,,,,,9.0,9.0,8.0,,,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5625,,0.5625,0.25,0.16666666666666666,,,1.0,,,1.0,0.25,,,,,95.29411764705883,15.333333333333334,14.88888888888889,14.222222222222221,14.88888888888889,0.25,1.0,1.0,,,,,0.25,,0.25,1.0,,0.5,0.49409375,0.49409375,,,,1.0,9.933333333333334,27.45,0.8888888888888888,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,,,1.0,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,0.3333333333333333,,1.0,,,0.125,0.375,0.5,0.5,0.25,0.5,0.3726,,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,3.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2015,2014-15,True
