EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3A,FtPoints,SecondChanceFG3A,NonHeaveArc3FGA,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,Arc3FGM,SecondChanceArc3FGM,FG3M,SecondChanceFG3M,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefThreePtRebounds,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,PenaltyFg3Pct,DefAtRimReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyFtPoints,FTOffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,NonShootingFoulsDrawn,OffFTReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Fg3aBlocked,LongMidRangeAssists,Travels,SecondChanceTurnovers,BlockingFouls,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,FG3APctBlocked,Arc3PctBlocked,OffAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SelfOReb,Loose Ball Fouls,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,AtRimPctBlocked,SelfORebPct,BlocksRecoveredPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFtPoints,Corner3Assists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,OffensiveGoaltends,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,StepOutOfBoundsTurnovers,Charge Fouls,BlockingFoulsDrawn,3SecondViolations,Corner3PctBlocked,HeaveAttempts,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangePctBlocked,DefensiveGoaltends,team_id,year,season,team_vs
101108-200755-201150-201933-203085,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Blake Griffin, Austin Rivers","Paul, Redick, Hawes, Griffin, Rivers",101108-200755-201150-201933-203085,LAC,49.0,1,1.0,3.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,6.0,6.0,3.0,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176.3265306122449,12.333333333333334,4.0,12.333333333333334,4.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5641333333333333,0.5641333333333333,1.0,6.266666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201150-201933-2037,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Blake Griffin, Jamal Crawford","Paul, Redick, Hawes, Griffin, Crawford",101108-200755-201150-201933-2037,LAC,223.0,1,4.0,-4.0,9.0,7.0,,5.0,16.0,1.0,1.0,,,,1.0,1.0,4.0,4.0,8.0,,,,2.0,,1.0,1.0,1.0,,2.0,,1.0,2.0,2.0,4.0,,,,1.0,1.0,0.25,,0.125,,0.2222222222222222,,,103.31838565022422,17.88888888888889,8.857142857142858,16.333333333333332,8.714285714285714,0.125,1.0,1.0,1.0,0.125,,,,,,0.625,0.478025,,,12.775,,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.25,0.5,0.14285714285714285,0.3333333333333333,1.0,0.25,0.125,0.375,1.0,0.50745,0.1111111111111111,0.2,24.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201150-201933-2440,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Blake Griffin, Matt Barnes","Paul, Redick, Hawes, Griffin, Barnes",101108-200755-201150-201933-2440,LAC,336.0,1,6.0,2.0,11.0,11.0,,5.0,22.0,4.0,4.0,,,1.0,2.0,5.0,7.0,16.0,14.0,,,,6.0,4.0,3.0,5.0,2.0,1.0,12.0,1.0,4.0,5.0,2.0,13.0,,,1.0,0.6,0.6,0.7142857142857143,,0.6666666666666666,,0.6666666666666666,,1.0,94.28571428571429,16.727272727272727,13.818181818181818,16.454545454545453,13.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.5,1.0,1.0,,,0.75,0.5168958333333333,,,6.014285714285714,,1.0,1.0,1.0,4.0,1.0,5.0,,1.0,4.0,,2.0,1.0,,,,1.0,2.0,,,,,0.4166666666666667,,0.6666666666666666,,0.6,0.2,,,0.08333333333333333,0.08333333333333333,0.3333333333333333,1.0,0.4941,,,24.419999999999998,2.0,1.0,2.0,1.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.4,1.5,1.5,0.14285714285714285,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201150-203085-2037,1610612746,"Chris Paul, JJ Redick, Spencer Hawes, Austin Rivers, Jamal Crawford","Paul, Redick, Hawes, Rivers, Crawford",101108-200755-201150-203085-2037,LAC,53.0,1,1.0,-2.0,3.0,3.0,3.0,3.0,6.0,,,,,,,,,3.0,5.0,,,3.0,,,,,,,,,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,0.5,0.5,0.5,0.5,,163.0188679245283,8.0,9.666666666666666,8.0,7.666666666666667,,,,,,,,,,,1.0,0.42829999999999996,0.42829999999999996,1.0,,1.0,,,,3.0,,3.0,,,3.0,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,26.866666666666664,1.0,,1.0,,,,1.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,1.0,3.0,1.0,3.0,3.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201175-201599-2037,1610612746,"Chris Paul, JJ Redick, Glen Davis, DeAndre Jordan, Jamal Crawford","Paul, Redick, Davis, Jordan, Crawford",101108-200755-201175-201599-2037,LAC,219.0,3,4.0,7.0,8.0,8.0,7.0,5.0,16.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,11.0,4.0,2.0,4.0,11.0,2.0,2.0,1.0,2.0,1.0,,5.0,,4.0,5.0,1.0,8.0,11.0,7.0,1.0,0.5,0.5,0.5,0.5,0.7142857142857143,0.7142857142857143,0.6111111111111112,0.6111111111111112,,105.2054794520548,13.625,13.75,13.0,13.75,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,,0.2857142857142857,0.5,0.7142857142857143,0.48142857142857143,0.48142857142857143,1.0,6.45,0.875,1.0,,,3.0,1.0,3.0,1.0,1.0,3.0,,2.0,1.0,,,1.0,,2.0,,,4.0,,0.42857142857142855,,1.0,,1.0,,,1.0,,,0.42857142857142855,1.0,0.4983,,,24.933333333333334,2.0,1.0,2.0,1.0,3.0,3.0,2.0,,1.0,1.0,,2.0,2.0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,1.5,1.5,,,,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.2727272727272727,2.0,3.0,2.0,3.0,3.0,0.6666666666666666,,0.42857142857142855,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201175-201599-2440,1610612746,"Chris Paul, JJ Redick, Glen Davis, DeAndre Jordan, Matt Barnes","Paul, Redick, Davis, Jordan, Barnes",101108-200755-201175-201599-2440,LAC,217.0,2,4.0,4.0,9.0,8.0,4.0,4.0,17.0,2.0,4.0,1.0,2.0,,,3.0,5.0,13.0,9.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,,,2.0,1.0,1.0,3.0,2.0,11.0,4.0,4.0,,0.3333333333333333,0.5,0.6,0.5,0.42857142857142855,0.25,0.65,0.4,1.0,112.8110599078341,13.11111111111111,12.375,12.88888888888889,11.25,0.5714285714285714,0.5,0.5,,,,,,0.5,0.5,0.8571428571428571,0.5789714285714286,0.539975,0.3076923076923077,4.58,0.4444444444444444,2.0,1.0,,2.0,,2.0,7.0,,2.0,,,2.0,,,1.0,2.0,4.0,,,7.0,,0.2857142857142857,,,,,0.5,,,0.14285714285714285,,0.2857142857142857,,0.5215,0.125,,25.6,,,,,2.0,,,,,,2.0,,2.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,0.15384615384615385,,2.0,,2.0,,,,0.5,,2.0,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201175-201933-203085,1610612746,"Chris Paul, JJ Redick, Glen Davis, Blake Griffin, Austin Rivers","Paul, Redick, Davis, Griffin, Rivers",101108-200755-201175-201933-203085,LAC,63.0,1,1.0,-1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,2.0,3.0,,,2.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,0.5,0.5,,68.57142857142857,20.0,23.0,20.0,23.0,,,,,,,,,,,1.0,0.4248,0.4248,1.0,,1.0,,,,1.0,,1.0,2.0,,1.0,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201175-201933-2037,1610612746,"Chris Paul, JJ Redick, Glen Davis, Blake Griffin, Jamal Crawford","Paul, Redick, Davis, Griffin, Crawford",101108-200755-201175-201933-2037,LAC,392.0,5,7.0,6.0,16.0,14.0,15.0,10.0,30.0,1.0,2.0,1.0,2.0,,3.0,4.0,10.0,16.0,10.0,4.0,10.0,16.0,2.0,6.0,1.0,2.0,,,5.0,1.0,8.0,9.0,3.0,16.0,16.0,15.0,,0.25,0.25,0.4,0.4,0.4583333333333333,0.5,0.5,0.5333333333333333,1.0,110.20408163265306,12.1875,14.071428571428571,12.0,12.714285714285714,0.16666666666666666,0.5,1.0,,0.25,,,,0.18181818181818182,0.5,0.3333333333333333,0.44895833333333335,0.43713636363636366,1.0,11.45,0.9375,1.0,5.0,,2.0,,2.0,5.0,,2.0,,4.0,1.0,,,,2.0,5.0,,,8.0,2.0,0.16666666666666666,,0.8,,0.7777777777777778,0.14285714285714285,,1.0,0.4166666666666667,,0.16666666666666666,,0.452,0.14285714285714285,0.16666666666666666,25.45,1.0,,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,0.5,,0.5,,,0.1,,0.16666666666666666,0.75,0.3333333333333333,,1.0,0.5,0.5,1.0,,,0.5,,1.0,1.0,1.0,1.0,,1.0,1.0,0.09090909090909091,1.0,5.0,,1.0,,,2.0,,,,,3.0,,1.0,,,1.0,,,,,2.0,,,,,0.6,0.6,0.3333333333333333,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201175-201933-2440,1610612746,"Chris Paul, JJ Redick, Glen Davis, Blake Griffin, Matt Barnes","Paul, Redick, Davis, Griffin, Barnes",101108-200755-201175-201933-2440,LAC,59.0,1,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,,2.0,,,,,,,,1.0,,2.0,4.0,2.0,,,,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,,73.22033898305085,18.0,23.0,18.0,23.0,0.5,1.0,1.0,,0.5,,,,0.5,1.0,0.5,0.4727,0.4727,1.0,3.65,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,0.6122,,,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,0.5,,,,,,,,,,2.0,,,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-201175-203085-2037,1610612746,"Chris Paul, JJ Redick, Glen Davis, Austin Rivers, Jamal Crawford","Paul, Redick, Davis, Rivers, Crawford",101108-200755-201175-203085-2037,LAC,3.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,480.0,3.0,,3.0,,,,,,,,,,,,1.0,0.27405,0.27405,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
