EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,FTOffRebounds,FTDefRebounds,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,RecoveredBlocks,DefensiveGoaltends,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls,BlockedShortMidRange,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,SelfORebPct,HeaveAttempts,LostBallOutOfBoundsTurnovers,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,StepOutOfBoundsTurnovers,3SecondViolations,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Clear Path Fouls,Corner3PctBlocked,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
101133-101139-201155-201228-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, C.J. Watson, Luis Scola","Mahinmi, Miles, Stuckey, Watson, Scola",101133-101139-201155-201228-2449,IND,1335.0,9,22.0,-9.0,50.0,49.0,20.0,25.0,3.0,99.0,11.0,15.0,3.0,3.0,5.0,5.0,1.0,4.0,5.0,11.0,1.0,2.0,1.0,2.0,4.0,11.0,3.0,4.0,17.0,30.0,5.0,13.0,4.0,53.0,62.0,3.0,3.0,6.0,6.0,9.0,4.0,6.0,3.0,27.0,18.0,16.0,15.0,4.0,11.0,4.0,1.0,9.0,5.0,14.0,4.0,1.0,6.0,1.0,2.0,33.0,1.0,2.0,5.0,7.0,12.0,3.0,15.0,4.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,7.0,3.0,5.0,9.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,47.0,27.0,20.0,1.0,2.0,0.5294117647058824,0.6,1.0,0.38461538461538464,0.6666666666666666,0.38461538461538464,0.5666666666666667,1.0,0.6666666666666666,0.5697674418604651,1.0,0.8,0.5760869565217391,1.0,0.7941176470588235,0.3023255813953488,0.03333333333333333,0.06666666666666667,0.7142857142857143,0.7777777777777778,0.15384615384615385,1.0,0.14285714285714285,0.8571428571428571,0.15,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,106.78651685393258,13.64,13.326530612244898,13.58,13.16326530612245,0.3488372093023256,0.7333333333333333,0.7857142857142857,0.5454545454545454,0.09302325581395349,0.25,0.25,1.0,0.2558139534883721,0.45454545454545453,0.45454545454545453,0.4,0.046511627906976744,0.5,0.5,1.0,0.2558139534883721,0.36363636363636365,0.36363636363636365,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.13333333333333333,0.5,0.26666666666666666,0.75,0.6511627906976745,0.36363636363636365,0.5251476744186047,0.6834,0.51886,0.022727272727272728,0.03225806451612903,0.11320754716981132,0.5094339622641509,8.5,25.33076923076923,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201228-2561,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, C.J. Watson, David West","Mahinmi, Miles, Stuckey, Watson, West",101133-101139-201155-201228-2561,IND,1935.0,14,32.0,6.0,65.0,69.0,33.0,46.0,5.0,134.0,8.0,13.0,,,3.0,6.0,5.0,9.0,11.0,22.0,,,,,4.0,8.0,2.0,3.0,24.0,44.0,4.0,8.0,16.0,76.0,70.0,1.0,3.0,7.0,12.0,21.0,2.0,3.0,13.0,43.0,18.0,30.0,9.0,,8.0,4.0,3.0,9.0,3.0,12.0,3.0,,3.0,1.0,5.0,27.0,1.0,5.0,7.0,13.0,22.0,7.0,29.0,6.0,3.0,3.0,9.0,2.0,4.0,2.0,5.0,11.0,7.0,6.0,10.0,,21.0,1.0,2.0,,24.0,7.0,6.0,1.0,1.0,1.0,69.0,43.0,33.0,4.0,2.0,0.375,0.375,0.75,0.5,0.6666666666666666,0.5,0.5454545454545454,0.3333333333333333,0.5714285714285714,0.5769230769230769,0.25,0.625,0.6129032258064516,0.5833333333333334,0.671875,0.15384615384615385,0.06818181818181818,0.15384615384615385,0.8181818181818182,0.5909090909090909,0.25,0.7777777777777778,0.25,0.6451612903225806,0.25,0.4,,0.25,0.5555555555555556,0.5,0.6666666666666666,0.875,,99.72093023255815,15.6,13.347826086956522,14.584615384615384,12.231884057971014,0.25,0.6153846153846154,0.7272727272727273,0.375,0.17307692307692307,0.5555555555555556,0.625,0.2,0.4230769230769231,0.5,0.5,0.45454545454545453,,,,,0.15384615384615385,0.5,0.5,0.75,,,,0.25,0.5,,,0.125,0.6666666666666666,0.40384615384615385,0.5,0.4869182692307692,0.4062125,0.47398125,0.14285714285714285,0.14583333333333334,0.09210526315789473,0.5657894736842105,11.631818181818183,25.875,0.5076923076923077,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.3333333333333333,0.2727272727272727,1.0,0.25,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201579-203524,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Roy Hibbert, Solomon Hill","Mahinmi, Miles, Stuckey, Hibbert, Hill",101133-101139-201155-201579-203524,IND,22.0,2,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Paul George","Mahinmi, Miles, Stuckey, Hill, George",101133-101139-201155-201588-202331,IND,7.0,1,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,,,,,,,1.0,1.0,,3.0,,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,,,205.71428571428572,7.0,,7.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.24435,,0.24435,,,,1.0,,28.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-202730,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Lavoy Allen","Mahinmi, Miles, Stuckey, Hill, Allen",101133-101139-201155-201588-202730,IND,156.0,1,3.0,2.0,5.0,3.0,,2.0,,8.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,3.0,1.0,1.0,,9.0,7.0,,,,,,,,,,4.0,2.0,3.0,,,,,2.0,1.0,3.0,,1.0,1.0,,1.0,7.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,9.0,,,1.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,1.0,,,1.125,,,1.125,,,0.25,,,1.0,,,,,,,,,,,,,,,73.84615384615384,15.0,27.0,15.0,22.666666666666668,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,0.5,,0.541425,,,,,,,10.333333333333334,22.8,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Luis Scola","Mahinmi, Miles, Stuckey, Hill, Scola",101133-101139-201155-201588-2449,IND,817.0,7,14.0,-13.0,24.0,25.0,2.0,5.0,1.0,49.0,3.0,4.0,,,,,1.0,3.0,1.0,6.0,1.0,3.0,,,1.0,3.0,,,5.0,13.0,2.0,6.0,2.0,18.0,31.0,,1.0,,,,,,,,6.0,4.0,6.0,,3.0,1.0,,3.0,2.0,5.0,1.0,1.0,2.0,,1.0,12.0,,2.0,5.0,3.0,9.0,2.0,11.0,1.0,1.0,,5.0,,4.0,,1.0,5.0,1.0,2.0,6.0,,10.0,1.0,2.0,,6.0,2.0,1.0,1.0,1.0,1.0,18.0,,2.0,,1.0,0.6,0.6,1.0,0.3333333333333333,,0.3333333333333333,0.38461538461538464,,,0.42105263157894735,,,0.40476190476190477,,,0.3157894736842105,,,1.0,0.5,0.25,0.625,,0.5714285714285714,0.18181818181818182,1.0,,,0.5,,0.5,0.6,0.6666666666666666,86.36474908200734,17.166666666666668,16.2,16.583333333333332,14.44,0.21052631578947367,0.75,0.75,0.6666666666666666,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.3157894736842105,0.16666666666666666,0.16666666666666666,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.5263157894736842,0.3333333333333333,0.50225,0.3336,,0.1,0.14285714285714285,,,10.223076923076924,24.5,0.08333333333333333,,,,,,1.0,,1.0,2.0,,1.0,,,,,,0.5,,0.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-201588-2561,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, David West","Mahinmi, Miles, Stuckey, Hill, West",101133-101139-201155-201588-2561,IND,1766.0,14,29.0,6.0,58.0,58.0,23.0,34.0,8.0,116.0,11.0,14.0,3.0,3.0,3.0,5.0,4.0,13.0,3.0,13.0,2.0,4.0,,1.0,4.0,9.0,3.0,5.0,18.0,40.0,6.0,13.0,11.0,65.0,59.0,3.0,4.0,12.0,3.0,10.0,3.0,6.0,8.0,23.0,22.0,14.0,18.0,4.0,9.0,4.0,1.0,11.0,6.0,17.0,4.0,2.0,6.0,2.0,3.0,40.0,1.0,5.0,6.0,17.0,23.0,7.0,30.0,3.0,2.0,1.0,4.0,,3.0,1.0,1.0,5.0,3.0,6.0,10.0,,15.0,,2.0,2.0,15.0,5.0,4.0,2.0,1.0,2.0,53.0,23.0,23.0,,4.0,0.6111111111111112,0.6875,1.0,0.46153846153846156,0.5,0.46153846153846156,0.45,0.75,0.3,0.5094339622641509,0.75,0.46875,0.5508474576271186,0.8571428571428571,0.5476190476190477,0.24528301886792453,0.025,,0.8,0.68,0.22727272727272727,0.5454545454545454,0.16666666666666666,0.6388888888888888,0.21428571428571427,0.3333333333333333,0.2222222222222222,,0.5,0.7142857142857143,0.8,0.6,,94.58663646659116,15.344827586206897,15.10344827586207,14.310344827586206,13.879310344827585,0.2641509433962264,0.7857142857142857,0.7857142857142857,0.5454545454545454,0.24528301886792453,0.3076923076923077,0.3333333333333333,0.5,0.24528301886792453,0.23076923076923078,0.23076923076923078,1.0,0.07547169811320754,0.5,0.5,1.0,0.16981132075471697,0.4444444444444444,0.4444444444444444,1.0,0.5,1.0,0.3333333333333333,0.3125,0.6,0.0625,,0.3125,0.6,0.5094339622641509,0.4444444444444444,0.4959490566037736,0.5273583333333333,0.507815625,0.09090909090909091,0.11904761904761904,0.18461538461538463,0.35384615384615387,9.51,25.200000000000003,0.39655172413793105,1.0,2.0,3.0,,1.0,,1.0,,1.0,1.0,3.0,,,,,0.07692307692307693,,0.25,0.2,,0.16666666666666666,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-202388-202730,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Lavoy Allen","Mahinmi, Miles, Stuckey, Sloan, Allen",101133-101139-201155-202388-202730,IND,72.0,1,1.0,-5.0,1.0,2.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,60.0,33.0,19.5,33.0,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3625,,,,,,,7.6,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-202388-203142,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Chris Copeland","Mahinmi, Miles, Stuckey, Sloan, Copeland",101133-101139-201155-202388-203142,IND,94.0,1,2.0,7.0,3.0,4.0,2.0,2.0,2.0,7.0,,1.0,,,,1.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,3.0,3.0,,9.0,2.0,,,6.0,,1.0,2.0,2.0,,6.0,,,9.0,,1.0,1.0,1.0,,3.0,3.0,1.0,2.0,,,,9.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,6.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.125,1.5,1.0,1.125,1.5,1.0,0.75,1.0,1.0,,,1.0,1.0,,0.5,1.0,1.0,,,,,,1.0,,107.23404255319149,16.333333333333332,11.25,9.666666666666666,11.25,0.25,,,,,,,,,,,,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,0.3333333333333333,,0.6666666666666666,1.0,,,1.0,1.0,0.6141125,0.55635,0.6171166666666666,,,0.6666666666666666,0.6666666666666666,1.1,23.233333333333334,0.6666666666666666,1.0,2.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,0.5,,,1.0,1.0,2.0,,,1.0,,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-101139-201155-202388-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Luis Scola","Mahinmi, Miles, Stuckey, Sloan, Scola",101133-101139-201155-202388-2449,IND,1324.0,8,22.0,9.0,46.0,42.0,3.0,8.0,6.0,88.0,7.0,12.0,1.0,2.0,,,,7.0,4.0,10.0,2.0,3.0,,,4.0,10.0,,,11.0,29.0,6.0,13.0,10.0,50.0,41.0,1.0,3.0,6.0,,1.0,,,,,14.0,8.0,18.0,2.0,10.0,4.0,1.0,7.0,6.0,13.0,4.0,2.0,4.0,,3.0,32.0,3.0,4.0,4.0,12.0,17.0,7.0,24.0,7.0,6.0,1.0,4.0,2.0,1.0,3.0,3.0,7.0,2.0,6.0,13.0,,10.0,2.0,,,11.0,3.0,,2.0,2.0,2.0,44.0,,3.0,,,0.6363636363636364,0.7,1.0,0.46153846153846156,,0.46153846153846156,0.3793103448275862,0.3333333333333333,,0.47619047619047616,0.5,,0.5434782608695652,0.6,,0.30952380952380953,0.034482758620689655,0.08333333333333333,0.5714285714285714,0.75,0.2222222222222222,0.6666666666666666,0.42857142857142855,0.7272727272727273,0.28,0.4,0.14285714285714285,0.5,0.8,0.5,1.0,1.0,0.3333333333333333,95.70996978851964,15.0,15.095238095238095,13.934782608695652,14.0,0.2857142857142857,0.5833333333333334,0.6363636363636364,0.5714285714285714,0.16666666666666666,,,,0.23809523809523808,0.4,0.4,0.75,0.07142857142857142,0.6666666666666666,0.6666666666666666,1.0,0.23809523809523808,0.4,0.4,1.0,0.4,0.5,,,,,,,,0.5952380952380952,0.4,0.5333785714285715,0.62615,0.4252,0.13043478260869565,0.09375,0.12,,8.606896551724137,25.46923076923077,0.06521739130434782,2.0,2.0,1.0,,,1.0,2.0,,3.0,,,2.0,3.0,2.0,,,1.0,,0.16666666666666666,1.0,0.4,0.21428571428571427,,,1.0,1.0,1.0,,0.5,,,0.5,1.0,,,,1.0,0.041666666666666664,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
