EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsUnassisted3s,ShortMidRangeAssists,OffThreePtRebounds,Travels,Charge Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,Offensive Fouls Drawn,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,HeaveAttempts,DefensiveGoaltends,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedCorner3,Arc3PctBlocked,team_id,year,season,team_vs
101133-101139-201155-201228-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, C.J. Watson, Luis Scola","Mahinmi, Miles, Stuckey, Watson, Scola",101133-101139-201155-201228-2449,IND,1335.0,9,22.0,9.0,49.0,50.0,25.0,20.0,2.0,99.0,10.0,13.0,1.0,1.0,6.0,7.0,6.0,8.0,3.0,7.0,1.0,3.0,1.0,3.0,4.0,7.0,2.0,2.0,19.0,28.0,5.0,10.0,9.0,62.0,53.0,1.0,1.0,2.0,10.0,14.0,3.0,5.0,4.0,33.0,12.0,26.0,15.0,2.0,7.0,4.0,1.0,6.0,5.0,11.0,4.0,1.0,4.0,2.0,27.0,2.0,6.0,11.0,1.0,18.0,2.0,20.0,1.0,5.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,7.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,9.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,60.0,33.0,25.0,2.0,1.0,0.3157894736842105,0.3333333333333333,1.0,0.5,0.6,0.5,0.6785714285714286,1.0,0.7142857142857143,0.6973684210526315,1.0,0.7631578947368421,0.7045454545454546,1.0,0.7857142857142857,0.2631578947368421,0.03571428571428571,0.07692307692307693,0.5714285714285714,1.0,0.8461538461538461,0.2222222222222222,0.8571428571428571,0.85,0.14285714285714285,0.6666666666666666,0.75,0.6666666666666666,1.0,0.8333333333333334,1.0,0.07692307692307693,106.78651685393258,13.326530612244898,13.64,13.16326530612245,13.58,0.34210526315789475,0.7692307692307693,0.8333333333333334,0.4,0.21052631578947367,0.75,0.75,0.18421052631578946,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.07894736842105263,0.3333333333333333,0.3333333333333333,1.0,0.18421052631578946,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,0.3684210526315789,0.8571428571428571,0.15789473684210525,0.3333333333333333,0.10526315789473684,1.0,0.6052631578947368,0.5714285714285714,0.5161618421052632,0.5929,0.5485842105263158,0.11627906976744186,0.15151515151515152,0.03225806451612903,0.532258064516129,8.135714285714286,25.15,0.5102040816326531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-201228-2561,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, C.J. Watson, David West","Mahinmi, Miles, Stuckey, Watson, West",101133-101139-201155-201228-2561,IND,1935.0,14,32.0,-6.0,69.0,65.0,46.0,33.0,9.0,134.0,11.0,21.0,3.0,6.0,9.0,15.0,2.0,6.0,7.0,17.0,3.0,4.0,1.0,1.0,2.0,11.0,,7.0,20.0,44.0,5.0,15.0,15.0,70.0,76.0,5.0,9.0,12.0,14.0,28.0,1.0,8.0,12.0,43.0,22.0,18.0,12.0,4.0,11.0,2.0,1.0,11.0,4.0,15.0,1.0,3.0,7.0,3.0,34.0,9.0,3.0,15.0,2.0,20.0,11.0,31.0,1.0,9.0,4.0,5.0,6.0,,3.0,8.0,,3.0,14.0,1.0,9.0,8.0,,21.0,1.0,2.0,10.0,,18.0,6.0,4.0,3.0,2.0,3.0,58.0,43.0,46.0,2.0,4.0,0.55,0.6111111111111112,0.8,0.3333333333333333,0.125,0.3333333333333333,0.45454545454545453,0.5555555555555556,0.5,0.4661016949152542,0.5555555555555556,0.4305555555555556,0.5223880597014925,0.6,0.5119047619047619,0.2542372881355932,0.022727272727272728,0.047619047619047616,0.42857142857142855,0.6666666666666666,0.75,0.4090909090909091,0.75,0.75,0.3548387096774194,0.4444444444444444,0.6,1.0,0.7272727272727273,0.75,,0.03333333333333333,99.72093023255815,13.347826086956522,15.6,12.231884057971014,14.584615384615384,0.3559322033898305,0.5238095238095238,0.55,0.6363636363636364,0.1016949152542373,0.3333333333333333,0.3333333333333333,0.288135593220339,0.4117647058823529,0.4117647058823529,0.42857142857142855,0.06779661016949153,0.75,0.75,1.0,0.1864406779661017,0.18181818181818182,0.18181818181818182,0.5,0.6666666666666666,0.5,0.4166666666666667,0.6,0.027777777777777776,1.0,0.19444444444444445,,0.6101694915254238,0.18181818181818182,0.5236771186440679,0.47874285714285714,0.5306736111111111,0.09523809523809523,0.125,0.17142857142857143,0.6142857142857143,8.929545454545455,25.273333333333333,0.6666666666666666,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.2222222222222222,0.5,0.3333333333333333,0.125,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-201579-203524,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Roy Hibbert, Solomon Hill","Mahinmi, Miles, Stuckey, Hibbert, Hill",101133-101139-201155-201579-203524,IND,22.0,2,,,2.0,,2.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,130.9090909090909,11.0,,11.0,,0.5,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,0.5,,1.0,,0.403625,,0.403625,,,,,1.7,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Paul George","Mahinmi, Miles, Stuckey, Hill, George",101133-101139-201155-201588-202331,IND,7.0,1,,-3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-201588-202730,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Lavoy Allen","Mahinmi, Miles, Stuckey, Hill, Allen",101133-101139-201155-201588-202730,IND,156.0,1,3.0,-2.0,3.0,5.0,2.0,,,8.0,1.0,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,2.0,4.0,1.0,1.0,,7.0,9.0,,,,1.0,2.0,1.0,1.0,,5.0,4.0,,3.0,,,,,2.0,1.0,3.0,,1.0,1.0,,7.0,2.0,,,,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,2.0,,1.0,,,,7.0,5.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.5,0.7,,0.8333333333333334,0.5833333333333334,,0.625,0.2,,,,,,1.0,,,1.0,,,,,,,,73.84615384615384,27.0,15.0,22.666666666666668,15.0,0.2,1.0,1.0,1.0,0.4,0.5,0.5,0.2,,,,0.2,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,1.0,,,0.4,,0.54405,,0.4836833333333333,,,,0.7142857142857143,11.725,22.9,0.6666666666666666,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-201588-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Luis Scola","Mahinmi, Miles, Stuckey, Hill, Scola",101133-101139-201155-201588-2449,IND,817.0,7,14.0,13.0,25.0,24.0,5.0,2.0,4.0,49.0,5.0,7.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,8.0,2.0,5.0,,,,5.0,,1.0,12.0,18.0,2.0,10.0,1.0,31.0,18.0,2.0,4.0,4.0,4.0,4.0,,1.0,,8.0,14.0,10.0,6.0,2.0,5.0,,1.0,7.0,2.0,9.0,,2.0,3.0,2.0,20.0,3.0,3.0,6.0,2.0,11.0,7.0,18.0,,5.0,4.0,1.0,1.0,,1.0,2.0,,,3.0,,,2.0,,10.0,1.0,2.0,6.0,,3.0,2.0,,,,,27.0,8.0,5.0,1.0,,0.5833333333333334,0.6363636363636364,1.0,0.2,,0.2,0.6666666666666666,0.5,1.0,0.5357142857142857,0.4,0.8,0.5344827586206896,0.4,0.8,0.35714285714285715,0.05555555555555555,0.14285714285714285,0.3333333333333333,1.0,0.75,0.5,1.0,0.8181818181818182,0.42857142857142855,0.5,,1.0,0.8,1.0,1.0,,86.36474908200734,16.2,17.166666666666668,14.44,16.583333333333332,0.25,0.7142857142857143,0.8333333333333334,0.6,0.10714285714285714,1.0,1.0,0.2857142857142857,0.5,0.5,0.5,0.17857142857142858,0.4,0.4,1.0,0.17857142857142858,,,,0.6,0.6666666666666666,0.2,1.0,,,0.2,,0.6071428571428571,,0.5078285714285714,0.5128333333333334,0.52889,0.06896551724137931,0.10526315789473684,0.12903225806451613,0.25806451612903225,9.75,24.89,0.2,,,2.0,3.0,,,2.0,1.0,1.0,,,,0.375,,0.5,0.4,0.3333333333333333,,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-201588-2561,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, David West","Mahinmi, Miles, Stuckey, Hill, West",101133-101139-201155-201588-2561,IND,1766.0,14,29.0,-6.0,58.0,58.0,34.0,23.0,9.0,116.0,10.0,18.0,3.0,6.0,5.0,12.0,5.0,12.0,1.0,11.0,1.0,2.0,1.0,2.0,5.0,16.0,3.0,10.0,16.0,41.0,6.0,18.0,9.0,59.0,65.0,3.0,8.0,9.0,8.0,24.0,4.0,12.0,3.0,31.0,16.0,16.0,15.0,4.0,16.0,5.0,2.0,8.0,5.0,13.0,4.0,1.0,5.0,1.0,31.0,8.0,5.0,17.0,3.0,25.0,13.0,38.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,7.0,,1.0,10.0,1.0,8.0,5.0,2.0,15.0,,2.0,10.0,,11.0,6.0,1.0,1.0,,1.0,50.0,31.0,34.0,4.0,,0.5,0.5714285714285714,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3902439024390244,0.375,0.3333333333333333,0.423728813559322,0.2727272727272727,0.3888888888888889,0.46825396825396826,0.375,0.4189189189189189,0.3050847457627119,0.04878048780487805,0.05555555555555555,0.3,0.75,0.7727272727272727,0.32,0.8333333333333334,0.7857142857142857,0.3611111111111111,0.5,0.6666666666666666,0.7777777777777778,0.8,1.0,0.5,0.058823529411764705,94.58663646659116,15.10344827586207,15.344827586206897,13.879310344827585,14.310344827586206,0.3050847457627119,0.5555555555555556,0.5882352941176471,0.5,0.2033898305084746,0.4166666666666667,0.45454545454545453,0.1864406779661017,0.09090909090909091,0.09090909090909091,1.0,0.03389830508474576,0.5,0.5,1.0,0.2711864406779661,0.3125,0.3125,0.8,0.5454545454545454,0.5,0.3333333333333333,0.4166666666666667,0.05555555555555555,0.5,0.2777777777777778,0.3,0.6101694915254238,0.3125,0.5193974576271186,0.5697333333333333,0.5228027777777778,0.0967741935483871,0.13636363636363635,0.15254237288135594,0.5254237288135594,7.709756097560976,25.894444444444446,0.5862068965517241,3.0,3.0,2.0,5.0,1.0,1.0,1.0,,3.0,1.0,1.0,,0.45454545454545453,0.2857142857142857,0.2,0.4,1.0,1.0,0.4,3.0,3.0,,,0.3333333333333333,0.2727272727272727,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-202388-202730,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Lavoy Allen","Mahinmi, Miles, Stuckey, Sloan, Allen",101133-101139-201155-202388-202730,IND,72.0,1,1.0,5.0,2.0,1.0,,,1.0,3.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,5.0,,,,3.0,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,1.0,,1.0,0.5,,,0.8333333333333334,1.5,,0.8333333333333334,1.5,,0.3333333333333333,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,60.0,19.5,33.0,15.0,33.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,0.6666666666666666,1.0,0.5284666666666666,0.5202,,,,0.6,,6.9,25.8,,,3.0,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-202388-203142,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Chris Copeland","Mahinmi, Miles, Stuckey, Sloan, Copeland",101133-101139-201155-202388-203142,IND,94.0,1,2.0,-7.0,4.0,3.0,2.0,2.0,1.0,7.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,1.0,2.0,2.0,9.0,,,2.0,,1.0,,1.0,2.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,0.5,,,,,,1.0,,,0.5,,,,,,,,107.23404255319149,11.25,16.333333333333332,11.25,9.666666666666666,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,0.5,,0.5,,0.468125,,0.468125,,,1.0,1.0,8.2,25.0,0.5,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
101133-101139-201155-202388-2449,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Donald Sloan, Luis Scola","Mahinmi, Miles, Stuckey, Sloan, Scola",101133-101139-201155-202388-2449,IND,1324.0,8,22.0,-9.0,42.0,46.0,8.0,3.0,6.0,88.0,3.0,8.0,,2.0,1.0,1.0,2.0,8.0,3.0,8.0,1.0,4.0,,1.0,4.0,8.0,,2.0,8.0,24.0,5.0,12.0,10.0,41.0,50.0,,2.0,,2.0,3.0,,3.0,1.0,5.0,12.0,4.0,15.0,,7.0,4.0,2.0,6.0,5.0,11.0,4.0,1.0,2.0,2.0,27.0,4.0,4.0,14.0,,18.0,6.0,24.0,,4.0,1.0,3.0,7.0,,6.0,1.0,1.0,1.0,8.0,2.0,3.0,6.0,,10.0,2.0,,13.0,,13.0,6.0,1.0,1.0,1.0,1.0,41.0,5.0,8.0,,,0.75,0.75,1.0,0.4166666666666667,,0.45454545454545453,0.3333333333333333,,0.6666666666666666,0.4305555555555556,,0.3333333333333333,0.47674418604651164,,0.35714285714285715,0.3333333333333333,0.08333333333333333,0.25,0.875,,0.7777777777777778,0.25,0.5714285714285714,0.72,0.2727272727272727,0.2,0.6,0.8571428571428571,0.8333333333333334,0.5,1.0,,95.70996978851964,15.095238095238095,15.0,14.0,13.934782608695652,0.2222222222222222,0.375,0.5,0.6666666666666666,0.2222222222222222,0.25,0.25,0.2222222222222222,0.375,0.375,0.6666666666666666,0.1111111111111111,0.25,0.25,1.0,0.2222222222222222,0.5,0.5,1.0,0.5,,0.16666666666666666,1.0,0.16666666666666666,,0.3333333333333333,,0.5555555555555556,0.5714285714285714,0.49841285714285716,0.46493333333333337,0.5446666666666666,0.14285714285714285,0.2,,0.12195121951219512,9.516666666666667,27.59166666666667,0.19047619047619047,,,2.0,2.0,,,3.0,,,,,,0.3333333333333333,0.5,,,0.6666666666666666,,1.0,2.0,2.0,,,,0.5,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,True
