EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,OpponentPoints,SecondChanceFG2A,OffThreePtRebounds,OffRebounds,Rebounds,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,FG2M,Points,PtsUnassisted2s,FirstChancePoints,Fg2Pct,EfgPct,TsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyCorner3FGA,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,PenaltyCorner3Frequency,Steals,LostBallSteals,Corner3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BadPassOutOfBoundsTurnovers,LostBallTurnovers,NonShootingFoulsDrawn,DefCorner3ReboundPct,AtRimAssists,2pt And 1 Free Throw Trips,AtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,BadPassSteals,BlockedLongMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,AtRimPctBlocked,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,PtsPutbacks,LostBallOutOfBoundsTurnovers,Offensive Fouls,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,ShortMidRangeAssists,SelfOReb,Loose Ball Fouls,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedShortMidRange,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,SecondChanceCorner3FGM,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,3SecondViolations,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101108-101126-200755-201150-201599,1610612746,"Chris Paul, Nate Robinson, JJ Redick, Spencer Hawes, DeAndre Jordan","Paul, Robinson, Redick, Hawes, Jordan",101108-101126-200755-201150-201599,LAC,57.0,1,1.0,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,50.526315789473685,36.0,21.0,16.0,21.0,0.5,0.5,0.5,0.48555,0.3807,15.4,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-200755-201175-201933,1610612746,"Chris Paul, Nate Robinson, JJ Redick, Glen Davis, Blake Griffin","Paul, Robinson, Redick, Davis, Griffin",101108-101126-200755-201175-201933,LAC,12.0,1,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,120.0,12.0,,12.0,,,,1.0,0.3866,,3.4,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-200755-201599-201933,1610612746,"Chris Paul, Nate Robinson, JJ Redick, DeAndre Jordan, Blake Griffin","Paul, Robinson, Redick, Jordan, Griffin",101108-101126-200755-201599-201933,LAC,377.0,1,6.0,-3.0,12.0,13.0,2.0,25.0,6.0,,10.0,1.0,12.0,2.0,,1.0,7.0,1.0,,,,0.09090909090909091,,0.14285714285714285,,95.49071618037135,16.416666666666668,13.846153846153847,15.166666666666666,12.692307692307692,0.5454545454545454,,0.09090909090909091,0.3950181818181818,0.3637,13.05,24.5,,,4.0,9.0,8.0,7.0,0.4,0.36363636363636365,0.375,,,,12.0,8.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,10.0,1.0,1.0,9.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,9.0,12.0,0.5,0.4,0.5,0.36363636363636365,0.5,0.375,0.1,0.25,1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.36363636363636365,0.25,0.3333333333333333,0.5,0.5,0.09090909090909091,0.09090909090909091,0.3950181818181818,0.08333333333333333,0.09090909090909091,0.2222222222222222,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-200755-201599-2440,1610612746,"Chris Paul, Nate Robinson, JJ Redick, DeAndre Jordan, Matt Barnes","Paul, Robinson, Redick, Jordan, Barnes",101108-101126-200755-201599-2440,LAC,40.0,1,1.0,-3.0,3.0,2.0,,5.0,,1.0,,1.0,3.0,,,,1.0,,,,,1.0,,,,180.0,6.666666666666667,10.0,6.666666666666667,10.0,,1.0,1.0,0.4524,,,23.6,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,3.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,0.4524,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-200755-201933-203085,1610612746,"Chris Paul, Nate Robinson, JJ Redick, Blake Griffin, Austin Rivers","Paul, Robinson, Redick, Griffin, Rivers",101108-101126-200755-201933-203085,LAC,12.0,1,,1.0,2.0,1.0,,3.0,,,,,,,,,,1.0,,,,,,,,360.0,3.5,5.0,3.5,5.0,,,,,,,,,,,1.0,,1.0,,,0.5,,,,2.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-201150-201175-203085,1610612746,"Chris Paul, Nate Robinson, Spencer Hawes, Glen Davis, Austin Rivers","Paul, Robinson, Hawes, Davis, Rivers",101108-101126-201150-201175-203085,LAC,25.0,1,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,115.19999999999999,4.0,21.0,4.0,21.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-201150-203085-2045,1610612746,"Chris Paul, Nate Robinson, Spencer Hawes, Austin Rivers, Hedo Turkoglu","Paul, Robinson, Hawes, Rivers, Turkoglu",101108-101126-201150-203085-2045,LAC,26.0,1,,-2.0,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,1.0,,,,55.38461538461538,,24.0,,24.0,,,1.0,,,,37.9,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-201175-203085-2045,1610612746,"Chris Paul, Nate Robinson, Glen Davis, Austin Rivers, Hedo Turkoglu","Paul, Robinson, Davis, Rivers, Turkoglu",101108-101126-201175-203085-2045,LAC,202.0,1,3.0,1.0,6.0,7.0,,13.0,2.0,1.0,4.0,1.0,4.0,,,,4.0,2.0,,,,0.2,,,,92.67326732673267,17.666666666666668,13.714285714285714,17.666666666666668,13.714285714285714,0.4,0.2,0.2,0.44386000000000003,,13.45,23.9,,,1.0,5.0,,5.0,0.25,0.5,0.5,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,3.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,0.4,,,0.5,0.5,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-101126-201599-201933-203085,1610612746,"Chris Paul, Nate Robinson, DeAndre Jordan, Blake Griffin, Austin Rivers","Paul, Robinson, Jordan, Griffin, Rivers",101108-101126-201599-201933-203085,LAC,97.0,1,2.0,-10.0,4.0,5.0,,9.0,1.0,,1.0,,10.0,,,,1.0,,,,,,,,,133.60824742268042,14.0,8.2,14.0,8.2,1.0,,,0.4245,,16.7,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,3.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
101108-200755-200770-201150-201933,1610612746,"Chris Paul, JJ Redick, Jordan Farmar, Spencer Hawes, Blake Griffin","Paul, Redick, Farmar, Hawes, Griffin",101108-200755-200770-201150-201933,LAC,18.0,1,,2.0,1.0,2.0,,3.0,,,,,,,,,1.0,1.0,,,,,,,,240.0,1.0,8.5,1.0,5.5,,,,,,,,,,,2.0,,2.0,,,1.0,,,,1.0,,,,,,,2.0,,,,,,2.0,2.0,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,0.5,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,True
