EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,OpponentPoints,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,FTDefRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,BadPassSteals,Assisted3sPct,PenaltyFg3Pct,PenaltyEfgPct,Arc3PctAssisted,PenaltyArc3Accuracy,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeFGM,LongMidRangeFGA,Loose Ball Fouls,Offensive Fouls,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShortMidRangeFGM,ShortMidRangeAssists,LostBallSteals,2pt And 1 Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,Corner3Frequency,SecondChanceCorner3Frequency,BadPassTurnovers,Travels,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,DefAtRimReboundPct,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeAssists,Offensive Fouls Drawn,LongMidRangePctAssisted,Corner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFtPoints,Corner3Assists,OffThreePtRebounds,FTOffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Clear Path Fouls,Loose Ball Fouls Drawn,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,BadPassOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,StepOutOfBoundsTurnovers,BlockingFouls,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,HeaveAttempts,Arc3PctBlocked,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,DefensiveGoaltends,BlockedCorner3,team_id,year,season,team_vs
101108-101126-200755-201150-201599,1610612746,"Chris Paul, Nate Robinson, JJ Redick, Spencer Hawes, DeAndre Jordan","Paul, Robinson, Redick, Hawes, Jordan",101108-101126-200755-201150-201599,LAC,57.0,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,50.526315789473685,21.0,36.0,21.0,16.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7207,0.7481,1.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-200755-201175-201933,1610612746,"Chris Paul, Nate Robinson, JJ Redick, Glen Davis, Blake Griffin","Paul, Robinson, Redick, Davis, Griffin",101108-101126-200755-201175-201933,LAC,12.0,1,,-2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-200755-201599-201933,1610612746,"Chris Paul, Nate Robinson, JJ Redick, DeAndre Jordan, Blake Griffin","Paul, Robinson, Redick, Jordan, Griffin",101108-101126-200755-201599-201933,LAC,377.0,1,6.0,3.0,13.0,12.0,1.0,25.0,1.0,1.0,,,1.0,3.0,12.0,,1.0,,2.0,,,,5.0,7.0,,7.0,1.0,0.3333333333333333,,0.35714285714285715,,0.5,,,,0.8333333333333334,,0.8571428571428571,,,1.0,95.49071618037135,13.846153846153847,16.416666666666668,12.692307692307692,15.166666666666666,0.14285714285714285,1.0,1.0,,,0.7142857142857143,0.45482142857142854,0.3857,,9.9,9.0,8.0,12.0,2.0,1.0,4.0,1.0,1.0,4.0,7.0,2.0,1.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,10.0,2.0,3.0,1.0,1.0,1.0,12.0,5.0,8.0,0.25,0.25,0.35714285714285715,0.5714285714285714,1.0,1.0,0.6666666666666666,1.0,0.2857142857142857,0.5714285714285714,0.25,0.25,0.3333333333333333,0.25,0.3620333333333334,0.2222222222222222,0.4,0.4166666666666667,26.15,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-200755-201599-2440,1610612746,"Chris Paul, Nate Robinson, JJ Redick, DeAndre Jordan, Matt Barnes","Paul, Robinson, Redick, Jordan, Barnes",101108-101126-200755-201599-2440,LAC,40.0,1,1.0,3.0,2.0,3.0,,5.0,,,,,,,3.0,,,,,,,,,1.0,,1.0,,,,0.75,,0.75,,,,,,,,,,180.0,10.0,6.666666666666667,10.0,6.666666666666667,,,,,,1.0,0.551925,,,,,2.0,3.0,,1.0,2.0,2.0,1.0,2.0,,,2.0,,3.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,3.0,3.0,2.0,0.5,0.5,0.75,1.0,1.0,,,,,1.0,0.5,0.5,1.0,0.5,0.551925,,,1.0,24.9,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.75,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-200755-201933-203085,1610612746,"Chris Paul, Nate Robinson, JJ Redick, Blake Griffin, Austin Rivers","Paul, Robinson, Redick, Griffin, Rivers",101108-101126-200755-201933-203085,LAC,12.0,1,,-1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,360.0,5.0,3.5,5.0,3.5,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-201150-201175-203085,1610612746,"Chris Paul, Nate Robinson, Spencer Hawes, Glen Davis, Austin Rivers","Paul, Robinson, Hawes, Davis, Rivers",101108-101126-201150-201175-203085,LAC,25.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.19999999999999,21.0,4.0,21.0,4.0,,,,,,1.0,0.211275,,,,,,1.0,,,2.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,26.85,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-201150-203085-2045,1610612746,"Chris Paul, Nate Robinson, Spencer Hawes, Austin Rivers, Hedo Turkoglu","Paul, Robinson, Hawes, Rivers, Turkoglu",101108-101126-201150-203085-2045,LAC,26.0,1,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,55.38461538461538,24.0,,24.0,,1.0,1.0,1.0,,,1.0,0.4356,,,1.3,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,0.4356,,,1.0,,1.0,,,,,1.0,,2.0,,,,,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-201175-203085-2045,1610612746,"Chris Paul, Nate Robinson, Glen Davis, Austin Rivers, Hedo Turkoglu","Paul, Robinson, Davis, Rivers, Turkoglu",101108-101126-201175-203085-2045,LAC,202.0,1,3.0,-1.0,7.0,6.0,,13.0,1.0,2.0,,,2.0,5.0,4.0,,,,2.0,,,,3.0,3.0,,3.0,2.0,0.4,,0.3333333333333333,,0.3333333333333333,,,,1.0,,1.0,,,1.0,92.67326732673267,13.714285714285714,17.666666666666668,13.714285714285714,17.666666666666668,0.3333333333333333,0.5,0.5,,,0.5,0.4226666666666667,,,11.5,5.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,4.0,,,,,,0.16666666666666666,,,1.0,,,0.16666666666666666,,,,,,,,,27.1,,,,,,1.0,,2.0,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,0.5,,1.0,,,1.0,3.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-101126-201599-201933-203085,1610612746,"Chris Paul, Nate Robinson, DeAndre Jordan, Blake Griffin, Austin Rivers","Paul, Robinson, Jordan, Griffin, Rivers",101108-101126-201599-201933-203085,LAC,97.0,1,2.0,10.0,5.0,4.0,,9.0,2.0,3.0,,,3.0,4.0,10.0,,,,2.0,,,,1.0,1.0,,1.0,,0.75,,0.9,,1.0,,,,1.0,,1.0,,,1.0,133.60824742268042,8.2,14.0,8.2,14.0,0.6,0.6666666666666666,0.6666666666666666,,,0.8,0.59146,,,2.375,,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,10.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,10.0,10.0,5.0,1.0,1.0,1.0,0.2,,,,,0.2,0.2,1.0,1.0,0.2,1.0,0.59146,0.2,0.25,1.0,24.8,1.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,2.0,1.0,1.0,1.0,0.9,1.0,1.0,,,,2.0,3.0,3.0,4.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.6,0.6666666666666666,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
101108-200755-200770-201150-201933,1610612746,"Chris Paul, JJ Redick, Jordan Farmar, Spencer Hawes, Blake Griffin","Paul, Redick, Farmar, Hawes, Griffin",101108-200755-200770-201150-201933,LAC,18.0,1,,-2.0,2.0,1.0,1.0,3.0,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,0.5,1.0,,240.0,8.5,1.0,5.5,1.0,0.3333333333333333,,,,,1.0,0.5252833333333333,0.483,,0.7,2.0,,1.0,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,0.3333333333333333,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2015,2014-15,False
