EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,SecondChanceFtPoints,OffThreePtRebounds,SecondChanceTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,TwoPtShootingFoulsDrawnPct,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,Travels,SecondChanceFg2Pct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Steals,BadPassSteals,LostBallSteals,Fg2aBlocked,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,SelfOReb,Charge Fouls,Offensive Fouls Drawn,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,ShortMidRangeAssists,LongMidRangePctBlocked,ShortMidRangePctAssisted,Loose Ball Fouls Drawn,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,ShortMidRangePctBlocked,Blocked3s,BlockedCorner3,Clear Path Fouls,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101179-201156-201941-201961-202325,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wayne Ellington, Wesley Johnson","Price, Young, Hill, Ellington, Johnson",101179-201156-201941-201961-202325,LAL,334.0,2,6.0,11.0,14.0,14.0,9.0,14.0,2.0,28.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,3.0,5.0,4.0,6.0,5.0,8.0,1.0,24.0,13.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,6.0,1.0,17.0,6.0,2.0,12.0,3.0,1.0,6.0,4.0,1.0,3.0,4.0,7.0,3.0,1.0,3.0,18.0,1.0,1.0,6.0,2.0,9.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,21.0,17.0,9.0,0.75,0.75,0.8,0.625,1.0,0.6666666666666666,0.7142857142857143,0.6666666666666666,1.0,0.8214285714285714,0.75,1.0,0.8571428571428571,0.75,1.0625,0.5714285714285714,0.125,0.14285714285714285,0.5,1.0,0.6,0.5,1.0,0.6363636363636364,0.25,1.0,0.25,1.0,0.5,1.0,120.7185628742515,0.25,9.571428571428571,14.285714285714286,8.642857142857142,12.428571428571429,0.35714285714285715,0.8,0.8,0.75,0.07142857142857142,0.07142857142857142,1.0,1.0,1.0,0.5,0.5714285714285714,0.6666666666666666,0.75,0.5,1.0,1.0,0.25,1.0,0.125,1.0,0.625,0.6,0.9285714285714286,0.6666666666666666,0.6223384615384616,0.470675,0.60510625,0.07142857142857142,0.125,0.125,0.7083333333333334,3.283333333333333,28.1125,0.6428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-201961-202334,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wayne Ellington, Ed Davis","Price, Young, Hill, Ellington, Davis",101179-201156-201941-201961-202334,LAL,117.0,3,2.0,-1.0,5.0,2.0,1.0,,2.0,7.0,,,,,2.0,,,,,,1.0,,,,,,4.0,,1.0,2.0,2.0,3.0,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,2.0,3.0,,,,1.0,1.0,,1.0,,2.0,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,0.16666666666666666,1.0,,0.2,,,,,1.0,0.25,,1.0,0.4,,,1.0,,,86.15384615384616,,18.0,13.5,17.4,13.5,,,,,0.4,,,,,0.2,,,,,,,,,,,,,0.2,,0.42566,,0.3847,0.16666666666666666,,1.0,,13.925,26.4,0.2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-201961-2430,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wayne Ellington, Carlos Boozer","Price, Young, Hill, Ellington, Boozer",101179-201156-201941-201961-2430,LAL,96.0,2,2.0,-3.0,4.0,3.0,2.0,1.0,,7.0,,,,,1.0,,,,,,1.0,,,,1.0,,2.0,,1.0,,,3.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.3333333333333333,,,1.0,,1.0,,,1.0,,,,1.0,,,105.0,,17.5,8.666666666666666,17.5,8.666666666666666,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,0.5,,0.3333333333333333,,0.39676666666666666,,0.40595,,,,,15.6,29.0,0.5,1.0,,,,,,,,,0.3333333333333333,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202325-202334,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Ed Davis","Price, Young, Hill, Johnson, Davis",101179-201156-201941-202325-202334,LAL,447.0,4,7.0,-6.0,12.0,15.0,4.0,9.0,1.0,27.0,2.0,3.0,1.0,1.0,3.0,,,,,,2.0,,,,,5.0,8.0,,2.0,6.0,16.0,22.0,2.0,,,2.0,2.0,3.0,,,,4.0,6.0,4.0,,,,2.0,,,3.0,,3.0,,,1.0,6.0,2.0,2.0,1.0,1.0,4.0,3.0,7.0,1.0,,1.0,1.0,2.0,2.0,4.0,,6.0,4.0,6.0,,,,,,,,14.0,4.0,4.0,0.6,0.75,,,,,,0.625,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6153846153846154,0.5,0.6666666666666666,0.2,,,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.75,0.6,1.0,,,1.0,0.5,86.97986577181207,,17.916666666666668,15.466666666666667,17.25,14.066666666666666,0.3,0.6666666666666666,0.6666666666666666,0.5,0.3,,,,,0.2,,,,,,,0.3333333333333333,1.0,,,,,0.5,,0.44053000000000003,0.3107,0.3362,0.23076923076923078,,0.125,0.25,11.3625,24.95,0.3333333333333333,2.0,,1.0,,,3.0,0.5,1.0,0.5,0.2,0.2727272727272727,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202325-203135,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Robert Sacre","Price, Young, Hill, Johnson, Sacre",101179-201156-201941-202325-203135,LAL,174.0,1,3.0,-1.0,7.0,7.0,,,,14.0,2.0,3.0,,,1.0,,,,,,1.0,,,,,3.0,5.0,,1.0,,6.0,7.0,,,,,,,,,,,2.0,4.0,,,,1.0,,,1.0,,1.0,,,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,6.0,,,0.3333333333333333,0.3333333333333333,,,,,,0.6,,0.5,,,0.5,,,0.16666666666666666,,,1.0,,1.0,,,0.5,,,,,1.0,,115.86206896551724,,11.285714285714286,13.571428571428571,11.285714285714286,12.571428571428571,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,,,,,0.16666666666666666,,,,,,,,,,,,,0.6666666666666666,,0.6040166666666666,,,,,,,5.74,24.3,,1.0,,,,,,,,,0.16666666666666666,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202325-2430,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Carlos Boozer","Price, Young, Hill, Johnson, Boozer",101179-201156-201941-202325-2430,LAL,361.0,3,6.0,3.0,12.0,11.0,3.0,5.0,2.0,23.0,3.0,5.0,,,3.0,,,,,,2.0,,1.0,,1.0,5.0,8.0,,2.0,5.0,15.0,12.0,1.0,,1.0,2.0,,,,1.0,3.0,3.0,2.0,8.0,,,,2.0,,,1.0,,1.0,,,1.0,2.0,2.0,2.0,2.0,,4.0,2.0,6.0,,,,1.0,1.0,,,,2.0,4.0,6.0,,,2.0,2.0,,2.0,,13.0,3.0,3.0,0.2,0.25,,,,,,0.625,,0.5,0.5,,0.5769230769230769,0.5,0.5,0.2,,,,,0.4,0.6666666666666666,0.6666666666666666,0.5,0.4,1.0,0.4,,,1.0,91.74515235457064,,16.5,14.818181818181818,15.5,11.454545454545455,0.5,0.6,0.75,0.3333333333333333,0.3,,,,,0.2,,,,0.5,,,,,,,1.0,,0.7,,0.533455,0.561175,0.5442,0.09090909090909091,,0.13333333333333333,0.2,7.25,24.65,0.25,,,,,,1.0,,,,,0.1111111111111111,,1.0,1.0,1.0,,2.0,1.0,2.0,,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,,0.5,1.0,1.0,1.0,,1.0,2.0,2.0,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202325-977,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Kobe Bryant","Price, Young, Hill, Johnson, Bryant",101179-201156-201941-202325-977,LAL,295.0,3,5.0,3.0,14.0,13.0,11.0,13.0,4.0,27.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,,1.0,,6.0,3.0,5.0,,6.0,8.0,14.0,11.0,2.0,,1.0,7.0,2.0,3.0,,6.0,6.0,10.0,2.0,4.0,,,,6.0,,,1.0,,1.0,,,1.0,2.0,1.0,4.0,,,4.0,4.0,8.0,1.0,,,1.0,2.0,2.0,1.0,,3.0,5.0,9.0,,1.0,,,,,,7.0,8.0,10.0,0.3333333333333333,0.5,,,,,,0.6,0.6666666666666666,0.2727272727272727,0.6666666666666666,0.2222222222222222,0.4666666666666667,0.875,0.4166666666666667,0.5454545454545454,,,0.5,,,0.5,1.0,1.0,0.5714285714285714,,,,,1.0,131.79661016949152,,10.785714285714286,11.076923076923077,10.285714285714286,11.076923076923077,0.18181818181818182,1.0,1.0,0.5,0.18181818181818182,,,,,0.5454545454545454,,,,0.3333333333333333,,,0.2222222222222222,1.0,,,0.6666666666666666,,0.7272727272727273,,0.49409545454545456,0.6713,0.5212388888888889,0.15384615384615385,0.14285714285714285,0.5,0.7142857142857143,10.7,25.183333333333334,0.7857142857142857,1.0,3.0,3.0,,,1.0,0.6,,0.6,0.09090909090909091,0.16666666666666666,1.0,,2.0,2.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,0.6666666666666666,1.0,2.0,,2.0,,2.0,,,,1.0,1.0,1.0,0.5,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202334-202391,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Ed Davis, Jeremy Lin","Price, Young, Hill, Davis, Lin",101179-201156-201941-202334-202391,LAL,1451.0,1,24.0,,49.0,49.0,28.0,25.0,7.0,98.0,13.0,18.0,8.0,10.0,10.0,1.0,3.0,,1.0,1.0,7.0,,,1.0,5.0,18.0,35.0,2.0,10.0,9.0,51.0,51.0,4.0,,,5.0,10.0,18.0,1.0,6.0,5.0,28.0,24.0,12.0,3.0,3.0,,7.0,1.0,,12.0,1.0,13.0,,1.0,9.0,27.0,5.0,4.0,13.0,2.0,19.0,8.0,27.0,5.0,,2.0,,5.0,2.0,7.0,,12.0,10.0,17.0,,,2.0,2.0,,2.0,,46.0,28.0,28.0,0.6666666666666666,0.7058823529411765,0.5,0.2,,0.16666666666666666,0.2,0.5142857142857142,0.5555555555555556,0.4666666666666667,0.5,0.4791666666666667,0.4811320754716981,0.4166666666666667,0.5,0.2222222222222222,,,1.0,1.0,0.7222222222222222,0.29411764705882354,0.8,0.7391304347826086,0.32,0.6,0.5,0.75,0.875,0.6666666666666666,97.25706409372846,,14.510204081632653,15.10204081632653,14.020408163265307,14.673469387755102,0.4,0.7222222222222222,0.7647058823529411,0.6923076923076923,0.2222222222222222,0.06666666666666667,0.3333333333333333,0.3333333333333333,1.0,0.15555555555555556,0.14285714285714285,0.14285714285714285,,,,,0.4166666666666667,0.8,0.041666666666666664,,0.20833333333333334,0.2,0.6222222222222222,0.14285714285714285,0.5190666666666667,0.56625,0.5238604166666666,0.15384615384615385,,0.09803921568627451,0.5490196078431373,7.777142857142857,24.36,0.5714285714285714,7.0,1.0,3.0,2.0,,8.0,0.375,0.16666666666666666,0.5,0.15555555555555556,0.19047619047619047,3.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,,0.5,1.0,0.14285714285714285,0.14285714285714285,0.4,0.4,0.75,1.0,0.5,7.0,6.0,1.0,1.0,1.0,1.0,0.02857142857142857,0.05555555555555555,,,,0.16666666666666666,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202334-203527,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Ed Davis, Ryan Kelly","Price, Young, Hill, Davis, Kelly",101179-201156-201941-202334-203527,LAL,18.0,1,,-2.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,160.0,,13.0,5.0,,5.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5038,0.5038,,,,,,2.85,,,1.0,,,,,,,1.0,,0.5,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
101179-201156-201941-202334-203903,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Ed Davis, Jordan Clarkson","Price, Young, Hill, Davis, Clarkson",101179-201156-201941-202334-203903,LAL,159.0,2,3.0,-7.0,4.0,6.0,4.0,,,10.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,2.0,,1.0,,2.0,9.0,,,,,1.0,2.0,,1.0,,2.0,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,2.0,2.0,4.0,1.0,1.0,,,,,,0.5,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,1.0,,,,,,,,,,,,90.56603773584906,,23.5,10.833333333333334,23.5,10.833333333333334,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,,0.6666666666666666,,0.5340166666666667,,0.5340166666666667,,,,1.0,8.55,24.4,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,False
