EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,DeadBallTurnovers,Loose Ball Fouls Drawn,DefAtRimReboundPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGA,BadPassSteals,Fouls,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,Corner3Frequency,FTDefRebounds,BadPassOutOfBoundsTurnovers,ShootingFouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,DefFTReboundPct,PenaltyCorner3FGA,Fg2aBlocked,BlockedAtRim,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,BlocksRecoveredPct,PenaltyCorner3Frequency,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,Fg3aBlocked,Loose Ball Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,DefensiveGoaltends,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Defensive 3 Seconds Violations,Corner3PctBlocked,HeaveAttempts,Charge Fouls,3SecondViolations,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101110-101198-202338-2446-2743,1610612764,"Martell Webster, Will Bynum, Kevin Seraphin, Rasual Butler, Kris Humphries","Webster, Bynum, Seraphin, Butler, Humphries",101110-101198-202338-2446-2743,WAS,252.0,1,4.0,1.0,9.0,10.0,9.0,2.0,19.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,8.0,1.0,7.0,6.0,2.0,2.0,4.0,3.0,8.0,1.0,7.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,7.0,9.0,1.0,0.6666666666666666,1.0,0.375,1.0,0.375,0.375,1.0,0.375,0.35,1.0,0.35,1.0,1.0,0.4,1.0,1.0,0.4,0.5,1.0,1.0,1.0,108.57142857142857,14.88888888888889,11.8,13.666666666666666,11.8,0.5,0.5,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,0.5,1.0,0.5,0.5,0.5,0.4775875,0.49965,0.4775875,0.1111111111111111,0.1111111111111111,0.5714285714285714,1.0,6.625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-101198-1718-201196-203078,1610612764,"Marcin Gortat, Will Bynum, Paul Pierce, Ramon Sessions, Bradley Beal","Gortat, Bynum, Pierce, Sessions, Beal",101162-101198-1718-201196-203078,WAS,14.0,1,,-2.0,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-101198-1718-203078-203490,1610612764,"Marcin Gortat, Will Bynum, Paul Pierce, Bradley Beal, Otto Porter Jr.","Gortat, Bynum, Pierce, Beal, Porter Jr.",101162-101198-1718-203078-203490,WAS,85.0,2,1.0,-2.0,3.0,4.0,,,7.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,0.5,0.3333333333333333,,1.0,0.5,,,,,1.0,118.58823529411764,14.333333333333334,10.5,14.333333333333334,8.75,,,,,1.0,,,,,,,,,,0.4201,,,,,,,6.2,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-101198-201196-203078-203490,1610612764,"Marcin Gortat, Will Bynum, Ramon Sessions, Bradley Beal, Otto Porter Jr.","Gortat, Bynum, Sessions, Beal, Porter Jr.",101162-101198-201196-203078-203490,WAS,8.0,1,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,,,1.5,,1.5,1.5,,1.5,,,,,,,,,,,180.0,8.0,,8.0,,,,,,,,,,,,,,,1.0,0.34305,,0.34305,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-101198-202066-203490-2400,1610612764,"Marcin Gortat, Will Bynum, Garrett Temple, Otto Porter Jr., Drew Gooden","Gortat, Bynum, Temple, Porter Jr., Gooden",101162-101198-202066-203490-2400,WAS,104.0,1,2.0,,5.0,3.0,3.0,,8.0,,,,,,,,1.0,1.0,,2.0,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,2.0,1.0,,2.0,,3.0,,,,,,,,,,0.25,,,,,,1.0,1.0,,,,,,110.76923076923076,12.0,14.666666666666666,12.0,14.666666666666666,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,0.3333333333333333,0.3434,,0.26145,0.25,0.3333333333333333,,,9.35,0.6,2.0,,,,,,,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,24.6,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-1718-201196-202066-203490,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Garrett Temple, Otto Porter Jr.","Gortat, Pierce, Sessions, Temple, Porter Jr.",101162-1718-201196-202066-203490,WAS,194.0,1,3.0,-4.0,7.0,7.0,,,14.0,2.0,2.0,,,,,,2.0,,2.0,4.0,,4.0,8.0,,,,,,,,4.0,,,2.0,2.0,2.0,,4.0,,,1.0,2.0,,2.0,,,1.0,1.0,3.0,,,,,,4.0,,,,1.0,1.0,0.5,,,0.5,,,0.5,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,0.5,,103.91752577319588,14.714285714285714,13.0,14.714285714285714,11.285714285714286,0.5,1.0,1.0,1.0,0.5,,,,,,,,,0.5,0.465475,,,,,,,7.525,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-1718-201196-202322-203490,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, John Wall, Otto Porter Jr.","Gortat, Pierce, Sessions, Wall, Porter Jr.",101162-1718-201196-202322-203490,WAS,113.0,2,2.0,-2.0,4.0,4.0,2.0,,8.0,,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,2.0,4.0,,,,1.0,2.0,,2.0,,2.0,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,1.0,,,,2.0,2.0,2.0,,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,,,,1.0,101.94690265486726,14.0,14.25,14.0,14.25,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,0.6666666666666666,0.5094500000000001,,0.5094500000000001,,,,1.0,3.9,0.5,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,23.6,1.0,,1.0,,,0.3333333333333333,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-1718-201196-203078-203490,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Bradley Beal, Otto Porter Jr.","Gortat, Pierce, Sessions, Beal, Porter Jr.",101162-1718-201196-203078-203490,WAS,1614.0,4,27.0,-3.0,52.0,53.0,41.0,10.0,105.0,9.0,11.0,1.0,1.0,5.0,7.0,4.0,6.0,9.0,17.0,26.0,14.0,63.0,66.0,4.0,4.0,15.0,11.0,17.0,14.0,48.0,24.0,10.0,,12.0,17.0,6.0,2.0,39.0,3.0,4.0,13.0,19.0,10.0,29.0,3.0,2.0,5.0,,9.0,8.0,15.0,16.0,4.0,4.0,48.0,48.0,41.0,4.0,0.7058823529411765,0.7058823529411765,0.6538461538461539,1.0,0.6470588235294118,0.5568181818181818,0.9166666666666666,0.5151515151515151,0.6078431372549019,0.9375,0.5875,0.5555555555555556,0.65,0.3333333333333333,1.0,0.7083333333333334,0.45454545454545453,0.5,0.2,0.6,1.0,93.68029739776952,14.076923076923077,16.641509433962263,13.096153846153847,16.30188679245283,0.25,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.13636363636363635,0.6666666666666666,0.8,0.5,0.20454545454545456,0.16666666666666666,1.0,0.21212121212121213,0.7142857142857143,0.6590909090909091,0.5188829545454546,0.4344333333333333,0.5222984848484848,0.0851063829787234,0.13793103448275862,0.23809523809523808,0.7619047619047619,8.919230769230769,0.7884615384615384,19.0,4.0,3.0,0.4444444444444444,3.0,15.0,2.0,13.0,5.0,18.0,4.0,16.0,15.0,15.0,3.0,5.0,3.0,1.0,0.2777777777777778,0.25,0.2777777777777778,0.4090909090909091,0.3409090909090909,0.2,0.2,1.0,0.3939393939393939,0.15384615384615385,0.2,25.727777777777778,3.0,1.0,12.0,1.0,1.0,0.06818181818181818,2.0,1.0,6.0,2.0,3.0,,3.0,1.0,3.0,1.0,3.0,2.0,0.038461538461538464,,0.5,0.6666666666666666,0.09090909090909091,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,7.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.16666666666666666,0.5384615384615384,0.5,1.0,1.0,0.047619047619047616,0.4444444444444444,0.4444444444444444,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-1718-201196-203078-2400,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Bradley Beal, Drew Gooden","Gortat, Pierce, Sessions, Beal, Gooden",101162-1718-201196-203078-2400,WAS,385.0,2,6.0,3.0,12.0,12.0,,1.0,24.0,1.0,2.0,,,,,,,2.0,3.0,4.0,,12.0,9.0,,,,,,,,6.0,,,3.0,5.0,1.0,,12.0,,1.0,6.0,7.0,1.0,8.0,,,,,2.0,,4.0,,,,12.0,,,,1.0,1.0,0.75,,,0.5454545454545454,,,0.5454545454545454,,,,0.8571428571428571,,1.0,0.875,0.16666666666666666,,,0.5,1.0,89.76623376623377,13.666666666666666,18.416666666666668,12.5,18.083333333333332,0.18181818181818182,0.5,1.0,1.0,,,,,0.18181818181818182,,,,,0.8181818181818182,0.512109090909091,0.4836,,,,,,9.1,,7.0,2.0,3.0,1.0,1.0,6.0,,,2.0,7.0,,,6.0,6.0,1.0,2.0,1.0,1.0,0.2857142857142857,,0.2857142857142857,0.6363636363636364,0.5454545454545454,0.16666666666666666,0.16666666666666666,1.0,,,0.16666666666666666,25.485714285714288,1.0,,2.0,,,0.09090909090909091,,1.0,1.0,1.0,,,,,,1.0,,,0.25,0.5,,,,2.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,0.2,0.2,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
101162-1718-201196-203078-2403,1610612764,"Marcin Gortat, Paul Pierce, Ramon Sessions, Bradley Beal, Nene","Gortat, Pierce, Sessions, Beal, Nene",101162-1718-201196-203078-2403,WAS,2170.0,3,36.0,7.0,71.0,70.0,1.0,7.0,141.0,17.0,27.0,1.0,3.0,,,3.0,8.0,13.0,23.0,48.0,10.0,80.0,73.0,2.0,4.0,4.0,,,1.0,1.0,30.0,16.0,2.0,15.0,23.0,11.0,1.0,54.0,4.0,7.0,18.0,25.0,7.0,32.0,7.0,5.0,5.0,2.0,6.0,,11.0,11.0,3.0,1.0,76.0,1.0,1.0,1.0,0.6521739130434783,0.6818181818181818,0.4791666666666667,0.5,,0.5223880597014925,0.4,,0.5555555555555556,0.4,0.5,0.8333333333333334,0.782608695652174,0.16,0.7,0.7575757575757576,0.19444444444444445,,0.3,1.0,0.6,93.56682027649771,13.76056338028169,17.042857142857144,13.32394366197183,16.285714285714285,0.40298507462686567,0.6296296296296297,0.6538461538461539,0.6470588235294118,0.11940298507462686,0.375,0.42857142857142855,0.3333333333333333,0.19402985074626866,0.6,0.3333333333333333,,,0.6865671641791045,0.5386037313432835,0.5811333333333334,,0.056338028169014086,0.058823529411764705,0.05,0.0125,7.345833333333334,0.014084507042253521,7.0,1.0,,0.7142857142857143,7.0,17.0,,,8.0,19.0,,,24.0,17.0,7.0,8.0,7.0,1.0,0.42105263157894735,,0.42105263157894735,0.2835820895522388,0.2537313432835821,0.4117647058823529,0.4375,1.0,,,0.4117647058823529,25.263157894736842,2.0,2.0,16.0,2.0,0.8,0.029850746268656716,,,4.0,,3.0,,4.0,,,2.0,2.0,2.0,0.041666666666666664,0.037037037037037035,0.1,0.5,,3.0,1.0,,,,,1.0,,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,,0.125,0.2727272727272727,0.3,,0.7272727272727273,0.030303030303030304,0.23076923076923078,0.23076923076923078,1.0,0.5,0.5,1.0,1.0,,,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.05263157894736842,0.058823529411764705,0.2,0.05,,,,,,,,,,,,,,,1610612764,2015,2014-15,True
