EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,FTDefRebounds,FG3APct,DefFTReboundPct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,ShortMidRangeFGA,ShortMidRangeFrequency,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGA,FG2M,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,DeadBallTurnovers,ShootingFouls,Charge Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,Fg2aBlocked,OffTwoPtRebounds,Loose Ball Fouls Drawn,Offensive Fouls Drawn,RecoveredBlocks,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceArc3FGA,SecondChanceFG3A,LostBallSteals,SecondChanceArc3Frequency,SecondChanceFtPoints,BadPassTurnovers,SecondChanceTurnovers,PtsUnassisted3s,Offensive Fouls,Charge Fouls Drawn,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,BlockedShortMidRange,Fg3aBlocked,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,Travels,OffCorner3ReboundPct,BlockingFouls,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,team_id,year,season,team_vs
201569-201582-201936-202708-203076,1610612740,"Eric Gordon, Alexis Ajinca, Tyreke Evans, Norris Cole, Anthony Davis","Gordon, Ajinca, Evans, Cole, Davis",201569-201582-201936-202708-203076,NOP,88.0,1,1.0,-1.0,3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,98.18181818181819,13.666666666666666,15.666666666666666,13.666666666666666,15.666666666666666,1.0,0.4222,0.4222,1.0,17.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201600-202347-202708,1610612740,"Eric Gordon, Ryan Anderson, Omer Asik, Quincy Pondexter, Norris Cole","Gordon, Anderson, Asik, Pondexter, Cole",201569-201583-201600-202347-202708,NOP,60.0,1,1.0,-5.0,3.0,4.0,,7,,,,,5.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,168.0,12.333333333333334,5.75,12.333333333333334,5.75,,0.513975,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201936-201950-203076,1610612740,"Eric Gordon, Ryan Anderson, Tyreke Evans, Jrue Holiday, Anthony Davis","Gordon, Anderson, Evans, Holiday, Davis",201569-201583-201936-201950-203076,NOP,14.0,1,,4.0,3.0,,3.0,3,,1.0,4.0,4.0,,1.0,4.0,4.0,,,,,,,,,,4.0,5.0,3.0,4.0,3.0,2.0,1.0,0.5,0.5,,,,,308.57142857142856,4.0,,4.0,,,0.3007,0.3007,1.0,9.1,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201936-201967-203076,1610612740,"Eric Gordon, Ryan Anderson, Tyreke Evans, Dante Cunningham, Anthony Davis","Gordon, Anderson, Evans, Cunningham, Davis",201569-201583-201936-201967-203076,NOP,639.0,1,11.0,7.0,19.0,19.0,3.0,38,3.0,10.0,3.0,32.0,25.0,1.0,1.0,3.0,4.0,7.0,8.0,1.0,1.0,2.0,1.0,5.0,,3.0,3.0,,30.0,3.0,3.0,,0.8888888888888888,0.75,0.5,0.8,0.7,0.75,85.63380281690141,15.526315789473685,18.105263157894736,15.526315789473685,16.68421052631579,0.17647058823529413,0.498485294117647,0.479,0.09375,7.290000000000001,0.15789473684210525,7.0,7.0,7.0,,0.4117647058823529,,0.4117647058823529,0.7058823529411765,25.571428571428573,2.0,0.11764705882352941,4.0,1.0,5.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,10.0,3.0,1.0,1.0,2.0,1.0,1.0,12.0,8.0,9.0,2.0,3.0,6.0,3.0,9.0,3.0,2.0,2.0,2.0,21.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.6,0.6666666666666666,1.0,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.8529411764705882,1.0,0.5,1.0,0.6,0.25,0.25,0.25,1.0,1.0,1.0,0.29411764705882354,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.5,0.42857142857142855,0.1111111111111111,0.18181818181818182,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201936-202347-202708,1610612740,"Eric Gordon, Ryan Anderson, Tyreke Evans, Quincy Pondexter, Norris Cole","Gordon, Anderson, Evans, Pondexter, Cole",201569-201583-201936-202347-202708,NOP,74.0,1,1.0,-2.0,2.0,3.0,,5,1.0,2.0,,4.0,6.0,,,,,,,,,,,2.0,,,,,4.0,,,,1.0,,,,,,97.29729729729729,18.5,12.333333333333334,18.5,12.333333333333334,0.5,0.47135,,,9.85,,,,,,,,,0.5,,,,1.0,,1.0,1.0,,,,1.0,,,2.0,,,,,,,2.0,2.0,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,2.0,,,,,,,,0.5,0.5,,,,1.0,,,1.0,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201936-202347-203076,1610612740,"Eric Gordon, Ryan Anderson, Tyreke Evans, Quincy Pondexter, Anthony Davis","Gordon, Anderson, Evans, Pondexter, Davis",201569-201583-201936-202347-203076,NOP,855.0,3,14.0,-9.0,27.0,25.0,13.0,52,5.0,17.0,5.0,26.0,35.0,8.0,2.0,10.0,1.0,8.0,11.0,,,3.0,1.0,8.0,,9.0,8.0,1.0,24.0,10.0,13.0,1.0,0.4642857142857143,0.4166666666666667,,0.25,0.5333333333333333,0.25,87.57894736842105,17.11111111111111,15.72,16.444444444444443,13.84,0.2,0.504606,0.4713272727272727,0.38461538461538464,6.488235294117647,0.48148148148148145,7.0,8.0,7.0,,0.32,,0.28,0.72,26.15,2.0,0.08,11.0,2.0,6.0,10.0,1.0,2.0,1.0,2.0,1.0,3.0,9.0,1.0,1.0,3.0,2.0,4.0,3.0,6.0,12.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,,2.0,9.0,1.0,7.0,3.0,,,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,0.3333333333333333,0.375,1.0,0.125,0.125,0.5294117647058824,0.3333333333333333,0.5,0.42,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.6363636363636364,0.16666666666666666,0.21428571428571427,0.2,1.0,0.5,,0.4,0.6,0.75,0.16666666666666666,0.5,0.5,,0.4,0.5,1.0,0.14285714285714285,0.14285714285714285,1.0,0.6666666666666666,0.5,0.2727272727272727,0.14285714285714285,0.14814814814814814,0.21052631578947367,0.07692307692307693,2.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.17647058823529413,0.2,0.2,0.25,0.25,0.3333333333333333,0.6,0.75,0.04,0.2727272727272727,0.6666666666666666,0.6063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201936-202708-203076,1610612740,"Eric Gordon, Ryan Anderson, Tyreke Evans, Norris Cole, Anthony Davis","Gordon, Anderson, Evans, Cole, Davis",201569-201583-201936-202708-203076,NOP,222.0,2,4.0,3.0,9.0,7.0,,16,1.0,5.0,2.0,8.0,5.0,,,,1.0,2.0,3.0,,,1.0,,3.0,,2.0,2.0,,8.0,,,,0.4,,,1.0,0.6666666666666666,1.0,103.78378378378378,12.11111111111111,16.142857142857142,11.666666666666666,15.571428571428571,0.1111111111111111,0.5166944444444445,,,7.540000000000001,,4.0,4.0,4.0,,0.4444444444444444,,0.4444444444444444,0.7777777777777778,25.675,1.0,0.1111111111111111,5.0,1.0,2.0,3.0,,,1.0,,,,3.0,,,,,,,6.0,,,,,3.0,,3.0,,2.0,1.0,,6.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,,,1.0,1.0,,,,0.6,,,0.3333333333333333,,,,0.5,0.3333333333333333,0.2,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.1,0.16666666666666666,,,,,1.0,,,,,,,0.2,0.3333333333333333,,,,,0.5,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201950-201967-202708,1610612740,"Eric Gordon, Ryan Anderson, Jrue Holiday, Dante Cunningham, Norris Cole","Gordon, Anderson, Holiday, Cunningham, Cole",201569-201583-201950-201967-202708,NOP,146.0,1,2.0,-3.0,5.0,5.0,4.0,10,2.0,4.0,3.0,5.0,8.0,1.0,2.0,2.0,,2.0,5.0,2.0,1.0,2.0,2.0,1.0,,2.0,3.0,,2.0,2.0,4.0,,0.4166666666666667,0.3333333333333333,1.0,,0.5,,98.63013698630138,15.8,13.4,13.6,11.0,0.4,0.5192300000000001,0.453375,0.4,9.075,0.8,1.0,1.0,1.0,,0.2,,0.2,0.6,27.1,,,5.0,2.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,,1.0,2.0,3.0,,1.0,,2.0,,2.0,,,,,,,,,,,2.0,3.0,,,,1.0,,,1.0,2.0,,,,,,,,,0.25,0.5,,0.2,0.5,,0.75,0.6666666666666666,,0.75,,0.5,,,0.4,0.5,0.5,,,,,,,,,,,1.0,0.5,0.5,,0.3333333333333333,0.4,0.6,,,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,0.64485,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201950-202347-203076,1610612740,"Eric Gordon, Ryan Anderson, Jrue Holiday, Quincy Pondexter, Anthony Davis","Gordon, Anderson, Holiday, Pondexter, Davis",201569-201583-201950-202347-203076,NOP,78.0,1,1.0,-6.0,4.0,4.0,,8,,2.0,,2.0,8.0,,,,,,,2.0,2.0,2.0,,2.0,,,,,2.0,,,,0.5,,1.0,,,,147.69230769230768,11.75,7.75,11.75,7.75,,0.47835,,,4.55,,,,,,,,,0.5,,1.0,0.5,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,2.0,,,,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,2.0,,,,,,,,1.0,1.0,,,,0.5,,,0.5,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
201569-201583-201950-202708-203076,1610612740,"Eric Gordon, Ryan Anderson, Jrue Holiday, Norris Cole, Anthony Davis","Gordon, Anderson, Holiday, Cole, Davis",201569-201583-201950-202708-203076,NOP,192.0,1,3.0,-4.0,6.0,7.0,3.0,13,2.0,4.0,1.0,3.0,7.0,2.0,,2.0,,3.0,3.0,,,,,,,2.0,2.0,,3.0,2.0,3.0,,0.25,0.3333333333333333,,,0.6666666666666666,,97.5,15.333333333333334,14.285714285714286,15.333333333333334,13.428571428571429,0.4,0.48109999999999997,0.46436666666666665,0.6666666666666666,11.9,0.5,1.0,1.0,1.0,1.0,0.2,1.0,0.2,0.4,25.6,1.0,0.2,,,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,2.0,,,,,1.0,,1.0,,,,1.0,2.0,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,0.25,,0.5,0.2,,0.3333333333333333,,0.6666666666666666,,,,1.0,0.5,,0.2,,,,,,,0.5,0.5,1.0,,,,,,0.3333333333333333,,0.16666666666666666,0.2,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2015,2014-15,False
