EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,NonHeaveArc3FGA,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,FG2M,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,SecondChanceFG2A,PenaltyFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyOffPossPct,Offensive Fouls Drawn,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,OffThreePtRebounds,ShootingFouls,OffThreePtReboundPct,OffCorner3ReboundPct,LostBallTurnovers,PenaltyTurnovers,AtRimFGM,PenaltyAtRimFGM,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimAccuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyFtPoints,SelfOReb,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,PtsUnassisted3s,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,LongMidRangeAssists,DeadBallTurnovers,Travels,BlockedLongMidRange,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,FTDefRebounds,Offensive Fouls,Charge Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,DefFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,Fg3aBlocked,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,DefensiveGoaltends,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Charge Fouls,Technical Free Throw Trips,3SecondViolations,LostBallOutOfBoundsTurnovers,HeaveAttempts,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1890-202389-202681-202684-202697,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Tristan Thompson, Iman Shumpert","Marion, Mozgov, Irving, Thompson, Shumpert",1890-202389-202681-202684-202697,CLE,77.0,1,1.0,-2.0,3.0,2.0,5,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.5,93.5064935064935,16.666666666666668,13.5,16.666666666666668,12.0,0.5,0.5,0.5,0.418525,0.3333333333333333,0.5,12.4,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-202681-202684-2544,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Tristan Thompson, LeBron James","Marion, Mozgov, Irving, Thompson, James",1890-202389-202681-202684-2544,CLE,105.0,1,2.0,2.0,2.0,3.0,5,2.0,,2.0,,,2.0,,,1.0,,,2.0,0.5,,68.57142857142857,15.5,24.666666666666668,15.5,24.666666666666668,1.0,,,0.4036,,,7.8,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-202681-2034-2544,1610612739,"Shawn Marion, Timofey Mozgov, Kyrie Irving, Mike Miller, LeBron James","Marion, Mozgov, Irving, Miller, James",1890-202389-202681-2034-2544,CLE,25.0,1,,,1.0,,1,1.0,,3.0,,,,,,,,,,,,57.599999999999994,25.0,,15.0,,0.3333333333333333,,0.3333333333333333,0.3495,,,9.1,,,,,,,,,3.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3829,0.3495,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-203521-2544-2747,1610612739,"Shawn Marion, Timofey Mozgov, Matthew Dellavedova, LeBron James, JR Smith","Marion, Mozgov, Dellavedova, James, Smith",1890-202389-203521-2544-2747,CLE,15.0,1,,,1.0,1.0,2,,,,,,,,,1.0,,,,,,192.0,3.0,12.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-203521-2592-2747,1610612739,"Shawn Marion, Timofey Mozgov, Matthew Dellavedova, James Jones, JR Smith","Marion, Mozgov, Dellavedova, Jones, Smith",1890-202389-203521-2592-2747,CLE,299.0,2,5.0,,9.0,9.0,18,5.0,1.0,6.0,2.0,5.0,10.0,10.0,1.0,3.0,5.0,1.0,10.0,0.5,0.25,86.68896321070234,18.22222222222222,15.0,17.555555555555557,15.0,0.625,0.125,0.25,0.43361875,0.2,0.14285714285714285,9.1,25.95,5.0,1.0,1.0,2.0,1.0,3.0,4.0,6.0,,,,0.16666666666666666,0.3125,1.0,1.0,1.0,,1.0,0.2,0.2,4.0,2.0,,,,1.0,1.0,4.0,,2.0,2.0,4.0,,,0.4,0.3333333333333333,,0.5,,,0.125,,,0.5528,0.44755833333333334,0.4444444444444444,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,0.25,0.25,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202389-203925-2592-2747,1610612739,"Shawn Marion, Timofey Mozgov, Joe Harris, James Jones, JR Smith","Marion, Mozgov, Harris, Jones, Smith",1890-202389-203925-2592-2747,CLE,130.0,1,2.0,-4.0,5.0,4.0,9,1.0,1.0,2.0,3.0,,,4.0,1.0,,,,,,0.6,99.6923076923077,20.4,7.0,16.6,7.0,0.2,0.2,0.6,0.44771,,,13.7,24.2,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,0.2,,,,,0.2,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,1.0,,,,,,,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-202697-203521-2592,1610612739,"Shawn Marion, Tristan Thompson, Iman Shumpert, Matthew Dellavedova, James Jones","Marion, Thompson, Shumpert, Dellavedova, Jones",1890-202684-202697-203521-2592,CLE,51.0,1,1.0,3.0,3.0,3.0,6,,1.0,,1.0,,3.0,,1.0,,,,3.0,1.5,1.0,169.41176470588235,7.0,10.0,7.0,7.666666666666667,,1.0,1.0,0.3603,,,,25.6,3.0,,,,,1.0,1.0,1.0,2.0,2.0,,,1.5,1.0,,0.5,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,0.3603,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-2034-203521-2592,1610612739,"Shawn Marion, Tristan Thompson, Mike Miller, Matthew Dellavedova, James Jones","Marion, Thompson, Miller, Dellavedova, Jones",1890-202684-2034-203521-2592,CLE,66.0,1,1.0,-2.0,2.0,2.0,4,,1.0,1.0,1.0,,2.0,4.0,1.0,,,,2.0,0.5,0.5,87.27272727272727,20.5,12.5,20.5,12.5,,0.5,1.0,0.633375,,,0.1,25.2,2.0,,1.0,,,,,,,,1.0,1.0,0.5,,,,,,,,2.0,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,0.5,,,0.5,,0.633375,1.0,,,,,,,1.0,,,,1.0,2.0,,,,1.0,,2.0,,,,,,,,,2.0,,,,,0.5,0.5,,,,,,,,,,,0.5,,,,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-203521-2544-2592,1610612739,"Shawn Marion, Tristan Thompson, Matthew Dellavedova, LeBron James, James Jones","Marion, Thompson, Dellavedova, James, Jones",1890-202684-203521-2544-2592,CLE,176.0,2,3.0,,5.0,4.0,9,1.0,,3.0,1.0,,6.0,6.0,,,,,6.0,0.75,0.25,73.63636363636364,13.4,27.25,13.4,27.25,0.25,,0.75,0.587575,,,2.2666666666666666,22.6,,1.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.75,1.0,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,0.25,,,,,,,,,,,,1.0,,,,,2.0,,,2.0,1.0,,0.3333333333333333,0.3333333333333333,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-202684-203521-2592-2747,1610612739,"Shawn Marion, Tristan Thompson, Matthew Dellavedova, James Jones, JR Smith","Marion, Thompson, Dellavedova, Jones, Smith",1890-202684-203521-2592-2747,CLE,142.0,2,2.0,5.0,4.0,4.0,8,1.0,1.0,4.0,1.0,,7.0,2.0,1.0,1.0,1.0,1.0,5.0,0.7,0.2,81.12676056338029,19.25,16.25,19.25,14.25,0.2,0.2,0.8,0.58513,0.2,0.25,3.725,24.6,2.0,,2.0,4.0,1.0,1.0,2.0,3.0,,,,0.5,0.7,0.5,1.0,0.6666666666666666,,1.0,,,,1.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,,0.25,0.3333333333333333,0.5,0.5,1.0,,,0.6,,1.0,,0.5274,,,,,,,1.0,,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,0.6666666666666666,1.0,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
