EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,OffArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Travels,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,Fg2aBlocked,LongMidRangeAssists,Charge Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,BlockingFoulsDrawn,SecondChanceFg3Pct,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,ShortMidRangeAssists,BadPassTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,Offensive Fouls Drawn,BlockedShortMidRange,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,BlockingFouls,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3SecondViolations,team_id,year,season,team_vs
101138-201973-202323-202340-202738,1610612738,"Brandon Bass, Jonas Jerebko, Evan Turner, Avery Bradley, Isaiah Thomas","Bass, Jerebko, Turner, Bradley, Thomas",101138-201973-202323-202340-202738,BOS,108.0,1,2.0,-1.0,3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.25,0.3,0.5,0.25,1.0,0.3333333333333333,1.0,80.0,23.0,13.0,22.0,12.666666666666666,0.25,1.0,1.0,1.0,0.25,0.25,0.25,0.5,0.5550875,0.2,0.25,0.3333333333333333,6.8,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-201973-202323-202738-203935,1610612738,"Brandon Bass, Jonas Jerebko, Evan Turner, Isaiah Thomas, Marcus Smart","Bass, Jerebko, Turner, Thomas, Smart",101138-201973-202323-202738-203935,BOS,76.0,1,1.0,1.0,3.0,2.0,2.0,5,,,,,,,,2.0,,3.0,2.0,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,3.0,,,,0.75,0.75,,1.0,1.0,1.0,,94.73684210526316,13.666666666666666,17.5,8.333333333333334,17.5,,,,,,,,1.0,0.5505,,,,,26.3,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.75,0.75,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5505,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-202738-203092,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Isaiah Thomas, Tyler Zeller","Bass, Turner, Bradley, Thomas, Zeller",101138-202323-202340-202738-203092,BOS,237.0,2,4.0,2.0,9.0,9.0,7.0,18,3.0,3.0,1.0,3.0,1.0,3.0,7.0,1.0,1.0,10.0,8.0,1.0,5.0,4.0,2.0,2.0,2.0,4.0,,2.0,7.0,1.0,,1.0,2.0,1.0,5.0,0.6666666666666666,1.0,0.42857142857142855,0.5625,0.5555555555555556,0.8333333333333334,0.125,,0.5,,109.36708860759494,16.0,10.333333333333334,14.555555555555555,9.11111111111111,0.375,1.0,1.0,0.6666666666666666,0.125,0.375,0.125,0.5,0.55175,0.1111111111111111,0.125,0.5,10.842857142857143,23.2,1.0,3.0,,,,,1.0,,,1.0,,,,,,,1.0,2.0,,,1.0,1.0,,1.0,,1.0,,0.5,,,,,,,,,,0.1,0.1111111111111111,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,1.0,1.0,0.5,0.71895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-202738-203096,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Isaiah Thomas, Jared Sullinger","Bass, Turner, Bradley, Thomas, Sullinger",101138-202323-202340-202738-203096,BOS,807.0,4,13.0,-3.0,26.0,27.0,17.0,53,4.0,8.0,2.0,3.0,4.0,7.0,13.0,11.0,11.0,25.0,28.0,2.0,2.0,6.0,3.0,3.0,2.0,6.0,2.0,4.0,15.0,1.0,,12.0,13.0,4.0,23.0,0.42857142857142855,0.42857142857142855,0.5384615384615384,0.2916666666666667,0.4166666666666667,0.25,0.4583333333333333,0.18181818181818182,0.23529411764705882,,94.57249070631971,18.346153846153847,12.222222222222221,17.307692307692307,11.703703703703704,0.3333333333333333,0.5,0.6666666666666666,0.5,0.08333333333333333,0.125,0.16666666666666666,0.7916666666666666,0.5426875,0.14814814814814814,0.25,0.08,6.6,24.636363636363637,13.0,4.0,,7.0,,3.0,,,6.0,14.0,,7.0,,,,,,1.0,,,14.0,13.0,,,,,0.36363636363636365,0.5,0.2857142857142857,0.2916666666666667,,,,0.2727272727272727,,,0.5149181818181818,0.56,0.5,,1.0,,,1.0,6.0,8.0,,,2.0,3.0,7.0,1.0,11.0,,1.0,1.0,1.0,,1.0,5.0,2.0,,,1.0,1.0,0.7777777777777778,0.3333333333333333,1.0,0.8333333333333334,,1.0,1.0,1.0,,,,0.3333333333333333,,,0.569575,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,0.8,0.23076923076923078,0.25,0.5,0.25,0.6,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.18181818181818182,1.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-202738-203482,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Isaiah Thomas, Kelly Olynyk","Bass, Turner, Bradley, Thomas, Olynyk",101138-202323-202340-202738-203482,BOS,134.0,1,2.0,-6.0,4.0,5.0,5.0,9,1.0,1.0,1.0,1.0,,2.0,3.0,,2.0,6.0,12.0,,,2.0,1.0,1.0,,2.0,,,,,,1.0,2.0,1.0,6.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.75,,,,,,96.71641791044776,17.25,13.0,17.25,12.2,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5184,0.25,0.25,,8.1,,4.0,,,,,,,,,6.0,,,,,,,,,,,6.0,4.0,,,,,0.6666666666666666,0.75,,,,,,,,,0.5184,1.0,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,2.0,3.0,,1.0,,,,,,,,,0.6666666666666666,,,,,,,,,,,1.0,1.0,1.0,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-203092-203109,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Tyler Zeller, Jae Crowder","Bass, Turner, Bradley, Zeller, Crowder",101138-202323-202340-203092-203109,BOS,460.0,2,8.0,10.0,13.0,12.0,3.0,25,3.0,4.0,1.0,3.0,4.0,4.0,8.0,7.0,2.0,22.0,12.0,,11.0,6.0,3.0,6.0,2.0,15.0,2.0,4.0,11.0,,,3.0,2.0,1.0,11.0,0.75,1.0,0.5,0.6666666666666666,0.6875,1.375,0.4666666666666667,0.6666666666666666,0.5714285714285714,0.6666666666666666,78.26086956521739,19.46153846153846,17.25,17.307692307692307,15.25,0.26666666666666666,0.75,0.75,0.6666666666666666,0.06666666666666667,0.2,0.26666666666666666,0.7333333333333333,0.5133433333333334,0.0625,0.1111111111111111,0.5,8.3875,24.614285714285717,,4.0,3.0,3.0,,,4.0,,,,9.0,3.0,3.0,3.0,2.0,,,,,,,,0.75,0.5714285714285714,,0.5714285714285714,,,,0.2,1.0,1.0,0.6666666666666666,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0,,6.0,1.0,7.0,,,,,,1.0,3.0,,1.0,1.375,,0.5,0.8571428571428571,0.5,,0.75,,0.5,1.0,,,0.25,0.25,0.25,1.0,,0.4756,,,,1.0,,,3.0,3.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.75,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-203092-203935,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Tyler Zeller, Marcus Smart","Bass, Turner, Bradley, Zeller, Smart",101138-202323-202340-203092-203935,BOS,1168.0,3,19.0,4.0,37.0,36.0,1.0,73,8.0,9.0,7.0,3.0,3.0,10.0,19.0,15.0,8.0,40.0,36.0,2.0,2.0,12.0,6.0,10.0,5.0,24.0,2.0,5.0,21.0,3.0,3.0,12.0,10.0,4.0,38.0,0.6,0.6,0.5263157894736842,0.47058823529411764,0.5263157894736842,0.25,0.4411764705882353,0.18181818181818182,0.25,,90.00000000000001,16.594594594594593,15.38888888888889,15.567567567567568,15.055555555555555,0.2647058823529412,0.8888888888888888,0.8888888888888888,0.625,0.20588235294117646,0.08823529411764706,0.08823529411764706,0.7058823529411765,0.5403132352941177,0.13157894736842105,0.18181818181818182,0.05,6.1947368421052635,25.18,1.0,4.0,3.0,12.0,,,4.0,,,,12.0,12.0,3.0,4.0,3.0,,3.0,4.0,,1.0,,1.0,1.0,0.26666666666666666,,0.26666666666666666,,,0.2222222222222222,0.35294117647058826,0.25,0.2727272727272727,1.0,,,0.25,,,0.02702702702702703,,,1.0,,2.0,,8.0,,,3.0,3.0,12.0,1.0,16.0,1.0,,1.0,,,4.0,10.0,,,,0.25,1.0,0.8571428571428571,0.3333333333333333,0.75,0.8333333333333334,0.4,,1.0,0.75,0.05263157894736842,0.3333333333333333,0.3333333333333333,,,,0.45344999999999996,,,2.0,,1.0,,,1.0,,,,,,1.0,,3.0,3.0,3.0,1.0,,,,,,1.0,0.5,1.0,,0.3333333333333333,0.2857142857142857,0.2857142857142857,,,,0.3333333333333333,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,0.06666666666666667,0.08333333333333333,0.5,0.0625,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-203109-203935,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Jae Crowder, Marcus Smart","Bass, Turner, Bradley, Crowder, Smart",101138-202323-202340-203109-203935,BOS,3.0,1,,2.0,1.0,,,1,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,1.0,,,,,,480.0,3.0,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202340-203482-203935,1610612738,"Brandon Bass, Evan Turner, Avery Bradley, Kelly Olynyk, Marcus Smart","Bass, Turner, Bradley, Olynyk, Smart",101138-202323-202340-203482-203935,BOS,246.0,1,4.0,5.0,7.0,8.0,,15,2.0,2.0,,,,2.0,2.0,2.0,2.0,9.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,,,2.0,2.0,1.0,7.0,0.5,0.5,1.0,0.875,0.9,1.0,0.5,1.0,1.0,,87.8048780487805,11.571428571428571,20.625,10.714285714285714,19.875,0.5,1.0,1.0,0.5,,,,1.0,0.5861125,0.2,0.3333333333333333,0.2222222222222222,1.35,25.8,,1.0,1.0,2.0,,,1.0,,,,,2.0,1.0,,,1.0,2.0,3.0,,,,,,0.5,,0.5,,,1.0,0.5,0.5,0.5,,,,0.5,,,,,,,,,,2.0,3.0,,,3.0,2.0,,5.0,,,1.0,1.0,,,4.0,,,,0.3333333333333333,,0.5,,1.0,0.7142857142857143,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
101138-202323-202738-203092-203935,1610612738,"Brandon Bass, Evan Turner, Isaiah Thomas, Tyler Zeller, Marcus Smart","Bass, Turner, Thomas, Zeller, Smart",101138-202323-202738-203092-203935,BOS,117.0,1,2.0,3.0,5.0,5.0,,10,3.0,3.0,,1.0,,3.0,4.0,1.0,,6.0,3.0,,,4.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,,,,6.0,0.6666666666666666,0.6666666666666666,0.75,0.6,0.6,,0.2,1.0,0.5,,123.07692307692308,11.2,12.2,11.2,12.2,0.6,1.0,1.0,0.6666666666666666,,0.2,,0.8,0.62223,,,,5.075,26.4,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,0.2,,,,,,,,,,,,,,,,2.0,,,,,3.0,,3.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2015,2014-15,True
