EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Offensive Fouls Drawn,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LostBallSteals,NonShootingPenaltyNonTakeFoulsDrawn,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTOffRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,OffCorner3ReboundPct,DefAtRimReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceArc3Frequency,FTDefRebounds,Offensive Fouls,Charge Fouls Drawn,DefFTReboundPct,SelfOReb,BlockingFouls,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Corner3Assists,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls,Technical Free Throw Trips,LongMidRangeAssists,LongMidRangePctAssisted,Loose Ball Fouls Drawn,HeaveAttempts,LostBallOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Charge Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,DefensiveGoaltends,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
101179-201156-201941-201961-202325,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wayne Ellington, Wesley Johnson","Price, Young, Hill, Ellington, Johnson",101179-201156-201941-201961-202325,LAL,334.0,2,6.0,-11.0,14.0,14.0,14.0,9.0,4.0,28.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,6.0,2.0,1.0,1.0,4.0,14.0,1.0,5.0,13.0,24.0,2.0,5.0,4.0,4.0,14.0,1.0,5.0,13.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,9.0,11.0,12.0,0.5,0.6666666666666666,0.2857142857142857,0.4,0.2857142857142857,0.26666666666666666,0.4,0.26666666666666666,0.34210526315789475,0.4,0.34210526315789475,0.06666666666666667,0.2857142857142857,0.5,0.16666666666666666,0.5,0.4,1.0,0.75,0.36363636363636365,0.75,0.5,1.0,1.0,120.7185628742515,14.285714285714286,9.571428571428571,12.428571428571429,8.642857142857142,0.4,0.3333333333333333,0.6666666666666666,0.5,0.4,0.3333333333333333,0.4,0.5,0.13333333333333333,0.06666666666666667,0.8,0.5,0.5,0.4,0.3333333333333333,0.06666666666666667,0.4666666666666667,0.4699,0.6148,0.4699,0.11764705882352941,0.125,0.3076923076923077,1.0,7.3500000000000005,24.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-201961-202334,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wayne Ellington, Ed Davis","Price, Young, Hill, Ellington, Davis",101179-201156-201941-201961-202334,LAL,117.0,3,2.0,1.0,2.0,5.0,,1.0,,7.0,,,,,,,,1.0,1.0,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,3.0,3.0,,3.0,,,1.0,1.0,2.0,,2.0,1.0,,,,,3.0,1.0,,,,0.5,,,0.5,,,0.5,,0.5,,,,,0.75,,,0.6,,,,1.0,,86.15384615384616,13.5,18.0,13.5,17.4,,,,,0.5,,,,0.5,,,,,,,,,0.42935,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,14.1,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-201961-2430,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wayne Ellington, Carlos Boozer","Price, Young, Hill, Ellington, Boozer",101179-201156-201941-201961-2430,LAL,96.0,2,2.0,3.0,3.0,4.0,1.0,2.0,,7.0,,,,,,,,1.0,,,,,1.0,,3.0,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,2.0,3.0,,3.0,1.0,,,,2.0,,4.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,0.5,,0.5,,,,,1.0,,1.0,1.0,,,,1.0,1.0,105.0,8.666666666666666,17.5,8.666666666666666,17.5,,,,,1.0,,,,,,,,,,,,,0.4252,,,0.5,0.5,,0.3333333333333333,12.2,,0.3333333333333333,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202325-202334,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Ed Davis","Price, Young, Hill, Johnson, Davis",101179-201156-201941-202325-202334,LAL,447.0,4,7.0,6.0,15.0,12.0,9.0,4.0,2.0,27.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,6.0,5.0,6.0,22.0,16.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,13.0,6.0,4.0,,4.0,,3.0,4.0,2.0,1.0,9.0,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,6.0,,11.0,4.0,2.0,,,,19.0,13.0,9.0,0.6,0.6,0.8333333333333334,1.0,1.0,0.7272727272727273,1.0,0.6666666666666666,0.6875,0.75,0.65,0.45454545454545453,,,,0.3333333333333333,,0.5,0.4,0.25,,,1.0,0.5,86.97986577181207,15.466666666666667,17.916666666666668,14.066666666666666,17.25,0.2727272727272727,1.0,1.0,0.6666666666666666,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.36363636363636365,1.0,1.0,,0.16666666666666666,1.0,0.6666666666666666,0.7272727272727273,0.5153909090909091,0.6049,0.5198666666666667,0.2857142857142857,0.4444444444444444,0.13636363636363635,0.5909090909090909,8.183333333333334,25.380000000000003,0.6,1.0,,,0.5,0.5,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.4,0.4,0.5,0.3333333333333333,0.5,0.09090909090909091,0.5,0.5,0.5,0.16666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202325-203135,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Robert Sacre","Price, Young, Hill, Johnson, Sacre",101179-201156-201941-202325-203135,LAL,174.0,1,3.0,1.0,7.0,7.0,,,1.0,14.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,2.0,2.0,2.0,7.0,6.0,,,,,,,,,2.0,,,1.0,,1.0,2.0,1.0,,5.0,,1.0,2.0,3.0,1.0,4.0,1.0,,,1.0,2.0,,2.0,1.0,,,,,7.0,,,1.0,1.0,0.5,,,0.625,,,0.7,,,0.5,,,,1.0,,1.0,1.0,0.5,,,1.0,1.0,115.86206896551724,13.571428571428571,11.285714285714286,12.571428571428571,11.285714285714286,0.25,1.0,1.0,1.0,,,,,0.25,0.25,,,,,,,0.75,0.5767625,,,0.2,0.3333333333333333,,,9.9,24.2,,,,,,,1.0,,1.0,,1.0,,1.0,,,3.0,,1.0,1.0,1.0,1.0,,,,3.0,,,1.0,0.5,,0.5,,1.0,,0.25,1.0,1.0,1.0,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202325-2430,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Carlos Boozer","Price, Young, Hill, Johnson, Boozer",101179-201156-201941-202325-2430,LAL,361.0,3,6.0,-3.0,11.0,12.0,5.0,3.0,4.0,23.0,1.0,6.0,1.0,2.0,1.0,3.0,,,1.0,4.0,2.0,2.0,7.0,5.0,2.0,12.0,15.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,7.0,2.0,2.0,,4.0,2.0,1.0,3.0,1.0,,8.0,3.0,2.0,1.0,3.0,4.0,7.0,,,1.0,4.0,2.0,,2.0,,1.0,,,1.0,10.0,7.0,5.0,0.5,0.5,0.2857142857142857,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.46153846153846156,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.2857142857142857,0.3333333333333333,,0.3333333333333333,0.6,1.0,0.6,0.5,0.6,,1.0,1.0,91.74515235457064,14.818181818181818,16.5,11.454545454545455,15.5,0.5,0.16666666666666666,0.25,1.0,,,,,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6,0.3333333333333333,0.4,0.9166666666666666,0.598,0.506875,0.63873,,,0.16666666666666666,0.5833333333333334,3.642857142857143,24.580000000000002,0.45454545454545453,1.0,,,1.0,1.0,,1.0,1.0,,2.0,1.0,2.0,,1.0,6.0,,2.0,2.0,2.0,1.0,,1.0,,2.0,1.0,,1.0,0.4,0.5,0.4,,0.3333333333333333,,0.08333333333333333,0.5,0.5,1.0,,0.5,0.5,1.0,1.0,,1.0,0.5,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202325-977,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Wesley Johnson, Kobe Bryant","Price, Young, Hill, Johnson, Bryant",101179-201156-201941-202325-977,LAL,295.0,3,5.0,-3.0,13.0,14.0,13.0,11.0,,27.0,3.0,3.0,,,3.0,3.0,,,,3.0,3.0,3.0,3.0,5.0,2.0,11.0,14.0,,,,3.0,3.0,5.0,2.0,11.0,4.0,2.0,,3.0,,2.0,3.0,2.0,,7.0,,2.0,1.0,4.0,,4.0,1.0,,2.0,5.0,3.0,,4.0,1.0,1.0,,,,11.0,9.0,12.0,0.6666666666666666,0.6666666666666666,1.0,,1.0,0.5625,,0.5625,0.55,,0.55,0.625,,,,0.5,,0.4,0.42857142857142855,,,,0.5,0.4,131.79661016949152,11.076923076923077,10.785714285714286,11.076923076923077,10.285714285714286,0.375,1.0,1.0,0.6666666666666666,,,,,,0.375,,,,0.375,1.0,0.375,1.0,0.563975,,0.563975,0.1111111111111111,0.25,,1.0,1.2666666666666666,24.5,1.0,,,,,,1.0,,2.0,2.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,,2.0,,4.0,4.0,,1.0,0.2,0.2,0.2,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,0.3333333333333333,2.0,,2.0,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202334-202391,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Ed Davis, Jeremy Lin","Price, Young, Hill, Davis, Lin",101179-201156-201941-202334-202391,LAL,1451.0,1,24.0,,49.0,49.0,25.0,28.0,5.0,98.0,8.0,14.0,1.0,3.0,5.0,7.0,5.0,9.0,10.0,5.0,2.0,15.0,33.0,7.0,15.0,51.0,51.0,2.0,4.0,8.0,7.0,15.0,3.0,7.0,24.0,20.0,10.0,,5.0,2.0,10.0,12.0,7.0,3.0,26.0,5.0,5.0,12.0,21.0,6.0,27.0,5.0,2.0,8.0,10.0,12.0,,19.0,7.0,3.0,,,1.0,43.0,22.0,24.0,0.6666666666666666,0.6666666666666666,0.45454545454545453,0.5,0.4666666666666667,0.45,0.5,0.4722222222222222,0.5204081632653061,0.6666666666666666,0.5217391304347826,0.175,0.06060606060606061,0.14285714285714285,,0.7058823529411765,0.2777777777777778,0.625,0.68,0.2608695652173913,0.5,0.125,0.8333333333333334,0.5,97.25706409372846,15.10204081632653,14.510204081632653,14.673469387755102,14.020408163265307,0.35,0.5714285714285714,0.6666666666666666,0.875,0.225,0.5555555555555556,0.5555555555555556,0.6,0.25,0.125,0.75,0.3333333333333333,1.0,0.3888888888888889,0.7142857142857143,0.1111111111111111,0.525,0.48435750000000005,0.53585,0.47349166666666664,0.15217391304347827,0.1794871794871795,0.1568627450980392,0.47058823529411764,8.851515151515152,24.042857142857144,0.5102040816326531,2.0,,0.8333333333333334,0.2,0.2,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,6.0,,2.0,2.0,2.0,1.0,,,,7.0,3.0,1.0,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,,0.2,0.3333333333333333,0.05,0.4,0.4,1.0,0.05555555555555555,0.5,0.4,7.0,6.0,1.0,,1.0,,0.4,,,,1.0,1.0,1.0,,4.0,,,1.0,1.0,1.0,0.25,1.0,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202334-203527,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Ed Davis, Ryan Kelly","Price, Young, Hill, Davis, Kelly",101179-201156-201941-202334-203527,LAL,18.0,1,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,0.5,,,0.5,,,,,,160.0,5.0,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
101179-201156-201941-202334-203903,1610612747,"Ronnie Price, Nick Young, Jordan Hill, Ed Davis, Jordan Clarkson","Price, Young, Hill, Davis, Clarkson",101179-201156-201941-202334-203903,LAL,159.0,2,3.0,7.0,6.0,4.0,,4.0,,10.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,,9.0,2.0,,,,,,,,,4.0,2.0,,1.0,,2.0,3.0,1.0,1.0,7.0,,1.0,1.0,2.0,,2.0,1.0,,,2.0,,,,,,,,,9.0,,,0.6666666666666666,0.6666666666666666,1.0,,,1.125,,,1.125,,,0.25,,,,1.0,,1.0,1.0,,,,1.0,1.0,90.56603773584906,10.833333333333334,23.5,10.833333333333334,23.5,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.25,,,,,,,0.5,0.543,,,,,,,8.4,24.5,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,,3.0,,1.0,1.0,1.0,,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2015,2014-15,True
