EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,BlockingFoulsDrawn,PenaltyOffPoss,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,LongMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,StepOutOfBoundsTurnovers,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3FGM,Corner3FGA,Corner3Assists,Travels,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,OffThreePtRebounds,PenaltyTurnovers,ShootingFouls,Offensive Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyFtPoints,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,AtRimPctBlocked,LiveBallTurnoverPct,BlocksRecoveredPct,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,FTDefRebounds,BadPassSteals,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,DefFTReboundPct,OffAtRimReboundPct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,DefCorner3ReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,BlockedShortMidRange,SecondChanceTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,HeaveAttempts,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,BlockingFouls,3SecondViolations,Blocked3s,BlockedArc3,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Charge Fouls,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Clear Path Fouls,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1889-200752-200797-201956-202682,1610612758,"Andre Miller, Rudy Gay, Ryan Hollins, Omri Casspi, Derrick Williams","Miller, Gay, Hollins, Casspi, Williams",1889-200752-200797-201956-202682,SAC,339.0,1,6.0,4.0,11.0,11.0,22.0,4.0,4.0,1.0,4.0,1.0,1.0,5.0,8.0,1.0,1.0,4.0,17.0,13.0,10.0,3.0,1.0,1.0,5.0,1.0,6.0,1.0,4.0,1.0,13.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,17.0,1.0,1.0,1.0,1.0,1.0,0.625,0.7222222222222222,0.7727272727272727,0.1111111111111111,1.0,1.0,1.0,1.0,93.45132743362831,13.272727272727273,17.545454545454547,13.272727272727273,17.545454545454547,0.4444444444444444,1.0,1.0,1.0,0.4444444444444444,0.25,0.25,1.0,0.1111111111111111,1.0,1.0,1.0,0.5555555555555556,1.0,0.5566722222222222,0.18181818181818182,0.2,3.425,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-200797-201956-203463,1610612758,"Andre Miller, Rudy Gay, Ryan Hollins, Omri Casspi, Ben McLemore","Miller, Gay, Hollins, Casspi, McLemore",1889-200752-200797-201956-203463,SAC,8.0,1,,2.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,1.0,,,,,,360.0,5.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-200797-201956-2501,1610612758,"Andre Miller, Rudy Gay, Ryan Hollins, Omri Casspi, Reggie Evans","Miller, Gay, Hollins, Casspi, Evans",1889-200752-200797-201956-2501,SAC,383.0,2,6.0,1.0,12.0,11.0,23.0,,,4.0,6.0,,,6.0,12.0,,,,12.0,11.0,6.0,,,,3.0,,3.0,,,1.0,6.0,2.0,4.0,7.0,,,3.0,1.0,1.0,10.0,0.5,0.5,,,,0.5,0.5,0.5,,0.6666666666666666,0.6666666666666666,1.0,,86.4751958224543,17.916666666666668,15.272727272727273,14.833333333333334,13.636363636363637,,,,,0.5,0.6666666666666666,0.6666666666666666,0.25,,,,,,,0.4136166666666667,0.08333333333333333,0.08333333333333333,12.908333333333333,,1.0,,4.0,2.0,2.0,6.0,1.0,3.0,2.0,3.0,7.0,6.0,6.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,6.0,4.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.42806666666666665,0.41295714285714286,0.16666666666666666,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-200797-202682-203463,1610612758,"Andre Miller, Rudy Gay, Ryan Hollins, Derrick Williams, Ben McLemore","Miller, Gay, Hollins, Williams, McLemore",1889-200752-200797-202682-203463,SAC,15.0,1,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-200797-202682-203492,1610612758,"Andre Miller, Rudy Gay, Ryan Hollins, Derrick Williams, Ray McCallum","Miller, Gay, Hollins, Williams, McCallum",1889-200752-200797-202682-203492,SAC,109.0,1,2.0,-2.0,3.0,4.0,7.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,2.0,4.0,2.0,,1.0,,1.0,,1.0,,1.0,,2.0,2.0,2.0,2.0,,,,,,2.0,1.0,1.0,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,92.4770642201835,10.333333333333334,19.5,10.333333333333334,19.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,,0.6666666666666666,,0.47048333333333336,,,4.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-200797-203463-203492,1610612758,"Andre Miller, Rudy Gay, Ryan Hollins, Ben McLemore, Ray McCallum","Miller, Gay, Hollins, McLemore, McCallum",1889-200752-200797-203463-203492,SAC,46.0,1,1.0,,2.0,2.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,125.21739130434781,5.0,18.0,5.0,18.0,,,,,,,,,,,,,,,0.3859,,,14.6,,2.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,0.3859,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-201171-201956-202326,1610612758,"Andre Miller, Rudy Gay, Carl Landry, Omri Casspi, DeMarcus Cousins","Miller, Gay, Landry, Casspi, Cousins",1889-200752-201171-201956-202326,SAC,66.0,1,1.0,,2.0,2.0,4.0,,,,,,,,,1.0,1.0,,3.0,3.0,,3.0,,,,1.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,3.0,,,1.0,1.0,1.0,,1.5,1.5,1.0,1.0,1.0,1.0,,87.27272727272727,15.5,17.5,15.5,17.5,,,,,,,,,,,,,1.0,,0.64845,,,,23.7,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-201171-202326-203463,1610612758,"Andre Miller, Rudy Gay, Carl Landry, DeMarcus Cousins, Ben McLemore","Miller, Gay, Landry, Cousins, McLemore",1889-200752-201171-202326-203463,SAC,40.0,1,1.0,4.0,2.0,1.0,3.0,1.0,1.0,,1.0,,,1.0,2.0,,,2.0,4.0,,,,,,,,,,,,,,1.0,2.0,,,1.0,2.0,1.0,2.0,,,,,,0.5,0.5,0.6666666666666666,,,1.0,,,108.0,11.5,17.0,11.5,17.0,0.5,1.0,1.0,,0.5,,,,,,,,0.5,,0.52585,0.3333333333333333,0.3333333333333333,4.6,,,,,1.0,,,1.0,1.0,2.0,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,0.6531,,0.5,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-201171-202682-203463,1610612758,"Andre Miller, Rudy Gay, Carl Landry, Derrick Williams, Ben McLemore","Miller, Gay, Landry, Williams, McLemore",1889-200752-201171-202682-203463,SAC,170.0,1,3.0,-8.0,5.0,6.0,11.0,1.0,2.0,,1.0,,1.0,1.0,4.0,,1.0,,2.0,10.0,2.0,,1.0,,1.0,,1.0,,1.0,,2.0,,,2.0,,,2.0,2.0,1.0,,1.0,1.0,,,,0.25,0.2,0.16666666666666666,0.2,,,,,93.17647058823529,20.4,11.333333333333334,18.6,11.333333333333334,0.4,0.5,0.5,1.0,0.2,,,,0.2,,,,0.6,,0.55519,0.16666666666666666,0.2,7.6,25.1,,,5.0,2.0,,1.0,1.0,2.0,2.0,1.0,4.0,2.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,2.0,5.0,0.5,0.25,0.5,0.2,0.5,0.16666666666666666,,0.3333333333333333,,0.5,1.0,,,0.2,,,,0.6305,0.55519,1.0,1.0,1.0,,,,,,,,,,,,,1.0,2.0,,,,,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
1889-200752-201171-202682-203917,1610612758,"Andre Miller, Rudy Gay, Carl Landry, Derrick Williams, Nik Stauskas","Miller, Gay, Landry, Williams, Stauskas",1889-200752-201171-202682-203917,SAC,227.0,2,4.0,-7.0,8.0,8.0,16.0,1.0,4.0,,1.0,,1.0,1.0,6.0,,1.0,1.0,3.0,10.0,,,1.0,,,,,,,,,1.0,4.0,5.0,,,1.0,1.0,,3.0,,,,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.0,,,101.4977973568282,15.125,13.25,15.0,13.25,0.5714285714285714,0.25,0.3333333333333333,,0.14285714285714285,,,,0.14285714285714285,,,,0.7142857142857143,,0.5370071428571428,,,5.283333333333333,25.2,,,5.0,1.0,,1.0,,1.0,,,5.0,1.0,2.0,,1.0,,3.0,1.0,,,2.0,2.0,,,,,1.0,5.0,,,,,,,,0.2,1.0,0.16666666666666666,,1.0,1.0,0.14285714285714285,,,,0.5833,0.48861999999999994,,0.3333333333333333,0.625,,1.0,0.16666666666666666,,,,,,,,,,,1.0,,,1.0,,1.0,,,3.0,,,,1.0,1.0,,,,,0.6,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2015,2014-15,False
