year,season,ortg,oreb%,total_points,total_fg_miss,total_oreb,total_opp_dreb,total_off_poss
2001,2000-01,1.0410368862087869,0.32176317001996624,13293,6511,2095,5587,12769
2002,2001-02,1.030100076982294,0.3127903375658099,13381,6458,2020,5587,12990
2003,2002-03,1.0476072402677907,0.30983419820275915,16900,7901,2448,5587,16132
2004,2003-04,0.9862686159311381,0.30487137383689106,14437,7308,2228,5587,14638
2005,2004-05,1.0782758164749437,0.3233769776322968,16310,7332,2371,5587,15126
2006,2005-06,1.0825922010075253,0.2907772855416835,17407,7449,2166,5587,16079
2007,2006-07,1.0482962545761758,0.30325227072956346,14890,6826,2070,5587,14204
2008,2007-08,1.069485414618158,0.3044064142298882,16315,7421,2259,5587,15255
2009,2008-09,1.078624401128831,0.2823464151990015,16435,7211,2036,5587,15237
2010,2009-10,1.0859024853999728,0.301432664756447,15991,6980,2104,5587,14726
2011,2010-11,1.062133891213389,0.30487285125728086,15231,7039,2146,5587,14340
2012,2011-12,1.036566717638455,0.29197472778599276,15591,7439,2172,5587,15041
2013,2012-13,1.049626986701265,0.2890096778470105,16180,7543,2180,5587,15415
2014,2013-14,1.0875890007365578,0.2849233938457577,17719,7767,2213,5587,16292
2015,2014-15,1.0551237206892083,0.2844392704695382,16289,7731,2199,5587,15438
2016,2015-16,1.0684505289359054,0.2804345111749282,17170,8009,2246,5587,16070
2017,2016-17,1.1196124290010023,0.2707135847469508,16755,7133,1931,5587,14965
2018,2017-18,1.0940154563454045,0.25113001861207124,17129,7522,1889,5587,15657
2019,2018-19,1.0995393426294822,0.2676481691204228,17663,7947,2127,5587,16064
2020,2019-20,1.1199581255003388,0.24190600522193212,18187,7660,1853,5587,16239
2021,2020-21,1.1473845212603242,0.2624024175270713,18754,7942,2084,5587,16345
2022,2021-22,1.1196803680610206,0.2613464447806354,18496,7932,2073,5587,16519
2023,2022-23,1.13816765578635,0.27401594734843693,18411,7901,2165,5587,16176
2024,2023-24,1.1381168276496485,0.2726784034403978,17321,7441,2029,5587,15219
