year,season,ortg,oreb%,total_points,total_fg_miss,total_oreb
2001,200001,1.0271433843125999,0.31338308411127447,225459,106799,33469
2002,200102,1.0424667346207885,0.3172714727930481,227043,107252,34028
2003,200203,1.0327687641599064,0.3133374388832904,226102,107172,33581
2004,200304,1.025378226525025,0.3157356308893644,222100,106548,33641
2005,200405,1.0569755105649368,0.31760859411489956,239109,109191,34680
2006,200506,1.0608385639858462,0.3063958472684108,238642,106147,32523
2007,200607,1.0650848914301752,0.30355327081685685,242899,106212,32241
2008,200708,1.074301822472794,0.29826705380770363,245811,108832,32461
2009,200809,1.0818234616027667,0.29796554796554797,245879,107744,32104
2010,200910,1.0777591681496215,0.29666817539419355,247100,108259,32117
2011,201011,1.0747894475824324,0.2968400421574247,244894,108166,32108
2012,201112,1.0463401645869133,0.30113361870414684,190594,89007,26803
2013,201213,1.0590360705254285,0.29785999800592783,241223,110327,32862
2014,201314,1.0680782655043757,0.2905568572531488,248482,111393,32366
2015,201415,1.0587250632562784,0.28697156678407176,246035,113283,32509
2016,201516,1.0665867130622793,0.2731499758740185,252572,113985,31135
2017,201617,1.0928179863772713,0.26815368158942254,259753,114054,30584
2018,201718,1.0927578370429785,0.2587970701227783,261580,114271,29573
2019,201819,1.1096990617736655,0.264968959837831,273573,118395,31371
2020,201920,1.112040989804209,0.25973258767697854,236788,101566,26380
2021,202021,1.1288084703644476,0.2564386732312038,242117,101962,26147
2022,202122,1.1255025395827474,0.26684190697993015,272115,116792,31165
2023,202223,1.1532898932256324,0.27501996332014145,282127,113959,31341
2024,202324,1.157266485157283,0.2754451432199925,280960,114963,31666
2025,202425,1.1371349491709564,0.2820228066849048,87921,36919,10412
