EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,SecondChanceTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,PenaltyAtRimFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,Corner3Assists,ShortMidRangeAssists,SelfOReb,LostBallTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceFtPoints,FTOffRebounds,LostBallSteals,BlockingFouls,Loose Ball Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,RecoveredBlocks,OffFTReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,BlockedShortMidRange,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,HeaveAttempts,Charge Fouls,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,BlockedCorner3,OffensiveGoaltends,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
1626166-1737-200751-201627-2555,1610612760,"Cameron Payne, Nazr Mohammed, Randy Foye, Anthony Morrow, Nick Collison","Payne, Mohammed, Foye, Morrow, Collison",1626166-1737-200751-201627-2555,OKC,605.0,3,10.0,4.0,23.0,22.0,9.0,18.0,45.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,6.0,11.0,2.0,5.0,18.0,14.0,2.0,5.0,1.0,4.0,4.0,8.0,6.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,5.0,8.0,1.0,14.0,14.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,4.0,6.0,1.0,1.0,1.0,18.0,4.0,9.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.4,0.4,0.5454545454545454,0.4,0.5625,0.3333333333333333,0.5294117647058824,0.3333333333333333,0.3125,0.09090909090909091,0.25,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.10743801652892,11.782608695652174,15.181818181818182,11.782608695652174,15.181818181818182,0.25,0.75,1.0,0.3333333333333333,0.1875,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,1.0,0.0625,0.25,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,0.5625,0.5,0.482778125,0.4249,0.058823529411764705,0.08333333333333333,0.2222222222222222,10.054545454545455,24.96,0.391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-1737-201627-202713-2555,1610612760,"Cameron Payne, Nazr Mohammed, Anthony Morrow, Kyle Singler, Nick Collison","Payne, Mohammed, Morrow, Singler, Collison",1626166-1737-201627-202713-2555,OKC,256.0,1,4.0,-4.0,9.0,9.0,,9.0,18.0,1.0,3.0,,,,,1.0,,,2.0,,1.0,4.0,,2.0,3.0,7.0,,,,,,2.0,,2.0,,1.0,,,,,,,,3.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,,4.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,0.25,,0.16666666666666666,,0.21428571428571427,,0.3333333333333333,0.25,0.3333333333333333,0.5,1.0,0.5,1.0,0.8,0.5,,,1.0,,101.25,17.333333333333332,11.11111111111111,16.444444444444443,10.222222222222221,0.5,0.3333333333333333,0.5,,,,,0.16666666666666666,,,,,0.3333333333333333,,,,,,0.8333333333333334,,0.45045833333333335,,0.14285714285714285,0.2,,7.05,26.9,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.4,0.5,0.5,0.5,1.0,0.5321,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-1737-201627-203079-203962,1610612760,"Cameron Payne, Nazr Mohammed, Anthony Morrow, Dion Waiters, Josh Huestis","Payne, Mohammed, Morrow, Waiters, Huestis",1626166-1737-201627-203079-203962,OKC,249.0,1,4.0,-3.0,8.0,8.0,6.0,8.0,16.0,,,,,,1.0,2.0,,2.0,3.0,2.0,1.0,2.0,2.0,3.0,10.0,13.0,1.0,2.0,2.0,8.0,,2.0,3.0,3.0,2.0,,,1.0,1.0,1.0,,,3.0,,,,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,,2.0,2.0,4.0,2.0,10.0,8.0,6.0,2.0,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.8,1.0,0.7142857142857143,0.8,0.6,,,0.5,,,,,,,,,,92.5301204819277,17.5,13.625,17.375,13.625,,,,,,,,0.4,0.5,0.5,,,0.6,0.6666666666666666,0.6666666666666666,0.5,,0.5,0.6,0.6666666666666666,0.41641000000000006,0.4177625,0.2857142857142857,0.5,0.8,16.35,25.833333333333332,0.75,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,0.5,,1.0,,,,,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-1737-202713-203460-203956,1610612760,"Cameron Payne, Nazr Mohammed, Kyle Singler, Andre Roberson, Mitch McGary","Payne, Mohammed, Singler, Roberson, McGary",1626166-1737-202713-203460-203956,OKC,57.0,1,1.0,,2.0,2.0,,2.0,4.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,1.0,,,1.0,,,101.05263157894737,13.5,15.0,13.5,15.0,,,,,,,,0.5,,,,0.5,,,,,,,0.5,,0.464575,,,,,18.8,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-201627-202683,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Anthony Morrow, Enes Kanter","Payne, Foye, Durant, Morrow, Kanter",1626166-200751-201142-201627-202683,OKC,132.0,2,2.0,,4.0,4.0,,,8.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,1.0,1.0,7.0,7.0,,,,,,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,7.0,,,,,,1.0,1.0,1.0,0.6666666666666666,,0.875,,0.875,,0.25,0.3333333333333333,1.0,,,,1.0,0.5,,,,1.0,,87.27272727272727,11.0,22.0,11.0,20.75,0.25,,,,0.25,1.0,1.0,0.25,1.0,1.0,,,0.25,1.0,1.0,1.0,,,0.5,1.0,0.51395,,,,,10.633333333333333,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-202683-202713,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Enes Kanter, Kyle Singler","Payne, Foye, Durant, Kanter, Singler",1626166-200751-201142-202683-202713,OKC,786.0,2,13.0,15.0,27.0,27.0,11.0,8.0,54.0,5.0,7.0,4.0,1.0,6.0,2.0,4.0,1.0,3.0,6.0,2.0,8.0,17.0,4.0,7.0,40.0,25.0,3.0,7.0,3.0,19.0,8.0,8.0,9.0,6.0,3.0,2.0,4.0,3.0,7.0,2.0,3.0,,17.0,4.0,6.0,1.0,11.0,16.0,2.0,2.0,2.0,,1.0,1.0,,3.0,1.0,5.0,8.0,8.0,12.0,6.0,33.0,19.0,11.0,1.0,0.5,0.5,0.75,0.5714285714285714,0.5714285714285714,0.47058823529411764,0.42857142857142855,0.5833333333333334,0.6,0.6896551724137931,0.7307692307692307,0.2916666666666667,0.11764705882352941,0.14285714285714285,0.6666666666666666,1.0,0.75,0.8,0.7692307692307693,0.6,1.0,1.0,0.6666666666666666,1.0,98.93129770992367,15.592592592592593,13.518518518518519,12.666666666666666,13.296296296296296,0.2916666666666667,0.7142857142857143,0.8333333333333334,0.6,0.25,0.16666666666666666,0.2,0.16666666666666666,0.5,0.5,,0.041666666666666664,0.25,0.5,0.5,0.6666666666666666,0.4,0.2,0.5833333333333334,0.5,0.48837708333333335,0.47442,0.21428571428571427,0.2857142857142857,0.475,8.211764705882352,24.62857142857143,0.4074074074074074,5.0,2.0,2.0,12.0,2.0,5.0,7.0,,1.0,4.0,5.0,,,1.0,1.0,2.0,0.4,0.5833333333333334,0.5833333333333334,0.5,0.3333333333333333,0.45454545454545453,1.0,0.3333333333333333,0.3333333333333333,1.0,0.38877,0.175,1.0,2.0,3.0,,0.6666666666666666,0.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.75,0.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-202683-203079,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Enes Kanter, Dion Waiters","Payne, Foye, Durant, Kanter, Waiters",1626166-200751-201142-202683-203079,OKC,2695.0,7,45.0,20.0,91.0,92.0,24.0,17.0,183.0,14.0,29.0,7.0,6.0,14.0,7.0,15.0,8.0,8.0,19.0,9.0,27.0,58.0,11.0,27.0,105.0,85.0,6.0,12.0,10.0,31.0,26.0,28.0,24.0,19.0,8.0,5.0,13.0,8.0,21.0,5.0,9.0,2.0,50.0,9.0,24.0,2.0,35.0,51.0,8.0,6.0,8.0,3.0,6.0,4.0,,12.0,2.0,8.0,18.0,23.0,24.0,10.0,91.0,31.0,24.0,2.0,0.48148148148148145,0.5416666666666666,0.7272727272727273,0.4074074074074074,0.4074074074074074,0.46551724137931033,0.5,0.5117647058823529,0.6136363636363636,0.5473684210526316,0.5961538461538461,0.3176470588235294,0.08620689655172414,0.13793103448275862,0.6666666666666666,0.5,0.6857142857142857,0.8181818181818182,0.717391304347826,0.5384615384615384,0.6923076923076923,0.8888888888888888,0.875,0.6666666666666666,97.78107606679036,14.813186813186814,14.641304347826088,14.032967032967033,13.826086956521738,0.3411764705882353,0.4827586206896552,0.56,0.6428571428571429,0.16470588235294117,0.42857142857142855,0.46153846153846156,0.17647058823529413,0.4666666666666667,0.4666666666666667,0.2857142857142857,0.09411764705882353,0.2235294117647059,0.42105263157894735,0.42105263157894735,0.625,0.3181818181818182,0.4090909090909091,0.6588235294117647,0.42105263157894735,0.5095764705882353,0.5284931818181818,0.10869565217391304,0.15384615384615385,0.29523809523809524,7.155172413793103,24.88148148148148,0.26373626373626374,13.0,3.0,7.0,18.0,3.0,7.0,14.0,6.0,3.0,11.0,16.0,,,4.0,3.0,4.0,0.42857142857142855,0.4090909090909091,0.5,0.36666666666666664,0.21428571428571427,0.3181818181818182,0.3333333333333333,0.1111111111111111,0.6363636363636364,0.42857142857142855,0.5388375,0.13333333333333333,4.0,5.0,9.0,2.0,0.5,0.4444444444444444,4.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,,,2.0,0.25,0.07142857142857142,0.42857142857142855,0.375,0.05128205128205128,0.3333333333333333,0.375,0.375,1.0,,0.2727272727272727,0.3333333333333333,0.5714285714285714,0.045454545454545456,1.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0.5,0.4,0.75,0.09090909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-202683-203500,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Enes Kanter, Steven Adams","Payne, Foye, Durant, Kanter, Adams",1626166-200751-201142-202683-203500,OKC,104.0,1,2.0,,3.0,3.0,3.0,2.0,6.0,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,3.0,,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,2.0,,1.0,,,,,,,,,,,2.0,,2.0,3.0,,,,,,,,,,,1.0,,,,,2.0,3.0,,,,,,,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,,,,,1.0,,1.0,,1.0,,,,83.07692307692308,16.0,18.666666666666668,13.666666666666666,18.666666666666668,0.25,,,,0.5,0.5,0.5,,,,,,0.25,,,,0.25,0.25,0.5,,0.45405,0.45405,,,1.0,7.3999999999999995,24.7,1.0,1.0,,,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,0.5,1.0,,,,0.3931,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-203079-203500,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Dion Waiters, Steven Adams","Payne, Foye, Durant, Waiters, Adams",1626166-200751-201142-203079-203500,OKC,155.0,2,3.0,6.0,4.0,6.0,,,10.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,2.0,2.0,1.0,1.0,8.0,2.0,,,,,,4.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,8.0,,,,,,1.0,1.0,1.0,1.0,,1.1666666666666667,,1.0,,0.3333333333333333,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,92.9032258064516,17.5,14.166666666666666,17.5,14.166666666666666,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,1.0,0.5106,,0.25,0.3333333333333333,,3.9,26.7,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201566-201627-202683,1610612760,"Cameron Payne, Randy Foye, Russell Westbrook, Anthony Morrow, Enes Kanter","Payne, Foye, Westbrook, Morrow, Kanter",1626166-200751-201566-201627-202683,OKC,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
