EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,ShootingFouls,Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,OffAtRimReboundPct,DefAtRimReboundPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,FTDefRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,BlocksRecoveredPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,AtRimPctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,TwoPtShootingFoulsDrawnPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,LongMidRangeAssists,Loose Ball Fouls Drawn,SecondChanceFg3Pct,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallTurnovers,ShortMidRangeAssists,Offensive Fouls,BlockedAtRim,3SecondViolations,ShortMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,HeaveAttempts,Travels,Technical Free Throw Trips,OffensiveGoaltends,Blocked3s,BlockedArc3,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,BlockingFouls,BlockedLongMidRange,Charge Fouls,SecondChanceCorner3FGM,Charge Fouls Drawn,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Clear Path Fouls,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1626146-1626192-1626242-203086-204025,1610612757,"Cliff Alexander, Pat Connaughton, Luis Montero, Meyers Leonard, Tim Frazier","Alexander, Connaughton, Montero, Leonard, Frazier",1626146-1626192-1626242-203086-204025,POR,49.0,1,1.0,-2.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,176.3265306122449,8.333333333333334,8.0,8.333333333333334,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-1626192-1626242-203148-203943,1610612757,"Cliff Alexander, Pat Connaughton, Luis Montero, Brian Roberts, Noah Vonleh","Alexander, Connaughton, Montero, Roberts, Vonleh",1626146-1626192-1626242-203148-203943,POR,281.0,1,5.0,15.0,10.0,10.0,2.0,10.0,20.0,2.0,16.0,1.0,1.0,1.0,3.0,6.0,8.0,1.0,1.0,1.0,3.0,3.0,1.0,13.0,2.0,0.7272727272727273,0.25,1.0,1.0,1.0,102.49110320284697,12.2,15.9,12.1,15.9,0.0625,0.2,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,7.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.7,1.0,0.75,0.3,0.14285714285714285,0.5,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,0.5,0.2,0.3,0.6666666666666666,0.6666666666666666,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.5,0.44306,0.5838,0.4749,0.1,0.3333333333333333,0.1875,10.157142857142857,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-1626192-203090-203943-204025,1610612757,"Cliff Alexander, Pat Connaughton, Maurice Harkless, Noah Vonleh, Tim Frazier","Alexander, Connaughton, Harkless, Vonleh, Frazier",1626146-1626192-203090-203943-204025,POR,51.0,1,1.0,2.0,3.0,3.0,3.0,3.0,6.0,,2.0,,,2.0,,,,,,,,,,2.0,3.0,0.5,0.5,,,,169.41176470588235,3.6666666666666665,13.333333333333334,3.6666666666666665,13.333333333333334,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,,,,,2.0,2.0,,,,,,,,2.0,,1.0,1.0,,,,1.0,,0.5,,,0.5,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,0.5,,,0.5,1.0,0.644,,0.644,,,,1.7,24.4,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-1626192-203459-203943-204025,1610612757,"Cliff Alexander, Pat Connaughton, Allen Crabbe, Noah Vonleh, Tim Frazier","Alexander, Connaughton, Crabbe, Vonleh, Frazier",1626146-1626192-203459-203943-204025,POR,207.0,2,3.0,-4.0,7.0,7.0,7.0,7.0,14.0,,2.0,6.0,,2.0,2.0,2.0,3.0,2.0,3.0,3.0,,,,2.0,7.0,0.25,0.25,1.0,1.0,,97.39130434782608,16.285714285714285,13.285714285714286,16.0,13.285714285714286,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,,1.0,1.0,1.0,3.0,,1.0,,1.0,,,1.0,2.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,2.0,,1.0,1.0,,,,0.3333333333333333,,0.25,,,0.25,,,0.5,,,0.3333333333333333,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.25,1.0,,0.25,1.0,0.4586125,0.4656,0.4586125,,,,2.733333333333333,24.8,1.0,3.0,1.0,3.0,0.3333333333333333,0.25,0.75,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-201945-202329-203081-203486,1610612757,"Cliff Alexander, Gerald Henderson, Al-Farouq Aminu, Damian Lillard, Mason Plumlee","Alexander, Henderson, Aminu, Lillard, Plumlee",1626146-201945-202329-203081-203486,POR,37.0,1,1.0,2.0,1.0,,1.0,,1.0,,2.0,,,2.0,,,1.0,,,,,,,,1.0,0.5,0.5,,,,38.91891891891892,27.0,,24.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,1.0,2.0,,,1.0,1.0,,2.0,,,2.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,0.5,1.0,0.5,1.0,1.0,,0.5,0.5,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,0.37205,0.3585,0.37205,,,1.0,9.1,,,,1.0,2.0,0.5,0.5,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-201945-202329-203468-203486,1610612757,"Cliff Alexander, Gerald Henderson, Al-Farouq Aminu, CJ McCollum, Mason Plumlee","Alexander, Henderson, Aminu, McCollum, Plumlee",1626146-201945-202329-203468-203486,POR,32.0,1,1.0,,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,90.0,21.0,11.0,21.0,11.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,0.3845,,0.3845,,,,13.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-201945-202334-203081-203459,1610612757,"Cliff Alexander, Gerald Henderson, Ed Davis, Damian Lillard, Allen Crabbe","Alexander, Henderson, Davis, Lillard, Crabbe",1626146-201945-202334-203081-203459,POR,135.0,1,2.0,,4.0,5.0,,,9.0,,4.0,4.0,,,2.0,3.0,3.0,,,,1.0,,,4.0,,0.5,,1.0,0.6666666666666666,1.0,96.0,17.5,13.0,17.5,13.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,2.0,3.0,,1.0,,,,,,2.0,2.0,,,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,0.5,0.5,,,,0.6666666666666666,,0.5,,,0.25,,,,,,,,,1.0,,,,0.25,1.0,1.0,1.0,0.25,0.25,,,,,,,0.25,,,,0.5,0.576325,,,,,,9.566666666666666,24.5,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-201945-202334-203090-203468,1610612757,"Cliff Alexander, Gerald Henderson, Ed Davis, Maurice Harkless, CJ McCollum","Alexander, Henderson, Davis, Harkless, McCollum",1626146-201945-202334-203090-203468,POR,128.0,1,2.0,1.0,4.0,5.0,1.0,,9.0,,5.0,4.0,,3.0,1.0,2.0,2.0,,,,1.0,1.0,,5.0,1.0,0.625,1.5,1.0,1.0,,101.25,13.25,15.0,13.25,15.0,0.6,0.25,,1.0,2.0,,,,,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,,1.0,2.0,,3.0,,,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,,1.0,,,1.0,,,1.0,1.0,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.625,,,0.25,0.3333333333333333,,,1.0,,,,,,1.0,,,0.5,0.5,1.0,1.0,,0.25,,,0.25,1.0,1.0,1.0,,,,,0.75,0.6088875,,0.58185,0.25,,,5.933333333333334,24.0,,,,,,1.5,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-201945-202334-203459-203468,1610612757,"Cliff Alexander, Gerald Henderson, Ed Davis, Allen Crabbe, CJ McCollum","Alexander, Henderson, Davis, Crabbe, McCollum",1626146-201945-202334-203459-203468,POR,26.0,2,,3.0,2.0,,2.0,,2.0,,3.0,,,3.0,,,,,,,,,,3.0,2.0,0.75,0.75,,,,110.76923076923076,8.0,,8.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,3.0,,1.0,,,1.0,1.0,,,3.0,,,,,,,,,,1.0,,,,,3.0,,,,1.0,1.0,1.0,,,0.75,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,0.5,0.5,0.39625,,0.39625,,,,21.0,26.3,,,,1.0,,0.75,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
1626146-202329-202334-203081-203459,1610612757,"Cliff Alexander, Al-Farouq Aminu, Ed Davis, Damian Lillard, Allen Crabbe","Alexander, Aminu, Davis, Lillard, Crabbe",1626146-202329-202334-203081-203459,POR,362.0,2,6.0,7.0,14.0,13.0,9.0,,27.0,4.0,17.0,10.0,2.0,7.0,3.0,6.0,7.0,1.0,1.0,1.0,2.0,4.0,1.0,14.0,9.0,0.6071428571428571,0.3888888888888889,0.75,0.8571428571428571,1.0,107.40331491712708,11.5,15.461538461538462,11.214285714285714,15.461538461538462,0.4117647058823529,0.6428571428571429,1.0,,1.0,,,1.0,1.0,3.0,,,7.0,4.0,2.0,5.0,3.0,7.0,,,,3.0,4.0,2.0,2.0,6.0,,7.0,,1.0,2.0,3.0,,,8.0,,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,,,,7.0,1.0,0.5,0.5,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.4,,0.5416666666666666,1.5,1.5,0.5833333333333334,,,0.3333333333333333,1.0,,0.16666666666666666,,,,1.0,1.0,,0.08333333333333333,,,,0.08333333333333333,0.25,0.3333333333333333,0.3333333333333333,,,,,0.5833333333333334,,,0.5,0.6666666666666666,0.4811666666666667,0.6303,0.46416875,0.07692307692307693,,0.17647058823529413,13.059999999999999,25.400000000000002,,1.0,1.0,4.0,0.25,0.3125,0.125,,1.0,,,,,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,0.25,,,,0.16666666666666666,3.0,1.0,3.0,2.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.25,0.42857142857142855,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,True
