EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Corner3FGA,PenaltyCorner3FGA,PenaltyFtPoints,PenaltyPoints,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,Corner3Frequency,PenaltyCorner3Frequency,PenaltyPointsPct,ShortMidRangeFGM,FG2M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PtsUnassisted2s,OffThreePtRebounds,FTDefRebounds,NonShootingFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChancePointsPct,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGA,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimAccuracy,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,PtsUnassisted3s,SecondChanceTurnovers,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsPutbacks,SelfOReb,SecondChanceFg3Pct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,LongMidRangePctBlocked,Blocked2s,BlockedAtRim,Blocks,BlockingFouls,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,BlockedLongMidRange,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,team_id,year,season,team_vs
101109-101111-101114-1717-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Wesley Matthews","Felton, Villanueva, Williams, Nowitzki, Matthews",101109-101111-101114-1717-202083,DAL,32.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,180.0,7.5,8.5,7.5,8.5,1.0,1.0,1.0,0.53235,0.53235,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-202083-2585,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Wesley Matthews, Zaza Pachulia","Felton, Villanueva, Williams, Matthews, Pachulia",101109-101111-101114-202083-2585,DAL,150.0,1,2.0,-3.0,5.0,6.0,2.0,1.0,11.0,,,,5.0,,,,1.0,,,3.0,,1.0,,2.0,,105.6,13.8,13.5,13.6,10.666666666666666,,,0.5,0.4585,0.4135,,0.4,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.2,1.0,0.3333333333333333,0.25,1.0,0.6,0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.6286,0.2,0.2,5.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101135-1626147-202083,1610612742,"Raymond Felton, Charlie Villanueva, David Lee, Justin Anderson, Wesley Matthews","Felton, Villanueva, Lee, Anderson, Matthews",101109-101111-101135-1626147-202083,DAL,36.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,1.0,,,,2.0,1.0,160.0,7.5,10.5,7.5,10.5,0.5,0.5,1.0,0.436875,0.436875,24.05,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101135-1626147-2734,1610612742,"Raymond Felton, Charlie Villanueva, David Lee, Justin Anderson, Devin Harris","Felton, Villanueva, Lee, Anderson, Harris",101109-101111-101135-1626147-2734,DAL,34.0,1,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,0.5,84.70588235294117,33.0,1.0,20.0,1.0,0.5,0.5,0.5,0.439525,0.439525,24.9,1.0,1.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,2.0,,,,0.5,,,,,,1.0,,,,,,0.5,,,,,,6.4,,,1.0,3.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-1626147-201580-203939,1610612742,"Raymond Felton, Charlie Villanueva, Justin Anderson, JaVale McGee, Dwight Powell","Felton, Villanueva, Anderson, McGee, Powell",101109-101111-1626147-201580-203939,DAL,409.0,1,7.0,4.0,13.0,13.0,7.0,,26.0,,,,6.0,,,2.0,3.0,2.0,,1.0,1.0,5.0,,7.0,,91.54034229828851,12.461538461538462,19.0,12.23076923076923,17.384615384615383,,,0.4444444444444444,0.5760222222222222,0.571475,,0.5384615384615384,1.0,4.0,1.0,2.0,2.0,9.0,4.0,10.0,1.0,4.0,2.0,3.0,3.0,6.0,2.0,8.0,1.0,,1.0,,,,7.0,3.0,9.0,,0.4166666666666667,0.3333333333333333,0.75,0.3333333333333333,0.6,0.6666666666666666,0.3333333333333333,,0.5,0.75,,0.4444444444444444,0.2222222222222222,1.0,0.5,0.8524,0.2727272727272727,0.2727272727272727,7.455555555555555,,,2.0,6.0,,6.0,,,0.6,,3.0,,1.0,1.0,2.0,,,,1.0,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.25,0.6,,,,,,0.1,3.0,2.0,3.0,6.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.75,0.75,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-1626147-202083-203939,1610612742,"Raymond Felton, Charlie Villanueva, Justin Anderson, Wesley Matthews, Dwight Powell","Felton, Villanueva, Anderson, Matthews, Powell",101109-101111-1626147-202083-203939,DAL,27.0,1,,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,1.0,,,,160.0,2.0,12.5,2.0,12.5,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-1626147-203939-2585,1610612742,"Raymond Felton, Charlie Villanueva, Justin Anderson, Dwight Powell, Zaza Pachulia","Felton, Villanueva, Anderson, Powell, Pachulia",101109-101111-1626147-203939-2585,DAL,162.0,1,3.0,-5.0,5.0,6.0,,,11.0,1.0,,2.0,9.0,,1.0,,,,2.0,2.0,,2.0,1.0,,0.5,97.77777777777777,17.4,12.5,17.4,12.5,0.25,,0.5,0.4689875,,23.9,,,,,,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,2.0,1.0,4.0,,0.4,,,,,,,,,,,,0.5,,,,0.2,0.3333333333333333,9.6,1.0,,,,,,0.25,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-1626147-202083-2734,1610612742,"Raymond Felton, Deron Williams, Justin Anderson, Wesley Matthews, Devin Harris","Felton, Williams, Anderson, Matthews, Harris",101109-101114-1626147-202083-2734,DAL,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-1626257-1717-202083,1610612742,"Raymond Felton, Deron Williams, Salah Mejri, Dirk Nowitzki, Wesley Matthews","Felton, Williams, Mejri, Nowitzki, Matthews",101109-101114-1626257-1717-202083,DAL,775.0,2,13.0,-9.0,23.0,22.0,2.0,7.0,45.0,4.0,,5.0,29.0,,4.0,1.0,4.0,,1.0,6.0,,5.0,,2.0,0.2631578947368421,83.61290322580645,18.652173913043477,15.727272727272727,18.130434782608695,15.0,0.21052631578947367,,0.3684210526315789,0.42462894736842105,0.256,24.580000000000002,0.08695652173913043,2.0,2.0,,,4.0,14.0,3.0,20.0,1.0,1.0,2.0,6.0,2.0,9.0,2.0,11.0,1.0,1.0,3.0,,1.0,,4.0,2.0,20.0,1.0,0.47619047619047616,0.75,0.4,0.2857142857142857,0.75,0.6153846153846154,0.18181818181818182,1.0,1.0,0.8,0.6666666666666666,0.10526315789473684,0.21052631578947367,,,0.4834,0.09523809523809523,0.125,12.114285714285714,1.0,,2.0,4.0,,4.0,0.05263157894736842,,0.2,3.0,7.0,,,,1.0,4.0,,1.0,,0.5,,1.0,0.4473684210526316,,1.0,,1.0,1.0,,,0.75,0.75,,1.0,,8.0,10.0,5.0,6.0,1.0,13.0,,,3.0,,,,0.7142857142857143,0.7142857142857143,1.0,,0.5,0.5,1.0,1.0,0.42105263157894735,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2,0.2,0.25,0.25,1.0,0.25,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.07142857142857142,0.5,0.3333333333333333,0.375,0.375,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-1717-202083-2585,1610612742,"Raymond Felton, Deron Williams, Dirk Nowitzki, Wesley Matthews, Zaza Pachulia","Felton, Williams, Nowitzki, Matthews, Pachulia",101109-101114-1717-202083-2585,DAL,639.0,3,11.0,-10.0,19.0,19.0,,,38.0,3.0,,3.0,22.0,,3.0,4.0,5.0,,2.0,4.0,,2.0,,,0.1875,85.63380281690141,18.526315789473685,15.105263157894736,17.63157894736842,13.947368421052632,0.1875,,0.5,0.485975,,24.566666666666666,,2.0,5.0,,,4.0,13.0,,12.0,,,2.0,3.0,4.0,8.0,2.0,10.0,1.0,1.0,1.0,,1.0,,,,12.0,,0.375,0.2,0.6666666666666666,0.2,0.5,0.5833333333333334,0.18181818181818182,0.3333333333333333,,0.4,1.0,0.3125,0.25,,,0.5592,,,8.253846153846153,,,,,,,,,,1.0,3.0,,,,,6.0,,1.0,,0.23076923076923078,,,0.375,,,,,1.0,,,0.25,0.25,,2.0,,4.0,,,1.0,,3.0,,1.0,1.0,1.0,,,,,,0.25,0.6666666666666666,0.4,0.5,,0.25,,2.0,2.0,3.0,2.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,,1.0,1.0,1.0,,,1.0,0.07692307692307693,0.2,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
