EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossDef,Minutes,PlusMinus,OffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,FoulsDrawn,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,Fouls,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,SelfOReb,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangeAssists,Offensive Fouls Drawn,ShortMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGM,Arc3Assists,DefThreePtRebounds,FTDefRebounds,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,LostBallSteals,PtsUnassisted3s,LostBallTurnovers,DefAtRimReboundPct,DefArc3ReboundPct,SecondChanceFtPoints,OffThreePtRebounds,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,PtsPutbacks,BadPassOutOfBoundsTurnovers,BlockingFouls,BlockingFoulsDrawn,PenaltyCorner3FGM,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,NonShootingPenaltyNonTakeFouls,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceArc3FGA,SecondChanceTurnovers,3SecondViolations,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceArc3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,team_id,year,season,team_vs
1626185-1713-202362-204098-2216,1610612763,"Jarell Martin, Vince Carter, Lance Stephenson, Xavier Munford, Zach Randolph","Martin, Carter, Stephenson, Munford, Randolph",1626185-1713-202362-204098-2216,MEM,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,144.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-1713-202362-204098-2754,1610612763,"Jarell Martin, Vince Carter, Lance Stephenson, Xavier Munford, Tony Allen","Martin, Carter, Stephenson, Munford, Allen",1626185-1713-202362-204098-2754,MEM,256.0,1,8.0,,17.0,,,1.0,,,,95.625,15.75,4.0,-2.0,9.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,2.0,1.0,11.0,13.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,0.4,0.4,0.8333333333333334,1.0,0.625,1.0,0.625,1.0,0.25,0.5,1.0,0.3333333333333333,1.0,14.444444444444445,12.444444444444445,15.75,0.5,1.0,1.0,0.5,0.25,0.5,0.5,0.25,0.5,1.0,0.75,0.6293625,0.54805,0.36363636363636365,2.5166666666666666,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-1713-203210-204098-2440,1610612763,"Jarell Martin, Vince Carter, JaMychal Green, Xavier Munford, Matt Barnes","Martin, Carter, Green, Munford, Barnes",1626185-1713-203210-204098-2440,MEM,3.0,1,,,1.0,,,,,,,480.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-1713-204098-2365-2440,1610612763,"Jarell Martin, Vince Carter, Xavier Munford, Chris Andersen, Matt Barnes","Martin, Carter, Munford, Andersen, Barnes",1626185-1713-204098-2365-2440,MEM,66.0,1,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,65.45454545454545,30.0,1.0,4.0,2.0,,1.0,1.0,,,,,,2.0,2.0,,,4.0,,,,,2.0,2.0,,1.0,1.0,,2.0,,,,,,,,,,,,,4.0,0.5,0.5,1.0,,1.0,,1.0,,,,,,,18.0,18.0,30.0,0.5,1.0,1.0,,,,,,,,0.5,0.5416,,,8.6,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-200770-202362-203210-203798,1610612763,"Jarell Martin, Jordan Farmar, Lance Stephenson, JaMychal Green, PJ Hairston","Martin, Farmar, Stephenson, Green, Hairston",1626185-200770-202362-203210-203798,MEM,137.0,1,3.0,,7.0,2.0,2.0,3.0,1.0,1.0,1.0,73.57664233576642,20.666666666666668,2.0,2.0,4.0,1.0,1.0,3.0,,,,1.0,,1.0,4.0,1.0,,5.0,3.0,,,3.0,2.0,,,1.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,0.25,,0.5,1.5,0.5,1.5,0.2,,0.3333333333333333,0.3333333333333333,1.0,18.75,17.75,20.666666666666668,0.6,0.3333333333333333,0.5,1.0,0.2,,,,,,0.8,0.6566,0.6279,0.6,3.175,25.2,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-200770-202362-203798-204098,1610612763,"Jarell Martin, Jordan Farmar, Lance Stephenson, PJ Hairston, Xavier Munford","Martin, Farmar, Stephenson, Hairston, Munford",1626185-200770-202362-203798-204098,MEM,158.0,1,5.0,5.0,10.0,,,,,,,91.13924050632912,13.8,3.0,-2.0,5.0,,,,,,2.0,3.0,,3.0,4.0,,,6.0,8.0,,,,6.0,,,3.0,3.0,,6.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,6.0,1.0,1.0,0.75,,0.75,,0.75,,,1.0,,,,17.8,17.8,12.6,,,,,0.75,0.6666666666666666,0.6666666666666666,,,,,0.377475,,,10.75,,,,,1.0,1.0,1.0,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-200770-203210-203798-204098,1610612763,"Jarell Martin, Jordan Farmar, JaMychal Green, PJ Hairston, Xavier Munford","Martin, Farmar, Green, Hairston, Munford",1626185-200770-203210-203798-204098,MEM,353.0,1,11.0,,22.0,3.0,6.0,6.0,1.0,1.0,1.0,89.74504249291785,19.727272727272727,6.0,5.0,11.0,,1.0,1.0,,,,1.0,2.0,2.0,5.0,2.0,5.0,12.0,7.0,,,,4.0,,2.0,2.0,3.0,1.0,7.0,,,,,,,1.0,,1.0,3.0,6.0,,12.0,1.0,1.0,0.4,,0.5,,0.6,,0.2857142857142857,,,,,12.363636363636363,12.363636363636363,19.727272727272727,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,,,0.2857142857142857,,,0.42857142857142855,0.5182833333333333,,,13.940000000000001,30.85,11.0,11.0,1.0,1.0,3.0,1.0,3.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,,3.0,,1.0,,,1.0,0.5,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,5.0,12.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,2.0,0.5,0.4,0.5,0.6,1.0,1.0,1.0,0.5,0.5,1.0,0.14285714285714285,1.0,0.2857142857142857,0.5,0.5,0.5182833333333333,0.125,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-200770-203798-204098-2216,1610612763,"Jarell Martin, Jordan Farmar, PJ Hairston, Xavier Munford, Zach Randolph","Martin, Farmar, Hairston, Munford, Randolph",1626185-200770-203798-204098-2216,MEM,13.0,1,1.0,,2.0,,,,,,,221.53846153846152,8.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,5.0,5.0,8.0,1.0,1.0,1.0,,,,,,,,1.0,0.939,,,0.1,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,0.939,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-200770-2216-2440-2754,1610612763,"Jarell Martin, Jordan Farmar, Zach Randolph, Matt Barnes, Tony Allen","Martin, Farmar, Randolph, Barnes, Allen",1626185-200770-2216-2440-2754,MEM,44.0,1,1.0,,2.0,,,,,,,65.45454545454545,25.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,1.0,,,,,,,0.25,,1.0,,,,,19.0,19.0,22.0,,,,,,,,,,,1.0,0.6027,,,,24.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
1626185-202362-203210-203798-204098,1610612763,"Jarell Martin, Lance Stephenson, JaMychal Green, PJ Hairston, Xavier Munford","Martin, Stephenson, Green, Hairston, Munford",1626185-202362-203210-203798-204098,MEM,323.0,1,10.0,3.0,20.0,2.0,4.0,4.0,0.6666666666666666,0.8,0.5,89.1640866873065,15.5,5.0,3.0,10.0,,,,,,1.0,2.0,3.0,1.0,3.0,4.0,,11.0,8.0,,,,2.0,,3.0,1.0,2.0,,5.0,,,1.0,1.0,3.0,2.0,,,3.0,,,,11.0,1.0,1.0,0.3333333333333333,,0.7857142857142857,,0.7857142857142857,,0.5714285714285714,1.0,,,,16.8,16.8,15.5,,,,,0.2857142857142857,0.5,0.5,0.42857142857142855,,,0.5714285714285714,0.4190357142857143,,,10.200000000000001,24.475,,,,,1.0,,4.0,,0.14285714285714285,,,,1.0,1.0,,,3.0,,,3.0,,1.0,1.0,,0.3333333333333333,0.75,,0.75,,,,0.14285714285714285,1.0,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,,2.0,,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,0.6666666666666666,0.6666666666666666,,,,,,0.6666666666666666,,,,,,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,True
