EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,PenaltyOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,OffThreePtRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3FGA,PenaltyFG3A,ShortMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,DefensiveGoaltends,LiveBallTurnoverPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangePctAssisted,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffShortMidRangeReboundPct,LostBallOutOfBoundsTurnovers,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceFtPoints,Offensive Fouls,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,FTDefRebounds,DefFTReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Travels,LongMidRangeAssists,LongMidRangePctAssisted,OffCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveMakes,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,BlockingFouls,Arc3PctBlocked,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101112-201567-202681-202697-203521,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Iman Shumpert, Matthew Dellavedova","Frye, Love, Irving, Shumpert, Dellavedova",101112-201567-202681-202697-203521,CLE,349.0,2,6.0,3.0,10.0,12.0,1.0,22.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,4.0,5.0,7.0,17.0,14.0,1.0,1.0,3.0,2.0,9.0,6.0,6.0,4.0,2.0,3.0,3.0,2.0,1.0,9.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,14.0,0.6,0.7142857142857143,1.0,0.7142857142857143,0.25,0.7727272727272727,1.5,0.7727272727272727,1.5,0.6363636363636364,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,1.0,1.0,90.77363896848138,16.2,15.583333333333334,15.8,15.583333333333334,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.5,0.09090909090909091,1.0,1.0,1.0,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,0.7272727272727273,0.6666666666666666,0.5044681818181819,0.60045,0.17647058823529413,14.075,24.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-202697-2210,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Iman Shumpert, Richard Jefferson","Frye, Love, Irving, Shumpert, Jefferson",101112-201567-202681-202697-2210,CLE,15.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,96.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-202697-2544,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Iman Shumpert, LeBron James","Frye, Love, Irving, Shumpert, James",101112-201567-202681-202697-2544,CLE,390.0,5,6.0,8.0,13.0,13.0,1.0,26.0,6.0,,2.0,,,,,,1.0,6.0,10.0,,1.0,14.0,6.0,,,2.0,8.0,,,1.0,,,,2.0,,,4.0,,4.0,5.0,9.0,1.0,10.0,2.0,3.0,,12.0,,,,,0.6,0.5454545454545454,1.0,0.5833333333333334,1.0,0.09090909090909091,,,,1.0,,1.0,1.0,0.2,,1.0,1.0,96.0,15.923076923076923,14.076923076923077,15.846153846153847,14.076923076923077,0.5454545454545454,0.18181818181818182,,,,,,,0.09090909090909091,,,,,,,0.6363636363636364,,0.5309272727272728,,0.14285714285714285,5.96,25.5,6.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.4,0.18181818181818182,0.5,0.5,1.0,1.0,1.0,1.0,0.7242,0.2857142857142857,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-202697-2747,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, Iman Shumpert, JR Smith","Frye, Love, Irving, Shumpert, Smith",101112-201567-202681-202697-2747,CLE,144.0,1,2.0,6.0,4.0,4.0,,8.0,,,,,1.0,,,2.0,2.0,1.0,1.0,2.0,3.0,8.0,2.0,,,,2.0,,6.0,2.0,2.0,,,,,,,,1.0,2.0,3.0,,3.0,,,,8.0,,0.6666666666666666,,0.6666666666666666,1.0,1.0,,1.0,,0.75,,,,0.6666666666666666,,1.0,0.75,,,,1.0,80.0,17.0,19.0,17.0,18.75,,,,,0.25,,,,0.5,1.0,1.0,,,,,0.75,1.0,0.459925,,,5.9,26.333333333333332,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,0.25,1.0,1.0,,,,,,,,2.0,1.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202681-2544-2747,1610612739,"Channing Frye, Kevin Love, Kyrie Irving, LeBron James, JR Smith","Frye, Love, Irving, James, Smith",101112-201567-202681-2544-2747,CLE,1575.0,7,26.0,3.0,53.0,49.0,5.0,102.0,20.0,2.0,4.0,5.0,11.0,1.0,1.0,3.0,12.0,14.0,26.0,8.0,23.0,59.0,56.0,1.0,1.0,3.0,14.0,24.0,,12.0,3.0,5.0,8.0,15.0,3.0,5.0,38.0,5.0,9.0,8.0,17.0,8.0,25.0,6.0,8.0,,56.0,1.0,0.34782608695652173,1.0,0.34782608695652173,0.5384615384615384,0.5306122448979592,0.3,0.5576923076923077,0.3,0.46938775510204084,0.19230769230769232,0.25,,0.7272727272727273,0.4166666666666667,1.0,0.85,0.2962962962962963,,0.6,1.0,93.25714285714285,16.09433962264151,14.73469387755102,15.358490566037736,13.795918367346939,0.40816326530612246,0.08163265306122448,0.5,0.5,0.22448979591836735,0.45454545454545453,0.45454545454545453,1.0,0.24489795918367346,0.25,0.25,1.0,0.2,1.0,1.0,0.8775510204081632,0.25,0.5681244897959183,0.6443666666666666,0.05084745762711865,4.4653846153846155,24.06086956521739,7.0,10.0,11.0,,4.0,2.0,2.0,1.0,2.0,7.0,,4.0,3.0,3.0,3.0,9.0,14.0,,7.0,6.0,3.0,4.0,9.0,3.0,4.0,,8.0,1.0,9.0,10.0,1.0,0.5,0.5,,1.0,0.5,0.6428571428571429,0.2,0.3333333333333333,1.0,0.75,1.0,0.55,0.7333333333333333,0.5454545454545454,0.04081632653061224,0.5,0.5,0.8,,0.3333333333333333,1.0,0.481425,0.15254237288135594,0.18867924528301888,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,7.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5555555555555556,0.5555555555555556,0.09090909090909091,1.0,0.5,0.058823529411764705,0.10714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202697-203521-2210,1610612739,"Channing Frye, Kevin Love, Iman Shumpert, Matthew Dellavedova, Richard Jefferson","Frye, Love, Shumpert, Dellavedova, Jefferson",101112-201567-202697-203521-2210,CLE,29.0,1,,-2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,99.3103448275862,7.0,22.0,6.0,22.0,0.5,,,,,,,,,,,,,,,0.5,,0.44695,0.4612,,4.45,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,1.0,,0.5,,0.44695,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202697-203521-2544,1610612739,"Channing Frye, Kevin Love, Iman Shumpert, Matthew Dellavedova, LeBron James","Frye, Love, Shumpert, Dellavedova, James",101112-201567-202697-203521-2544,CLE,222.0,1,4.0,-1.0,6.0,6.0,1.0,12.0,2.0,,,,,,,,1.0,1.0,4.0,,1.0,4.0,5.0,,,,,,,1.0,,1.0,,1.0,,,2.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,,4.0,,,,,0.25,0.2,,0.3333333333333333,,0.2,0.25,0.5,,0.6666666666666666,0.3333333333333333,1.0,0.8,0.25,,,1.0,77.83783783783784,19.0,18.0,16.333333333333332,16.166666666666668,0.4,,,,,,,,0.2,,,,,,,0.6,,0.49668,0.6064,,5.825,24.1,,,,,1.0,,,1.0,2.0,2.0,,1.0,,,,,2.0,,1.0,,,1.0,1.0,,,,2.0,,,,,1.0,1.0,,,,,,,0.5,1.0,,,,,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,0.5,,1.0,,0.16666666666666666,0.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-202697-203521-2747,1610612739,"Channing Frye, Kevin Love, Iman Shumpert, Matthew Dellavedova, JR Smith","Frye, Love, Shumpert, Dellavedova, Smith",101112-201567-202697-203521-2747,CLE,65.0,1,1.0,4.0,2.0,3.0,,5.0,,,,,,,,2.0,2.0,,,2.0,2.0,6.0,2.0,,,,,6.0,,2.0,2.0,,2.0,2.0,2.0,,6.0,,,2.0,2.0,,2.0,1.0,,,6.0,1.0,1.0,,1.0,,1.5,,1.5,,1.0,,,,1.0,,,1.0,,,1.0,,110.76923076923077,6.5,17.333333333333332,6.5,17.333333333333332,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.59085,,,,24.75,,2.0,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,6.0,2.0,,,,,,1.5,1.5,,,,,,,,,,,,,,,,0.59085,1.0,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-203521-2210-2747,1610612739,"Channing Frye, Kevin Love, Matthew Dellavedova, Richard Jefferson, JR Smith","Frye, Love, Dellavedova, Jefferson, Smith",101112-201567-203521-2210-2747,CLE,229.0,2,4.0,9.0,8.0,8.0,1.0,16.0,1.0,,,2.0,3.0,,,1.0,2.0,,2.0,3.0,5.0,11.0,2.0,,,2.0,,9.0,,2.0,1.0,1.0,3.0,3.0,1.0,2.0,9.0,,2.0,3.0,5.0,1.0,6.0,2.0,1.0,,9.0,1.0,0.6,,0.6,,0.6428571428571429,,0.6875,1.0,0.7142857142857143,0.5,,,1.0,,1.0,1.0,0.25,,1.0,1.0,100.61135371179039,16.625,12.0,16.625,12.0,0.14285714285714285,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,0.5,0.5,1.0,,,,0.8571428571428571,0.5,0.5828642857142857,,0.18181818181818182,2.6,24.36,8.0,1.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,2.0,,,1.0,,,,,,,,0.5,1.0,1.0,1.0,,,,,0.14285714285714285,,,,,,,0.3669,,0.125,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,0.125,0.3333333333333333,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
101112-201567-203521-2544-2747,1610612739,"Channing Frye, Kevin Love, Matthew Dellavedova, LeBron James, JR Smith","Frye, Love, Dellavedova, James, Smith",101112-201567-203521-2544-2747,CLE,313.0,4,5.0,-2.0,11.0,9.0,1.0,20.0,1.0,,2.0,,,,,2.0,6.0,,3.0,2.0,6.0,8.0,10.0,1.0,1.0,3.0,,3.0,3.0,6.0,2.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,3.0,1.0,4.0,1.0,2.0,,5.0,0.5,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,1.5,0.36363636363636365,1.5,0.6666666666666666,,,,1.0,,0.3333333333333333,0.5,0.2,,,0.3333333333333333,92.01277955271566,15.909090909090908,15.333333333333334,15.363636363636363,13.88888888888889,0.1111111111111111,0.2222222222222222,,,,,,,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,,,,0.7777777777777778,0.3333333333333333,0.47985,,0.375,12.1,24.78333333333333,8.0,6.0,,,,,1.0,,,2.0,,,,3.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,4.0,,1.0,6.0,,,,,,,0.1,0.25,0.25,,1.0,,,,,,,,,,0.25,,0.428775,0.125,0.5454545454545454,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,0.25,0.18181818181818182,0.4,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2016,2015-16,False
