EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,DefThreePtRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,Blocked3s,BlockedArc3,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,ThreePtShootingFoulsDrawn,BlockedShortMidRange,3SecondViolations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BlockingFouls,BlockedCorner3,SecondChanceFg3Pct,Corner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SelfOReb,Loose Ball Fouls Drawn,SelfORebPct,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3Assists,NonShootingPenaltyNonTakeFouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,OffensiveGoaltends,Arc3PctBlocked,DefensiveGoaltends,HeaveAttempts,team_id,year,season,team_vs
101138-101150-1626148-1626156-1626204,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, D'Angelo Russell, Larry Nance Jr.","Bass, Williams, Brown, Russell, Nance Jr.",101138-101150-1626148-1626156-1626204,LAL,197.0,1,3.0,6.0,7.0,9.0,2.0,7.0,16.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,14.0,8.0,1.0,1.0,1.0,2.0,4.0,6.0,4.0,1.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,14.0,4.0,2.0,0.6,0.6,1.0,1.0,0.8333333333333334,0.5,0.875,0.6666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,116.95431472081219,1.0,11.0,13.333333333333334,11.0,12.666666666666666,0.5,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.6666666666666666,0.46422500000000005,0.293575,0.375,0.42857142857142855,0.2857142857142857,7.5200000000000005,32.3,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-1626156-203135,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, D'Angelo Russell, Robert Sacre","Bass, Williams, Brown, Russell, Sacre",101138-101150-1626148-1626156-203135,LAL,158.0,1,3.0,-1.0,6.0,6.0,6.0,1.0,12.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,3.0,1.0,2.0,1.0,,2.0,,2.0,1.0,,,,,2.0,3.0,3.0,,,,1.0,1.0,,,,,,,1.0,1.0,2.0,,2.0,2.0,6.0,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,,1.0,109.36708860759494,,10.666666666666666,15.666666666666666,10.666666666666666,15.666666666666666,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5205833333333333,0.5205833333333333,,,1.0,6.3,24.1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-1626156-203527,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, D'Angelo Russell, Ryan Kelly","Bass, Williams, Brown, Russell, Kelly",101138-101150-1626148-1626156-203527,LAL,1787.0,4,30.0,14.0,61.0,60.0,14.0,15.0,121.0,16.0,23.0,5.0,10.0,3.0,12.0,12.0,5.0,24.0,45.0,12.0,12.0,69.0,55.0,6.0,9.0,5.0,2.0,20.0,22.0,26.0,12.0,11.0,13.0,8.0,28.0,13.0,27.0,40.0,4.0,3.0,1.0,8.0,15.0,10.0,1.0,,15.0,2.0,7.0,6.0,3.0,6.0,2.0,60.0,20.0,14.0,0.4583333333333333,0.5238095238095238,0.5333333333333333,0.6666666666666666,0.5,0.6428571428571429,0.5476190476190477,0.6666666666666666,0.21052631578947367,0.65,0.7428571428571429,0.5,0.8,97.50419697817571,0.3333333333333333,14.852459016393443,14.683333333333334,13.934426229508198,14.233333333333333,0.40350877192982454,0.6956521739130435,0.8,0.5,0.17543859649122806,0.5,0.625,0.21052631578947367,0.25,0.25,0.21052631578947367,0.35714285714285715,0.6140350877192983,0.5190345454545454,0.5719178571428571,0.12698412698412698,0.14,0.2898550724637681,7.086666666666666,26.5,0.22950819672131148,5.0,5.0,13.0,7.0,,2.0,11.0,2.0,,,0.8666666666666667,0.7142857142857143,0.6666666666666666,0.35714285714285715,1.0,9.0,3.0,6.0,3.0,1.0,2.0,3.0,3.0,8.0,1.0,3.0,9.0,2.0,6.0,3.0,6.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,10.0,1.0,13.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.6666666666666666,0.25,0.4,0.25,0.375,0.3333333333333333,0.4090909090909091,0.1111111111111111,0.13043478260869565,0.2,0.36363636363636365,1.0,0.47619047619047616,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.4,0.5555555555555556,0.42857142857142855,0.9166666666666666,0.2,0.6666666666666666,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.1111111111111111,0.4,0.25,0.5472,0.07692307692307693,0.13043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-1626156-203944,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, D'Angelo Russell, Julius Randle","Bass, Williams, Brown, Russell, Randle",101138-101150-1626148-1626156-203944,LAL,1053.0,8,18.0,12.0,34.0,34.0,13.0,13.0,68.0,3.0,4.0,5.0,7.0,6.0,9.0,12.0,2.0,14.0,20.0,14.0,3.0,43.0,31.0,9.0,11.0,3.0,2.0,23.0,14.0,14.0,12.0,7.0,11.0,2.0,26.0,12.0,16.0,21.0,2.0,1.0,1.0,5.0,8.0,3.0,,,5.0,1.0,3.0,4.0,3.0,5.0,1.0,35.0,23.0,13.0,0.5,0.5,0.7,0.8181818181818182,0.5882352941176471,0.75,0.5972222222222222,0.71875,0.4117647058823529,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,92.99145299145299,0.2,12.647058823529411,18.323529411764707,11.411764705882353,16.647058823529413,0.11764705882352941,0.75,1.0,0.6666666666666666,0.20588235294117646,0.7142857142857143,0.7142857142857143,0.2647058823529412,0.6666666666666666,0.6666666666666666,0.35294117647058826,0.14285714285714285,0.5294117647058824,0.500475,0.49248214285714287,0.08333333333333333,0.13636363636363635,0.5348837209302325,12.385,25.042857142857144,0.38235294117647056,1.0,2.0,4.0,3.0,,1.0,4.0,,1.0,,0.6666666666666666,0.875,0.5,0.14285714285714285,0.5,3.0,,,4.0,3.0,1.0,4.0,1.0,2.0,3.0,,8.0,1.0,12.0,,,4.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,,5.0,1.0,,1.0,,,,,,1.0,,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.5,0.8,0.8,0.05,0.25,,0.25,,0.4,0.375,0.38461538461538464,1.0,,0.3333333333333333,0.42857142857142855,0.75,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,0.6,0.5,0.3333333333333333,0.5179,,0.18604651162790697,2.0,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.058823529411764705,0.6666666666666666,1.0,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-1626204-203903,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, Larry Nance Jr., Jordan Clarkson","Bass, Williams, Brown, Nance Jr., Clarkson",101138-101150-1626148-1626204-203903,LAL,120.0,1,2.0,-1.0,4.0,4.0,4.0,3.0,8.0,2.0,2.0,1.0,1.0,,,1.0,1.0,3.0,3.0,1.0,,6.0,7.0,3.0,3.0,1.0,,6.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,,,,,,,1.0,1.0,,,,,,,,,,,6.0,6.0,4.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,0.75,0.25,,,,,96.0,,11.25,18.75,11.25,17.75,0.5,1.0,1.0,1.0,0.25,1.0,1.0,,,,0.25,0.25,0.75,0.6076125,0.6076125,,,1.0,4.933333333333334,25.2,1.0,2.0,2.0,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-1626273-203944,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, Marcelo Huertas, Julius Randle","Bass, Williams, Brown, Huertas, Randle",101138-101150-1626148-1626273-203944,LAL,366.0,1,6.0,-12.0,10.0,10.0,,,20.0,1.0,5.0,1.0,3.0,,2.0,3.0,,2.0,10.0,4.0,,7.0,19.0,,,,,,,4.0,3.0,,,,,,,5.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,3.0,,,,,0.2,,0.25,,0.25,,0.2857142857142857,,,,,78.68852459016394,,20.6,16.0,18.0,13.0,0.35714285714285715,0.2,0.25,,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.14285714285714285,,,0.21428571428571427,,0.6428571428571429,0.5139785714285715,,,,,6.4799999999999995,24.6,,,,,,,,1.0,,,,,,,,,5.0,1.0,2.0,1.0,1.0,,1.0,2.0,4.0,1.0,,4.0,,,3.0,,1.0,1.0,,,,,,5.0,,5.0,1.0,,1.0,,,1.0,,,,,,0.25,,0.25,0.5,0.4,0.4,0.1,0.2,,1.0,,0.625,,0.45454545454545453,0.75,1.0,,,,,,0.3333333333333333,0.3333333333333333,,0.4,0.5,0.2,,0.3333333333333333,0.51423,,0.5714285714285714,1.0,,,,,,,0.07142857142857142,,,,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-203903-203944,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, Jordan Clarkson, Julius Randle","Bass, Williams, Brown, Clarkson, Randle",101138-101150-1626148-203903-203944,LAL,162.0,2,3.0,5.0,7.0,6.0,5.0,5.0,13.0,1.0,1.0,2.0,2.0,,1.0,,,3.0,4.0,,3.0,9.0,4.0,1.0,2.0,,3.0,5.0,4.0,2.0,,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,3.0,,,4.0,,,,,,,9.0,5.0,5.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.75,0.5,0.75,0.625,,1.0,1.0,,,115.55555555555554,,8.428571428571429,17.166666666666668,8.428571428571429,17.166666666666668,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.25,,,,,0.25,0.461275,0.38165,,,0.5555555555555556,9.6,,0.7142857142857143,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626148-203903-977,1610612747,"Brandon Bass, Lou Williams, Anthony Brown, Jordan Clarkson, Kobe Bryant","Bass, Williams, Brown, Clarkson, Bryant",101138-101150-1626148-203903-977,LAL,152.0,1,3.0,4.0,7.0,7.0,5.0,6.0,14.0,2.0,3.0,,,,,,,2.0,3.0,,6.0,10.0,6.0,1.0,2.0,,5.0,7.0,2.0,2.0,,1.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,1.0,1.0,4.0,,,7.0,1.0,1.0,,,,,8.0,4.0,3.0,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8333333333333334,0.7,,1.0,1.0,,1.0,132.63157894736844,,11.0,10.714285714285714,11.0,10.714285714285714,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,1.0,0.75,0.7507,0.3333333333333333,0.3333333333333333,0.7,0.5666666666666667,,0.7142857142857143,1.0,2.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,1.0,0.5,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,0.5,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,0.2,,,,,,,,,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626156-1626204-1897,1610612747,"Brandon Bass, Lou Williams, D'Angelo Russell, Larry Nance Jr., Metta World Peace","Bass, Williams, Russell, Nance Jr., World Peace",101138-101150-1626156-1626204-1897,LAL,326.0,2,5.0,-2.0,10.0,10.0,,,20.0,4.0,5.0,,3.0,,1.0,2.0,,4.0,9.0,5.0,,11.0,13.0,,,,,,4.0,4.0,2.0,2.0,3.0,2.0,7.0,1.0,3.0,8.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,5.0,,,0.5,0.6666666666666666,0.4444444444444444,,0.39285714285714285,,0.39285714285714285,,0.35714285714285715,0.5,0.6,,1.0,88.34355828220859,,17.9,14.7,16.5,14.0,0.35714285714285715,0.8,0.8,0.5,0.21428571428571427,,,0.07142857142857142,,,0.14285714285714285,,0.7142857142857143,0.5388964285714286,,0.07142857142857142,0.1111111111111111,,4.377777777777777,24.1,,,,2.0,3.0,,,3.0,,,,0.6666666666666666,,,,,2.0,3.0,4.0,1.0,,,1.0,3.0,5.0,,,6.0,,3.0,,2.0,1.0,2.0,1.0,1.0,,,1.0,4.0,,5.0,,1.0,,,,,,,,1.0,1.0,0.2,,0.2,0.6,0.6,0.6,0.2222222222222222,,0.6666666666666666,,,0.8,0.3333333333333333,0.625,1.0,1.0,,1.0,0.6666666666666666,,,0.5,0.5,1.0,0.8,0.75,,,0.5,0.58495,,0.5454545454545454,3.0,,,,,,,0.21428571428571427,,,,,,,,,,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
101138-101150-1626156-1626204-201156,1610612747,"Brandon Bass, Lou Williams, D'Angelo Russell, Larry Nance Jr., Nick Young","Bass, Williams, Russell, Nance Jr., Young",101138-101150-1626156-1626204-201156,LAL,2246.0,11,37.0,9.0,70.0,75.0,17.0,17.0,145.0,21.0,31.0,4.0,10.0,4.0,8.0,13.0,3.0,29.0,49.0,17.0,13.0,104.0,95.0,7.0,9.0,3.0,5.0,25.0,30.0,28.0,13.0,15.0,24.0,11.0,57.0,12.0,20.0,30.0,5.0,3.0,2.0,10.0,12.0,14.0,2.0,,19.0,,5.0,2.0,,2.0,,88.0,25.0,17.0,0.5172413793103449,0.5769230769230769,0.5918367346938775,0.7777777777777778,0.6893939393939394,0.8333333333333334,0.6933333333333334,0.8333333333333334,0.25757575757575757,0.6666666666666666,0.6785714285714286,1.0,0.625,92.9652715939448,,15.657142857142857,15.333333333333334,15.228571428571428,14.826666666666666,0.4696969696969697,0.6774193548387096,0.75,0.5238095238095238,0.15151515151515152,0.4,0.5,0.12121212121212122,0.5,0.5,0.19696969696969696,0.25,0.7272727272727273,0.5391530303030303,0.5889666666666666,0.08333333333333333,0.09259259259259259,0.2403846153846154,5.830612244897959,25.376470588235293,0.24285714285714285,6.0,6.0,7.0,3.0,,,6.0,2.0,,,0.7,0.5,0.5,0.5,1.0,9.0,5.0,7.0,8.0,1.0,2.0,11.0,6.0,8.0,1.0,1.0,16.0,2.0,27.0,6.0,6.0,8.0,5.0,9.0,6.0,1.0,3.0,1.0,9.0,1.0,10.0,3.0,2.0,1.0,2.0,,1.0,,1.0,2.0,,0.8181818181818182,0.6470588235294118,0.6666666666666666,0.6470588235294118,0.75,0.8333333333333334,0.8,0.10204081632653061,0.0967741935483871,0.2,0.5,1.0,0.45,0.16666666666666666,0.38461538461538464,0.6,0.3333333333333333,0.25,0.2,0.75,0.25,0.75,0.6153846153846154,0.6153846153846154,0.75,0.7777777777777778,0.7142857142857143,0.1111111111111111,0.6666666666666666,0.6153846153846154,0.61803125,0.05555555555555555,0.15384615384615385,4.0,,1.0,1.0,,,1.0,0.06060606060606061,1.0,1.0,,,,,,3.0,3.0,,,,,,3.0,3.0,1.0,0.75,0.75,1.0,,,,,,,,,,,,,,,,,,,,,1610612747,2016,2015-16,True
