EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Offensive Fouls Drawn,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,ShootingFouls,Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyDefPoss,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,DefensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
101108-1718-201599-201933-2037,1610612746,"Chris Paul, Paul Pierce, DeAndre Jordan, Blake Griffin, Jamal Crawford","Paul, Pierce, Jordan, Griffin, Crawford",101108-1718-201599-201933-2037,LAC,77.0,1,1.0,-2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,112.2077922077922,17.0,8.666666666666666,17.0,8.666666666666666,1.0,1.0,1.0,1.0,0.4295,0.5,0.5,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2016,2015-16,False
101108-1718-201933-202332-2037,1610612746,"Chris Paul, Paul Pierce, Blake Griffin, Cole Aldrich, Jamal Crawford","Paul, Pierce, Griffin, Aldrich, Crawford",101108-1718-201933-202332-2037,LAC,10.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,144.0,,10.0,,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201145-201599-201933,1610612746,"Chris Paul, JJ Redick, Jeff Green, DeAndre Jordan, Blake Griffin","Paul, Redick, Green, Jordan, Griffin",101108-200755-201145-201599-201933,LAC,461.0,2,8.0,,16.0,16.0,32.0,4.0,11.0,6.0,16.0,,12.0,12.0,8.0,4.0,4.0,2.0,8.0,4.0,10.0,13.0,,,,4.0,,,8.0,0.6666666666666666,0.6666666666666666,0.375,0.3157894736842105,0.3157894736842105,,1.0,0.8333333333333334,1.0,99.95661605206074,15.0,13.8125,13.75,13.4375,0.5789473684210527,0.36363636363636365,0.4,0.5,0.4493657894736842,,,13.61875,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.15789473684210525,0.0625,0.09090909090909091,0.75,0.2,0.3333333333333333,0.23076923076923078,0.5,0.14285714285714285,0.5,0.75,0.6666666666666666,1.0,1.0,0.6,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,0.10526315789473684,0.5,0.5,1.0,0.10526315789473684,0.05263157894736842,0.3333333333333333,0.3157894736842105,0.4241,0.3333333333333333,24.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201145-201933-203085,1610612746,"Chris Paul, JJ Redick, Jeff Green, Blake Griffin, Austin Rivers","Paul, Redick, Green, Griffin, Rivers",101108-200755-201145-201933-203085,LAC,6.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201145-201933-2037,1610612746,"Chris Paul, JJ Redick, Jeff Green, Blake Griffin, Jamal Crawford","Paul, Redick, Green, Griffin, Crawford",101108-200755-201145-201933-2037,LAC,107.0,1,2.0,2.0,4.0,3.0,7.0,,1.0,1.0,3.0,5.0,7.0,5.0,,,,,,,1.0,2.0,,,,3.0,5.0,1.0,7.0,,,0.3333333333333333,0.3333333333333333,0.7,,,0.5,,94.2056074766355,15.25,15.333333333333334,14.25,14.666666666666666,0.3333333333333333,,,,0.42733333333333334,0.3333333333333333,0.3333333333333333,6.633333333333333,,1.0,1.0,2.0,,,,,,,,1.0,,,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,0.3333333333333333,,0.5,0.5,,0.5,,1.0,,,1.0,,,,0.6666666666666666,0.5,1.0,,,,,,,,,0.6666666666666666,0.5272,,,3.0,4.0,1.0,1.0,2.0,1.0,3.0,5.0,7.0,1.0,2.0,7.0,4.0,2.0,0.3333333333333333,0.3333333333333333,0.7,0.5,1.0,0.6666666666666666,0.5,0.42733333333333334,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201599-201601-201933,1610612746,"Chris Paul, JJ Redick, DeAndre Jordan, Luc Mbah a Moute, Blake Griffin","Paul, Redick, Jordan, Mbah a Moute, Griffin",101108-200755-201599-201601-201933,LAC,3545.0,4,59.0,4.0,116.0,117.0,233.0,13.0,29.0,40.0,82.0,10.0,111.0,107.0,34.0,17.0,24.0,7.0,55.0,26.0,53.0,64.0,7.0,5.0,14.0,24.0,18.0,6.0,96.0,0.425,0.4594594594594595,0.4878048780487805,0.47641509433962265,0.48672566371681414,0.5,0.8125,0.6933333333333334,0.8333333333333334,94.6459802538787,15.71551724137931,14.717948717948717,15.344827586206897,13.794871794871796,0.27358490566037735,0.4482758620689655,0.4482758620689655,0.5384615384615384,0.4805514285714286,0.06363636363636363,0.06976744186046512,9.159756097560976,1.0,11.0,19.0,32.0,8.0,21.0,3.0,,21.0,24.0,5.0,7.0,3.0,15.0,46.0,21.0,6.0,7.0,3.0,3.0,7.0,26.0,11.0,9.0,21.0,2.0,3.0,6.0,6.0,,6.0,3.0,0.7142857142857143,0.65,0.6818181818181818,0.22641509433962265,0.07317073170731707,,0.6046511627906976,0.16666666666666666,0.17647058823529413,0.1694915254237288,0.15384615384615385,0.1875,0.5,0.5185185185185185,0.8571428571428571,0.6666666666666666,0.75,0.5,0.3018867924528302,0.59375,0.6785714285714286,0.3684210526315789,0.19811320754716982,0.38095238095238093,0.42105263157894735,0.375,0.02830188679245283,0.19811320754716982,,0.5283018867924528,0.5741642857142857,0.13513513513513514,26.129166666666666,8.0,19.0,6.0,2.0,7.0,5.0,14.0,6.0,22.0,2.0,3.0,22.0,19.0,3.0,0.35714285714285715,0.4444444444444444,0.5238095238095238,0.125,0.6,0.3888888888888889,0.2857142857142857,0.45215833333333333,0.1981981981981982,0.16379310344827586,5.0,1.0,1.0,6.0,1.0,3.0,2.0,3.0,7.0,1.0,2.0,2.0,4.0,21.0,6.0,6.0,7.0,6.0,1.0,1.0,1.0,1.0,11.0,8.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2916666666666667,0.3333333333333333,0.5,0.2916666666666667,0.09523809523809523,1.0,0.2,0.15384615384615385,0.13333333333333333,0.018867924528301886,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.2857142857142857,1.0,0.8333333333333334,0.2,0.3,0.3333333333333333,1.0,0.05555555555555555,0.16666666666666666,0.6666666666666666,0.2857142857142857,0.041666666666666664,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201599-201933-202325,1610612746,"Chris Paul, JJ Redick, DeAndre Jordan, Blake Griffin, Wesley Johnson","Paul, Redick, Jordan, Griffin, Johnson",101108-200755-201599-201933-202325,LAC,115.0,1,2.0,1.0,4.0,4.0,8.0,1.0,1.0,2.0,4.0,2.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,,1.0,3.0,,,,2.0,2.0,1.0,4.0,0.5,1.0,0.5,0.4,0.5,,,0.5,,100.17391304347825,12.5,16.25,12.5,11.5,0.2,1.0,1.0,1.0,0.66912,0.16666666666666666,0.2,5.7,1.0,2.0,1.0,3.0,,,,,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,0.5,0.5,0.5,0.2,0.25,,1.0,0.5,1.0,0.6666666666666666,0.5,,,,,1.0,,,0.6,0.3333333333333333,0.5,,,,,,,0.2,,0.8,0.9123,0.3333333333333333,25.8,3.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,6.0,,,6.0,4.0,,0.5,0.4,0.5,0.3333333333333333,1.0,0.6,0.3333333333333333,0.66912,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,0.2,,,,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201599-201933-2037,1610612746,"Chris Paul, JJ Redick, DeAndre Jordan, Blake Griffin, Jamal Crawford","Paul, Redick, Jordan, Griffin, Crawford",101108-200755-201599-201933-2037,LAC,1544.0,4,26.0,10.0,50.0,47.0,97.0,9.0,16.0,16.0,26.0,21.0,65.0,55.0,16.0,8.0,12.0,3.0,28.0,6.0,14.0,21.0,5.0,2.0,5.0,21.0,36.0,6.0,59.0,0.5,0.5,0.6153846153846154,0.6285714285714286,0.625,1.0,0.5454545454545454,0.6,0.5454545454545454,90.46632124352331,15.56,16.29787234042553,14.18,15.659574468085106,0.45714285714285713,0.5625,0.5625,0.3333333333333333,0.4474057142857143,0.17073170731707318,0.1935483870967742,13.11153846153846,,6.0,3.0,4.0,4.0,6.0,1.0,,8.0,9.0,1.0,2.0,1.0,6.0,16.0,8.0,1.0,3.0,2.0,1.0,4.0,6.0,7.0,5.0,10.0,,1.0,4.0,3.0,1.0,4.0,2.0,0.5,0.3333333333333333,0.42857142857142855,0.2571428571428571,0.038461538461538464,,0.6666666666666666,0.4,0.2,0.3333333333333333,1.0,0.42857142857142855,,0.5,1.0,0.5,,0.5,0.11428571428571428,0.75,0.75,1.0,0.17142857142857143,0.6666666666666666,0.8,0.5,0.02857142857142857,0.22857142857142856,,0.37142857142857144,0.6042,0.09230769230769231,25.822222222222223,14.0,23.0,1.0,,,1.0,4.0,12.0,23.0,1.0,11.0,23.0,23.0,4.0,0.25,0.5,0.5,,0.3333333333333333,,,0.4537136363636364,0.35384615384615387,0.46,,,,4.0,,1.0,3.0,7.0,4.0,,4.0,3.0,7.0,12.0,,4.0,4.0,4.0,,2.0,2.0,,4.0,3.0,1.0,,,,3.0,4.0,,,1.0,,,,1.0,2.0,1.0,0.4444444444444444,,0.42857142857142855,0.4444444444444444,0.16666666666666666,1.0,0.2857142857142857,,0.25,,,,,0.5,0.5,1.0,,,0.3333333333333333,,,,0.6363636363636364,0.42857142857142855,0.5,0.1,,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-201933-203085-2037,1610612746,"Chris Paul, JJ Redick, Blake Griffin, Austin Rivers, Jamal Crawford","Paul, Redick, Griffin, Rivers, Crawford",101108-200755-201933-203085-2037,LAC,87.0,2,1.0,1.0,3.0,5.0,8.0,,,,,,6.0,5.0,,,1.0,,3.0,,2.0,2.0,,,,,,,6.0,,,,1.0,1.0,,,,,132.41379310344828,15.666666666666666,8.0,15.666666666666666,8.0,,,,,0.49085,,,,,,,,,,,,3.0,3.0,,,,,,3.0,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,27.166666666666668,4.0,3.0,,,,,,,6.0,,,6.0,3.0,,,1.0,1.0,,,,,0.49085,1.0,1.0,,,,2.0,,,2.0,3.0,2.0,,,2.0,3.0,3.0,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.5,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,1.0,,,,,,,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,3.0,,,,,,,,,1610612746,2016,2015-16,False
101108-200755-202325-203085-2037,1610612746,"Chris Paul, JJ Redick, Wesley Johnson, Austin Rivers, Jamal Crawford","Paul, Redick, Johnson, Rivers, Crawford",101108-200755-202325-203085-2037,LAC,23.0,1,,,2.0,2.0,4.0,,,1.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,0.5,0.5,0.5,,,,,250.43478260869563,8.5,3.0,8.5,3.0,,,,,0.64155,,,1.75,,,1.0,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,1.0,,,,2.0,2.0,,1.0,2.0,1.0,2.0,,2.0,,,2.0,2.0,,0.5,0.5,0.5,0.5,,1.0,0.5,0.64155,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2016,2015-16,False
