EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,Offensive Fouls,BlockedShortMidRange,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyOffPoss,ShortMidRangeFGM,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,ShortMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,PenaltyAtRimFGA,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,OffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyAtRimFrequency,NonShootingFoulsDrawn,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,PenaltyArc3Frequency,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SelfOReb,LostBallTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,PenaltyCorner3FGA,PenaltyCorner3Frequency,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,AtRimPctBlocked,PenaltyCorner3FGM,Travels,PenaltyCorner3Accuracy,SecondChanceFtPoints,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFoulsDrawn,team_id,year,season,team_vs
1626149-1891-201147-203909-203991,1610612745,"Montrezl Harrell, Jason Terry, Corey Brewer, KJ McDaniels, Clint Capela","Harrell, Terry, Brewer, McDaniels, Capela",1626149-1891-201147-203909-203991,HOU,270.0,1,4.0,3.0,11.0,10.0,10.0,21.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,10.0,7.0,4.0,6.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,10.0,3.0,3.0,1.0,7.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.625,0.625,0.5,0.25,0.5,1.0,0.75,1.0,0.8571428571428571,0.5,1.0,1.0,112.0,1.0,16.0,9.4,16.0,8.8,0.25,1.0,1.0,1.0,0.25,0.125,1.0,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.491125,4.775,25.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1626149-1891-201147-203909-2730,1610612745,"Montrezl Harrell, Jason Terry, Corey Brewer, KJ McDaniels, Dwight Howard","Harrell, Terry, Brewer, McDaniels, Howard",1626149-1891-201147-203909-2730,HOU,118.0,1,2.0,-1.0,4.0,4.0,2.0,8.0,,1.0,1.0,,,,,1.0,3.0,,,2.0,3.0,2.0,,,,,1.0,,1.0,,,,2.0,,2.0,,2.0,2.0,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,2.0,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.6666666666666666,,0.6666666666666666,,0.5,,97.6271186440678,,17.75,11.75,17.75,11.75,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.4424333333333333,10.700000000000001,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1626149-202726-203909-203991-2730,1610612745,"Montrezl Harrell, Andrew Goudelock, KJ McDaniels, Clint Capela, Dwight Howard","Harrell, Goudelock, McDaniels, Capela, Howard",1626149-202726-203909-203991-2730,HOU,309.0,1,5.0,3.0,10.0,11.0,,21.0,1.0,1.0,4.0,,,1.0,1.0,4.0,7.0,1.0,1.0,12.0,9.0,6.0,3.0,1.0,1.0,,3.0,1.0,4.0,1.0,,,9.0,1.0,2.0,1.0,4.0,4.0,,,,2.0,1.0,,1.0,1.0,,1.0,,12.0,,0.75,0.75,1.0,1.0,1.0,0.5714285714285714,0.6875,0.75,0.125,,,1.0,0.5,0.5,0.5,,0.6666666666666666,1.0,97.86407766990291,,17.4,12.272727272727273,17.4,11.090909090909092,0.125,1.0,1.0,,0.5,,,,,0.125,1.0,1.0,1.0,0.25,1.0,0.430175,11.085714285714285,25.6,2.0,2.0,2.0,,1.0,,0.25,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,0.5,0.5,0.75,1.0,0.25,0.25,1.0,0.34835,0.125,0.14285714285714285,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201563-201935-2730,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, James Harden, Dwight Howard","Terry, Brewer, Beasley, Harden, Howard",1891-201147-201563-201935-2730,HOU,563.0,1,9.0,,17.0,16.0,5.0,33.0,1.0,2.0,3.0,,1.0,1.0,3.0,6.0,11.0,1.0,4.0,18.0,18.0,6.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,,1.0,9.0,2.0,3.0,,5.0,7.0,,1.0,,2.0,1.0,,2.0,,,,,18.0,,0.5,0.5,1.0,0.25,0.25,0.5454545454545454,0.5,0.5294117647058824,0.26666666666666666,0.09090909090909091,0.3333333333333333,,0.75,0.4,0.5555555555555556,1.0,1.0,0.25,84.40497335701599,,19.352941176470587,14.625,16.941176470588236,12.875,0.13333333333333333,0.5,0.5,1.0,0.2,0.06666666666666667,,,,0.2,0.3333333333333333,0.3333333333333333,1.0,0.4,0.3333333333333333,0.44667999999999997,12.5,25.925,4.0,6.0,2.0,,,,0.4,0.6666666666666666,0.6666666666666666,0.5,6.0,1.0,3.0,1.0,4.0,3.0,5.0,6.0,,2.0,2.0,,1.0,1.0,,5.0,4.0,,2.0,5.0,6.0,0.25,0.25,0.4166666666666667,0.5,0.3333333333333333,0.5,,0.40665,0.11764705882352941,0.15384615384615385,0.2777777777777778,0.35294117647058826,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.5,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201563-201935-2746,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, James Harden, Josh Smith","Terry, Brewer, Beasley, Harden, Smith",1891-201147-201563-201935-2746,HOU,16.0,1,,-1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,270.0,,3.0,10.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,2.0,2.0,,,,,,,,,1.0,2.0,,,2.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201563-201935-2772,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, James Harden, Trevor Ariza","Terry, Brewer, Beasley, Harden, Ariza",1891-201147-201563-201935-2772,HOU,20.0,1,,-3.0,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,72.0,,,18.0,,18.0,,,,,,,,,,1.0,,,,1.0,,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201563-201976-203909,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, Patrick Beverley, KJ McDaniels","Terry, Brewer, Beasley, Beverley, McDaniels",1891-201147-201563-201976-203909,HOU,56.0,1,1.0,-4.0,5.0,4.0,4.0,9.0,,,,,,,,,,,,4.0,8.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,4.0,,,,,,,,,0.6666666666666666,,,,,1.0,,1.0,,1.0,,231.42857142857142,,5.0,7.75,5.0,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,4.0,4.0,,,,,,,,,3.0,6.0,,,4.0,5.0,,,0.6666666666666666,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201563-201976-2730,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, Patrick Beverley, Dwight Howard","Terry, Brewer, Beasley, Beverley, Howard",1891-201147-201563-201976-2730,HOU,714.0,3,12.0,,23.0,22.0,,45.0,3.0,4.0,4.0,,3.0,3.0,7.0,6.0,12.0,3.0,10.0,24.0,24.0,8.0,9.0,7.0,3.0,,4.0,3.0,7.0,3.0,,2.0,17.0,2.0,5.0,,7.0,10.0,,1.0,,3.0,1.0,,5.0,4.0,2.0,4.0,1.0,22.0,,0.6666666666666666,0.8,1.0,0.3,0.3,0.5,0.4772727272727273,0.5217391304347826,0.45454545454545453,,,,0.5,0.5,0.5,0.25,0.5,0.6666666666666666,90.7563025210084,0.25,16.869565217391305,14.818181818181818,16.26086956521739,14.090909090909092,0.18181818181818182,0.75,0.75,0.6666666666666666,0.18181818181818182,0.13636363636363635,,,,0.3181818181818182,0.42857142857142855,0.42857142857142855,1.0,0.6363636363636364,0.42857142857142855,0.4757795454545455,9.475,24.98,2.0,4.0,2.0,1.0,2.0,1.0,0.18181818181818182,0.5,0.5,1.0,,1.0,3.0,,,,,4.0,,1.0,1.0,,2.0,,,9.0,3.0,1.0,2.0,,,,,,0.6666666666666666,0.25,0.25,,,0.08695652173913043,0.15384615384615385,,,3.0,,1.0,1.0,,3.0,,,,,,0.23076923076923078,,,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,0.07692307692307693,0.3333333333333333,1.0,0.49415000000000003,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201563-202726-2772,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, Andrew Goudelock, Trevor Ariza","Terry, Brewer, Beasley, Goudelock, Ariza",1891-201147-201563-202726-2772,HOU,12.0,1,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
1891-201147-201935-203991-2746,1610612745,"Jason Terry, Corey Brewer, James Harden, Clint Capela, Josh Smith","Terry, Brewer, Harden, Capela, Smith",1891-201147-201935-203991-2746,HOU,137.0,1,2.0,2.0,4.0,5.0,,9.0,1.0,2.0,1.0,,,1.0,1.0,2.0,3.0,1.0,1.0,7.0,5.0,2.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,5.0,,2.0,,2.0,2.0,,,,,1.0,,1.0,,,,,7.0,,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.875,0.7,0.25,,,,1.0,,1.0,,1.0,,94.59854014598541,,16.5,14.2,16.5,14.2,0.5,0.5,0.5,,0.25,,,,,0.25,1.0,1.0,1.0,0.75,1.0,0.5133625,2.733333333333333,25.2,,,,,,1.0,,,,,2.0,1.0,,1.0,1.0,,5.0,2.0,1.0,1.0,1.0,,,,,2.0,2.0,,,5.0,2.0,1.0,1.25,0.8333333333333334,,1.0,1.0,1.0,0.649625,,,0.7142857142857143,0.5,,1.0,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,True
