EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,Charge Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceFtPoints,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,FTDefRebounds,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PtsUnassisted3s,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,HeaveAttempts,RecoveredBlocks,3SecondViolations,BlocksRecoveredPct,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,BlockedAtRim,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,StepOutOfBoundsTurnovers,OffensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
101141-1626169-1626199-201943-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Brandon Jennings, Andre Drummond","Ilyasova, Johnson, Hilliard, Jennings, Drummond",101141-1626169-1626199-201943-203083,DET,186.0,1,3.0,1.0,6.0,6.0,12.0,1.0,2.0,3.0,3.0,1.0,4.0,6.0,1.0,9.0,8.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,92.90322580645162,14.5,16.5,14.5,16.5,0.3333333333333333,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.49345,0.16666666666666666,0.16666666666666666,6.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-1626199-201943-203382,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Brandon Jennings, Aron Baynes","Ilyasova, Johnson, Hilliard, Jennings, Baynes",101141-1626169-1626199-201943-203382,DET,156.0,1,3.0,-3.0,5.0,5.0,10.0,,,,1.0,1.0,1.0,2.0,1.0,6.0,9.0,2.0,,1.0,2.0,,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,6.0,1.0,1.0,0.5,0.625,0.6,,1.0,,92.3076923076923,20.6,10.6,20.6,10.6,,,,0.25,,,,0.25,0.5,0.38925,0.2,0.3333333333333333,16.35,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,0.5,0.5,0.5,0.5,0.625,0.6,0.5,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.25,1.0,0.25,0.38925,1.0,23.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-1626199-202704-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Reggie Jackson, Andre Drummond","Ilyasova, Johnson, Hilliard, Jackson, Drummond",101141-1626169-1626199-202704-203083,DET,186.0,2,3.0,-1.0,7.0,7.0,14.0,2.0,2.0,,2.0,4.0,3.0,8.0,,6.0,7.0,4.0,2.0,2.0,2.0,,4.0,2.0,2.0,4.0,1.0,1.0,1.0,,,,2.0,0.6666666666666666,1.0,0.375,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,108.38709677419355,14.285714285714286,12.285714285714286,13.714285714285714,11.571428571428571,0.2222222222222222,1.0,1.0,0.2222222222222222,,,,0.4444444444444444,0.3333333333333333,0.47255555555555556,,,11.7125,2.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,2.0,,,,,,,,0.1111111111111111,,,0.25,0.25,1.0,,,,,0.1111111111111111,,,0.5,0.51095,,24.3,0.2857142857142857,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.6457,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-1626199-203382-203915,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Aron Baynes, Spencer Dinwiddie","Ilyasova, Johnson, Hilliard, Baynes, Dinwiddie",101141-1626169-1626199-203382-203915,DET,83.0,1,1.0,1.0,3.0,4.0,7.0,1.0,2.0,,,,1.0,2.0,,5.0,4.0,2.0,,1.0,2.0,,5.0,1.0,1.0,1.0,1.0,2.0,,,,,5.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.5,0.5,,121.44578313253012,8.333333333333334,14.5,8.333333333333334,14.0,0.6666666666666666,0.5,0.5,,,,,,1.0,0.62725,,,1.4,,,,,,,,1.0,,1.0,1.0,,,,,,,3.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,,,,25.1,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201202-202704-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Joel Anthony, Reggie Jackson, Kentavious Caldwell-Pope","Ilyasova, Johnson, Anthony, Jackson, Caldwell-Pope",101141-1626169-201202-202704-203484,DET,194.0,1,3.0,-1.0,5.0,5.0,10.0,,,2.0,2.0,1.0,2.0,3.0,3.0,7.0,8.0,,4.0,,,,,1.0,1.0,3.0,,,2.0,4.0,,1.0,6.0,,,0.6666666666666666,0.5,0.5833333333333334,0.5,0.5,,74.22680412371133,18.8,20.0,16.2,18.2,,,,0.5,1.0,1.0,,0.25,0.25,0.4299375,0.2,0.25,12.666666666666666,5.0,,,,,,,1.0,1.0,,1.0,2.0,3.0,,1.0,3.0,7.0,,1.0,,,,,7.0,5.0,,,,,0.6666666666666666,0.5,0.5833333333333334,0.25,,,,,,,,,,0.25,,,0.25,0.4299375,1.0,24.2,1.0,1.0,,,,,1.0,,,,1.0,2.0,,,,,,,,,0.5,,,1.0,1.0,,1.0,,,,,,,0.14285714285714285,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201202-203484-2581,1610612765,"Ersan Ilyasova, Stanley Johnson, Joel Anthony, Kentavious Caldwell-Pope, Steve Blake","Ilyasova, Johnson, Anthony, Caldwell-Pope, Blake",101141-1626169-201202-203484-2581,DET,30.0,1,,3.0,2.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,4.0,1.0,,2.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,4.0,,,1.0,1.0,1.0,,,,144.0,12.5,5.0,12.5,5.0,1.0,1.0,1.0,,,,,,1.0,0.7694,0.5,0.5,0.1,2.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,4.0,,,,,,,4.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,0.7694,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-202694-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Marcus Morris, Andre Drummond","Ilyasova, Johnson, Jennings, Morris, Drummond",101141-1626169-201943-202694-203083,DET,1319.0,6,22.0,8.0,43.0,41.0,84.0,6.0,13.0,4.0,9.0,8.0,18.0,30.0,8.0,53.0,45.0,20.0,16.0,10.0,12.0,3.0,26.0,4.0,10.0,15.0,2.0,9.0,9.0,11.0,,4.0,44.0,0.5555555555555556,0.625,0.6,0.625,0.6463414634146342,0.36363636363636365,0.5,,91.70583775587566,14.976744186046512,16.463414634146343,14.837209302325581,15.317073170731707,0.3611111111111111,0.46153846153846156,0.5454545454545454,0.25,0.4444444444444444,0.5,0.75,0.2222222222222222,0.5277777777777778,0.5145,0.12195121951219512,0.11764705882352941,7.496666666666667,11.0,10.0,8.0,2.0,3.0,,1.0,3.0,,3.0,6.0,6.0,10.0,,1.0,1.0,13.0,6.0,3.0,2.0,1.0,4.0,5.0,13.0,11.0,0.6666666666666666,0.5,,0.5,0.6,0.5454545454545454,0.5416666666666666,0.16666666666666666,0.7142857142857143,1.0,1.0,1.0,0.5,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.08333333333333333,0.09090909090909091,,,0.5470318181818182,0.24528301886792453,25.05,0.2558139534883721,5.0,1.0,1.0,3.0,3.0,9.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,0.9,0.1,0.1111111111111111,0.4166666666666667,0.3333333333333333,0.4,,0.42857142857142855,0.5,0.3333333333333333,1.0,,0.49393333333333334,0.16981132075471697,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,,1.0,5.0,7.0,,1.0,,,,,1.0,3.0,7.0,1.0,0.5,0.6363636363636364,0.42857142857142855,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.15384615384615385,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.08333333333333333,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-202694-203382,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Marcus Morris, Aron Baynes","Ilyasova, Johnson, Jennings, Morris, Baynes",101141-1626169-201943-202694-203382,DET,725.0,6,12.0,-3.0,24.0,27.0,51.0,4.0,5.0,2.0,5.0,2.0,8.0,12.0,3.0,25.0,28.0,2.0,14.0,1.0,3.0,1.0,8.0,7.0,12.0,12.0,4.0,8.0,5.0,6.0,,3.0,25.0,0.125,0.125,0.6666666666666666,0.6111111111111112,0.5952380952380952,1.0,1.0,,101.29655172413793,14.666666666666666,13.814814814814815,14.666666666666666,13.814814814814815,0.2777777777777778,0.8,0.8,0.2777777777777778,0.4,0.4,0.5,0.1111111111111111,0.6111111111111112,0.5470294117647059,0.14285714285714285,0.2,7.166666666666667,8.0,14.0,2.0,,,,,6.0,2.0,2.0,6.0,4.0,5.0,1.0,2.0,2.0,13.0,6.0,5.0,2.0,,,3.0,13.0,8.0,1.0,0.3333333333333333,0.5,0.4,0.8,0.7857142857142857,0.7222222222222222,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,0.3333333333333333,,,0.2857142857142857,0.6670083333333333,0.52,29.21666666666667,0.3333333333333333,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.4,,,,1.0,4.0,,,,,,,1.0,3.0,4.0,2.0,1.0,0.5714285714285714,0.75,,,1.0,3.0,3.0,,,,,,,,,,0.75,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-203083-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Andre Drummond, Kentavious Caldwell-Pope","Ilyasova, Johnson, Jennings, Drummond, Caldwell-Pope",101141-1626169-201943-203083-203484,DET,1580.0,8,26.0,6.0,52.0,52.0,104.0,10.0,17.0,5.0,11.0,7.0,16.0,35.0,5.0,52.0,46.0,14.0,18.0,7.0,10.0,2.0,23.0,11.0,18.0,25.0,4.0,7.0,8.0,6.0,,2.0,42.0,0.4375,0.5384615384615384,0.45714285714285713,0.5108695652173914,0.5306122448979592,0.5238095238095238,0.5483870967741935,0.5,94.78481012658229,14.442307692307692,15.942307692307692,14.0,14.673076923076923,0.3695652173913043,0.5882352941176471,0.625,0.2391304347826087,0.45454545454545453,0.45454545454545453,0.4,0.15217391304347827,0.6086956521739131,0.5109532608695652,0.041666666666666664,0.05405405405405406,6.868571428571428,24.0,16.0,1.0,1.0,4.0,,2.0,7.0,5.0,5.0,11.0,7.0,13.0,3.0,7.0,2.0,25.0,9.0,7.0,3.0,1.0,1.0,6.0,23.0,23.0,0.6,0.45454545454545453,0.42857142857142855,0.45454545454545453,0.5384615384615384,0.575,0.5952380952380952,0.2391304347826087,0.6,0.5555555555555556,0.14285714285714285,0.14285714285714285,1.0,0.08695652173913043,0.25,0.25,1.0,0.15217391304347827,0.1,,0.25,0.522565,0.4807692307692308,24.718181818181815,0.46153846153846156,7.0,5.0,6.0,5.0,6.0,10.0,6.0,1.0,4.0,6.0,7.0,5.0,3.0,,4.0,1.0,4.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.02857142857142857,,0.3157894736842105,0.28,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,1.0,0.8333333333333334,0.2,0.66386,0.19230769230769232,4.0,4.0,2.0,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,,1.0,2.0,4.0,9.0,1.0,5.0,1.0,,0.16666666666666666,,0.625,4.0,6.0,1.0,1.0,0.3,0.6666666666666666,6.0,1.0,2.0,5.0,4.0,1.0,1.0,,,,2.0,,,0.058823529411764705,0.5555555555555556,0.2857142857142857,1.0,0.041666666666666664,,3.0,,1.0,,0.25,0.6,1.0,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-203382-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Aron Baynes, Kentavious Caldwell-Pope","Ilyasova, Johnson, Jennings, Baynes, Caldwell-Pope",101141-1626169-201943-203382-203484,DET,1010.0,7,17.0,18.0,40.0,36.0,76.0,6.0,11.0,2.0,9.0,1.0,9.0,21.0,14.0,50.0,32.0,8.0,10.0,4.0,10.0,,26.0,10.0,13.0,18.0,5.0,12.0,10.0,20.0,1.0,6.0,41.0,0.4444444444444444,0.5714285714285714,0.42857142857142855,0.5625,0.5975609756097561,0.6666666666666666,0.631578947368421,0.875,108.35643564356437,12.85,13.777777777777779,11.675,13.13888888888889,0.34375,0.5454545454545454,0.6,0.28125,0.2222222222222222,0.2222222222222222,,0.03125,0.6875,0.5061109375,0.16216216216216217,0.23076923076923078,4.880952380952381,33.0,18.0,1.0,,1.0,,,10.0,8.0,6.0,11.0,7.0,16.0,6.0,8.0,12.0,44.0,18.0,10.0,6.0,,1.0,2.0,44.0,33.0,1.0,0.5454545454545454,0.75,0.5454545454545454,0.4375,0.6666666666666666,0.671875,0.34375,0.5,0.6666666666666666,1.0,1.0,1.0,0.03125,,,,0.3125,,,0.3333333333333333,0.5036604166666666,0.88,25.627272727272725,0.825,6.0,2.0,2.0,3.0,3.0,9.0,4.0,1.0,3.0,4.0,5.0,4.0,1.0,,2.0,,2.0,1.0,0.9,0.9,0.047619047619047616,,0.3333333333333333,0.29411764705882354,0.42857142857142855,,0.6666666666666666,0.5,0.4,1.0,,0.5440125,0.18,6.0,6.0,6.0,0.6,0.6,1.0,0.6,,1.0,,1.0,3.0,1.0,3.0,4.0,4.0,0.2,,0.25,5.0,7.0,1.0,1.0,0.2916666666666667,0.7142857142857143,,2.0,3.0,2.0,2.0,,,,2.0,,,,3.0,0.09090909090909091,0.6666666666666666,0.2,,0.125,,6.0,,2.0,,1.0,0.75,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.4,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
