EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGA,NonHeaveArc3FGA,FoulsDrawn,DefLongMidRangeReboundPct,Arc3Frequency,LongMidRangeFGA,DefThreePtRebounds,Offensive Fouls Drawn,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,Fg2aBlocked,AtRimAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,AtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,Arc3FGM,FG3M,FtPoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Arc3Assists,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceFtPoints,Fg3aBlocked,SelfOReb,SecondChanceTurnovers,BlockingFouls,Charge Fouls,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SelfORebPct,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Corner3PctBlocked,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
101161-1626154-201973-202323-203935,1610612738,"Amir Johnson, RJ Hunter, Jonas Jerebko, Evan Turner, Marcus Smart","Johnson, Hunter, Jerebko, Turner, Smart",101161-1626154-201973-202323-203935,BOS,157.0,1,3.0,3.0,5.0,6.0,1.0,11.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,5.0,1.0,8.0,5.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.25,0.3333333333333333,0.8,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,0.75,0.5,1.0,1.0,1.0,100.89171974522293,1.0,12.0,16.166666666666668,12.0,13.833333333333334,0.3333333333333333,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.5,0.5051083333333334,0.6378,0.25,6.4799999999999995,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626154-201973-203109-203935,1610612738,"Amir Johnson, RJ Hunter, Jonas Jerebko, Jae Crowder, Marcus Smart","Johnson, Hunter, Jerebko, Crowder, Smart",101161-1626154-201973-203109-203935,BOS,100.0,1,2.0,-3.0,3.0,3.0,,6.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,5.0,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,2.0,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,1.0,,1.0,,,,,86.39999999999999,,23.666666666666668,9.666666666666666,23.666666666666668,9.666666666666666,0.3333333333333333,1.0,1.0,,,,,,,,1.0,0.5167166666666666,,,2.1,25.0,2.0,2.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626154-202323-203109-203935,1610612738,"Amir Johnson, RJ Hunter, Evan Turner, Jae Crowder, Marcus Smart","Johnson, Hunter, Turner, Crowder, Smart",101161-1626154-202323-203109-203935,BOS,31.0,1,1.0,,1.0,1.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,92.9032258064516,,10.0,21.0,10.0,21.0,,,,1.0,,,,,,,,0.3637,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626154-202340-202738-203109,1610612738,"Amir Johnson, RJ Hunter, Avery Bradley, Isaiah Thomas, Jae Crowder","Johnson, Hunter, Bradley, Thomas, Crowder",101161-1626154-202340-202738-203109,BOS,94.0,1,2.0,-2.0,3.0,4.0,,7.0,,,,,,1.0,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.6666666666666666,,,,,107.23404255319149,,14.333333333333334,12.75,14.333333333333334,11.5,,,,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,0.46153333333333335,,,14.35,23.6,,,1.0,1.0,,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626154-202738-203096-203109,1610612738,"Amir Johnson, RJ Hunter, Isaiah Thomas, Jared Sullinger, Jae Crowder","Johnson, Hunter, Thomas, Sullinger, Crowder",101161-1626154-202738-203096-203109,BOS,7.0,1,,-3.0,,1.0,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626179-201973-202323-202738,1610612738,"Amir Johnson, Terry Rozier, Jonas Jerebko, Evan Turner, Isaiah Thomas","Johnson, Rozier, Jerebko, Turner, Thomas",101161-1626179-201973-202323-202738,BOS,247.0,2,4.0,,7.0,7.0,1.0,14.0,1.0,3.0,,1.0,,,2.0,1.0,3.0,4.0,2.0,2.0,,1.0,,2.0,,,1.0,1.0,,2.0,2.0,3.0,5.0,2.0,7.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,0.3333333333333333,,0.14285714285714285,,0.14285714285714285,,0.5714285714285714,0.75,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,,81.61943319838058,,20.428571428571427,14.857142857142858,17.714285714285715,14.142857142857142,0.42857142857142855,0.3333333333333333,0.5,,,,,0.2857142857142857,0.5,,1.0,0.6211214285714286,0.622175,,1.1666666666666667,23.7,2.0,2.0,,1.0,0.2857142857142857,,1.0,,0.5,0.5,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,0.25,0.25,0.63315,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626179-201973-202323-203935,1610612738,"Amir Johnson, Terry Rozier, Jonas Jerebko, Evan Turner, Marcus Smart","Johnson, Rozier, Jerebko, Turner, Smart",101161-1626179-201973-202323-203935,BOS,807.0,3,13.0,-2.0,25.0,25.0,1.0,50.0,3.0,5.0,1.0,1.0,4.0,4.0,1.0,8.0,15.0,6.0,29.0,31.0,1.0,1.0,2.0,10.0,6.0,2.0,5.0,6.0,3.0,13.0,1.0,6.0,9.0,1.0,10.0,2.0,4.0,1.0,1.0,1.0,1.0,27.0,0.625,0.7142857142857143,0.5333333333333333,1.0,0.5952380952380952,1.0,0.6304347826086957,1.0,0.2857142857142857,0.6666666666666666,0.14285714285714285,0.6428571428571429,0.1111111111111111,,1.0,0.5,89.2193308550186,1.0,17.64,14.64,17.6,13.32,0.23809523809523808,0.6,0.75,0.19047619047619047,1.0,1.0,0.75,0.047619047619047616,1.0,1.0,0.5238095238095238,0.43043,0.3558,0.06896551724137931,9.786666666666667,34.666666666666664,5.0,4.0,7.0,0.3333333333333333,0.23809523809523808,6.0,3.0,,0.6,0.6,0.2857142857142857,5.0,5.0,2.0,,,2.0,,4.0,2.0,1.0,1.0,,3.0,1.0,1.0,,4.0,5.0,0.06666666666666667,0.2,0.75,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.40189,0.2,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,0.3333333333333333,0.5,0.6,0.25,0.16666666666666666,0.2857142857142857,0.2,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.4,0.4,0.5,0.5,0.09090909090909091,0.125,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626179-202323-202738-203109,1610612738,"Amir Johnson, Terry Rozier, Evan Turner, Isaiah Thomas, Jae Crowder","Johnson, Rozier, Turner, Thomas, Crowder",101161-1626179-202323-202738-203109,BOS,349.0,2,6.0,-7.0,11.0,11.0,,22.0,3.0,4.0,,,,1.0,1.0,3.0,5.0,6.0,7.0,14.0,,,,2.0,4.0,,1.0,1.0,,2.0,,2.0,3.0,1.0,4.0,,,,,,,7.0,0.3333333333333333,0.3333333333333333,0.6,,0.2727272727272727,,0.3181818181818182,,0.5454545454545454,1.0,,1.0,0.125,,,,90.77363896848138,,16.90909090909091,14.818181818181818,16.90909090909091,14.818181818181818,0.36363636363636365,0.75,0.75,0.09090909090909091,,,,0.09090909090909091,,,0.9090909090909091,0.520159090909091,,,3.5799999999999996,25.433333333333334,5.0,5.0,3.0,1.0,0.45454545454545453,,1.0,,1.0,1.0,,3.0,,1.0,,,2.0,,1.0,2.0,,1.0,,,,1.0,,1.0,3.0,,,,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.57355,0.2727272727272727,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,0.2,,1.0,1.0,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626179-202323-202738-203935,1610612738,"Amir Johnson, Terry Rozier, Evan Turner, Isaiah Thomas, Marcus Smart","Johnson, Rozier, Turner, Thomas, Smart",101161-1626179-202323-202738-203935,BOS,85.0,1,1.0,2.0,3.0,3.0,,6.0,1.0,1.0,,,,1.0,,2.0,3.0,,4.0,2.0,,,,,4.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,4.0,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,1.0,,,,,101.6470588235294,,9.333333333333334,19.0,9.333333333333334,19.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,0.3333333333333333,0.4810666666666667,,,11.9,,,,,,,1.0,1.0,,1.0,1.0,0.3333333333333333,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
101161-1626179-202738-203109-203935,1610612738,"Amir Johnson, Terry Rozier, Isaiah Thomas, Jae Crowder, Marcus Smart","Johnson, Rozier, Thomas, Crowder, Smart",101161-1626179-202738-203109-203935,BOS,147.0,2,2.0,2.0,3.0,5.0,,8.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,,,,2.0,,,,,,,1.0,4.0,1.0,5.0,,,2.0,2.0,2.0,1.0,2.0,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.5,,0.8,0.5,,0.5,,78.3673469387755,0.5,23.333333333333332,15.4,23.333333333333332,14.6,0.3333333333333333,1.0,1.0,,,,,,,,1.0,0.58445,,,1.9,25.05,2.0,2.0,2.0,,0.6666666666666666,,3.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,False
