EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyCorner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,AtRimAssists,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,LiveBallTurnoverPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFG2M,SecondChanceFG2A,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,FTDefRebounds,3SecondViolations,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,ShortMidRangeAssists,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyFtPoints,FTOffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,Clear Path Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Travels,DefensiveGoaltends,team_id,year,season,team_vs
101133-101139-101145-201155-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Paul George","Mahinmi, Miles, Ellis, Stuckey, George",101133-101139-101145-201155-202331,IND,213.0,1,4.0,5.0,7.0,8.0,1.0,15,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,10.0,5.0,1.0,1.0,3.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,7.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.4,0.625,1.5,0.625,1.5,0.375,0.2,0.2,1.0,0.3333333333333333,0.5,0.8,0.25,0.3333333333333333,1.0,0.5,101.40845070422536,13.285714285714286,15.0,12.571428571428571,13.125,0.625,0.4,0.5,0.25,0.5,0.5,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.375,1.0,0.4745,0.65505,0.3,18.16,24.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101139-101145-201155-203524,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Solomon Hill","Mahinmi, Miles, Ellis, Stuckey, Hill",101133-101139-101145-201155-203524,IND,43.0,1,1.0,1.0,1.0,2.0,,3,,,,,,,1.0,1.0,,,1.0,1.0,3.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,1.5,,1.5,,1.0,,,,,,,,,,,100.46511627906976,7.0,18.0,7.0,1.5,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,0.39315,,,,27.2,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.5,1.5,1.0,1.0,0.39315,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101139-101145-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, George Hill, Paul George","Mahinmi, Miles, Ellis, Hill, George",101133-101139-101145-201588-202331,IND,350.0,3,6.0,6.0,12.0,10.0,,22,1.0,3.0,,1.0,,,,1.0,4.0,6.0,,2.0,13.0,7.0,,,,6.0,,1.0,,1.0,,1.0,,,2.0,,1.0,3.0,4.0,,4.0,1.0,2.0,13.0,,,,,0.6666666666666666,0.5,,0.5909090909090909,,0.25,0.16666666666666666,0.3333333333333333,0.42857142857142855,,0.3333333333333333,0.4,,,1.0,0.5,90.51428571428572,10.333333333333334,22.6,10.333333333333334,18.9,0.375,0.3333333333333333,0.5,0.125,,,,0.125,,,,,,,0.5,,0.52234375,,,12.5,24.2,4.0,,,,,1.0,6.0,,6.0,4.0,,0.75,0.75,,,0.6119375,0.46153846153846156,0.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,0.5,0.125,1.0,1.0,0.5,1.0,0.25,0.2727272727272727,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101139-201155-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, George Hill, Paul George","Mahinmi, Miles, Stuckey, Hill, George",101133-101139-201155-201588-202331,IND,284.0,3,5.0,4.0,8.0,8.0,1.0,16,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,2.0,2.0,3.0,12.0,8.0,,,2.0,2.0,6.0,2.0,1.0,,2.0,3.0,1.0,1.0,8.0,,2.0,1.0,3.0,1.0,4.0,1.0,1.0,10.0,1.0,0.6666666666666666,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6,,,0.5,,0.6666666666666666,0.6,1.0,,,0.5,81.12676056338029,16.625,18.875,15.75,17.25,0.2,1.0,1.0,0.2,1.0,1.0,1.0,0.4,0.5,0.5,1.0,,,,0.6,0.5,0.43667999999999996,,0.16666666666666666,11.75,24.900000000000002,1.0,,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,1.5,1.5,1.0,1.0,0.3909,0.25,0.125,,,,,1.0,1.0,,2.0,,,2.0,1.0,,,,1.0,,2.0,,2.0,3.0,,,,,,0.5,0.5,,0.5,,,,,,,0.2,1.0,1.0,,,,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101139-201155-201951-202331,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Ty Lawson, Paul George","Mahinmi, Miles, Stuckey, Lawson, George",101133-101139-201155-201951-202331,IND,254.0,1,4.0,-1.0,7.0,7.0,,14,,1.0,,,,,2.0,2.0,1.0,3.0,2.0,2.0,9.0,10.0,,,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,3.0,,3.0,1.0,1.0,9.0,0.5,1.0,,1.0,0.3333333333333333,0.8,,0.75,,0.4,0.3333333333333333,1.0,0.3333333333333333,,1.0,0.5,,,,,79.37007874015748,18.142857142857142,18.142857142857142,18.142857142857142,17.714285714285715,0.2,,,,,,,0.4,1.0,1.0,0.5,,,,0.6,1.0,0.50066,,,10.0,24.45,,,,,,,,3.0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,0.5,,0.2,,,,0.2,1.0,1.0,,,,0.16666666666666666,0.25,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101139-201155-201951-203524,1610612754,"Ian Mahinmi, CJ Miles, Rodney Stuckey, Ty Lawson, Solomon Hill","Mahinmi, Miles, Stuckey, Lawson, Hill",101133-101139-201155-201951-203524,IND,1339.0,3,22.0,-20.0,41.0,42.0,5.0,83,2.0,6.0,,2.0,,,1.0,6.0,9.0,30.0,1.0,8.0,26.0,46.0,,,5.0,8.0,3.0,6.0,1.0,2.0,1.0,6.0,1.0,,13.0,5.0,5.0,8.0,15.0,6.0,21.0,9.0,12.0,21.0,1.0,0.125,,0.125,0.3,0.27631578947368424,0.5,0.30952380952380953,0.625,0.21052631578947367,0.06666666666666667,,0.7272727272727273,0.23809523809523808,0.45454545454545453,0.5909090909090909,0.21428571428571427,0.25,0.8,0.5714285714285714,89.26064227035101,16.853658536585368,15.428571428571429,16.146341463414632,14.738095238095237,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.05263157894736842,,,,0.15789473684210525,0.16666666666666666,0.16666666666666666,1.0,,,,0.631578947368421,0.16666666666666666,0.4964315789473684,0.48973333333333335,0.19230769230769232,7.02,25.025,1.0,2.0,,,,,2.0,,2.0,1.0,,0.5,0.5,,,0.41545,0.07692307692307693,0.024390243902439025,5.0,16.0,1.0,1.0,2.0,8.0,,5.0,1.0,2.0,10.0,5.0,2.0,2.0,2.0,6.0,1.0,6.0,1.0,7.0,10.0,5.0,1.0,,1.0,1.0,0.5555555555555556,0.625,0.5,1.0,0.5,1.0,0.42105263157894735,0.3125,0.35714285714285715,0.4,0.21052631578947367,0.25,0.25,0.5,1.0,,0.11904761904761904,0.14705882352941177,2.0,4.0,2.0,1.0,1.0,,,5.0,,0.5,0.14285714285714285,0.2,0.75,0.25,0.038461538461538464,1.0,,2.0,,0.6666666666666666,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.125,0.36363636363636365,0.5,0.75,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101139-201588-201951-202331,1610612754,"Ian Mahinmi, CJ Miles, George Hill, Ty Lawson, Paul George","Mahinmi, Miles, Hill, Lawson, George",101133-101139-201588-201951-202331,IND,103.0,1,2.0,4.0,3.0,4.0,,7,1.0,1.0,,,,,,,3.0,3.0,,,6.0,2.0,,,,2.0,,,,,,2.0,,,4.0,,1.0,,1.0,,1.0,,,6.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,97.86407766990291,7.333333333333333,20.25,7.333333333333333,20.25,0.3333333333333333,1.0,1.0,,,,,,,,,,,,0.6666666666666666,,0.6519333333333334,,,6.1000000000000005,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101145-1626167-201588-202331,1610612754,"Ian Mahinmi, Monta Ellis, Myles Turner, George Hill, Paul George","Mahinmi, Ellis, Turner, Hill, George",101133-101145-1626167-201588-202331,IND,3417.0,5,57.0,1.0,108.0,107.0,9.0,215,7.0,16.0,2.0,11.0,,1.0,5.0,16.0,33.0,64.0,7.0,27.0,104.0,103.0,,1.0,5.0,32.0,15.0,16.0,5.0,3.0,5.0,22.0,3.0,2.0,49.0,5.0,17.0,21.0,39.0,13.0,52.0,13.0,26.0,99.0,0.7142857142857143,0.25925925925925924,,0.25925925925925924,0.515625,0.47802197802197804,0.18181818181818182,0.5098039215686274,0.20833333333333334,0.2967032967032967,0.046875,,0.65625,0.16129032258064516,0.7083333333333334,0.6785714285714286,0.24,,0.8333333333333334,0.5882352941176471,90.60579455662862,14.925925925925926,16.869158878504674,14.37962962962963,15.85981308411215,0.17582417582417584,0.4375,0.4375,0.12087912087912088,0.18181818181818182,0.18181818181818182,1.0,0.17582417582417584,0.3125,0.3125,0.6,0.09090909090909091,,,0.6703296703296703,0.3125,0.5463714285714286,0.58892,0.04807692307692308,7.1171875,24.874074074074073,24.0,9.0,2.0,3.0,3.0,7.0,25.0,6.0,25.0,24.0,0.42857142857142855,0.7,0.7352941176470589,0.2,0.6666666666666666,0.5480933333333333,0.2403846153846154,0.2222222222222222,21.0,34.0,4.0,5.0,5.0,14.0,4.0,17.0,6.0,8.0,34.0,17.0,12.0,14.0,6.0,12.0,8.0,19.0,2.0,22.0,23.0,11.0,8.0,5.0,8.0,4.0,0.5151515151515151,0.53125,0.75,0.631578947368421,0.5,0.5,0.37362637362637363,0.6176470588235294,0.6774193548387096,0.5714285714285714,0.15384615384615385,0.35714285714285715,0.35714285714285715,0.3333333333333333,0.8,0.26666666666666666,0.10891089108910891,0.14864864864864866,2.0,10.0,3.0,7.0,,7.0,,4.0,,0.2,0.3684210526315789,0.2727272727272727,0.5833333333333334,1.0,,0.42857142857142855,,1.0,,1.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,,,0.08823529411764706,0.23076923076923078,0.4,0.7272727272727273,0.25,0.5,1.0,4.0,1.0,8.0,3.0,7.0,1.0,2.0,2.0,1.0,8.0,1.0,3.0,1.0,1.0,1.0,0.2222222222222222,0.5,0.25,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101145-201155-201588-203524,1610612754,"Ian Mahinmi, Monta Ellis, Rodney Stuckey, George Hill, Solomon Hill","Mahinmi, Ellis, Stuckey, Hill, Hill",101133-101145-201155-201588-203524,IND,61.0,1,1.0,-4.0,2.0,3.0,,5,,,,1.0,,,,,,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,118.03278688524591,18.0,8.333333333333334,18.0,8.333333333333334,,,,0.5,,,,,,,,,,,0.5,,0.521625,,,4.6,24.1,2.0,3.0,,,,1.0,,,,2.0,,,,,,0.521625,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
101133-101145-201155-202331-202730,1610612754,"Ian Mahinmi, Monta Ellis, Rodney Stuckey, Paul George, Lavoy Allen","Mahinmi, Ellis, Stuckey, George, Allen",101133-101145-201155-202331-202730,IND,47.0,1,1.0,,1.0,2.0,,3,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,91.91489361702128,10.0,18.5,10.0,18.5,,,,,,,,,,,,,,,1.0,,0.6095,,,1.6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,False
