EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,PlusMinus,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,TsPct,PenaltyTsPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Charge Fouls Drawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,ShortMidRangeFGM,Arc3FGA,SecondChanceFtPoints,NonHeaveArc3FGA,OffThreePtRebounds,DefTwoPtRebounds,Steals,BadPassSteals,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimAssists,AtRimPctAssisted,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTDefRebounds,Offensive Fouls,BlockedShortMidRange,DefensiveGoaltends,DefFTReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,LostBallSteals,LostBallTurnovers,Defensive 3 Seconds Violations,SelfORebPct,SecondChanceArc3Frequency,OffLongMidRangeReboundPct,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,ShortMidRangeAssists,SecondChanceFg3Pct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceTurnovers,Charge Fouls,NonShootingPenaltyNonTakeFouls,Technical Free Throw Trips,LongMidRangePctBlocked,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Arc3PctBlocked,StepOutOfBoundsTurnovers,3SecondViolations,HeaveAttempts,BlockedLongMidRange,Clear Path Fouls,BlockedCorner3,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
1626153-1626181-200768-202687-2449,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, Bismack Biyombo, Luis Scola","Wright, Powell, Lowry, Biyombo, Scola",1626153-1626181-200768-202687-2449,TOR,6.0,1,1.0,1.0,1.0,1.0,2.0,1.0,480.0,1.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-201949-202687,1610612761,"Delon Wright, Norman Powell, Jason Thompson, James Johnson, Bismack Biyombo","Wright, Powell, Thompson, Johnson, Biyombo",1626153-1626181-201574-201949-202687,TOR,35.0,1,1.0,1.0,1.0,1.0,2.0,1.0,82.28571428571428,29.0,6.0,29.0,6.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-201949-203512,1610612761,"Delon Wright, Norman Powell, Jason Thompson, James Johnson, Lucas Nogueira","Wright, Powell, Thompson, Johnson, Nogueira",1626153-1626181-201574-201949-203512,TOR,38.0,1,1.0,1.0,1.0,1.0,2.0,1.0,75.78947368421053,16.0,22.0,16.0,22.0,1.0,1.0,3.0,,3.0,,,3.0,1.0,,,3.0,3.0,1.5,1.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4863,0.4863,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202335-202709,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Patrick Patterson, Cory Joseph","Wright, Powell, Thompson, Patterson, Joseph",1626153-1626181-201574-202335-202709,TOR,215.0,1,8.0,7.0,8.0,7.0,15.0,8.0,100.46511627906976,17.0,11.285714285714286,16.25,10.142857142857142,1.0,4.0,,3.0,10.0,10.0,3.0,10.0,3.0,4.0,1.0,6.0,10.0,0.7142857142857143,0.7142857142857143,0.16666666666666666,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,,1.0,1.0,1.0,1.0,0.7,0.7,0.2,0.2,1.0,1.0,1.0,0.2,1.0,0.6,0.40723000000000004,0.40723000000000004,23.8,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.25,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,0.5,1.0,0.2,0.2,1.0,1.0,1.0,0.5,1.0,0.4,0.5,0.4234,0.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202687-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Bismack Biyombo, Terrence Ross","Wright, Powell, Thompson, Biyombo, Ross",1626153-1626181-201574-202687-203082,TOR,428.0,2,14.0,13.0,,3.0,27.0,,90.8411214953271,16.714285714285715,14.923076923076923,15.857142857142858,14.461538461538462,,7.0,-4.0,6.0,12.0,16.0,,,5.0,6.0,3.0,10.0,,0.4,,0.2,0.23076923076923078,,,1.0,,,,2.0,,,,,,,,,,,,,0.25,,0.16666666666666666,0.08333333333333333,,,,,,0.3333333333333333,0.4237625,,24.15,3.0,1.0,2.0,,,,,4.0,1.0,4.0,3.0,10.0,,2.0,2.0,,,,6.0,2.0,,,,2.0,4.0,2.0,6.0,1.0,1.0,,,1.0,,,,,,,0.3,,,,0.3333333333333333,0.2,,1.0,,1.0,0.8,0.2222222222222222,,,1.0,0.16666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,,,,,,0.3259,0.16666666666666666,10.34,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,0.25,0.5,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202709-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Cory Joseph, Terrence Ross","Wright, Powell, Thompson, Joseph, Ross",1626153-1626181-201574-202709-203082,TOR,34.0,1,1.0,2.0,1.0,1.0,3.0,1.0,127.05882352941177,18.0,8.0,18.0,8.0,1.0,1.0,-2.0,,2.0,4.0,,2.0,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,0.4719,0.4719,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,2.8,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202709-203512,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Cory Joseph, Lucas Nogueira","Wright, Powell, Thompson, Joseph, Nogueira",1626153-1626181-201574-202709-203512,TOR,195.0,1,7.0,8.0,7.0,8.0,15.0,7.0,110.76923076923077,14.0,12.125,14.0,10.75,1.0,3.0,4.0,2.0,9.0,5.0,2.0,9.0,3.0,3.0,2.0,7.0,9.0,0.5625,0.5625,0.25,0.3333333333333333,1.0,,,,,1.0,2.0,1.0,2.0,3.0,1.0,2.0,,5.0,,1.0,0.5,0.5,0.5,0.5,0.5,0.2857142857142857,,,,,,,0.7142857142857143,0.48279285714285713,0.48279285714285713,26.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,,1.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,,1.0,,1.0,1.0,3.0,1.0,4.0,,,,,,,1.0,,,0.5,1.0,0.4,1.0,0.4,1.0,1.0,,,,0.3333333333333333,1.0,1.0,0.25,1.0,,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.14285714285714285,,,,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6899,0.2222222222222222,6.76,,2.0,,2.0,,2.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,0.2857142857142857,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-203082-203512,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Terrence Ross, Lucas Nogueira","Wright, Powell, Thompson, Ross, Nogueira",1626153-1626181-201574-203082-203512,TOR,480.0,3,18.0,19.0,13.0,8.0,37.0,13.0,111.0,12.666666666666666,13.263157894736842,12.666666666666666,12.894736842105264,0.7222222222222222,8.0,8.0,4.0,25.0,17.0,2.0,19.0,3.0,4.0,2.0,25.0,19.0,0.8333333333333334,0.8636363636363636,0.13333333333333333,0.14285714285714285,0.76,,,,,1.0,1.0,1.0,1.0,3.0,1.0,7.0,,15.0,,1.0,1.0,1.0,1.0,0.8076923076923077,0.85,0.07692307692307693,,,,,,,0.6153846153846154,0.5823384615384616,0.62707,24.4,,6.0,7.0,,,5.0,6.0,2.0,2.0,3.0,9.0,12.0,,,,7.0,9.0,12.0,6.0,,6.0,1.0,,4.0,7.0,,7.0,2.0,2.0,1.0,,3.0,2.0,,,,0.6666666666666666,0.6666666666666666,0.75,,0.7777777777777778,,,,,0.6666666666666666,,0.8,0.75,,,,0.8,0.5384615384615384,0.8571428571428571,0.8571428571428571,0.15384615384615385,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,,,0.6,0.8333333333333334,,,6.183333333333334,1.0,1.0,,1.0,,2.0,3.0,3.0,1.0,1.0,3.0,,,0.6666666666666666,,,,0.5,1.0,,0.5,0.5,0.07692307692307693,5.0,0.8333333333333334,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-203512-203998,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Lucas Nogueira, Bruno Caboclo","Wright, Powell, Thompson, Nogueira, Caboclo",1626153-1626181-201574-203512-203998,TOR,1003.0,2,32.0,33.0,3.0,,65.0,3.0,93.32003988035893,16.40625,14.484848484848484,15.5625,13.969696969696969,0.09375,17.0,-8.0,,26.0,34.0,,2.0,4.0,2.0,1.0,22.0,2.0,0.3939393939393939,0.5,0.030303030303030304,0.045454545454545456,0.07692307692307693,1.0,3.0,,,2.0,11.0,,1.0,6.0,2.0,7.0,1.0,16.0,,1.0,0.18181818181818182,,0.18181818181818182,0.40625,0.5,0.34375,0.09375,0.3333333333333333,0.3333333333333333,1.0,,,0.78125,0.5386484375,0.417225,24.91818181818182,6.0,9.0,14.0,2.0,3.0,,,3.0,1.0,4.0,10.0,21.0,2.0,4.0,4.0,1.0,1.0,10.0,10.0,2.0,5.0,,3.0,5.0,16.0,6.0,22.0,4.0,2.0,,,4.0,,,,,0.5,0.625,0.47619047619047616,0.5,1.0,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.07142857142857142,1.0,0.2727272727272727,0.8333333333333334,0.75,0.3,0.2,0.6666666666666666,0.8,0.4375,0.6428571428571429,0.6923076923076923,0.09375,0.125,0.25,0.25,,0.5,0.6666666666666666,,,0.5367000000000001,0.15384615384615385,5.795238095238095,,8.0,,8.0,3.0,10.0,2.0,1.0,2.0,,3.0,,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.2857142857142857,0.5,0.6666666666666666,1.0,1.0,,,0.25,5.0,0.5555555555555556,1.0,,1.0,4.0,1.0,1.0,,3.0,2.0,3.0,1.0,0.6666666666666666,0.3333333333333333,0.125,0.125,1.0,0.5,,0.125,1.0,,1.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201942-203461-203512,1610612761,"Delon Wright, Norman Powell, DeMar DeRozan, Anthony Bennett, Lucas Nogueira","Wright, Powell, DeRozan, Bennett, Nogueira",1626153-1626181-201942-203461-203512,TOR,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
