EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGA,SecondChanceFtPoints,SecondChancePoints,Offensive Fouls Drawn,SecondChanceTsPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChancePointsPct,PenaltyDefPoss,LongMidRangeFGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PenaltyArc3FGM,FTDefRebounds,DefFTReboundPct,PenaltyArc3Accuracy,PtsUnassisted3s,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,ShortMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Travels,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BadPassOutOfBoundsTurnovers,BlockedAtRim,DefensiveGoaltends,BlockedLongMidRange,3SecondViolations,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,BlockingFouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1626149-1891-201147-203909-203991,1610612745,"Montrezl Harrell, Jason Terry, Corey Brewer, KJ McDaniels, Clint Capela","Harrell, Terry, Brewer, McDaniels, Capela",1626149-1891-201147-203909-203991,HOU,270.0,1,4.0,-3.0,10.0,11.0,10.0,1.0,21.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,6.0,3.0,3.0,7.0,10.0,1.0,2.0,6.0,3.0,3.0,7.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,10.0,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3181818181818182,0.3181818181818182,0.3333333333333333,0.16666666666666666,0.25,1.0,0.25,1.0,1.0,0.14285714285714285,0.5,1.0,1.0,0.16666666666666666,112.0,1.0,9.4,16.0,8.8,16.0,0.4444444444444444,0.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,1.0,0.4444444444444444,0.5,0.3333333333333333,0.7777777777777778,0.5703666666666667,0.53175,0.5703666666666667,0.1,0.14285714285714285,1.0,3.0666666666666664,25.099999999999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1626149-1891-201147-203909-2730,1610612745,"Montrezl Harrell, Jason Terry, Corey Brewer, KJ McDaniels, Dwight Howard","Harrell, Terry, Brewer, McDaniels, Howard",1626149-1891-201147-203909-2730,HOU,118.0,1,2.0,1.0,4.0,4.0,2.0,1.0,8.0,,,,,3.0,,,,1.0,4.0,,1.0,3.0,2.0,,1.0,2.0,,,2.0,2.0,,1.0,1.0,,2.0,2.0,1.0,3.0,,2.0,,2.0,1.0,,,,,,2.0,2.0,2.0,,0.25,0.5,0.25,0.5,0.3,0.5,,0.25,,1.0,0.3333333333333333,,1.0,0.3333333333333333,,1.0,,,97.6271186440678,,11.75,17.75,11.75,17.75,,,,0.75,,,,,,,0.4104,,0.41205,0.2,0.2,0.6666666666666666,11.35,,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1626149-202726-203909-203991-2730,1610612745,"Montrezl Harrell, Andrew Goudelock, KJ McDaniels, Clint Capela, Dwight Howard","Harrell, Goudelock, McDaniels, Capela, Howard",1626149-202726-203909-203991-2730,HOU,309.0,1,5.0,-3.0,11.0,10.0,,3.0,21.0,1.0,1.0,,,5.0,1.0,,,4.0,8.0,2.0,1.0,9.0,12.0,,,,,,,4.0,1.0,1.0,2.0,,3.0,3.0,3.0,6.0,,1.0,,2.0,1.0,,,,,,5.0,,,,0.5,,0.4,,0.4090909090909091,,0.2,0.125,,1.0,0.5,,1.0,0.5,,1.0,,,97.86407766990291,,12.272727272727273,17.4,11.090909090909092,17.4,0.1,1.0,1.0,0.5,0.1,,,,,0.3,0.464255,0.4441,,0.09090909090909091,0.1111111111111111,,9.95,24.95,,2.0,2.0,,4.0,,1.0,0.2,0.3333333333333333,,0.4,0.5,0.2,0.4444444444444444,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201563-201935-2730,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, James Harden, Dwight Howard","Terry, Brewer, Beasley, Harden, Howard",1891-201147-201563-201935-2730,HOU,563.0,1,9.0,,16.0,17.0,5.0,2.0,33.0,2.0,4.0,,1.0,1.0,6.0,3.0,1.0,5.0,9.0,8.0,2.0,18.0,18.0,3.0,1.0,2.0,2.0,,5.0,2.0,5.0,,1.0,1.0,5.0,6.0,4.0,10.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,15.0,5.0,5.0,,0.5555555555555556,0.5,0.47058823529411764,0.625,0.5,0.625,0.47058823529411764,,,1.0,0.25,0.3333333333333333,0.75,0.4444444444444444,,1.0,0.5,,84.40497335701599,1.0,14.625,19.352941176470587,12.875,16.941176470588236,0.23529411764705882,0.5,0.5,0.058823529411764705,0.35294117647058826,0.75,0.25,,0.25,0.7058823529411765,0.470915625,0.404175,0.4580166666666667,0.05555555555555555,0.1,0.2777777777777778,9.81111111111111,28.35,0.3125,,4.0,,3.0,,0.375,,,1.0,,,0.23529411764705882,0.16666666666666666,6.0,3.0,2.0,,1.0,8.0,4.0,6.0,2.0,2.0,14.0,3.0,1.0,1.0,2.0,2.0,,3.0,,2.0,5.0,0.8,0.8,,0.375,0.6666666666666666,0.6,1.0,,1.0,0.75,0.75,0.6666666666666666,0.11764705882352941,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.2857142857142857,0.75,1.0,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,1.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201563-201935-2746,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, James Harden, Josh Smith","Terry, Brewer, Beasley, Harden, Smith",1891-201147-201563-201935-2746,HOU,16.0,1,,1.0,1.0,2.0,1.0,,3.0,,,,,,1.0,,1.0,,,1.0,,3.0,2.0,,,,1.0,,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,3.0,3.0,1.0,,,,1.5,1.5,1.5,1.5,1.0,,,,,,,,,,,,270.0,,10.0,3.0,10.0,3.0,,,,,1.0,,,,1.0,1.0,0.49665,,0.49665,,,1.0,,25.7,1.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,3.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201563-201935-2772,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, James Harden, Trevor Ariza","Terry, Brewer, Beasley, Harden, Ariza",1891-201147-201563-201935-2772,HOU,20.0,1,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,3.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,1.5,1.5,1.5,1.5,1.0,,,,,,,,,,,,72.0,,18.0,,18.0,,,,,,,,,,,1.0,0.47175,,0.47175,,,1.0,,22.8,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,3.0,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201563-201976-203909,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, Patrick Beverley, KJ McDaniels","Terry, Brewer, Beasley, Beverley, McDaniels",1891-201147-201563-201976-203909,HOU,56.0,1,1.0,4.0,4.0,5.0,4.0,,9.0,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,,8.0,4.0,,1.0,2.0,2.0,,8.0,,1.0,,,,,2.0,,2.0,,,,,,,,,,,8.0,8.0,4.0,,0.5,0.5,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,231.42857142857142,,7.75,5.0,7.75,5.0,,,,0.25,0.25,,,,0.25,0.5,0.4474125,,0.4474125,,,1.0,13.45,24.35,1.0,,1.0,,,,,,,,,,0.25,,5.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,5.0,,,,,,,,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,,2.0,,2.0,3.0,,1.0,1.0,1.0,,,,,,0.5,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,0.25,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201563-201976-2730,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, Patrick Beverley, Dwight Howard","Terry, Brewer, Beasley, Beverley, Howard",1891-201147-201563-201976-2730,HOU,714.0,3,12.0,,22.0,23.0,,5.0,45.0,4.0,8.0,,,7.0,5.0,,,7.0,17.0,6.0,4.0,24.0,24.0,,,,,,,8.0,5.0,4.0,5.0,7.0,3.0,10.0,7.0,17.0,,5.0,,4.0,1.0,1.0,,,,,20.0,,,,0.4117647058823529,,0.43478260869565216,,0.48,,0.2608695652173913,0.23529411764705882,0.25,0.5,0.5,1.0,0.7692307692307693,0.5,0.75,0.6666666666666666,1.0,,90.7563025210084,,14.818181818181818,16.869565217391305,14.090909090909092,16.26086956521739,0.34782608695652173,0.5,0.6666666666666666,0.30434782608695654,0.21739130434782608,,,,,0.6086956521739131,0.5523891304347827,0.5657,,0.041666666666666664,0.05555555555555555,,5.482352941176471,24.96666666666667,,3.0,2.0,,4.0,1.0,0.4,0.2857142857142857,0.5,,0.42857142857142855,0.6,0.08695652173913043,0.16666666666666666,,,1.0,2.0,5.0,6.0,3.0,5.0,2.0,,12.0,2.0,2.0,,1.0,1.0,,4.0,1.0,2.0,9.0,0.42857142857142855,0.6,0.4,0.4,0.25,0.5,,1.0,0.5,,,,0.043478260869565216,,,,2.0,,2.0,,,6.0,,2.0,2.0,2.0,,3.0,,,,1.0,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.5,,,,0.4,0.4,1.0,,,,,0.4,,,,,,,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201563-202726-2772,1610612745,"Jason Terry, Corey Brewer, Michael Beasley, Andrew Goudelock, Trevor Ariza","Terry, Brewer, Beasley, Goudelock, Ariza",1891-201147-201563-202726-2772,HOU,12.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
1891-201147-201935-203991-2746,1610612745,"Jason Terry, Corey Brewer, James Harden, Clint Capela, Josh Smith","Terry, Brewer, Harden, Capela, Smith",1891-201147-201935-203991-2746,HOU,137.0,1,2.0,-2.0,5.0,4.0,,,9.0,,,,,1.0,1.0,,,,2.0,1.0,2.0,5.0,7.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,,,,,,5.0,,,,,,0.5,,0.625,,0.3333333333333333,,,1.0,,,1.0,,,,,,94.59854014598541,,14.2,16.5,14.2,16.5,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.4393,,,0.25,0.3333333333333333,,12.2,25.7,,,1.0,,,,,,,1.0,,,0.3333333333333333,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2016,2015-16,False
