EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PtsUnassisted2s,LongMidRangeAssists,OffThreePtRebounds,BlockingFouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3FGA,PenaltyFG3A,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyArc3Frequency,ShortMidRangeFGM,PenaltyCorner3FGA,PenaltyFtPoints,BadPassTurnovers,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyCorner3Frequency,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,FTDefRebounds,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,DefFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Charge Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PtsPutbacks,Charge Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,SecondChanceTurnovers,Offensive Fouls Drawn,Offensive Fouls,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,DefensiveGoaltends,OffAtRimReboundPct,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,2pt And 1 Free Throw Trips,BlockedShortMidRange,BadPassOutOfBoundsTurnovers,Travels,SecondChanceCorner3FGM,PtsUnassisted3s,SecondChanceCorner3Accuracy,OffCorner3ReboundPct,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceCorner3PctAssisted,3SecondViolations,LongMidRangePctBlocked,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101123-1626159-1626196-201177-201609,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Josh McRoberts, Goran Dragic","Green, Winslow, Richardson, McRoberts, Dragic",101123-1626159-1626196-201177-201609,MIA,297.0,1,5.0,-2.0,12.0,12.0,2.0,1.0,2.0,24.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,7.0,3.0,3.0,5.0,7.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,0.14285714285714285,1.0,0.5,0.1,1.0,0.5,0.20833333333333334,1.0,0.5,0.3,0.14285714285714285,0.25,1.0,1.0,0.16666666666666666,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.125,116.36363636363636,12.0,12.75,11.333333333333334,12.75,0.4,0.25,0.3333333333333333,1.0,0.1,0.2,0.1,0.2,1.0,1.0,1.0,1.0,0.5,0.7,0.5053,0.5897,0.5382,0.16666666666666666,0.2222222222222222,0.8,0.4,6.871428571428572,24.599999999999998,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-201177-2207,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Josh McRoberts, Joe Johnson","Green, Winslow, Richardson, McRoberts, Johnson",101123-1626159-1626196-201177-2207,MIA,364.0,1,6.0,-2.0,11.0,11.0,,5.0,1.0,22.0,2.0,3.0,,,,,3.0,3.0,1.0,1.0,4.0,9.0,2.0,,8.0,10.0,1.0,1.0,,2.0,,,,6.0,1.0,,3.0,3.0,2.0,6.0,,3.0,2.0,5.0,1.0,6.0,,,,,1.0,1.0,1.0,2.0,6.0,,1.0,,,6.0,,,0.75,0.75,0.4444444444444444,1.0,,0.36363636363636365,1.0,,0.36363636363636365,1.0,,0.18181818181818182,,,1.0,0.6666666666666666,,1.0,0.8333333333333334,0.14285714285714285,,0.6666666666666666,,1.0,,87.03296703296704,18.90909090909091,14.181818181818182,17.09090909090909,14.181818181818182,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.09090909090909091,,,,,,0.45454545454545453,0.4471363636363636,,,,,0.25,,8.600000000000001,24.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-201609-204020,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Goran Dragic, Tyler Johnson","Green, Winslow, Richardson, Dragic, Johnson",101123-1626159-1626196-201609-204020,MIA,49.0,1,1.0,,2.0,1.0,2.0,1.0,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,88.16326530612245,10.5,28.0,10.5,28.0,,,,,,,,1.0,,,,,,1.0,0.52365,,0.52365,,,,,,24.2,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-204020-2748,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Tyler Johnson, Dorell Wright","Green, Winslow, Richardson, Johnson, Wright",101123-1626159-1626196-204020-2748,MIA,154.0,1,3.0,-2.0,4.0,5.0,4.0,5.0,1.0,9.0,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,5.0,,,1.0,1.0,1.0,2.0,3.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,3.0,4.0,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.375,0.5,0.375,0.3333333333333333,,,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,,,,0.5,,84.15584415584415,12.0,21.2,10.75,17.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.43460000000000004,,0.43460000000000004,0.25,0.3333333333333333,0.3333333333333333,1.0,14.0,23.2,1.0,,2.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-2207-2617,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Joe Johnson, Udonis Haslem","Green, Winslow, Richardson, Johnson, Haslem",101123-1626159-1626196-2207-2617,MIA,223.0,1,4.0,1.0,6.0,6.0,,,1.0,12.0,1.0,1.0,,,,,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,2.0,6.0,,,,,,,,1.0,1.0,,2.0,2.0,1.0,5.0,,,0.5,0.5,0.5,,,0.2857142857142857,,,0.3125,,,0.42857142857142855,0.25,,,1.0,0.5,1.0,1.0,0.4,0.5,,1.0,1.0,,77.48878923766816,20.333333333333332,16.833333333333332,16.833333333333332,16.833333333333332,0.14285714285714285,1.0,1.0,,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,,,,,,0.5714285714285714,0.48182142857142857,0.54525,,0.125,0.2,,,8.5,25.2,,1.0,2.0,1.0,1.0,,,,,,,,0.3333333333333333,0.5,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-2405-2736,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Amar'e Stoudemire, Luol Deng","Green, Winslow, Richardson, Stoudemire, Deng",101123-1626159-1626196-2405-2736,MIA,150.0,1,2.0,3.0,4.0,4.0,,2.0,,8.0,,,,,,,,2.0,,1.0,2.0,2.0,1.0,,7.0,4.0,,,,,,,,2.0,1.0,,1.0,2.0,,5.0,,1.0,1.0,2.0,,2.0,,,,,,,1.0,1.0,3.0,,,,,7.0,,,0.5,0.5,1.0,,,1.1666666666666667,,,1.1666666666666667,,,0.3333333333333333,,,,0.5,,1.0,0.6666666666666666,,,,0.5,1.0,,76.8,15.25,22.25,15.25,22.25,,,,,,0.6666666666666666,,0.3333333333333333,,,,,,0.3333333333333333,0.45048333333333335,,,,,,,19.85,24.6,,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-2548-2617,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Dwyane Wade, Udonis Haslem","Green, Winslow, Richardson, Wade, Haslem",101123-1626159-1626196-2548-2617,MIA,164.0,1,3.0,-1.0,6.0,6.0,,1.0,,12.0,1.0,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,6.0,7.0,,,,,,,,2.0,1.0,,1.0,2.0,1.0,5.0,,,2.0,3.0,,3.0,,,,,1.0,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,6.0,,,1.0,1.0,0.5,,,0.8333333333333334,,,0.75,,,0.3333333333333333,,,0.5,1.0,,,1.0,,,1.0,,,,105.36585365853658,12.333333333333334,15.0,12.333333333333334,15.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,,,,0.6666666666666666,0.48936666666666667,,,0.25,0.3333333333333333,,,7.2,24.9,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-1626196-2548-2736,1610612748,"Gerald Green, Justise Winslow, Josh Richardson, Dwyane Wade, Luol Deng","Green, Winslow, Richardson, Wade, Deng",101123-1626159-1626196-2548-2736,MIA,1.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-201177-201609-2207,1610612748,"Gerald Green, Justise Winslow, Josh McRoberts, Goran Dragic, Joe Johnson","Green, Winslow, McRoberts, Dragic, Johnson",101123-1626159-201177-201609-2207,MIA,60.0,1,1.0,4.0,3.0,2.0,,2.0,1.0,5.0,2.0,2.0,1.0,1.0,,,1.0,,,,2.0,3.0,,,4.0,,1.0,1.0,,2.0,,,,2.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,2.0,,,0.5,1.0,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,120.0,8.333333333333334,17.5,7.666666666666667,17.5,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,,,,1.0,1.0,,,,0.6666666666666666,0.4033,0.2746,,,,0.5,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
101123-1626159-201177-201609-2548,1610612748,"Gerald Green, Justise Winslow, Josh McRoberts, Goran Dragic, Dwyane Wade","Green, Winslow, McRoberts, Dragic, Wade",101123-1626159-201177-201609-2548,MIA,246.0,1,4.0,2.0,7.0,7.0,1.0,2.0,,14.0,1.0,1.0,,,,,,1.0,,2.0,1.0,2.0,2.0,5.0,7.0,5.0,,,,,,,,,2.0,,,,,,,1.0,2.0,3.0,,3.0,,,,,,,,1.0,2.0,,5.0,8.0,2.0,7.0,,1.0,,,0.5,,,0.25,,,0.4375,,,0.5,,,,0.5,,1.0,0.6,,,1.0,0.3333333333333333,1.0,,81.95121951219512,15.857142857142858,19.285714285714285,15.857142857142858,18.857142857142858,0.25,1.0,1.0,,,0.25,,0.5,,,,,,0.75,0.4988,,0.5454,0.3333333333333333,0.5,,,10.05,24.8,0.14285714285714285,,2.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2016,2015-16,False
