EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,SelfOReb,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,DefCorner3ReboundPct,SecondChanceArc3Frequency,LostBallSteals,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Arc3FGM,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,FTOffRebounds,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,BlockedLongMidRange,RecoveredBlocks,LiveBallTurnoverPct,OffFTReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,NonShootingPenaltyNonTakeFouls,Charge Fouls,ShortMidRangePctBlocked,OffThreePtRebounds,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,FTDefRebounds,DefFTReboundPct,BlockingFouls,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,BadPassTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,DefAtRimReboundPct,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,3SecondViolations,DefensiveGoaltends,Technical Free Throw Trips,OffensiveGoaltends,StepOutOfBoundsTurnovers,HeaveAttempts,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1626153-1626181-201574-201949-202709,1610612761,"Delon Wright, Norman Powell, Jason Thompson, James Johnson, Cory Joseph","Wright, Powell, Thompson, Johnson, Joseph",1626153-1626181-201574-201949-202709,TOR,158.0,1,3.0,-1.0,6.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.25,0.25,0.25,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,100.25316455696202,10.333333333333334,19.2,9.333333333333334,19.2,0.5,0.5,0.5,0.25,0.25,0.75,0.5279625,6.033333333333334,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-201949-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, James Johnson, Terrence Ross","Wright, Powell, Thompson, Johnson, Ross",1626153-1626181-201574-201949-203082,TOR,630.0,2,10.0,4.0,20.0,20.0,6.0,40.0,4.0,11.0,5.0,2.0,6.0,19.0,3.0,20.0,16.0,6.0,2.0,6.0,2.0,5.0,7.0,6.0,13.0,2.0,2.0,,,,,,18.0,0.3157894736842105,0.3409090909090909,0.38461538461538464,0.13636363636363635,0.8333333333333334,0.46153846153846156,0.5,0.7,0.4,0.7142857142857143,0.8,0.5,91.42857142857143,13.3,18.2,12.65,17.55,0.5,0.36363636363636365,0.4,0.22727272727272727,0.09090909090909091,0.6363636363636364,0.5656113636363637,6.957894736842104,24.96666666666667,17.0,6.0,1.0,3.0,3.0,9.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,16.0,1.0,3.0,5.0,18.0,6.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,2.0,1.0,3.0,1.0,5.0,1.0,9.0,1.0,2.0,3.0,18.0,17.0,3.0,0.5,0.6,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3125,0.2,0.34210526315789475,0.16666666666666666,0.4090909090909091,0.05263157894736842,0.09090909090909091,0.5,1.0,0.14285714285714285,0.5,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,0.045454545454545456,1.0,1.0,1.0,0.6,0.3333333333333333,0.47368421052631576,0.3333333333333333,0.05263157894736842,1.0,0.10526315789473684,0.5259,0.5606552631578947,0.08695652173913043,0.1,0.1,0.9,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-201949-203512,1610612761,"Delon Wright, Norman Powell, Jason Thompson, James Johnson, Lucas Nogueira","Wright, Powell, Thompson, Johnson, Nogueira",1626153-1626181-201574-201949-203512,TOR,181.0,2,3.0,3.0,7.0,5.0,1.0,12.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,,1.0,,3.0,,3.0,,3.0,,,,,,,,4.0,0.3333333333333333,0.25,0.4,0.25,,,1.0,0.75,,,,,95.4696132596685,13.142857142857142,17.8,11.142857142857142,16.8,0.25,1.0,1.0,0.5,0.25,0.5,0.52015,10.266666666666667,27.1,7.0,5.0,,,1.0,1.0,,,,,,,,1.0,,2.0,,,,1.0,3.0,,1.0,2.0,4.0,2.0,,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,2.0,,1.0,,4.0,7.0,,1.0,1.0,,,,,,0.3333333333333333,,0.25,,0.4,,,,,,1.0,,,,,,,,,,,,,0.25,1.0,,,0.25,,0.52015,0.2,0.25,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202685-202709,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Jonas Valanciunas, Cory Joseph","Wright, Powell, Thompson, Valanciunas, Joseph",1626153-1626181-201574-202685-202709,TOR,81.0,1,1.0,-2.0,3.0,3.0,,6.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,2.0,1.0,0.5,0.5,0.5,,,1.0,1.0,,,,1.0,106.66666666666666,16.0,11.0,16.0,11.0,0.5,1.0,1.0,,0.5,1.0,0.480625,1.6,25.8,3.0,3.0,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,2.0,2.0,,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,,2.0,3.0,,1.0,1.0,,,,,,1.0,,0.5,,0.5,,,,,,1.0,,,,,,,,,,,,,0.5,1.0,,,0.5,,0.480625,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202685-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Jonas Valanciunas, Terrence Ross","Wright, Powell, Thompson, Valanciunas, Ross",1626153-1626181-201574-202685-203082,TOR,289.0,1,5.0,,8.0,9.0,2.0,17.0,3.0,4.0,2.0,1.0,3.0,7.0,1.0,7.0,7.0,2.0,1.0,2.0,,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,,1.0,,3.0,0.42857142857142855,0.375,0.3888888888888889,0.125,0.6666666666666666,0.5,,0.6666666666666666,0.4,1.0,1.0,,84.70588235294117,19.0,15.222222222222221,18.0,15.222222222222221,0.5,0.75,0.75,0.25,0.125,0.625,0.51850625,6.785714285714286,26.4,,,2.0,2.0,,,,1.0,,,,,,,,1.0,2.0,2.0,4.0,,,,,,,4.0,,2.0,,2.0,,2.0,,2.0,,4.0,,,1.0,,3.0,1.0,2.0,,1.0,,,,,0.6666666666666666,1.0,,,,,1.0,,1.0,,1.0,,,,,,,0.6666666666666666,0.125,,,,,,,,,,1.0,1.0,,,,,,0.63035,,0.1111111111111111,0.125,0.5714285714285714,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202709-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Cory Joseph, Terrence Ross","Wright, Powell, Thompson, Joseph, Ross",1626153-1626181-201574-202709-203082,TOR,207.0,1,3.0,8.0,8.0,8.0,1.0,16.0,3.0,3.0,,2.0,3.0,4.0,2.0,14.0,6.0,4.0,2.0,,1.0,2.0,3.0,1.0,4.0,,,,,,1.0,,12.0,0.75,1.0,0.875,0.3333333333333333,1.0,,1.0,1.0,,,1.0,1.0,111.30434782608695,9.75,16.125,9.75,16.125,0.5,1.0,1.0,,0.3333333333333333,0.8333333333333334,0.59005,2.025,26.3,8.0,8.0,1.0,1.0,3.0,3.0,,1.0,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,14.0,2.0,3.0,2.0,,1.0,1.0,2.0,,1.0,,5.0,,1.0,1.0,,3.0,,5.0,1.0,2.0,1.0,14.0,8.0,,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.875,,,,,,0.3333333333333333,0.16666666666666666,,,,,,,,,,1.0,1.0,0.5,1.0,,,0.3333333333333333,0.4769,0.59005,0.2857142857142857,0.4,0.14285714285714285,1.0,1.0,,,,,,,1.0,,1.0,,,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-203082-2449,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Terrence Ross, Luis Scola","Wright, Powell, Thompson, Ross, Scola",1626153-1626181-201574-203082-2449,TOR,45.0,1,1.0,-2.0,1.0,2.0,,3.0,,1.0,,,,1.0,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,96.0,11.0,17.0,11.0,17.0,1.0,,,,,1.0,0.9199,0.1,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.9199,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201942-202685-202709,1610612761,"Delon Wright, Norman Powell, DeMar DeRozan, Jonas Valanciunas, Cory Joseph","Wright, Powell, DeRozan, Valanciunas, Joseph",1626153-1626181-201942-202685-202709,TOR,84.0,1,1.0,1.0,3.0,3.0,,6.0,,,2.0,,2.0,2.0,,4.0,3.0,4.0,,,1.0,1.0,2.0,,2.0,,,,,,,,4.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,102.85714285714286,14.666666666666666,13.333333333333334,14.666666666666666,13.333333333333334,,,,1.0,,,0.33935,20.25,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201949-202709-203512,1610612761,"Delon Wright, Norman Powell, James Johnson, Cory Joseph, Lucas Nogueira","Wright, Powell, Johnson, Joseph, Nogueira",1626153-1626181-201949-202709-203512,TOR,145.0,1,2.0,-2.0,5.0,5.0,1.0,10.0,,2.0,,1.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,,2.0,1.0,3.0,,,,,,,,,0.3333333333333333,0.2,0.2,0.4,,0.5,1.0,1.0,0.25,0.5,,1.0,99.3103448275862,12.2,16.8,12.2,16.8,0.4,,,,0.2,0.8,0.58995,4.833333333333333,24.55,5.0,5.0,,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,3.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,1.0,0.3333333333333333,1.0,0.2,1.0,0.2,,,,,,,0.2,1.0,1.0,,,,0.2,,,,,,0.4,,0.2,,0.2,0.4452,0.58995,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201949-202709-2449,1610612761,"Delon Wright, Norman Powell, James Johnson, Cory Joseph, Luis Scola","Wright, Powell, Johnson, Joseph, Scola",1626153-1626181-201949-202709-2449,TOR,54.0,1,1.0,2.0,2.0,2.0,,4.0,,,,,,,,2.0,,,,,,2.0,2.0,,2.0,,,,1.0,,1.0,,2.0,,,1.0,,1.0,,,1.0,,,1.0,,106.66666666666666,10.5,16.5,10.5,16.5,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
