EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Travels,Blocked3s,BlockedCorner3,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3FGM,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,Corner3Assists,FTOffRebounds,BadPassTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,BlockingFouls,Loose Ball Fouls,Offensive Fouls Drawn,3SecondViolations,AtRimPctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,FTDefRebounds,SelfOReb,LostBallSteals,SecondChanceTurnovers,Offensive Fouls,BlockingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,DefFTReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,BlockedLongMidRange,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,OffensiveGoaltends,Charge Fouls,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,Clear Path Fouls,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
1626171-1626245-201166-202710-203200,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Jimmy Butler, Justin Holiday","Portis, Felicio, Brooks, Butler, Holiday",1626171-1626245-201166-202710-203200,CHI,331.0,1,6.0,-13.0,11.0,10.0,9.0,5.0,1.0,21.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,6.0,19.0,1.0,1.0,2.0,5.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,9.0,1.0,1.0,0.5,0.4,0.4,0.4,0.42857142857142855,0.5,0.375,0.42857142857142855,0.7142857142857143,0.5,0.5,0.5,1.0,0.6666666666666666,0.2,1.0,1.0,1.0,91.3595166163142,1.0,17.818181818181817,13.5,16.818181818181817,13.5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.46025,0.47694166666666665,1.0,15.65,24.3,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-202710-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Jimmy Butler, Doug McDermott","Portis, Felicio, Brooks, Butler, McDermott",1626171-1626245-201166-202710-203926,CHI,601.0,2,10.0,-2.0,20.0,17.0,4.0,3.0,3.0,37.0,4.0,5.0,,,2.0,5.0,,2.0,16.0,2.0,5.0,24.0,26.0,3.0,4.0,,2.0,4.0,6.0,,5.0,2.0,2.0,6.0,2.0,14.0,3.0,2.0,2.0,4.0,4.0,8.0,,1.0,,,1.0,,3.0,4.0,2.0,,4.0,,,,,,18.0,4.0,4.0,,,1.0,0.4,,0.4,0.47619047619047616,0.3333333333333333,0.5217391304347826,0.3333333333333333,0.23809523809523808,,0.6666666666666666,0.375,1.0,0.8,0.36363636363636365,0.3333333333333333,,1.0,88.6522462562396,,14.7,18.058823529411764,14.1,17.470588235294116,0.19047619047619047,0.23809523809523808,,0.23809523809523808,0.4,0.4,1.0,,0.3333333333333333,,0.5714285714285714,0.4,0.47182380952380953,0.4760416666666667,0.16666666666666666,8.725,25.419999999999998,0.2,5.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,4.0,3.0,1.0,6.0,2.0,8.0,6.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5714285714285714,0.8,0.4375,1.0,0.5,0.75,0.75,0.3333333333333333,1.0,0.25,0.3333333333333333,0.5,1.0,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4,0.25,0.25,1.0,0.2,0.2,1.0,0.5,1.0,0.25,0.3333333333333333,0.5,0.6533333333333333,0.08695652173913043,0.1111111111111111,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-202734-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, E'Twaun Moore, Doug McDermott","Portis, Felicio, Brooks, Moore, McDermott",1626171-1626245-201166-202734-203926,CHI,224.0,2,4.0,-4.0,7.0,6.0,5.0,4.0,,13.0,2.0,,1.0,,,,,,4.0,,1.0,6.0,10.0,,2.0,,,4.0,,,,,,2.0,,4.0,,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,6.0,4.0,5.0,,,,,,,0.6,1.0,0.6,1.0,0.2,0.6666666666666666,,,1.0,1.0,0.5,,,,83.57142857142857,1.0,16.571428571428573,18.0,16.571428571428573,18.0,0.4,,0.2,,,,,,,,0.6,,0.48186999999999997,0.40635,0.6666666666666666,5.125,23.1,0.7142857142857143,2.0,2.0,,,1.0,1.0,1.0,,,3.0,,,,,2.0,4.0,2.0,,2.0,1.0,1.0,,1.0,,,,,0.6666666666666666,0.6666666666666666,0.75,,1.0,,,1.0,,,,,,0.4,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,0.5,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203200-203503,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Justin Holiday, Tony Snell","Portis, Felicio, Brooks, Holiday, Snell",1626171-1626245-201166-203200-203503,CHI,547.0,2,9.0,-1.0,19.0,20.0,7.0,2.0,1.0,39.0,1.0,3.0,2.0,,3.0,8.0,2.0,4.0,7.0,4.0,10.0,19.0,20.0,,3.0,2.0,4.0,7.0,12.0,,8.0,3.0,4.0,6.0,3.0,16.0,,4.0,4.0,8.0,2.0,10.0,1.0,1.0,,,2.0,,3.0,4.0,2.0,,5.0,1.0,1.0,1.0,1.0,1.0,18.0,7.0,7.0,,,1.0,0.4,0.5,0.4,0.47058823529411764,0.42857142857142855,0.5,0.42857142857142855,0.5882352941176471,0.5,0.8,,0.8,0.8,0.09090909090909091,,1.0,0.8,102.6691042047532,1.0,17.473684210526315,10.75,17.0,10.6,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.47058823529411764,0.375,0.375,1.0,,0.5714285714285714,0.5,0.7647058823529411,0.375,0.50515,0.49880714285714284,0.3684210526315789,9.799999999999999,24.59,0.3684210526315789,2.0,3.0,,,,1.0,,,1.0,2.0,3.0,,1.0,1.0,,4.0,,,2.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,0.2857142857142857,,,,0.25,0.16666666666666666,,,,1.0,0.5,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,1.0,0.14285714285714285,,0.66765,0.058823529411764705,0.14285714285714285,0.05263157894736842,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.14285714285714285,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203200-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Justin Holiday, Doug McDermott","Portis, Felicio, Brooks, Holiday, McDermott",1626171-1626245-201166-203200-203926,CHI,1427.0,6,24.0,-7.0,42.0,47.0,9.0,13.0,6.0,89.0,3.0,12.0,3.0,1.0,2.0,5.0,,1.0,32.0,3.0,8.0,48.0,55.0,5.0,7.0,1.0,2.0,13.0,9.0,,5.0,2.0,3.0,11.0,2.0,25.0,4.0,7.0,9.0,16.0,6.0,22.0,4.0,1.0,,2.0,5.0,,5.0,9.0,11.0,,8.0,,2.0,2.0,2.0,1.0,41.0,13.0,9.0,1.0,,1.0,0.375,0.5,0.375,0.5375,0.7222222222222222,0.5581395348837209,0.7222222222222222,0.2,0.8,0.391304347826087,0.26666666666666666,0.7777777777777778,0.5,0.25,,0.3,0.7142857142857143,89.81079187105816,0.5,15.380952380952381,16.617021276595743,14.833333333333334,15.063829787234043,0.075,0.3,0.075,0.125,0.4,0.4,1.0,0.1111111111111111,0.1111111111111111,,0.625,0.4,0.52065625,0.5288222222222223,0.2708333333333333,8.625,24.7,0.21428571428571427,12.0,17.0,2.0,4.0,3.0,4.0,1.0,4.0,,17.0,5.0,3.0,,7.0,5.0,16.0,18.0,2.0,8.0,6.0,,2.0,1.0,1.0,1.0,,5.0,0.47058823529411764,0.5,0.53125,0.6,0.7142857142857143,0.6,0.5833333333333334,0.2,,0.5,,0.3333333333333333,0.5,0.425,0.7058823529411765,0.8,0.5,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5,0.8,0.5,,0.4444444444444444,0.75,0.62924,0.11627906976744186,0.14285714285714285,0.14583333333333334,,,,0.5,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,,0.0625,,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,0.11764705882352941,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203503-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Tony Snell, Doug McDermott","Portis, Felicio, Brooks, Snell, McDermott",1626171-1626245-201166-203503-203926,CHI,1353.0,7,23.0,8.0,47.0,44.0,26.0,19.0,6.0,91.0,8.0,7.0,2.0,,2.0,7.0,1.0,5.0,26.0,3.0,9.0,47.0,39.0,3.0,12.0,1.0,5.0,23.0,9.0,,7.0,2.0,3.0,7.0,2.0,17.0,4.0,7.0,12.0,20.0,4.0,24.0,1.0,5.0,1.0,,6.0,3.0,2.0,9.0,11.0,2.0,22.0,4.0,3.0,2.0,3.0,3.0,45.0,23.0,26.0,1.0,4.0,1.0,0.3333333333333333,0.2,0.3333333333333333,0.44285714285714284,0.3235294117647059,0.5111111111111111,0.44,0.2571428571428571,0.16666666666666666,0.75,0.2857142857142857,0.7777777777777778,0.76,0.2,0.5,0.75,0.875,96.85144124168514,1.0,14.25531914893617,15.522727272727273,13.46808510638298,14.818181818181818,0.22857142857142856,0.2,0.05714285714285714,0.2,0.2857142857142857,0.2857142857142857,1.0,,0.29411764705882354,0.2,0.5714285714285714,0.2857142857142857,0.4905328571428571,0.4896764705882353,0.48936170212765956,8.26923076923077,24.88888888888889,0.5531914893617021,8.0,11.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,11.0,16.0,1.0,1.0,2.0,4.0,8.0,14.0,,4.0,3.0,1.0,,,5.0,3.0,,7.0,0.36363636363636365,0.36363636363636365,0.4230769230769231,0.3333333333333333,0.3333333333333333,0.25,0.25,,,0.2,,0.8888888888888888,0.3333333333333333,0.3142857142857143,0.7272727272727273,0.8,0.375,0.25,0.2857142857142857,0.5,0.14285714285714285,0.14285714285714285,,0.5,0.5,0.25,0.29411764705882354,0.8,0.5022666666666666,0.17073170731707318,0.21875,0.0425531914893617,,,,,,1.0,,12.0,2.0,1.0,,1.0,1.0,1.0,0.07692307692307693,0.125,,0.5,0.5,1.0,,,,,,0.09090909090909091,,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203503-2399,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Tony Snell, Mike Dunleavy","Portis, Felicio, Brooks, Snell, Dunleavy",1626171-1626245-201166-203503-2399,CHI,70.0,1,1.0,-1.0,2.0,2.0,2.0,,,4.0,,1.0,,,,,,,1.0,,,3.0,4.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,3.0,3.0,2.0,,1.0,,,,,1.0,1.0,0.75,0.75,,,,,,,,,,,82.28571428571428,,11.5,23.5,11.5,17.5,,1.0,,,,,,,,,,,0.429,0.429,1.0,19.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203926-2399,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Doug McDermott, Mike Dunleavy","Portis, Felicio, Brooks, McDermott, Dunleavy",1626171-1626245-201166-203926-2399,CHI,328.0,2,5.0,-2.0,10.0,10.0,,,1.0,20.0,1.0,2.0,,,,,,,8.0,,,10.0,12.0,1.0,,,,,,,,,,2.0,,4.0,,2.0,1.0,3.0,,3.0,,1.0,,,1.0,,1.0,2.0,3.0,,3.0,,,,,,10.0,,,,,,,,,0.5,,0.5555555555555556,,,,0.3333333333333333,,1.0,0.6,,,,1.0,87.80487804878048,,15.2,17.6,14.3,17.3,0.125,0.25,,,,,,,,,0.625,,0.52625,,,6.2625,,,3.0,5.0,,,,,1.0,,,4.0,2.0,,,,,4.0,4.0,,2.0,1.0,1.0,,,1.0,1.0,,2.0,0.5,0.5,0.5,,,,,,,,,0.5,,0.625,0.6,0.75,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.3835,0.2222222222222222,0.2222222222222222,,,,,,,,,,1.0,,,,1.0,,0.125,,,,,,,,,,,0.2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201565-202710-203200,1610612741,"Bobby Portis, Cristiano Felicio, Derrick Rose, Jimmy Butler, Justin Holiday","Portis, Felicio, Rose, Butler, Holiday",1626171-1626245-201565-202710-203200,CHI,267.0,1,4.0,5.0,8.0,7.0,,,1.0,15.0,,1.0,,,2.0,5.0,,,1.0,2.0,5.0,9.0,4.0,,,,,,6.0,,5.0,2.0,2.0,3.0,2.0,8.0,,2.0,1.0,3.0,1.0,4.0,2.0,,,1.0,2.0,,,,2.0,,2.0,,,,,,9.0,,,,,1.0,0.4,,0.4,0.6666666666666666,,0.6428571428571429,,0.8333333333333334,1.0,1.0,,0.6666666666666666,0.75,0.3333333333333333,,,0.6666666666666666,80.89887640449437,,15.25,20.714285714285715,14.5,19.0,,0.16666666666666666,,0.8333333333333334,0.4,0.4,1.0,,,,0.8333333333333334,0.4,0.47376666666666667,,,16.1,25.74,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,2.0,,,1.0,,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,0.3333333333333333,,,0.3333333333333333,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,0.14285714285714285,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201565-202710-203926,1610612741,"Bobby Portis, Cristiano Felicio, Derrick Rose, Jimmy Butler, Doug McDermott","Portis, Felicio, Rose, Butler, McDermott",1626171-1626245-201565-202710-203926,CHI,218.0,2,4.0,,8.0,7.0,4.0,,1.0,15.0,2.0,1.0,1.0,1.0,,,,,6.0,,1.0,8.0,8.0,2.0,2.0,,1.0,4.0,,,,,,1.0,,2.0,2.0,,3.0,3.0,2.0,5.0,1.0,,,1.0,1.0,,,1.0,2.0,,4.0,,1.0,1.0,1.0,1.0,6.0,4.0,4.0,,,,,,,0.2857142857142857,0.3333333333333333,0.4444444444444444,0.5,0.14285714285714285,1.0,0.75,0.5,,0.75,0.4,1.0,1.0,,99.08256880733946,1.0,14.75,14.285714285714286,13.5,14.142857142857142,0.2857142857142857,0.14285714285714285,0.14285714285714285,,,,,0.3333333333333333,,,0.5714285714285714,,0.4854,0.49033333333333334,0.5,7.866666666666667,23.5,0.5,1.0,3.0,1.0,1.0,,1.0,,1.0,,2.0,4.0,1.0,,2.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,,2.0,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,,,,,0.5,1.0,0.42857142857142855,0.3333333333333333,0.5,,,,,1.0,1.0,1.0,0.5,1.0,,0.3333333333333333,,0.4201,0.2222222222222222,0.25,0.25,,,,,,,,2.0,1.0,,,,,,0.16666666666666666,,,,,,,,,,,0.3333333333333333,,,,2.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
