EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,LongMidRangeAssists,Blocked2s,BlockedAtRim,Blocks,FG3APct,LongMidRangePctAssisted,Arc3Frequency,Avg3ptShotDistance,DefTwoPtRebounds,DefTwoPtReboundPct,DefShortMidRangeReboundPct,Arc3FGM,FG3M,FtPoints,PtsUnassisted3s,NonHeaveArc3FGM,DeadBallTurnovers,Turnovers,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Offensive Fouls Drawn,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3FGA,Corner3Frequency,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,Technical Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyFtPoints,DefensiveGoaltends,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,OffThreePtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,RecoveredBlocks,BlocksRecoveredPct,LostBallOutOfBoundsTurnovers,Charge Fouls,OffArc3ReboundPct,Corner3FGM,SecondChanceFtPoints,Corner3Assists,FTDefRebounds,ThreePtShootingFoulsDrawn,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,BadPassSteals,BlockingFouls,Loose Ball Fouls Drawn,BlockedShortMidRange,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,BlockedLongMidRange,OffensiveGoaltends,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,Clear Path Fouls,3pt And 1 Free Throw Trips,3SecondViolations,LongMidRangePctBlocked,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101162-101187-1626162-201196-201977,1610612764,"Marcin Gortat, Alan Anderson, Kelly Oubre Jr., Ramon Sessions, Marcus Thornton","Gortat, Anderson, Oubre Jr., Sessions, Thornton",101162-101187-1626162-201196-201977,WAS,160.0,1,3.0,1.0,6.0,8.0,5.0,8.0,14.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,12.0,11.0,5.0,5.0,10.0,8.0,4.0,4.0,4.0,3.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,12.0,10.0,5.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126.0,9.666666666666666,12.75,9.666666666666666,10.875,0.6666666666666666,1.0,1.0,0.75,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.6,1.0,0.6666666666666666,0.6520833333333333,0.5957,0.8333333333333334,5.666666666666667,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-1626162-201196-202066,1610612764,"Marcin Gortat, Alan Anderson, Kelly Oubre Jr., Ramon Sessions, Garrett Temple","Gortat, Anderson, Oubre Jr., Sessions, Temple",101162-101187-1626162-201196-202066,WAS,10.0,1,,-2.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,144.0,5.0,,5.0,,,,,,,,,,1.0,,,,,,0.4357,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-201196-201977,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, Ramon Sessions, Marcus Thornton","Gortat, Anderson, Dudley, Sessions, Thornton",101162-101187-201162-201196-201977,WAS,54.0,1,1.0,-2.0,2.0,2.0,,1.0,4.0,,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,,,,2.0,,1.0,1.0,,,2.0,,,,,,2.0,2.0,2.0,,,1.0,1.0,1.0,,0.5,,0.5,,,,,106.66666666666666,18.0,9.0,18.0,8.5,,,,,,,,,0.5,1.0,1.0,,,0.5,0.47895,,,18.3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-201196-202066,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, Ramon Sessions, Garrett Temple","Gortat, Anderson, Dudley, Sessions, Temple",101162-101187-201162-201196-202066,WAS,56.0,1,1.0,,1.0,2.0,,,3.0,,,,,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,2.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,0.3333333333333333,,77.14285714285714,20.0,18.0,20.0,13.0,,,,,1.0,1.0,1.0,1.0,,,,,,,0.3692,,,7.1,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-201196-203078,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, Ramon Sessions, Bradley Beal","Gortat, Anderson, Dudley, Sessions, Beal",101162-101187-201162-201196-203078,WAS,278.0,2,5.0,-5.0,10.0,10.0,1.0,2.0,20.0,1.0,1.0,,,,3.0,,1.0,1.0,5.0,10.0,15.0,,1.0,,2.0,,1.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,1.0,3.0,10.0,,1.0,1.0,1.0,0.2,,0.35714285714285715,,0.5,,1.0,0.75,1.0,103.59712230215827,16.0,11.8,16.0,11.0,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,,,,0.14285714285714285,,,,,0.42857142857142855,0.4743928571428571,0.3522,,8.22,0.1,2.0,2.0,2.0,,,,,0.2857142857142857,,0.2857142857142857,27.3,2.0,0.6666666666666666,0.5,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,7.0,1.0,4.0,0.5,0.5,1.0,0.5,0.5,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-201977-202066,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, Marcus Thornton, Garrett Temple","Gortat, Anderson, Dudley, Thornton, Temple",101162-101187-201162-201977-202066,WAS,52.0,1,1.0,3.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,3.0,,,,3.0,,,,1.0,,,3.0,,1.0,1.0,,,,,3.0,3.0,2.0,,,,,1.5,1.5,0.75,0.75,,1.0,,110.76923076923076,10.0,16.0,10.0,16.0,,,,,,,,,,,,,,1.0,0.40125,0.40125,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,26.1,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-202066-202322,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, Garrett Temple, John Wall","Gortat, Anderson, Dudley, Temple, Wall",101162-101187-201162-202066-202322,WAS,187.0,2,3.0,-6.0,6.0,8.0,4.0,1.0,14.0,,,,,2.0,2.0,,4.0,2.0,6.0,4.0,10.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,2.0,,,,,4.0,2.0,4.0,0.5,0.5,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,1.0,1.0,,107.80748663101605,17.666666666666668,10.125,17.666666666666668,10.125,,,,,0.3333333333333333,1.0,1.0,0.5,0.6666666666666666,,,,,,0.38231666666666664,0.3879,0.5,16.866666666666667,0.6666666666666666,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-202322-203078,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, John Wall, Bradley Beal","Gortat, Anderson, Dudley, Wall, Beal",101162-101187-201162-202322-203078,WAS,69.0,1,1.0,,2.0,3.0,,2.0,5.0,1.0,1.0,,,,,,,1.0,1.0,2.0,2.0,,,,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,,0.5,,0.5,,1.0,1.0,1.0,104.34782608695653,18.0,11.0,18.0,11.0,0.5,1.0,1.0,1.0,,,,,,,,,,1.0,0.596525,,,1.4,,,1.0,,,,,,0.5,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201162-202322-203490,1610612764,"Marcin Gortat, Alan Anderson, Jared Dudley, John Wall, Otto Porter Jr.","Gortat, Anderson, Dudley, Wall, Porter Jr.",101162-101187-201162-202322-203490,WAS,71.0,1,1.0,4.0,2.0,1.0,,,3.0,,,,,1.0,2.0,1.0,1.0,2.0,3.0,4.0,,,,,2.0,2.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,,1.0,2.0,,,0.5,1.0,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,1.0,1.0,,60.84507042253521,18.0,35.0,17.0,35.0,,,,,0.6666666666666666,0.5,0.5,,0.3333333333333333,1.0,1.0,,,,0.3618666666666666,,,8.833333333333334,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3576,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
101162-101187-201196-201977-202693,1610612764,"Marcin Gortat, Alan Anderson, Ramon Sessions, Marcus Thornton, Markieff Morris","Gortat, Anderson, Sessions, Thornton, Morris",101162-101187-201196-201977-202693,WAS,50.0,1,1.0,-1.0,2.0,2.0,,2.0,4.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,0.25,,,1.0,,115.19999999999999,13.5,11.5,13.5,11.5,,,,,,,,,,,,,,1.0,0.59115,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,26.3,1.0,1.0,,,,1.0,,,,,,,1.0,,,2.0,,1.0,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2016,2015-16,True
