EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,LongMidRangeFGA,FG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,DefTwoPtRebounds,DefTwoPtReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFGM,SecondChanceFG2A,PtsUnassisted2s,Offensive Fouls,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,PenaltyFG2A,OffTwoPtRebounds,Steals,BadPassSteals,Travels,SecondChanceTurnovers,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPossExcludingTakeFouls,OffTwoPtReboundPct,OffAtRimReboundPct,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,LongMidRangeAssists,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,BadPassOutOfBoundsTurnovers,BlockingFouls,PenaltyFtPoints,PenaltyTurnovers,PenaltyFG2M,ShortMidRangeAssists,BlockedShortMidRange,PenaltyFg2Pct,ShortMidRangePctAssisted,SecondChanceFtPoints,PtsPutbacks,FTDefRebounds,Charge Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,DefensiveGoaltends,ShortMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,PenaltyAtRimFGM,PenaltyCorner3FGA,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls,BlockedCorner3,PtsUnassisted3s,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,3SecondViolations,team_id,year,season,team_vs
101161-1626154-201973-202323-203935,1610612738,"Amir Johnson, RJ Hunter, Jonas Jerebko, Evan Turner, Marcus Smart","Johnson, Hunter, Jerebko, Turner, Smart",101161-1626154-201973-202323-203935,BOS,157.0,1,3.0,-3.0,6.0,5.0,1.0,11.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,8.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,0.3,1.5,0.4166666666666667,1.5,0.4,0.3333333333333333,0.5,1.0,1.0,0.5,0.25,1.0,1.0,100.89171974522293,16.166666666666668,12.0,13.833333333333334,12.0,0.4,0.2,0.4,0.5,0.5,1.0,1.0,1.0,1.0,0.8,0.5,0.51693,0.16666666666666666,0.25,0.6,3.266666666666667,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626154-201973-203109-203935,1610612738,"Amir Johnson, RJ Hunter, Jonas Jerebko, Jae Crowder, Marcus Smart","Johnson, Hunter, Jerebko, Crowder, Smart",101161-1626154-201973-203109-203935,BOS,100.0,1,2.0,3.0,3.0,3.0,,6.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,,5.0,2.0,,,,3.0,1.0,1.0,,1.0,2.0,1.0,5.0,,2.0,2.0,,2.0,,,,,,,5.0,1.0,1.0,,1.0,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,,,1.0,,1.0,,,,86.39999999999999,9.666666666666666,23.666666666666668,9.666666666666666,23.666666666666668,0.3333333333333333,,0.3333333333333333,1.0,1.0,1.0,,,,0.6666666666666666,1.0,0.47723333333333334,,,,11.3,24.4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626154-202323-203109-203935,1610612738,"Amir Johnson, RJ Hunter, Evan Turner, Jae Crowder, Marcus Smart","Johnson, Hunter, Turner, Crowder, Smart",101161-1626154-202323-203109-203935,BOS,31.0,1,1.0,,1.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,92.9032258064516,21.0,10.0,21.0,10.0,1.0,,,,,,,,,1.0,,0.3852,,,,2.9,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626154-202340-202738-203109,1610612738,"Amir Johnson, RJ Hunter, Avery Bradley, Isaiah Thomas, Jae Crowder","Johnson, Hunter, Bradley, Thomas, Crowder",101161-1626154-202340-202738-203109,BOS,94.0,1,2.0,2.0,4.0,3.0,1.0,7.0,,1.0,,2.0,,,2.0,,2.0,,2.0,,,,,,2.0,,,,,,,1.0,1.0,3.0,1.0,4.0,1.0,,1.0,,,,2.0,,,,,0.25,,0.25,,0.5,,,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,107.23404255319149,12.75,14.333333333333334,11.5,14.333333333333334,,0.25,0.5,,,,,,,0.5,,0.4929625,,,,12.5,24.5,,1.0,1.0,,,,1.0,,,0.5,,,,,0.25,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626154-202738-203096-203109,1610612738,"Amir Johnson, RJ Hunter, Isaiah Thomas, Jared Sullinger, Jae Crowder","Johnson, Hunter, Thomas, Sullinger, Crowder",101161-1626154-202738-203096-203109,BOS,7.0,1,,3.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,3.0,,1.0,1.0,3.0,3.0,,,,1.0,1.0,,3.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,,,,,,,,,205.71428571428572,4.0,,,,,,,,,,,,,1.0,,0.4737,,,1.0,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626179-201973-202323-202738,1610612738,"Amir Johnson, Terry Rozier, Jonas Jerebko, Evan Turner, Isaiah Thomas","Johnson, Rozier, Jerebko, Turner, Thomas",101161-1626179-201973-202323-202738,BOS,247.0,2,4.0,,7.0,7.0,2.0,14.0,4.0,,,2.0,,,5.0,,2.0,,2.0,2.0,,,,,2.0,,1.0,,1.0,,2.0,1.0,4.0,4.0,2.0,6.0,1.0,,1.0,,,,2.0,,,,,0.14285714285714285,,0.14285714285714285,,0.2857142857142857,0.2,0.25,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,81.61943319838058,14.857142857142858,20.428571428571427,14.142857142857142,17.714285714285715,0.5714285714285714,,0.2857142857142857,,,,,,,0.8571428571428571,,0.5869928571428572,,,,4.38,24.75,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,0.2,1.0,0.25,0.3333333333333333,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.25,0.3333333333333333,1.0,0.58275,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626179-201973-202323-203935,1610612738,"Amir Johnson, Terry Rozier, Jonas Jerebko, Evan Turner, Marcus Smart","Johnson, Rozier, Jerebko, Turner, Smart",101161-1626179-201973-202323-203935,BOS,807.0,3,13.0,2.0,25.0,25.0,5.0,50.0,11.0,5.0,2.0,7.0,,1.0,20.0,2.0,7.0,3.0,31.0,29.0,,1.0,2.0,6.0,7.0,2.0,1.0,2.0,5.0,2.0,12.0,2.0,2.0,8.0,5.0,13.0,,,2.0,4.0,3.0,2.0,29.0,1.0,0.2857142857142857,,0.2857142857142857,0.5185185185185185,0.16666666666666666,0.5535714285714286,0.16666666666666666,0.25925925925925924,0.05,0.09090909090909091,1.0,0.4,0.8888888888888888,0.35714285714285715,0.4,,89.2193308550186,14.64,17.64,13.32,17.6,0.4074074074074074,0.18518518518518517,0.25925925925925924,0.2857142857142857,0.2857142857142857,1.0,0.16666666666666666,,,0.6666666666666666,0.2857142857142857,0.4844796296296296,0.07142857142857142,0.09523809523809523,0.06451612903225806,6.465000000000001,24.957142857142856,7.0,4.0,11.0,6.0,3.0,2.0,7.0,0.2727272727272727,0.2727272727272727,0.55,1.0,0.6363636363636364,0.7,0.2857142857142857,0.14814814814814814,6.0,0.8571428571428571,,3.0,5.0,16.0,,0.8,0.6,0.6,,,,,,,,,,,,,0.48861999999999994,5.0,5.0,3.0,5.0,3.0,3.0,1.0,,,1.0,1.0,1.0,5.0,0.3333333333333333,,0.42857142857142855,0.4786357142857143,0.2,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.2,0.21428571428571427,0.21428571428571427,1.0,0.5,0.6666666666666666,1.0,0.07692307692307693,1.0,0.25,0.25,1.0,0.6666666666666666,0.25,0.2857142857142857,0.5,0.0967741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626179-202323-202738-203109,1610612738,"Amir Johnson, Terry Rozier, Evan Turner, Isaiah Thomas, Jae Crowder","Johnson, Rozier, Turner, Thomas, Crowder",101161-1626179-202323-202738-203109,BOS,349.0,2,6.0,7.0,11.0,11.0,,22.0,2.0,1.0,2.0,3.0,,,6.0,2.0,3.0,,14.0,7.0,,,,6.0,3.0,2.0,,2.0,4.0,2.0,10.0,,5.0,7.0,,7.0,1.0,,2.0,,,,14.0,1.0,0.6666666666666666,,0.6666666666666666,0.7777777777777778,,0.7777777777777778,,0.3333333333333333,,,0.8333333333333334,,0.875,,,1.0,90.77363896848138,14.818181818181818,16.90909090909091,14.818181818181818,16.90909090909091,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,,,0.5555555555555556,0.6666666666666666,0.5288944444444444,,,,11.383333333333333,24.733333333333334,2.0,3.0,4.0,4.0,2.0,1.0,3.0,0.5,0.5,0.6666666666666666,0.8,1.0,1.0,0.5,0.3333333333333333,2.0,1.0,1.0,1.0,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,0.5,,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626179-202323-202738-203935,1610612738,"Amir Johnson, Terry Rozier, Evan Turner, Isaiah Thomas, Marcus Smart","Johnson, Rozier, Turner, Thomas, Smart",101161-1626179-202323-202738-203935,BOS,85.0,1,1.0,-2.0,3.0,3.0,,6.0,,,,1.0,,,,,1.0,2.0,2.0,4.0,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,0.5,,1.0,,,,,1.0,,,,101.6470588235294,19.0,9.333333333333334,19.0,9.333333333333334,,,1.0,,,,,,,1.0,,0.5004,0.5,1.0,,,24.1,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,3.0,,,,0.5004,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,2.0,,,,,0.5,,,,,,,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101161-1626179-202738-203109-203935,1610612738,"Amir Johnson, Terry Rozier, Isaiah Thomas, Jae Crowder, Marcus Smart","Johnson, Rozier, Thomas, Crowder, Smart",101161-1626179-202738-203109-203935,BOS,147.0,2,2.0,-2.0,5.0,3.0,1.0,8.0,2.0,,,2.0,,,2.0,,3.0,,,2.0,,1.0,,,2.0,,2.0,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,0.6,1.0,1.0,0.5,,0.5,0.2,,,78.3673469387755,15.4,23.333333333333332,14.6,23.333333333333332,0.4,,0.4,,,,,,,1.0,,0.58643,,,,1.85,24.400000000000002,,,,,,,2.0,,,,0.5,,,,,,,,,,,,,,,,1.0,,1.0,,0.2,,,,1.0,,,0.62445,,,,,1.0,1.0,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
