EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,AtRimAssists,DefThreePtRebounds,FTDefRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Arc3FGM,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Charge Fouls,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,SelfOReb,SecondChanceTurnovers,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceFG2M,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SecondChanceShotQualityAvg,NonShootingFoulsDrawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PtsPutbacks,HeaveAttempts,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedAtRim,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Accuracy,LongMidRangeAssists,2pt And 1 Free Throw Trips,DefensiveGoaltends,LongMidRangePctAssisted,Travels,OffensiveGoaltends,AtRimPctBlocked,SecondChanceAtRimPctAssisted,BlockingFouls,Loose Ball Fouls,Corner3Assists,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Fg3aBlocked,BlockingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveMakes,3pt And 1 Free Throw Trips,SecondChanceArc3PctAssisted,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101141-1626169-1626199-201943-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Brandon Jennings, Andre Drummond","Ilyasova, Johnson, Hilliard, Jennings, Drummond",101141-1626169-1626199-201943-203083,DET,186.0,1,3.0,-1.0,6.0,6.0,12.0,1.0,3.0,3.0,3.0,4.0,2.0,8.0,9.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,8.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8,1.0,1.0,1.0,1.0,92.90322580645162,16.5,14.5,16.5,14.5,0.25,0.75,1.0,1.0,0.6666666666666666,0.25,0.467625,0.2,0.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-1626199-201943-203382,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Brandon Jennings, Aron Baynes","Ilyasova, Johnson, Hilliard, Jennings, Baynes",101141-1626169-1626199-201943-203382,DET,156.0,1,3.0,3.0,5.0,5.0,10.0,1.0,,,2.0,2.0,2.0,9.0,6.0,2.0,2.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,,1.0,1.0,1.0,2.0,1.0,9.0,0.5,0.5,1.0,0.875,0.9,1.0,1.0,,,92.3076923076923,10.6,20.6,10.6,20.6,0.25,,,,,0.75,0.5489875,0.2,0.3333333333333333,10.1,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,1.0,9.0,5.0,0.5,0.5,0.5,1.0,0.875,0.9,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,0.25,1.0,0.25,1.0,0.25,0.5489875,1.0,23.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-1626199-202704-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Reggie Jackson, Andre Drummond","Ilyasova, Johnson, Hilliard, Jackson, Drummond",101141-1626169-1626199-202704-203083,DET,186.0,2,3.0,1.0,7.0,7.0,14.0,2.0,,2.0,1.0,4.0,2.0,7.0,6.0,2.0,,1.0,2.0,,5.0,3.0,4.0,6.0,1.0,,2.0,,1.0,1.0,2.0,1.0,5.0,1.0,1.0,0.25,0.4166666666666667,0.5,0.6,0.6666666666666666,,0.6666666666666666,108.38709677419355,12.285714285714286,14.285714285714286,11.571428571428571,13.714285714285714,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,0.5726166666666667,0.14285714285714285,0.2,4.925,,2.0,1.0,,,,,,,,,2.0,,1.0,2.0,,,,,,,,2.0,1.0,1.0,,,,0.5,,0.5,,,,0.3333333333333333,,1.0,0.5,1.0,0.5,0.5,1.0,,,,,,,0.3333333333333333,,,,,,,,24.8,,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,0.3333333333333333,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-1626199-203382-203915,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Aron Baynes, Spencer Dinwiddie","Ilyasova, Johnson, Hilliard, Baynes, Dinwiddie",101141-1626169-1626199-203382-203915,DET,83.0,1,1.0,-1.0,4.0,3.0,7.0,1.0,,1.0,1.0,3.0,2.0,4.0,5.0,,2.0,,,,,1.0,1.0,2.0,,,1.0,,,2.0,2.0,1.0,4.0,,,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,,121.44578313253012,14.5,8.333333333333334,14.0,8.333333333333334,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.45726666666666665,0.25,0.25,8.766666666666667,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,0.5,,0.5,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-201202-202704-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Joel Anthony, Reggie Jackson, Kentavious Caldwell-Pope","Ilyasova, Johnson, Anthony, Jackson, Caldwell-Pope",101141-1626169-201202-202704-203484,DET,194.0,1,3.0,1.0,5.0,5.0,10.0,4.0,,,4.0,6.0,,8.0,7.0,2.0,6.0,1.0,1.0,,2.0,,,1.0,,,,1.0,2.0,,1.0,,6.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,74.22680412371133,20.0,18.8,18.2,16.2,0.6666666666666666,,,,,0.6666666666666666,0.5870666666666667,,,6.983333333333333,,5.0,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.75,0.75,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,0.5,,0.5,,,,,,,0.25,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-201202-203484-2581,1610612765,"Ersan Ilyasova, Stanley Johnson, Joel Anthony, Kentavious Caldwell-Pope, Steve Blake","Ilyasova, Johnson, Anthony, Caldwell-Pope, Blake",101141-1626169-201202-203484-2581,DET,30.0,1,,-3.0,1.0,2.0,3.0,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,0.5,,,,,144.0,5.0,12.5,5.0,12.5,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-201943-202694-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Marcus Morris, Andre Drummond","Ilyasova, Johnson, Jennings, Morris, Drummond",101141-1626169-201943-202694-203083,DET,1319.0,6,22.0,-8.0,41.0,43.0,84.0,11.0,1.0,8.0,15.0,26.0,3.0,45.0,53.0,8.0,22.0,4.0,8.0,,20.0,7.0,12.0,22.0,4.0,1.0,8.0,5.0,9.0,9.0,8.0,2.0,33.0,0.26666666666666666,0.3333333333333333,0.5769230769230769,0.525,0.5113636363636364,0.5833333333333334,0.6666666666666666,0.5714285714285714,,91.70583775587566,16.463414634146343,14.976744186046512,15.317073170731707,14.837209302325581,0.275,0.2,0.125,0.14285714285714285,,0.625,0.49488026315789474,0.047619047619047616,0.07142857142857142,7.480769230769231,10.0,11.0,8.0,1.0,1.0,6.0,7.0,,4.0,,2.0,10.0,3.0,4.0,14.0,1.0,1.0,1.0,5.0,3.0,8.0,,9.0,4.0,3.0,2.0,8.0,10.0,0.2857142857142857,0.2,0.3076923076923077,1.0,0.4166666666666667,0.4444444444444444,0.35,1.0,1.0,0.6,1.0,0.7272727272727273,0.7272727272727273,0.5,0.175,0.8571428571428571,0.8571428571428571,0.1,,,0.25,0.16666666666666666,1.0,0.3333333333333333,,0.5,0.5104599999999999,0.17777777777777778,27.00714285714286,0.24390243902439024,8.0,4.0,6.0,2.0,12.0,12.0,4.0,1.0,4.0,4.0,2.0,7.0,10.0,4.0,3.0,,3.0,1.0,3.0,1.0,0.6666666666666666,0.038461538461538464,0.125,0.5,0.6363636363636364,0.2857142857142857,0.5,0.5714285714285714,,0.4,0.4,1.0,0.4444444444444444,0.26666666666666666,,,,,5.0,,,0.8333333333333334,0.625,1.0,0.49445,2.0,3.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.375,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-201943-202694-203382,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Marcus Morris, Aron Baynes","Ilyasova, Johnson, Jennings, Morris, Baynes",101141-1626169-201943-202694-203382,DET,725.0,6,12.0,3.0,27.0,24.0,51.0,2.0,2.0,7.0,7.0,14.0,5.0,28.0,25.0,6.0,8.0,3.0,5.0,,12.0,4.0,7.0,7.0,1.0,1.0,2.0,3.0,5.0,8.0,7.0,4.0,28.0,0.42857142857142855,0.42857142857142855,0.5,0.5227272727272727,0.56,1.0,1.0,1.0,,101.29655172413793,13.814814814814815,14.666666666666666,13.814814814814815,14.666666666666666,0.09090909090909091,0.3181818181818182,0.2857142857142857,0.3333333333333333,,0.45454545454545453,0.43851428571428575,0.16,0.23529411764705882,10.042857142857143,14.0,8.0,2.0,2.0,2.0,3.0,5.0,,,,,8.0,5.0,3.0,8.0,4.0,8.0,1.0,5.0,,11.0,3.0,8.0,2.0,3.0,,11.0,14.0,0.375,0.2,0.375,0.5,0.4230769230769231,0.4230769230769231,0.36363636363636365,,1.0,1.0,1.0,1.0,1.0,1.0,0.22727272727272727,0.6,0.6,,,,0.36363636363636365,0.15384615384615385,1.0,,,0.38461538461538464,0.44344999999999996,0.39285714285714285,28.1125,0.5185185185185185,,3.0,,,,6.0,3.0,1.0,2.0,2.0,,,,1.0,,,,,,0.6666666666666666,,0.07142857142857142,0.14285714285714285,0.5,,,,,,0.375,0.375,0.6666666666666666,0.375,,,,,,,,,,,,,,,,,1.0,,,,,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-201943-203083-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Andre Drummond, Kentavious Caldwell-Pope","Ilyasova, Johnson, Jennings, Drummond, Caldwell-Pope",101141-1626169-201943-203083-203484,DET,1580.0,8,26.0,-6.0,52.0,52.0,104.0,17.0,4.0,7.0,13.0,34.0,5.0,46.0,52.0,10.0,16.0,5.0,8.0,1.0,19.0,13.0,19.0,33.0,7.0,,12.0,2.0,8.0,7.0,8.0,4.0,39.0,0.38461538461538464,0.45454545454545453,0.38235294117647056,0.3867924528301887,0.40350877192982454,0.6842105263157895,0.72,0.7142857142857143,0.6666666666666666,94.78481012658229,15.942307692307692,14.442307692307692,14.673076923076923,14.0,0.32075471698113206,0.1320754716981132,0.5714285714285714,0.6666666666666666,0.25,0.6792452830188679,0.49682549019607847,0.07017543859649122,0.10526315789473684,7.641176470588236,16.0,24.0,7.0,3.0,6.0,2.0,10.0,,1.0,,1.0,18.0,8.0,5.0,19.0,3.0,10.0,3.0,9.0,,15.0,6.0,16.0,3.0,5.0,1.0,15.0,16.0,0.2631578947368421,0.3333333333333333,0.29411764705882354,0.3,0.39473684210526316,0.39473684210526316,0.3584905660377358,1.0,0.8333333333333334,0.6666666666666666,1.0,0.4117647058823529,0.5,0.42857142857142855,0.18867924528301888,0.2,0.2,0.018867924528301886,,,0.33962264150943394,0.3157894736842105,0.5,0.05263157894736842,,0.42105263157894735,0.5143166666666666,0.32608695652173914,28.873684210526317,0.3076923076923077,12.0,5.0,11.0,1.0,7.0,9.0,5.0,4.0,3.0,3.0,4.0,10.0,14.0,5.0,3.0,,1.0,,1.0,0.6,0.2692307692307692,0.11764705882352941,0.14285714285714285,0.4166666666666667,0.47619047619047616,0.4,0.45161290322580644,0.6666666666666666,0.4444444444444444,0.2777777777777778,0.2777777777777778,0.6,0.3125,0.15217391304347827,3.0,4.0,0.375,0.1111111111111111,3.0,,,0.2727272727272727,0.25,0.5,0.494975,,3.0,10.0,1.0,3.0,1.0,4.0,2.0,,5.0,4.0,1.0,1.0,2.0,3.0,2.0,,,,1.0,1.0,,,,0.6666666666666666,1.0,0.8333333333333334,0.3,0.08333333333333333,0.375,1.0,,,0.5,2.0,1.0,0.17647058823529413,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
101141-1626169-201943-203382-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Aron Baynes, Kentavious Caldwell-Pope","Ilyasova, Johnson, Jennings, Baynes, Caldwell-Pope",101141-1626169-201943-203382-203484,DET,1010.0,7,17.0,-18.0,36.0,40.0,76.0,13.0,,3.0,6.0,21.0,14.0,32.0,50.0,4.0,8.0,2.0,4.0,,10.0,8.0,15.0,22.0,2.0,1.0,6.0,6.0,10.0,12.0,16.0,5.0,28.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.32142857142857145,0.4444444444444444,0.6666666666666666,0.7058823529411765,0.8,,108.35643564356437,13.777777777777779,12.85,13.13888888888889,11.675,0.4642857142857143,0.10714285714285714,,,,0.7142857142857143,0.534137037037037,0.15151515151515152,0.19230769230769232,6.571428571428571,18.0,33.0,5.0,4.0,10.0,1.0,5.0,,1.0,,,6.0,2.0,2.0,7.0,4.0,13.0,1.0,2.0,10.0,21.0,,5.0,2.0,4.0,3.0,21.0,18.0,0.2857142857142857,0.5,0.3333333333333333,0.3076923076923077,0.36666666666666664,0.5,0.25,1.0,0.8,0.5714285714285714,1.0,0.38461538461538464,0.45454545454545453,0.4,0.17857142857142858,0.2,0.2,0.03571428571428571,,,0.21428571428571427,0.6666666666666666,0.4,,,0.13333333333333333,0.5336333333333333,0.65625,27.285714285714285,0.5,8.0,2.0,4.0,2.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,4.0,1.0,,1.0,,1.0,1.0,0.4,0.09523809523809523,,0.6666666666666666,0.3333333333333333,0.5,0.3684210526315789,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4,0.125,,1.0,0.75,,1.0,,4.0,0.25,0.25,0.125,0.5623,3.0,1.0,4.0,,1.0,,,1.0,,2.0,2.0,,,3.0,2.0,,,2.0,,1.0,,3.0,,1.0,,,1.0,0.25,,0.5,,,,,1.0,,0.15384615384615385,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
