EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,BlockingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,DefCorner3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,SecondChanceFg3Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFGM,LongMidRangeFGM,FG2M,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,LongMidRangeAssists,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,SecondChanceAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFG2M,PenaltyFG3M,PtsPutbacks,Arc3Assists,AtRimAssists,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyEfgPct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFGM,PenaltyFG2M,Travels,PenaltyFg2Pct,PenaltyAtRimAccuracy,FTDefRebounds,DefFTReboundPct,Charge Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,BlockedLongMidRange,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,BlockingFoulsDrawn,BlockedShortMidRange,SecondChanceAtRimPctAssisted,HeaveAttempts,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,Charge Fouls,team_id,year,season,team_vs
101109-101111-101114-1717-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Wesley Matthews","Felton, Villanueva, Williams, Nowitzki, Matthews",101109-101111-101114-1717-202083,DAL,32.0,1,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,180.0,8.5,7.5,8.5,7.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-101114-202083-2585,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Wesley Matthews, Zaza Pachulia","Felton, Villanueva, Williams, Matthews, Pachulia",101109-101111-101114-202083-2585,DAL,150.0,1,2.0,3.0,6.0,5.0,1.0,2.0,11.0,2.0,5.0,2.0,2.0,,3.0,5.0,,1.0,,1.0,,3.0,,2.0,,3.0,2.0,1.0,0.35714285714285715,0.5,,0.75,,105.6,13.5,13.8,10.666666666666666,13.6,,,0.4,0.16666666666666666,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,1.0,0.75,0.6666666666666666,0.4,1.0,1.0,1.0,0.5,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.5,0.5731583333333333,0.7591,0.4105,0.4,9.266666666666667,24.099999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-101135-1626147-202083,1610612742,"Raymond Felton, Charlie Villanueva, David Lee, Justin Anderson, Wesley Matthews","Felton, Villanueva, Lee, Anderson, Matthews",101109-101111-101135-1626147-202083,DAL,36.0,1,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,160.0,10.5,7.5,10.5,7.5,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-101135-1626147-2734,1610612742,"Raymond Felton, Charlie Villanueva, David Lee, Justin Anderson, Devin Harris","Felton, Villanueva, Lee, Anderson, Harris",101109-101111-101135-1626147-2734,DAL,34.0,1,1.0,-3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,84.70588235294117,1.0,33.0,1.0,20.0,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-1626147-201580-203939,1610612742,"Raymond Felton, Charlie Villanueva, Justin Anderson, JaVale McGee, Dwight Powell","Felton, Villanueva, Anderson, McGee, Powell",101109-101111-1626147-201580-203939,DAL,409.0,1,7.0,-4.0,13.0,13.0,,7.0,26.0,,6.0,,,,4.0,7.0,3.0,4.0,,5.0,,1.0,1.0,,,3.0,,,0.2727272727272727,,,0.6666666666666666,,91.54034229828851,19.0,12.461538461538462,17.384615384615383,12.23076923076923,,,,,3.0,2.0,,2.0,,2.0,1.0,5.0,4.0,2.0,7.0,10.0,,,3.0,,3.0,5.0,1.0,1.0,4.0,3.0,,1.0,,1.0,,3.0,,,,,0.2857142857142857,0.2857142857142857,0.2727272727272727,1.5,0.6363636363636364,0.25,0.6666666666666666,0.25,0.3333333333333333,,,,1.0,,0.18181818181818182,0.18181818181818182,,0.18181818181818182,0.45454545454545453,0.2,0.2,,0.8181818181818182,0.2,0.47419999999999995,0.6201,,0.5,4.625,24.12857142857143,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.5,0.4,0.5,0.25,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-1626147-202083-203939,1610612742,"Raymond Felton, Charlie Villanueva, Justin Anderson, Wesley Matthews, Dwight Powell","Felton, Villanueva, Anderson, Matthews, Powell",101109-101111-1626147-202083-203939,DAL,27.0,1,,-1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,2.0,,,,,,160.0,12.5,2.0,12.5,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-1626147-203939-2585,1610612742,"Raymond Felton, Charlie Villanueva, Justin Anderson, Dwight Powell, Zaza Pachulia","Felton, Villanueva, Anderson, Powell, Pachulia",101109-101111-1626147-203939-2585,DAL,162.0,1,3.0,5.0,6.0,5.0,,,11.0,5.0,9.0,,,1.0,3.0,3.0,2.0,2.0,,2.0,1.0,2.0,,5.0,1.0,9.0,,,1.125,,1.0,1.0,,97.77777777777777,12.5,17.4,12.5,17.4,0.5,0.3333333333333333,,,,1.0,,,1.0,,,,2.0,,,4.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,0.5,,0.5,,,,,,0.5,,0.4692,,,,9.3,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-1626147-202083-2734,1610612742,"Raymond Felton, Deron Williams, Justin Anderson, Wesley Matthews, Devin Harris","Felton, Williams, Anderson, Matthews, Harris",101109-101114-1626147-202083-2734,DAL,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,0.09705,,0.09705,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-1626257-1717-202083,1610612742,"Raymond Felton, Deron Williams, Salah Mejri, Dirk Nowitzki, Wesley Matthews","Felton, Williams, Mejri, Nowitzki, Matthews",101109-101114-1626257-1717-202083,DAL,775.0,2,13.0,9.0,22.0,23.0,7.0,2.0,45.0,4.0,29.0,1.0,7.0,4.0,9.0,14.0,1.0,2.0,1.0,5.0,,6.0,,6.0,1.0,24.0,7.0,7.0,0.5185185185185185,0.3888888888888889,1.0,0.8181818181818182,1.0,83.61290322580645,15.727272727272727,18.652173913043477,15.0,18.130434782608695,0.04,0.07142857142857142,0.2413793103448276,0.3181818181818182,4.0,8.0,3.0,2.0,3.0,4.0,2.0,7.0,13.0,3.0,11.0,20.0,4.0,1.0,5.0,3.0,3.0,7.0,2.0,3.0,5.0,5.0,,3.0,,1.0,1.0,2.0,,1.0,2.0,1.0,0.2727272727272727,0.2727272727272727,0.5208333333333334,0.5,0.4583333333333333,0.5,0.7142857142857143,0.6,0.38461538461538464,0.5,1.0,,,,0.3333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.2916666666666667,0.2857142857142857,0.2857142857142857,0.75,0.7916666666666666,0.2857142857142857,0.5598291666666667,0.6435333333333334,0.5536875,0.1724137931034483,5.907692307692307,24.672727272727272,1.0,1.0,,,,,6.0,2.0,6.0,1.0,14.0,2.0,3.0,1.0,,,,,,0.6666666666666666,,0.5,0.25,,0.2,0.3333333333333333,1.0,0.25,0.25,1.0,,,,7.0,1.0,8.0,8.0,8.0,4.0,1.0,,,0.5,0.5714285714285714,0.6153846153846154,0.875,0.875,0.3333333333333333,0.3333333333333333,1.0,,3.0,5.0,0.375,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.4,0.5,0.375,0.42857142857142855,0.5,0.6666666666666666,0.125,0.25,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-1717-202083-2585,1610612742,"Raymond Felton, Deron Williams, Dirk Nowitzki, Wesley Matthews, Zaza Pachulia","Felton, Williams, Nowitzki, Matthews, Pachulia",101109-101114-1717-202083-2585,DAL,639.0,3,11.0,10.0,19.0,19.0,,,38.0,4.0,22.0,,,1.0,9.0,14.0,,1.0,,2.0,,4.0,,5.0,1.0,18.0,,,0.4782608695652174,,1.0,0.8181818181818182,1.0,85.63380281690141,15.105263157894736,18.526315789473685,13.947368421052632,17.63157894736842,0.08695652173913043,0.0625,,,4.0,6.0,1.0,6.0,3.0,1.0,,5.0,15.0,,6.0,12.0,3.0,,4.0,,,5.0,,2.0,8.0,5.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,0.42857142857142855,0.5,0.2857142857142857,1.0,0.8,0.3333333333333333,0.4166666666666667,0.3333333333333333,,1.0,0.6666666666666666,0.08333333333333333,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.23809523809523808,,,0.25,0.5714285714285714,,0.5023404761904762,0.501075,,0.18181818181818182,8.013333333333334,24.366666666666664,,,,1.0,,1.0,,,2.0,,4.0,3.0,1.0,,,,,1.0,,,,0.5,0.5,1.0,0.6,,0.75,,,,0.25,,,5.0,1.0,9.0,4.0,14.0,2.0,,,1.0,0.2222222222222222,0.25,0.6,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,,0.14285714285714285,,,,1.0,,,,,2.0,,2.0,,1.0,,1.0,1.0,1.0,,0.6666666666666666,,0.2,,1.0,,,,,3.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
