EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Fg2aBlocked,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,PtsPutbacks,Corner3Assists,OffTwoPtRebounds,SelfOReb,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,LostBallSteals,Offensive Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFtPoints,SecondChanceTurnovers,Technical Free Throw Trips,FTDefRebounds,ThreePtShootingFoulsDrawn,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,Travels,PenaltyTurnovers,BlockingFouls,SecondChanceAtRimPctAssisted,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,PenaltyCorner3FGA,HeaveAttempts,LostBallTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedLongMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,PenaltyCorner3FGM,3SecondViolations,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
101127-1626178-200745-201152-202711,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Bojan Bogdanovic","Jack, Hollis-Jefferson, Bargnani, Young, Bogdanovic",101127-1626178-200745-201152-202711,BKN,290.0,3,5.0,-1.0,10.0,11.0,3.0,5.0,2.0,21.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,7.0,3.0,1.0,7.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5,1.0,0.3,0.5,0.5,0.3181818181818182,0.5,0.5,0.3,0.75,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.14285714285714285,0.3333333333333333,1.0,0.5,1.0,104.27586206896552,16.6,11.272727272727273,15.0,11.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5,0.5,0.3,0.5,0.3,0.43284999999999996,0.3575,0.4878875,0.09090909090909091,0.125,0.2857142857142857,0.5714285714285714,14.557142857142859,33.199999999999996,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-201152-203499,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Shane Larkin","Jack, Hollis-Jefferson, Bargnani, Young, Larkin",101127-1626178-200745-201152-203499,BKN,130.0,1,2.0,,5.0,4.0,5.0,,1.0,9.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,,,,1.0,2.0,2.0,6.0,2.0,,2.0,1.0,2.0,,,5.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,6.0,6.0,5.0,1.0,1.0,0.5,,0.5,0.625,,0.625,0.75,,0.75,0.5,,1.0,,1.0,,,,1.0,,99.6923076923077,13.4,15.75,13.4,15.75,,,,,0.25,,,,0.5,0.5,0.75,0.46435,,0.46435,0.25,0.5,,1.0,10.25,26.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0.25,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-201152-203508,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Sergey Karasev","Jack, Hollis-Jefferson, Bargnani, Young, Karasev",101127-1626178-200745-201152-203508,BKN,190.0,1,3.0,,7.0,7.0,,,,14.0,2.0,5.0,1.0,2.0,,,3.0,7.0,,,6.0,6.0,,,,,,,,6.0,,,3.0,3.0,2.0,1.0,6.0,,1.0,2.0,3.0,,3.0,,,2.0,3.0,1.0,,,,6.0,,,1.0,1.0,0.42857142857142855,,,0.42857142857142855,,,0.42857142857142855,,,,1.0,1.0,,1.0,,,1.0,,1.0,106.10526315789474,14.0,13.142857142857142,14.0,13.142857142857142,0.7142857142857143,0.4,0.6666666666666666,1.0,0.2857142857142857,0.5,0.5,1.0,,,,0.4096285714285714,,,,,,,12.785714285714286,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-201152-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Young, Johnson",101127-1626178-200745-201152-2207,BKN,547.0,3,9.0,-6.0,14.0,14.0,,9.0,2.0,28.0,2.0,5.0,1.0,4.0,3.0,,5.0,17.0,4.0,,16.0,22.0,1.0,5.0,2.0,,,,,4.0,6.0,3.0,2.0,3.0,,1.0,7.0,1.0,2.0,2.0,4.0,7.0,11.0,,,2.0,2.0,1.0,,,,14.0,,,0.4,0.5,0.29411764705882354,0.2,,0.38095238095238093,0.16666666666666666,,0.38095238095238093,0.16666666666666666,,0.19047619047619047,1.0,0.6666666666666666,0.5,0.8,0.5,0.5,1.0,0.6666666666666666,,73.71115173674588,18.428571428571427,20.642857142857142,17.428571428571427,20.428571428571427,0.23809523809523808,0.4,0.5,,0.19047619047619047,0.25,0.25,1.0,0.14285714285714285,,0.5714285714285714,0.4798738095238095,0.5890799999999999,,,,0.125,,6.964705882352941,26.35,,2.0,8.0,,,1.0,,2.0,,,3.0,1.0,1.0,,1.0,,,0.5,0.5,,0.5,0.38095238095238093,0.25,0.2857142857142857,0.5,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,2.0,,,,,0.11764705882352941,0.2,,,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,0.125,0.5,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.047619047619047616,1.0,1.0,1.0,0.8333333333333334,0.2,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-201572-202711,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Brook Lopez, Bojan Bogdanovic","Jack, Hollis-Jefferson, Bargnani, Lopez, Bogdanovic",101127-1626178-200745-201572-202711,BKN,203.0,3,3.0,-2.0,7.0,7.0,2.0,4.0,1.0,14.0,1.0,1.0,,2.0,,,1.0,5.0,,2.0,4.0,6.0,,1.0,,,1.0,,2.0,2.0,,,1.0,1.0,1.0,,2.0,,,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.2,,,0.2,,,0.3333333333333333,,0.5,,0.42857142857142855,,,0.42857142857142855,0.25,,0.25,,,99.3103448275862,12.428571428571429,16.571428571428573,12.0,13.571428571428571,0.2,1.0,1.0,1.0,0.4,,,,,,0.4,0.49640000000000006,0.5653,0.4003,0.16666666666666666,0.16666666666666666,,0.5,9.98,,0.2857142857142857,,2.0,,,,,,,2.0,,,,,,,,,,,,0.4,,,,,,,,,,,1.0,1.0,1.0,1.0,,0.2,,,,,1.0,,,,,,,,1.0,,0.5,0.25,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-201572-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Brook Lopez, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Lopez, Johnson",101127-1626178-200745-201572-2207,BKN,300.0,3,5.0,1.0,11.0,11.0,6.0,4.0,,22.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,6.0,13.0,12.0,,,,2.0,3.0,1.0,11.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,3.0,,3.0,2.0,1.0,2.0,4.0,3.0,,6.0,1.0,13.0,11.0,6.0,0.5,0.5,0.3333333333333333,,0.6666666666666666,0.5,,0.875,0.65,,0.9166666666666666,0.14285714285714285,1.0,0.5,,0.6,,,,0.5,,105.6,13.181818181818182,14.090909090909092,13.181818181818182,13.090909090909092,0.2857142857142857,0.5,0.5,,0.5714285714285714,0.25,0.25,1.0,0.14285714285714285,0.25,0.14285714285714285,0.4361357142857143,,0.4446125,0.125,0.14285714285714285,,0.8461538461538461,14.366666666666667,24.9,0.5454545454545454,,,,,1.0,1.0,1.0,1.0,4.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-201961-202711,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Wayne Ellington, Bojan Bogdanovic","Jack, Hollis-Jefferson, Bargnani, Ellington, Bogdanovic",101127-1626178-200745-201961-202711,BKN,88.0,1,1.0,3.0,3.0,2.0,,2.0,,5.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,,7.0,4.0,,,,,,,,4.0,,,2.0,3.0,1.0,1.0,7.0,,,,,,,,,,1.0,,,,,7.0,,,1.0,1.0,1.0,,,1.1666666666666667,,,1.1666666666666667,,,0.3333333333333333,,,,,,,,,,81.81818181818183,14.0,23.0,14.0,23.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,0.45718333333333333,,,,,,,14.1,22.4,,,,,,,,1.0,,,3.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-202711-203080,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Bojan Bogdanovic, Thomas Robinson","Jack, Hollis-Jefferson, Bargnani, Bogdanovic, Robinson",101127-1626178-200745-202711-203080,BKN,19.0,2,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,75.78947368421053,,5.0,,5.0,,,,,1.0,,,,,,,0.3932,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-202711-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Bojan Bogdanovic, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Bogdanovic, Johnson",101127-1626178-200745-202711-2207,BKN,21.0,1,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,137.14285714285714,12.0,9.0,4.0,9.0,,,,,,,,,,,1.0,0.6244,,,,,1.0,,2.8,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
101127-1626178-200745-203900-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Markel Brown, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Brown, Johnson",101127-1626178-200745-203900-2207,BKN,24.0,1,,-2.0,1.0,1.0,,,,2.0,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,120.0,14.0,10.0,14.0,10.0,,,,,,,,,1.0,,1.0,0.4602,,,,,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,False
