PLAYER_ID,date,team_poss,overall_def_D_FGM,overall_def_D_FGA,overall_def_D_FG_PCT,overall_def_NORMAL_FG_PCT,overall_def_PCT_PLUSMINUS,hustle_MIN,hustle_CONTESTED_SHOTS,hustle_CONTESTED_SHOTS_2PT,hustle_CONTESTED_SHOTS_3PT,hustle_DEFLECTIONS,hustle_CHARGES_DRAWN,hustle_SCREEN_ASSISTS,hustle_SCREEN_AST_PTS,hustle_OFF_LOOSE_BALLS_RECOVERED,hustle_DEF_LOOSE_BALLS_RECOVERED,hustle_LOOSE_BALLS_RECOVERED,hustle_PCT_LOOSE_BALLS_RECOVERED_OFF,hustle_PCT_LOOSE_BALLS_RECOVERED_DEF,hustle_OFF_BOXOUTS,hustle_DEF_BOXOUTS,hustle_BOX_OUTS,hustle_BOX_OUT_PLAYER_TEAM_REBS,hustle_BOX_OUT_PLAYER_REBS,hustle_PCT_BOX_OUTS_OFF,hustle_PCT_BOX_OUTS_DEF,hustle_PCT_BOX_OUTS_TEAM_REB,hustle_PCT_BOX_OUTS_REB,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
201143,20170507,101,8.0,17.0,0.471,0.469,0.002,32.3,15.0,11.0,4.0,0.0,0.0,4.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11290.0,2.1,1.1,1.0,3.91,4.04,3.78
201160,20170507,101,1.0,2.0,0.5,0.435,0.065,6.6,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2778.0,0.5,0.3,0.2,4.57,4.71,4.37
201567,20170507,93,10.0,20.0,0.5,0.481,0.019,33.7,16.0,9.0,7.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12375.0,2.3,1.2,1.2,4.1,4.12,4.46
201569,20170507,98,7.0,9.0,0.778,0.438,0.339,32.1,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11142.0,2.1,1.0,1.1,3.93,4.13,3.77
201583,20170507,98,10.0,16.0,0.625,0.452,0.173,31.7,12.0,12.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11540.0,2.2,1.2,1.0,4.18,4.35,3.98
201586,20170507,92,7.0,9.0,0.778,0.505,0.273,34.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11873.0,2.2,1.2,1.0,3.82,4.33,3.35
201628,20170507,98,1.0,2.0,0.5,0.407,0.093,5.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178.0,0.4,0.3,0.2,4.37,5.03,6.27
201935,20170507,98,5.0,10.0,0.5,0.459,0.042,34.6,7.0,5.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.0,2.0,1.1,0.9,3.48,4.03,2.98
201942,20170507,92,3.0,11.0,0.273,0.438,-0.166,45.9,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15592.0,3.0,1.6,1.3,3.92,4.3,3.31
201943,20170507,101,4.0,5.0,0.8,0.393,0.407,17.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6528.0,1.2,0.7,0.5,4.07,4.38,3.7
201960,20170507,92,3.0,3.0,1.0,0.45,0.55,5.9,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2331.0,0.4,0.2,0.2,4.12,4.06,4.19
201973,20170507,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.0,0.2,0.1,0.1,4.71,4.67,4.75
201976,20170507,98,4.0,11.0,0.364,0.45,-0.086,25.5,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9826.0,1.9,0.9,0.9,4.48,4.34,4.15
201980,20170507,96,6.0,10.0,0.6,0.419,0.181,26.0,10.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10125.0,1.9,1.1,0.8,4.4,4.8,3.94
201988,20170507,96,2.0,9.0,0.222,0.42,-0.197,27.8,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10598.0,2.0,1.2,0.8,4.33,4.78,3.8
202322,20170507,101,3.0,6.0,0.5,0.429,0.071,36.4,3.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11844.0,2.2,1.2,1.0,3.63,3.93,3.32
202335,20170507,92,1.0,4.0,0.25,0.426,-0.176,10.2,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3616.0,0.7,0.4,0.3,4.12,4.74,3.5
202340,20170507,101,2.0,8.0,0.25,0.481,-0.231,32.9,4.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11615.0,2.2,1.1,1.1,4.02,4.06,3.99
202681,20170507,93,3.0,9.0,0.333,0.456,-0.122,40.4,6.0,5.0,1.0,6.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14078.0,2.7,1.4,1.2,4.01,3.97,3.75
202684,20170507,93,9.0,18.0,0.5,0.465,0.035,31.7,14.0,9.0,5.0,2.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11709.0,2.2,1.2,1.0,4.2,4.14,4.26
202685,20170507,92,5.0,10.0,0.5,0.504,-0.004,25.5,10.0,9.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,1.7,0.9,0.8,4.04,4.76,3.45
202693,20170507,101,6.0,14.0,0.429,0.493,-0.064,35.3,8.0,3.0,5.0,3.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11819.0,2.2,1.2,1.1,3.74,4.08,3.74
202695,20170507,96,3.0,8.0,0.375,0.454,-0.079,29.8,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10711.0,2.0,1.2,0.8,4.03,4.54,3.46
202697,20170507,93,2.0,6.0,0.333,0.466,-0.133,11.8,4.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4083.0,0.8,0.4,0.4,4.09,4.31,3.88
