EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,LostBallSteals,PenaltyTurnovers,Fouls,Offensive Fouls,Arc3Frequency,PenaltyArc3Frequency,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,LongMidRangeAssists,FTOffRebounds,DefTwoPtRebounds,OffRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGA,SecondChanceFG2A,Fg3aBlocked,OffTwoPtRebounds,ShootingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,FG3APctBlocked,AtRimPctBlocked,Corner3PctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,BlockedAtRim,PtsUnassisted3s,FTDefRebounds,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,BadPassTurnovers,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,SelfOReb,DefensiveGoaltends,SelfORebPct,SecondChanceCorner3Frequency,OffShortMidRangeReboundPct,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,OffLongMidRangeReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceFG2M,Travels,SecondChanceFg2Pct,OffArc3ReboundPct,SecondChanceTurnovers,HeaveAttempts,3SecondViolations,Charge Fouls,Arc3PctBlocked,SecondChanceAtRimFGM,SecondChanceCorner3FGM,PtsPutbacks,Blocked3s,BlockedArc3,SecondChanceAtRimAccuracy,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceFtPoints,Offensive Fouls Drawn,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,BlockedLongMidRange,PenaltyCorner3Accuracy,Technical Free Throw Trips,team_id,year,season,team_vs
101181-1627748-1628379-1629017-204038,1610612765,"Jose Calderon, Thon Maker, Luke Kennard, Khyri Thomas, Langston Galloway","Calderon, Maker, Kennard, Thomas, Galloway",101181-1627748-1628379-1629017-204038,DET,260.0,1,4.0,5.0,10.0,9.0,3.0,19,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,2.0,1.0,12.0,7.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,12.0,3.0,0.5,0.5,1.0,0.5,0.5,0.6666666666666666,0.6875,0.75,0.25,0.5,0.5,1.0,105.23076923076924,10.3,17.444444444444443,10.3,16.555555555555557,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,0.5,0.5,1.0,0.125,1.0,1.0,0.25,0.5,0.5,1.0,0.5,0.625,0.4535125,0.4517,0.25,0.3333333333333333,7.683333333333334,24.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1627748-1628971-1629017-204038,1610612765,"Jose Calderon, Thon Maker, Bruce Brown, Khyri Thomas, Langston Galloway","Calderon, Maker, Brown, Thomas, Galloway",101181-1627748-1628971-1629017-204038,DET,94.0,1,2.0,-3.0,3.0,4.0,3.0,7,,,,1.0,,,,,,,1.0,,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,3.0,,,,,,,,,0.5,,,,107.23404255319149,11.666666666666666,14.75,11.666666666666666,14.75,,,,,0.5,,,,,,,,,,,,0.5,0.42345,0.42345,,,7.4,26.4,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1629017-202720-203922-2585,1610612765,"Jose Calderon, Khyri Thomas, Jon Leuer, Glenn Robinson III, Zaza Pachulia","Calderon, Thomas, Leuer, Robinson III, Pachulia",101181-1629017-202720-203922-2585,DET,226.0,1,4.0,1.0,8.0,9.0,8.0,17,2.0,2.0,,2.0,2.0,2.0,,,,4.0,6.0,1.0,1.0,3.0,14.0,13.0,6.0,1.0,6.0,2.0,3.0,3.0,1.0,4.0,,1.0,,9.0,,1.0,2.0,1.0,1.0,,,,3.0,5.0,1.0,2.0,11.0,8.0,0.75,0.75,1.0,1.0,1.0,0.6666666666666666,0.7857142857142857,0.7777777777777778,0.14285714285714285,,0.5,,108.31858407079646,10.625,15.666666666666666,10.5,14.11111111111111,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,,,,0.2857142857142857,1.0,1.0,,,,,,0.42857142857142855,0.5187928571428572,0.5187928571428572,0.25,0.2857142857142857,9.566666666666666,27.7,1.0,,1.0,1.0,1.0,,,,,0.14285714285714285,0.14285714285714285,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,14.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,0.6666666666666666,1.5,0.7857142857142857,1.5,0.7777777777777778,0.16666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,0.65205,0.21428571428571427,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-1628971-201961-202397,1610612765,"Thon Maker, Luke Kennard, Bruce Brown, Wayne Ellington, Ish Smith","Maker, Kennard, Brown, Ellington, Smith",1627748-1628379-1628971-201961-202397,DET,198.0,1,3.0,6.0,7.0,8.0,,15,1.0,4.0,,,1.0,2.0,,1.0,,2.0,6.0,1.0,2.0,2.0,9.0,3.0,,,,4.0,3.0,,1.0,1.0,,,,3.0,,3.0,5.0,1.0,1.0,,,,4.0,2.0,,1.0,6.0,,,,1.0,0.5,0.5,0.3333333333333333,0.4375,0.5,0.25,,0.75,,109.0909090909091,15.0,11.625,14.285714285714286,11.125,0.5,0.25,0.3333333333333333,,,,,,0.25,0.5,0.5,0.125,,,,,0.75,0.476075,,0.1111111111111111,0.14285714285714285,7.016666666666667,25.25,,,1.0,,1.0,,,1.0,,0.125,,1.0,,,1.0,1.0,1.0,,1.0,1.0,3.0,,,,,1.0,1.0,1.0,,,3.0,2.0,,,,1.0,,,0.75,,0.75,,0.16666666666666666,,,0.75,,,1.0,1.0,1.0,0.5,1.0,1.0,,,,1.0,0.454225,0.3333333333333333,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.5,0.4,0.6666666666666666,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-1628971-202397-204038,1610612765,"Thon Maker, Luke Kennard, Bruce Brown, Ish Smith, Langston Galloway","Maker, Kennard, Brown, Smith, Galloway",1627748-1628379-1628971-202397-204038,DET,252.0,2,4.0,2.0,10.0,9.0,5.0,19,1.0,1.0,1.0,2.0,2.0,4.0,,,,4.0,7.0,,1.0,4.0,12.0,10.0,3.0,,2.0,6.0,,1.0,,1.0,,,,2.0,2.0,3.0,3.0,1.0,1.0,,,,3.0,4.0,,1.0,12.0,5.0,0.25,0.25,,,,0.5714285714285714,0.5,0.6,0.125,1.0,0.42857142857142855,1.0,108.57142857142857,12.3,14.333333333333334,12.3,12.444444444444445,0.125,1.0,1.0,,0.25,0.5,0.5,,0.5,0.5,0.5,,,,,,0.25,0.45483125,0.38033333333333336,0.1111111111111111,0.125,11.814285714285715,27.2,0.5,4.0,1.0,,1.0,,,2.0,,0.125,,,,,,,,,,,,2.0,,4.0,8.0,,,,1.0,,1.0,,1.0,8.0,1.0,,,0.6666666666666666,,0.6666666666666666,,0.8,,,,0.2,,0.5,,,,,,,,,,,,,0.6666666666666666,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201933-201961-202397,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Wayne Ellington, Ish Smith","Maker, Kennard, Griffin, Ellington, Smith",1627748-1628379-201933-201961-202397,DET,142.0,1,2.0,2.0,4.0,5.0,4.0,9,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,4.0,9.0,7.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,2.0,,2.0,2.0,,,,,,2.0,4.0,,1.0,9.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.25,1.125,0.5,,,,91.26760563380282,15.25,16.2,15.25,13.6,0.5,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.542325,0.542325,0.3333333333333333,0.5,2.0,26.6,1.0,5.0,1.0,1.0,1.0,,,2.0,,0.5,0.5,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,4.0,9.0,1.0,,,,,,,1.0,9.0,1.0,,1.0,1.0,,1.25,,1.125,,,,,,,1.0,1.0,,,,,0.5,1.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201933-201961-202704,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Wayne Ellington, Reggie Jackson","Maker, Kennard, Griffin, Ellington, Jackson",1627748-1628379-201933-201961-202704,DET,158.0,2,3.0,-4.0,6.0,6.0,3.0,12,,,,,,1.0,1.0,2.0,1.0,,1.0,3.0,4.0,,9.0,13.0,1.0,1.0,,,9.0,,3.0,3.0,1.0,,,9.0,,1.0,1.0,,,,,1.0,3.0,,,,9.0,3.0,,,1.0,0.75,0.75,,0.9,0.9,0.8,,,,109.36708860759494,17.833333333333332,8.5,17.833333333333332,8.5,,,,,,,,,0.2,,,0.4,0.5,0.5,1.0,0.5,0.8,0.50948,0.44495,,,21.2,24.9,0.5,4.0,2.0,,2.0,,1.0,4.0,,0.4,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201933-202397-204038,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Ish Smith, Langston Galloway","Maker, Kennard, Griffin, Smith, Galloway",1627748-1628379-201933-202397-204038,DET,322.0,1,5.0,-5.0,12.0,13.0,6.0,25,1.0,4.0,,3.0,1.0,1.0,,2.0,,2.0,8.0,1.0,4.0,,7.0,12.0,4.0,1.0,4.0,,,2.0,,2.0,,1.0,,4.0,2.0,7.0,8.0,1.0,,1.0,,3.0,,,,,7.0,6.0,1.0,1.0,,0.25,0.25,0.25,0.2916666666666667,0.2916666666666667,0.3333333333333333,1.0,1.0,1.0,111.80124223602485,14.583333333333334,11.307692307692308,13.666666666666666,11.307692307692308,0.3333333333333333,0.25,0.5,1.0,0.25,,,,0.08333333333333333,1.0,1.0,0.16666666666666666,,,,,0.6666666666666666,0.5078416666666666,0.45052000000000003,,,6.2875,25.025,0.5,6.0,2.0,1.0,2.0,1.0,3.0,4.0,,0.16666666666666666,0.2,1.0,,2.0,1.0,,1.0,,,1.0,,1.0,,,2.0,1.0,2.0,,1.0,,4.0,1.0,,2.0,,,,0.25,,0.2,,0.2,0.25,,,1.0,1.0,1.0,0.5,0.5,,1.0,,,0.4,,,0.5,0.5232,,0.2857142857142857,,,,1.0,3.0,,,,,,,0.5,,0.2,0.125,0.3333333333333333,1.0,,,,3.0,1.0,,1.0,2.0,,,0.6666666666666666,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201961-202397-203922,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Ish Smith, Glenn Robinson III","Maker, Kennard, Ellington, Smith, Robinson III",1627748-1628379-201961-202397-203922,DET,68.0,1,1.0,4.0,2.0,2.0,,4,,,,,2.0,2.0,,,,2.0,2.0,,,,4.0,,,,2.0,2.0,,1.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,4.0,,0.5,0.5,,,,1.0,1.0,1.0,,1.0,1.0,1.0,84.70588235294117,17.0,17.0,17.0,6.5,,,,,,,,,1.0,1.0,1.0,,,,,,,0.339,,,,16.95,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201961-202397-204038,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Ish Smith, Langston Galloway","Maker, Kennard, Ellington, Smith, Galloway",1627748-1628379-201961-202397-204038,DET,70.0,1,1.0,-7.0,3.0,3.0,,6,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,123.42857142857142,14.333333333333334,9.0,14.333333333333334,9.0,,,,,,,,,,,,,,,,,1.0,0.49575,,,,,26.6,,3.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
