EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyPointsPct,Avg2ptShotDistance,PlusMinus,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGA,SecondChanceFG2A,DefLongMidRangeReboundPct,LongMidRangeFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,Steals,BadPassSteals,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGA,PenaltyCorner3FGA,Corner3Frequency,PenaltyCorner3Frequency,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,OffCorner3ReboundPct,DefCorner3ReboundPct,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,Charge Fouls,Loose Ball Fouls,BlockedAtRim,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,FTOffRebounds,OffFTReboundPct,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,Corner3Assists,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,HeaveAttempts,3pt And 1 Free Throw Trips,Charge Fouls Drawn,SecondChanceArc3PctAssisted,Offensive Fouls,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,LongMidRangePctBlocked,Corner3PctBlocked,Blocked3s,BlockedArc3,DefensiveGoaltends,BlockedLongMidRange,team_id,year,season,team_vs
1626168-1627736-1627750-1627823-1629020,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Jarred Vanderbilt","Lyles, Beasley, Murray, Hernangomez, Vanderbilt",1626168-1627736-1627750-1627823-1629020,DEN,38.0,1,1.0,1.0,2.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,113.6842105263158,18.0,10.0,18.0,9.5,1.0,1.0,1.0,0.53535,0.53535,25.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1628420-1629020,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Monte Morris, Jarred Vanderbilt","Lyles, Beasley, Murray, Morris, Vanderbilt",1626168-1627736-1627750-1628420-1629020,DEN,67.0,1,1.0,3.0,2.0,3.0,2.0,5,,,,,,,,1.0,2.0,3.0,,,,1.0,,107.46268656716417,14.666666666666666,11.5,14.0,11.5,,,,0.3211,0.3211,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627823-1628420-1628470,1610612743,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig","Lyles, Beasley, Hernangomez, Morris, Craig",1626168-1627736-1627823-1628420-1628470,DEN,43.0,1,1.0,1.0,1.0,,1.0,2,,,,,,,,,,,,,,,,66.97674418604652,24.0,19.0,24.0,19.0,,,,0.3844,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,10.8,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627823-1628420-203486,1610612743,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee","Lyles, Beasley, Hernangomez, Morris, Plumlee",1626168-1627736-1627823-1628420-203486,DEN,149.0,1,2.0,6.0,6.0,6.0,6.0,12,5.0,5.0,5.0,5.0,5.0,,,1.0,2.0,6.0,0.8333333333333334,,,1.0,,115.97315436241611,11.166666666666666,13.666666666666666,9.5,13.666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.5023916666666667,0.5023916666666667,25.880000000000003,1.0,2.0,,,1.0,1.0,7.0,10.0,1.0,1.0,7.0,2.0,,,1.0,1.0,,,,,5.0,7.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.5,0.5,,,,1.0,0.25,,1.0,,,,1.0,3.5,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.5,0.25,0.25,0.16666666666666666,1.0,1.0,0.2,0.2,1.0,1.0,0.16666666666666666,1.0,0.2,0.2,0.16666666666666666,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627823-1628470-1629020,1610612743,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Torrey Craig, Jarred Vanderbilt","Lyles, Beasley, Hernangomez, Craig, Vanderbilt",1626168-1627736-1627823-1628470-1629020,DEN,109.0,1,2.0,3.0,3.0,,3.0,6,,,,,,1.0,,1.0,2.0,,,,1.0,0.5,,79.26605504587155,26.333333333333332,10.0,20.666666666666668,9.333333333333334,,,,0.3613,,,,1.0,1.0,2.0,1.0,3.0,2.0,6.0,,,,2.0,,1.0,,1.0,,,,,2.0,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,0.5,,0.5,1.0,,0.6666666666666666,0.5,0.5,,10.5,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627750-203115-203914-203999,1610612743,"Trey Lyles, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic","Lyles, Murray, Barton, Harris, Jokic",1626168-1627750-203115-203914-203999,DEN,77.0,1,1.0,3.0,3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,,,,2.0,3.0,0.25,,,,,112.2077922077922,11.0,14.666666666666666,10.333333333333334,14.666666666666666,0.25,0.25,0.5,0.4737375,0.4737375,26.1,1.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,,1.0,,2.0,,,,,2.0,4.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.4,0.4,,,1.0,,1.0,1.0,,0.5,0.5,0.5,1.0,4.3,2.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,0.5,1.0,1.0,0.25,1.0,1.0,,,,,0.25,1.0,,,,,0.5,,1.0,,,0.58,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1627736-1627750-1627823-1628420-1629020,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris, Jarred Vanderbilt","Beasley, Murray, Hernangomez, Morris, Vanderbilt",1627736-1627750-1627823-1628420-1629020,DEN,56.0,1,1.0,2.0,2.0,2.0,2.0,4,,,1.0,1.0,,,,,,2.0,1.0,,,,,102.85714285714286,9.5,18.5,9.5,18.5,,,1.0,0.54,0.54,24.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1627736-1627750-1627823-1628470-1629020,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Torrey Craig, Jarred Vanderbilt","Beasley, Murray, Hernangomez, Craig, Vanderbilt",1627736-1627750-1627823-1628470-1629020,DEN,22.0,1,,1.0,,1.0,,1,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,65.45454545454545,11.0,,11.0,,1.0,1.0,1.0,0.47775,0.47775,26.5,1.0,,,,,,3.0,,,,3.0,,,,,,,,,,3.0,3.0,,,1.5,1.5,1.5,1.5,,,,,,,,,,,1.0,,3.0,,,,,1.0,,1.0,1.0,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1627736-1627750-1628420-1628470-203486,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee","Beasley, Murray, Morris, Craig, Plumlee",1627736-1627750-1628420-1628470-203486,DEN,957.0,3,16.0,33.0,31.0,11.0,10.0,64,4.0,,4.0,,4.0,10.0,2.0,13.0,16.0,11.0,0.16,1.0,0.625,0.6470588235294118,0.3333333333333333,96.30094043887148,14.969696969696969,14.935483870967742,14.93939393939394,14.548387096774194,0.16,,0.44,0.469516,0.46665,25.25,0.3333333333333333,2.0,2.0,8.0,10.0,21.0,39.0,38.0,5.0,8.0,14.0,10.0,,2.0,1.0,3.0,,1.0,,,35.0,14.0,0.47619047619047616,0.625,0.52,0.625,0.5735294117647058,0.6363636363636364,,,0.2,1.0,0.25,0.4,1.0,0.32,0.25,0.25,0.358974358974359,8.180952380952382,1.0,6.0,7.0,3.0,3.0,2.0,,,2.0,13.0,,,4.0,,4.0,6.0,2.0,2.0,7.0,2.0,16.0,1.0,12.0,19.0,,6.0,2.0,2.0,1.0,0.5,,0.5,0.6666666666666666,0.5,0.5,0.28,0.8571428571428571,0.8571428571428571,0.5,0.5,1.0,,0.375,1.0,,0.5,0.21875,0.2222222222222222,0.10256410256410256,6.0,3.0,1.0,0.24,0.59625,2.0,2.0,2.0,4.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,,,,2.0,10.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.625,1.0,0.6666666666666666,0.16666666666666666,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1627736-1627750-1628420-200794-203486,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee","Beasley, Murray, Morris, Millsap, Plumlee",1627736-1627750-1628420-200794-203486,DEN,607.0,3,10.0,18.0,18.0,,,36,2.0,,3.0,,2.0,,,4.0,7.0,,0.16666666666666666,,,0.8,,85.40362438220757,17.055555555555557,16.666666666666668,16.77777777777778,16.555555555555557,0.1111111111111111,,0.4444444444444444,0.42914166666666664,,24.53333333333333,,2.0,4.0,6.0,11.0,15.0,32.0,27.0,,,,14.0,,2.0,4.0,3.0,1.0,1.0,,,29.0,,0.7333333333333333,,0.7777777777777778,,0.8,,,,0.5,1.0,0.6,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,8.24,5.0,5.0,5.0,,,2.0,,,2.0,4.0,,1.0,3.0,,,3.0,2.0,1.0,5.0,1.0,11.0,1.0,6.0,5.0,1.0,3.0,,,0.5,0.6666666666666666,,0.6666666666666666,0.75,1.0,,0.2777777777777778,1.0,1.0,1.0,1.0,0.5,,,,,1.0,0.15,0.17647058823529413,0.09375,4.0,1.0,,0.2222222222222222,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,0.05555555555555555,,2.0,8.0,4.0,1.0,1.0,2.0,2.0,,,2.0,4.0,,,,,,,0.36363636363636365,0.36363636363636365,,,0.4,,0.2,0.25,0.5,0.5,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
