EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,PenaltyOffPossExcludingTakeFouls,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyPointsPct,Avg3ptShotDistance,PlusMinus,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,DefTwoPtRebounds,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PtsUnassisted2s,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,DeadBallTurnovers,DefCorner3ReboundPct,FtPoints,PenaltyFtPoints,PtsUnassisted3s,Fg2aBlocked,AtRimAssists,LongMidRangeAssists,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallTurnovers,Offensive Fouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,RecoveredBlocks,BlocksRecoveredPct,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LostBallSteals,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedAtRim,AtRimPctBlocked,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,FTOffRebounds,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceTurnovers,Charge Fouls,Offensive Fouls Drawn,Travels,DefensiveGoaltends,OffensiveGoaltends,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,BlockedCorner3,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,team_id,year,season,team_vs
1626168-1627736-1627750-1627823-1629020,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Jarred Vanderbilt","Lyles, Beasley, Murray, Hernangomez, Vanderbilt",1626168-1627736-1627750-1627823-1629020,DEN,38.0,1,1.0,2.0,1.0,1.0,1.0,1.0,3,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,113.6842105263158,10.0,18.0,9.5,18.0,1.0,0.4411,0.487,0.4411,7.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1626168-1627736-1627750-1628420-1629020,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Monte Morris, Jarred Vanderbilt","Lyles, Beasley, Murray, Morris, Vanderbilt",1626168-1627736-1627750-1628420-1629020,DEN,67.0,1,1.0,2.0,3.0,2.0,3.0,,5,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,107.46268656716417,11.5,14.666666666666666,11.5,14.0,0.5,0.390075,,0.390075,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1626168-1627736-1627823-1628420-1628470,1610612743,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Torrey Craig","Lyles, Beasley, Hernangomez, Morris, Craig",1626168-1627736-1627823-1628420-1628470,DEN,43.0,1,1.0,1.0,1.0,1.0,,,2,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,66.97674418604652,19.0,24.0,19.0,24.0,,0.5448,,0.5448,,1.0,,,,,1.0,3.0,,,1.0,3.0,,,,1.0,,3.0,,,,3.0,3.0,,,,,1.5,1.5,1.5,1.5,1.0,,,,,,1.0,1.0,22.6,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1626168-1627736-1627823-1628420-203486,1610612743,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Monte Morris, Mason Plumlee","Lyles, Beasley, Hernangomez, Morris, Plumlee",1626168-1627736-1627823-1628420-203486,DEN,149.0,1,2.0,6.0,6.0,6.0,6.0,,12,1.0,2.0,,2.0,,3.0,4.0,,4.0,,6.0,,0.75,0.75,,,0.75,,115.97315436241611,13.666666666666666,11.166666666666666,13.666666666666666,9.5,0.2,0.4282,,0.4282,9.9,1.0,1.0,2.0,2.0,2.0,3.0,10.0,7.0,2.0,3.0,10.0,,2.0,,2.0,,6.0,,,,10.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,,0.4,0.4,0.6,1.0,25.099999999999998,3.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,1.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1626168-1627736-1627823-1628470-1629020,1610612743,"Trey Lyles, Malik Beasley, Juancho Hernangomez, Torrey Craig, Jarred Vanderbilt","Lyles, Beasley, Hernangomez, Craig, Vanderbilt",1626168-1627736-1627823-1628470-1629020,DEN,109.0,1,2.0,3.0,3.0,3.0,,1.0,6,,1.0,1.0,1.0,,,1.0,1.0,2.0,,3.0,,,0.5,0.5,,,,79.26605504587155,10.0,26.333333333333332,9.333333333333334,20.666666666666668,,0.4717125,,0.4717125,14.4,1.0,,3.0,3.0,,3.0,6.0,2.0,,3.0,6.0,,3.0,,2.0,,6.0,,,,6.0,6.0,,,,,0.75,0.75,0.75,0.75,0.75,,,,0.75,0.75,0.75,1.0,27.8,4.0,,,,,2.0,2.0,6.0,2.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,1.0,2.0,2.0,,2.0,2.0,,,,,,0.25,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1626168-1627750-203115-203914-203999,1610612743,"Trey Lyles, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic","Lyles, Murray, Barton, Harris, Jokic",1626168-1627750-203115-203914-203999,DEN,77.0,1,1.0,3.0,3.0,3.0,3.0,1.0,6,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,,3.0,1.0,,,1.0,1.0,,,112.2077922077922,14.666666666666666,11.0,14.666666666666666,10.333333333333334,0.3333333333333333,0.46869999999999995,0.5954,0.46869999999999995,2.95,1.0,,,,1.0,1.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,,,,2.0,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,0.6666666666666666,1.0,22.6,-2.0,,1.0,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1627823-1628420-1629020,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris, Jarred Vanderbilt","Beasley, Murray, Hernangomez, Morris, Vanderbilt",1627736-1627750-1627823-1628420-1629020,DEN,56.0,1,1.0,2.0,2.0,2.0,2.0,,4,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,102.85714285714286,18.5,9.5,18.5,9.5,,0.5158,,0.5158,0.6,1.0,,,,1.0,,2.0,,1.0,,2.0,,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1627823-1628470-1629020,1610612743,"Malik Beasley, Jamal Murray, Juancho Hernangomez, Torrey Craig, Jarred Vanderbilt","Beasley, Murray, Hernangomez, Craig, Vanderbilt",1627736-1627750-1627823-1628470-1629020,DEN,22.0,1,,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,65.45454545454545,,11.0,,11.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628420-1628470-203486,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee","Beasley, Murray, Morris, Craig, Plumlee",1627736-1627750-1628420-1628470-203486,DEN,957.0,3,16.0,31.0,33.0,10.0,11.0,4.0,64,10.0,28.0,6.0,11.0,6.0,1.0,12.0,6.0,18.0,2.0,10.0,0.375,0.5,0.75,0.35294117647058826,0.6666666666666666,0.5,0.125,96.30094043887148,14.935483870967742,14.969696969696969,14.548387096774194,14.93939393939394,0.30303030303030304,0.4257378787878788,0.43175,0.38792727272727273,6.610714285714286,0.3225806451612903,4.0,4.0,,12.0,5.0,38.0,39.0,2.0,,6.0,16.0,4.0,8.0,11.0,2.0,25.0,,,,34.0,6.0,0.6666666666666666,0.8,0.42857142857142855,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.5588235294117647,0.25,0.15151515151515152,0.4,0.4444444444444444,0.5,0.12121212121212122,,0.5454545454545454,0.15789473684210525,25.18,-1.0,1.0,1.0,,,4.0,,9.0,3.0,1.0,8.0,0.75,0.8,,0.8,0.8,0.6,0.030303030303030304,1.0,1.0,1.0,,,1.0,5.0,3.0,,8.0,3.0,2.0,3.0,7.0,12.0,2.0,1.0,0.15151515151515152,0.2,0.2,0.75,0.75,0.6666666666666666,,0.75,,,,1.0,7.0,13.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3939393939393939,0.5384615384615384,0.5384615384615384,0.8333333333333334,0.4,0.45454545454545453,0.4,0.10526315789473684,1.0,,2.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.03571428571428571,0.1,0.3333333333333333,1.0,0.7142857142857143,1.0,0.030303030303030304,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628420-200794-203486,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee","Beasley, Murray, Morris, Millsap, Plumlee",1627736-1627750-1628420-200794-203486,DEN,607.0,3,10.0,18.0,18.0,,,1.0,36,6.0,8.0,,,1.0,,2.0,1.0,3.0,,,1.0,,0.4,0.2,1.0,,,85.40362438220757,16.666666666666668,17.055555555555557,16.555555555555557,16.77777777777778,0.4,0.48984999999999995,0.55875,,7.7625,,5.0,5.0,,7.0,7.0,27.0,32.0,,,,12.0,5.0,6.0,9.0,4.0,21.0,,,,24.0,,0.8571428571428571,0.8571428571428571,0.875,,0.7666666666666667,,0.7941176470588235,,0.4666666666666667,0.8333333333333334,0.8333333333333334,0.8,0.3333333333333333,,0.6,,24.957142857142856,-5.0,2.0,2.0,,,3.0,,9.0,3.0,2.0,2.0,1.0,0.42857142857142855,,0.42857142857142855,0.5,,0.13333333333333333,1.0,1.0,1.0,,,,,1.0,,2.0,1.0,1.0,,3.0,6.0,,,,,,0.2,0.2,1.0,,0.2,,,,1.0,2.0,2.0,,,,,,3.0,,1.0,,2.0,,,,1.5,1.5,0.5,0.13333333333333333,1.0,1.0,,,,,0.1111111111111111,1.0,,4.0,,,,2.0,,,,,4.0,4.0,,2.0,,,,,,,1.0,,0.11764705882352941,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
