EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffRebounds,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangePctBlocked,AtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,OffTwoPtRebounds,BlockedLongMidRange,SecondChanceFg3Pct,OffTwoPtReboundPct,OffAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,LongMidRangeAssists,LostBallSteals,DefAtRimReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFGA,ShortMidRangeFGM,PtsUnassisted3s,ShortMidRangeAssists,Travels,NonShootingPenaltyNonTakeFouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,Loose Ball Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,SelfOReb,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Blocked3s,BlockedAtRim,BlockedCorner3,DefensiveGoaltends,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,3SecondViolations,FTOffRebounds,BlockedArc3,LongMidRangePctBlocked,OffFTReboundPct,team_id,year,season,team_vs
1626170-1626185-1628411-1628982-203920,1610612753,"Jerian Grant, Jarell Martin, Wes Iwundu, Melvin Frazier Jr., Khem Birch","Grant, Martin, Iwundu, Frazier Jr., Birch",1626170-1626185-1628411-1628982-203920,ORL,485.0,2,8.0,-18.0,19,20.0,19.0,20.0,39,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,7.0,6.0,1.0,3.0,21.0,1.0,7.0,6.0,1.0,3.0,2.0,4.0,1.0,6.0,1.0,2.0,9.0,9.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,19.0,0.14285714285714285,0.14285714285714285,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.11538461538461539,0.46153846153846156,0.14285714285714285,0.3333333333333333,0.6,1.0,0.5,0.75,0.7,0.5,0.7142857142857143,1.0,115.79381443298968,13.736842105263158,11.2,13.736842105263158,10.05,0.23076923076923078,0.3333333333333333,0.5,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.3333333333333333,0.15384615384615385,0.3076923076923077,0.6923076923076923,0.4999576923076923,0.4999576923076923,0.07692307692307693,0.14285714285714285,1.0,9.142857142857142,24.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1626170-1626185-1628982-203487-203920,1610612753,"Jerian Grant, Jarell Martin, Melvin Frazier Jr., Michael Carter-Williams, Khem Birch","Grant, Martin, Frazier Jr., Carter-Williams, Birch",1626170-1626185-1628982-203487-203920,ORL,352.0,1,6.0,-2.0,12,12.0,12.0,12.0,24,,1.0,,1.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,8.0,2.0,7.0,9.0,1.0,3.0,8.0,2.0,7.0,2.0,6.0,,5.0,3.0,,8.0,9.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,2.0,,,5.0,7.0,12.0,0.3333333333333333,0.3333333333333333,0.22727272727272727,0.22727272727272727,0.2916666666666667,0.2916666666666667,0.7272727272727273,,,,,0.75,1.0,0.8888888888888888,1.0,1.0,,98.18181818181819,13.666666666666666,15.666666666666666,13.166666666666666,14.333333333333334,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.09090909090909091,,0.18181818181818182,0.5454545454545454,0.8181818181818182,0.5055772727272727,0.5055772727272727,,,1.0,8.166666666666666,24.725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.125,0.125,1.0,1.0,1.0,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1626170-1628411-1628982-203920-203932,1610612753,"Jerian Grant, Wes Iwundu, Melvin Frazier Jr., Khem Birch, Aaron Gordon","Grant, Iwundu, Frazier Jr., Birch, Gordon",1626170-1628411-1628982-203920-203932,ORL,4.0,1,,2.0,1,1.0,1.0,1.0,2,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,2.0,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,720.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1626185-1628371-1628411-201571-203082,1610612753,"Jarell Martin, Jonathan Isaac, Wes Iwundu, D.J. Augustin, Terrence Ross","Martin, Isaac, Iwundu, Augustin, Ross",1626185-1628371-1628411-201571-203082,ORL,33.0,1,1.0,,2,1.0,2.0,1.0,3,,,,,,,1.0,1.0,,,,,1.0,,3.0,3.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,1.5,1.5,1.5,1.5,1.0,,,,,,,,,,,130.9090909090909,6.5,20.0,6.5,20.0,,,,,,1.0,,,,1.0,,1.0,0.6771,0.6771,,,1.0,,22.7,1.0,,,1.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1626185-201571-202696-203082-203095,1610612753,"Jarell Martin, D.J. Augustin, Nikola Vucevic, Terrence Ross, Evan Fournier","Martin, Augustin, Vucevic, Ross, Fournier",1626185-201571-202696-203082-203095,ORL,103.0,1,2.0,5.0,3,3.0,3.0,3.0,6,,,,,,,2.0,2.0,1.0,1.0,,,3.0,,6.0,1.0,,,3.0,,6.0,,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,2.0,,,,,,6.0,6.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,83.88349514563107,16.333333333333332,18.0,16.333333333333332,18.0,,,,,,0.6666666666666666,0.3333333333333333,,,0.6666666666666666,0.3333333333333333,1.0,0.55835,0.55835,,,1.0,,24.566666666666666,1.0,,,1.0,1.0,2.0,,,,2.0,6.0,2.0,2.0,1.0,6.0,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,1.0,,,,0.5,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1626185-203082-203095-203487-203920,1610612753,"Jarell Martin, Terrence Ross, Evan Fournier, Michael Carter-Williams, Khem Birch","Martin, Ross, Fournier, Carter-Williams, Birch",1626185-203082-203095-203487-203920,ORL,116.0,1,2.0,-1.0,3,3.0,,,6,1.0,1.0,,,1.0,,1.0,,,,1.0,2.0,1.0,,2.0,3.0,,,,,,,,1.0,2.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,2.0,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.5,,,,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,74.48275862068965,23.333333333333332,15.333333333333334,23.333333333333332,13.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,0.3333333333333333,,,,,,0.6666666666666666,0.5417666666666666,,,,,4.05,22.5,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1628371-1628411-201571-202696-203095,1610612753,"Jonathan Isaac, Wes Iwundu, D.J. Augustin, Nikola Vucevic, Evan Fournier","Isaac, Iwundu, Augustin, Vucevic, Fournier",1628371-1628411-201571-202696-203095,ORL,90.0,1,2.0,1.0,2,2.0,,,4,,1.0,,,,,1.0,,,,,1.0,1.0,,3.0,2.0,,,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,0.75,,0.75,,0.5,1.0,1.0,1.0,,0.5,,0.3333333333333333,,,,64.0,16.5,28.5,12.0,26.0,0.5,,,,,0.5,,,,,,1.0,0.46115,,,,,3.9,23.7,,1.0,,1.0,,1.0,,,3.0,,3.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.5,1.5,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1628371-1628411-201571-203082-203920,1610612753,"Jonathan Isaac, Wes Iwundu, D.J. Augustin, Terrence Ross, Khem Birch","Isaac, Iwundu, Augustin, Ross, Birch",1628371-1628411-201571-203082-203920,ORL,159.0,1,3.0,3.0,5,5.0,5.0,5.0,10,,1.0,,1.0,,,2.0,2.0,2.0,2.0,,1.0,4.0,2.0,5.0,2.0,,1.0,4.0,2.0,5.0,,2.0,1.0,2.0,2.0,,4.0,5.0,,,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,2.0,5.0,5.0,,,0.3,0.3,0.4166666666666667,0.4166666666666667,0.8,1.0,1.0,,,0.4,1.0,0.5714285714285714,,1.0,1.0,90.56603773584906,11.2,20.6,10.6,15.6,0.2,,,,,0.4,0.4,0.2,,0.4,0.4,1.0,0.6213599999999999,0.6213599999999999,0.16666666666666666,0.5,1.0,1.8,24.15,1.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,0.25,0.25,0.25,,1.5,1.5,0.3333333333333333,0.25,0.5,0.5,1.0,,,0.5,0.5,1.0,0.5,0.6,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1628371-1628411-202696-203082-203487,1610612753,"Jonathan Isaac, Wes Iwundu, Nikola Vucevic, Terrence Ross, Michael Carter-Williams","Isaac, Iwundu, Vucevic, Ross, Carter-Williams",1628371-1628411-202696-203082-203487,ORL,244.0,1,4.0,-4.0,8,9.0,5.0,4.0,17,2.0,2.0,1.0,1.0,,3.0,,,2.0,1.0,4.0,5.0,2.0,,8.0,12.0,2.0,3.0,1.0,,4.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,2.0,,1.0,,,,8.0,4.0,5.0,0.8,0.6666666666666666,0.5714285714285714,0.5,0.5714285714285714,0.5,0.2857142857142857,,,1.0,,0.5,,0.5,,,,100.32786885245902,17.375,11.666666666666666,17.375,10.88888888888889,0.2857142857142857,1.0,1.0,,0.42857142857142855,,0.2857142857142857,0.25,1.0,,0.25,0.5714285714285714,0.49372142857142853,0.4470375,,,0.5,11.08,25.5,0.625,,2.0,,,,,,,,,,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,6.0,3.0,2.0,0.75,0.75,,1.0,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
1628371-1628411-203082-203487-203920,1610612753,"Jonathan Isaac, Wes Iwundu, Terrence Ross, Michael Carter-Williams, Khem Birch","Isaac, Iwundu, Ross, Carter-Williams, Birch",1628371-1628411-203082-203487-203920,ORL,291.0,2,5.0,2.0,12,11.0,7.0,7.0,23,1.0,5.0,,2.0,1.0,,1.0,1.0,4.0,3.0,2.0,6.0,5.0,1.0,14.0,12.0,1.0,3.0,4.0,1.0,9.0,,4.0,1.0,2.0,1.0,,3.0,4.0,1.0,1.0,,,,2.0,,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,14.0,9.0,7.0,0.3333333333333333,0.3333333333333333,0.5909090909090909,0.5714285714285714,0.6363636363636364,0.6428571428571429,0.45454545454545453,0.16666666666666666,0.2,,,1.0,1.0,1.0,,1.0,1.0,113.81443298969073,12.916666666666666,12.363636363636363,12.583333333333334,12.363636363636363,0.45454545454545453,0.2,0.25,0.09090909090909091,,0.09090909090909091,0.36363636363636365,0.2857142857142857,,0.14285714285714285,0.42857142857142855,0.9090909090909091,0.4922181818181818,0.4739857142857143,0.09090909090909091,0.16666666666666666,0.6428571428571429,3.533333333333333,26.46,0.5833333333333334,1.0,,,,3.0,,1.0,,2.0,6.0,2.0,4.0,,10.0,1.0,1.0,,,,,,,0.6666666666666666,0.6,0.5,0.6,,,,0.5,0.16666666666666666,1.0,1.0,,,,,,,,,3.0,2.0,3.0,2.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,4.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,True
