EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,FTDefRebounds,DefRebounds,Rebounds,Fouls,DefFTReboundPct,Pace,SecondsPerPossDef,Minutes,OffPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,DefThreePtRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,AtRimFGM,AtRimFGA,Corner3FGA,FG2M,PtsUnassisted2s,Fg2Pct,EfgPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,NonShootingPenaltyNonTakeFouls,ShortMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,Fg2aBlocked,AtRimAssists,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,Steals,BadPassSteals,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PtsUnassisted3s,SelfOReb,LostBallSteals,ShortMidRangePctBlocked,SelfORebPct,PenaltyArc3FGM,PenaltyFG3M,Travels,PenaltyTurnovers,RecoveredBlocks,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyArc3Accuracy,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,Offensive Fouls,LongMidRangePctBlocked,OffLongMidRangeReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PtsPutbacks,Corner3Assists,LostBallTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,LongMidRangeAssists,FTOffRebounds,Offensive Fouls Drawn,Technical Free Throw Trips,OffFTReboundPct,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,DefensiveGoaltends,HeaveAttempts,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,Charge Fouls,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,Arc3PctBlocked,OffensiveGoaltends,Clear Path Fouls,3SecondViolations,team_id,year,season,team_vs
101150-101162-1626149-201568-202699,1610612746,"Lou Williams, Marcin Gortat, Montrezl Harrell, Danilo Gallinari, Tobias Harris","Williams, Gortat, Harrell, Gallinari, Harris",101150-101162-1626149-201568-202699,LAC,4.0,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,360.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1627820-1628405-1628414,1610612746,"Lou Williams, Marcin Gortat, Tyrone Wallace, Johnathan Motley, Sindarius Thornwell","Williams, Gortat, Wallace, Motley, Thornwell",101150-101162-1627820-1628405-1628414,LAC,59.0,1,-2.0,2.0,,4.0,3.0,,1.0,1.0,,,97.6271186440678,13.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,16.0,16.0,13.5,1.0,0.4014,0.5,0.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1627820-202699-203118,1610612746,"Lou Williams, Marcin Gortat, Tyrone Wallace, Tobias Harris, Mike Scott","Williams, Gortat, Wallace, Harris, Scott",101150-101162-1627820-202699-203118,LAC,64.0,1,-4.0,3.0,,5.0,4.0,,1.0,2.0,1.0,,112.5,9.333333333333334,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,,18.0,18.0,9.333333333333334,0.5,0.48235,,,12.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628405-1628983-201976,1610612746,"Lou Williams, Marcin Gortat, Johnathan Motley, Shai Gilgeous-Alexander, Patrick Beverley","Williams, Gortat, Motley, Gilgeous-Alexander, Beverley",101150-101162-1628405-1628983-201976,LAC,55.0,1,2.0,2.0,,4.0,,,2.0,2.0,,,104.72727272727273,14.0,1.0,2.0,,1.0,,2.0,1.0,,,,2.0,0.5,1.0,1.0,1.0,13.5,13.5,14.0,,0.64705,,,0.7,,1.0,,,1.0,,,,,,0.5,,1.0,,,,1.0,,1.0,23.9,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628983-1629010-202699,1610612746,"Lou Williams, Marcin Gortat, Shai Gilgeous-Alexander, Jerome Robinson, Tobias Harris","Williams, Gortat, Gilgeous-Alexander, Robinson, Harris",101150-101162-1628983-1629010-202699,LAC,8.0,1,-1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628983-201568-201601,1610612746,"Lou Williams, Marcin Gortat, Shai Gilgeous-Alexander, Danilo Gallinari, Luc Mbah a Moute","Williams, Gortat, Gilgeous-Alexander, Gallinari, Mbah a Moute",101150-101162-1628983-201568-201601,LAC,52.0,1,-2.0,2.0,,4.0,4.0,,,,1.0,,110.76923076923076,9.0,1.0,2.0,1.0,2.0,,2.0,,,,,2.0,0.5,,,,17.0,17.0,8.5,0.5,0.41555,,,4.6,,,,,,,,,,1.0,,,,,,,,,0.5,,,1.0,,1.0,,0.5,0.5,0.5,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628983-201568-202340,1610612746,"Lou Williams, Marcin Gortat, Shai Gilgeous-Alexander, Danilo Gallinari, Avery Bradley","Williams, Gortat, Gilgeous-Alexander, Gallinari, Bradley",101150-101162-1628983-201568-202340,LAC,200.0,2,-6.0,6.0,,13.0,10.0,,1.0,1.0,,,93.6,13.333333333333334,3.0,7.0,1.0,5.0,,4.0,,,,,4.0,0.3333333333333333,,1.0,,17.142857142857142,17.142857142857142,13.333333333333334,0.16666666666666666,0.5251166666666667,,,6.720000000000001,1.0,1.0,1.0,,1.0,,,,1.0,,0.16666666666666666,,1.0,,,,,0.16666666666666666,0.6666666666666666,25.0,2.0,3.0,,2.0,2.0,0.4,0.3333333333333333,0.5,0.6666666666666666,1.0,,,,2.0,1.0,1.0,,2.0,0.5,0.5,,,,5.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,0.5,0.4,0.4,0.2,0.3333333333333333,1.0,0.5,0.16666666666666666,0.6,0.6666666666666666,0.2,0.5562,1.0,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628983-201568-202699,1610612746,"Lou Williams, Marcin Gortat, Shai Gilgeous-Alexander, Danilo Gallinari, Tobias Harris","Williams, Gortat, Gilgeous-Alexander, Gallinari, Harris",101150-101162-1628983-201568-202699,LAC,535.0,5,1.0,15.0,1.0,33.0,19.0,,5.0,8.0,1.0,,88.82242990654206,16.533333333333335,9.0,18.0,4.0,13.0,7.0,20.0,3.0,6.0,8.0,2.0,17.0,0.47619047619047616,0.75,0.5,0.6666666666666666,15.944444444444445,14.222222222222221,15.666666666666666,0.23529411764705882,0.5195,0.10526315789473684,0.13333333333333333,8.161538461538461,3.0,4.0,3.0,1.0,2.0,3.0,,,,,0.23529411764705882,,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.5,0.5,0.17647058823529413,0.5294117647058824,24.75,3.0,5.0,1.0,5.0,2.0,0.38461538461538464,0.38235294117647056,0.29411764705882354,0.6,0.6,0.058823529411764705,1.0,1.0,8.0,4.0,5.0,1.0,11.0,0.8,0.8,0.25,0.25,1.0,6.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,8.0,,3.0,,,8.0,6.0,0.6666666666666666,0.5,0.6666666666666666,,,,1.0,0.23529411764705882,0.5,1.0,0.25,0.57005,0.4,0.3333333333333333,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.375,0.25,0.6666666666666666,0.3333333333333333,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.63865,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628983-201976-202699,1610612746,"Lou Williams, Marcin Gortat, Shai Gilgeous-Alexander, Patrick Beverley, Tobias Harris","Williams, Gortat, Gilgeous-Alexander, Beverley, Harris",101150-101162-1628983-201976-202699,LAC,182.0,2,-3.0,6.0,1.0,12.0,10.0,,1.0,1.0,1.0,,94.94505494505495,13.0,3.0,6.0,2.0,3.0,1.0,7.0,,2.0,2.0,,7.0,0.7,,1.0,,17.333333333333332,17.333333333333332,13.0,0.5,0.4726125,,,8.333333333333334,1.0,1.0,1.0,,1.0,,,,,,0.25,,1.0,,,,1.0,0.25,0.5,25.4,1.0,1.0,,3.0,2.0,1.0,0.75,0.25,1.0,1.0,,1.0,2.0,4.0,2.0,2.0,1.0,4.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,2.0,,,,,,,,1.0,,1.0,,,1.0,2.0,,,0.5,,,,1.0,,,,,,0.14285714285714285,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-101162-1628983-201976-203118,1610612746,"Lou Williams, Marcin Gortat, Shai Gilgeous-Alexander, Patrick Beverley, Mike Scott","Williams, Gortat, Gilgeous-Alexander, Beverley, Scott",101150-101162-1628983-201976-203118,LAC,15.0,1,-3.0,1.0,,2.0,3.0,,,,1.0,,192.0,11.0,,1.0,,,,,,,,,,,,,,4.0,4.0,11.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
