EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,ShootingFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,DeadBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGA,PenaltyCorner3FGA,Travels,Loose Ball Fouls,3SecondViolations,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,LongMidRangeAssists,FTDefRebounds,BadPassSteals,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,LongMidRangePctAssisted,Blocked2s,BlockedShortMidRange,Blocks,DefensiveGoaltends,LongMidRangePctBlocked,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,Corner3FGM,Corner3Assists,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BlockedAtRim,PenaltyCorner3FGM,SecondChanceFtPoints,Charge Fouls,PenaltyCorner3Accuracy,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,2pt And 1 Free Throw Trips,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PtsUnassisted3s,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Loose Ball Fouls Drawn,FTOffRebounds,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,SecondChanceAtRimPctAssisted,Corner3PctBlocked,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101181-1626169-1628379-1628971-203083,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Bruce Brown, Andre Drummond","Calderon, Johnson, Kennard, Brown, Drummond",101181-1626169-1628379-1628971-203083,DET,344.0,4,6.0,-13.0,14.0,13.0,12.0,4.0,27.0,3.0,5.0,3.0,5.0,1.0,2.0,1.0,2.0,2.0,4.0,8.0,2.0,2.0,10.0,23.0,4.0,8.0,2.0,8.0,6.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,10.0,8.0,12.0,1.0,0.75,0.75,0.5,0.5,0.4,0.4,0.45454545454545453,0.4,0.2,0.125,0.2,1.0,1.0,1.0,1.0,1.0,113.02325581395348,13.0,12.461538461538462,13.0,12.461538461538462,0.5,0.6,0.75,0.6666666666666666,0.2,0.5,0.5,1.0,0.1,0.2,0.5,0.6,0.2,0.7,0.449225,0.449225,0.09090909090909091,0.1111111111111111,0.8,6.2,47.2,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-1628971-2585,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Bruce Brown, Zaza Pachulia","Calderon, Johnson, Kennard, Brown, Pachulia",101181-1626169-1628379-1628971-2585,DET,100.0,2,2.0,2.0,3.0,4.0,3.0,4.0,7.0,1.0,3.0,1.0,3.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,6.0,4.0,1.0,3.0,1.0,6.0,,2.0,,,,1.0,,,3.0,,1.0,3.0,,,,,,,,1.0,1.0,2.0,1.0,4.0,6.0,3.0,,,,0.3333333333333333,0.3333333333333333,0.625,0.625,0.6,0.6,0.25,,,,,1.0,,,100.8,19.333333333333332,10.5,19.0,10.5,0.75,0.3333333333333333,0.3333333333333333,,,,,,,0.25,0.75,0.3333333333333333,0.25,1.0,0.5497875,0.5497875,0.2,0.25,1.0,1.1666666666666667,27.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.61515,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-1629017-202720,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Khyri Thomas, Jon Leuer","Calderon, Johnson, Kennard, Thomas, Leuer",101181-1626169-1628379-1629017-202720,DET,204.0,1,3.0,-1.0,7.0,7.0,7.0,,14.0,,1.0,,1.0,,,2.0,1.0,1.0,2.0,3.0,1.0,,4.0,5.0,2.0,3.0,1.0,4.0,,4.0,,,,,,,,4.0,5.0,5.0,,,,,,2.0,2.0,1.0,,,,4.0,4.0,7.0,,,,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.25,,,,1.0,1.0,1.0,,98.82352941176471,15.0,14.142857142857142,15.0,14.142857142857142,0.25,,,,,,,,0.5,0.25,0.25,,0.25,0.5,0.393525,0.393525,,,1.0,13.033333333333333,24.4,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-1629017-2585,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Khyri Thomas, Zaza Pachulia","Calderon, Johnson, Kennard, Thomas, Pachulia",101181-1626169-1628379-1629017-2585,DET,513.0,1,9.0,10.0,17.0,16.0,7.0,6.0,33.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0,10.0,4.0,3.0,21.0,11.0,1.0,2.0,2.0,6.0,4.0,8.0,,1.0,2.0,4.0,2.0,,10.0,7.0,9.0,11.0,,,,,,3.0,2.0,3.0,2.0,4.0,2.0,19.0,6.0,7.0,,0.3333333333333333,0.4,0.6,0.5,0.6428571428571429,0.625,0.65625,0.6,0.2857142857142857,0.1,0.2,,0.875,0.8181818181818182,1.0,0.6666666666666666,92.63157894736841,15.176470588235293,15.9375,14.294117647058824,14.5625,0.35714285714285715,0.8,1.0,0.5,0.07142857142857142,1.0,1.0,,0.2857142857142857,0.21428571428571427,0.25,1.0,0.25,0.6428571428571429,0.5189464285714286,0.53045,0.125,0.16666666666666666,0.2857142857142857,8.8,25.4,0.4117647058823529,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,0.6666666666666666,0.51435,0.09523809523809523,1.0,3.0,,,0.25,0.25,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.07142857142857142,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-201933-202720,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Jon Leuer","Calderon, Johnson, Kennard, Griffin, Leuer",101181-1626169-1628379-201933-202720,DET,467.0,1,8.0,-6.0,17.0,17.0,,,34.0,2.0,3.0,,,1.0,6.0,3.0,1.0,,4.0,12.0,2.0,2.0,13.0,19.0,,,,,4.0,4.0,,1.0,2.0,3.0,1.0,,7.0,2.0,7.0,8.0,2.0,1.0,3.0,2.0,1.0,3.0,,4.0,3.0,2.0,1.0,11.0,,,,0.5,0.6666666666666666,0.3333333333333333,,0.39285714285714285,,0.43333333333333335,,0.14285714285714285,0.08333333333333333,,1.0,1.0,1.0,1.0,1.0,104.83940042826552,16.352941176470587,11.117647058823529,16.352941176470587,11.117647058823529,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.16666666666666666,0.2,,0.21428571428571427,0.07142857142857142,,,,0.35714285714285715,0.44415,,0.06666666666666667,0.07692307692307693,,9.266666666666667,24.85,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,4.0,1.0,0.5,,0.5,1.0,1.0,1.0,0.125,1.0,0.1111111111111111,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,0.6136,0.15384615384615385,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,1.0,0.07142857142857142,,1.0,1.0,1.0,0.16666666666666666,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-201933-203083,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Andre Drummond","Calderon, Johnson, Kennard, Griffin, Drummond",101181-1626169-1628379-201933-203083,DET,415.0,2,7.0,-9.0,14.0,15.0,2.0,4.0,29.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,7.0,5.0,2.0,6.0,15.0,1.0,1.0,1.0,2.0,,4.0,,2.0,,,,,,2.0,4.0,4.0,3.0,,1.0,,1.0,1.0,,3.0,2.0,2.0,1.0,6.0,2.0,2.0,,,,0.2857142857142857,1.0,0.16666666666666666,0.5,0.23076923076923078,0.5,0.4166666666666667,0.2857142857142857,0.3333333333333333,1.0,0.5,0.6666666666666666,0.6666666666666666,,100.62650602409639,17.0,11.8,17.0,11.533333333333333,0.25,0.3333333333333333,0.5,,0.16666666666666666,0.5,0.5,,0.16666666666666666,0.4166666666666667,0.5,1.0,0.5,0.6666666666666666,0.46870833333333334,0.610925,0.07692307692307693,0.125,0.3333333333333333,8.7,26.18,0.14285714285714285,,,,,,,,,,,,,,5.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,1.0,3.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-201933-204038,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Langston Galloway","Calderon, Johnson, Kennard, Griffin, Galloway",101181-1626169-1628379-201933-204038,DET,175.0,1,3.0,-9.0,6.0,5.0,,5.0,11.0,,1.0,,,,1.0,,2.0,,,2.0,3.0,,,9.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.6,0.5,1.0,,,,,,90.51428571428572,19.333333333333332,11.8,19.333333333333332,10.6,0.2,,,,0.2,,,,,0.4,,,,0.8,0.44244000000000006,,,,,7.85,25.666666666666668,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.2,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-201933-2585,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Zaza Pachulia","Calderon, Johnson, Kennard, Griffin, Pachulia",101181-1626169-1628379-201933-2585,DET,212.0,1,4.0,-1.0,7.0,7.0,,,14.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,2.0,7.0,8.0,,,,,2.0,,,1.0,1.0,2.0,,1.0,5.0,1.0,2.0,3.0,,,1.0,,1.0,2.0,,2.0,3.0,2.0,1.0,4.0,,,,1.0,1.0,0.3333333333333333,,0.5,,0.5833333333333334,,0.4,0.3333333333333333,1.0,0.5,1.0,1.0,,,95.09433962264151,18.714285714285715,11.571428571428571,18.0,11.571428571428571,0.2,,,,0.2,1.0,1.0,1.0,0.2,0.2,,,,0.6,0.48301999999999995,,0.16666666666666666,0.25,,9.4,23.3,,1.0,,,1.0,,1.0,,,3.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.5,,0.5,,1.5,1.5,0.5,1.0,0.3333333333333333,,1.0,,1.0,1.0,1.0,,,,1.0,0.5712,0.42857142857142855,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,0.2,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-202720-203922,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Jon Leuer, Glenn Robinson III","Calderon, Johnson, Kennard, Leuer, Robinson III",101181-1626169-1628379-202720-203922,DET,233.0,1,4.0,,7.0,7.0,,,14.0,,1.0,,,1.0,1.0,1.0,2.0,,1.0,3.0,2.0,4.0,9.0,9.0,,,,,2.0,,,,1.0,2.0,,1.0,5.0,1.0,2.0,2.0,1.0,,,,,,,3.0,2.0,5.0,2.0,9.0,,,,1.0,1.0,0.3333333333333333,,0.5,,0.5714285714285714,,0.4,,,,1.0,0.6666666666666666,,1.0,86.52360515021459,14.714285714285714,18.571428571428573,14.714285714285714,17.428571428571427,0.2,,,,0.2,1.0,1.0,1.0,0.2,0.4,,,,0.6,0.46445,,0.2857142857142857,0.4,,9.5,25.9,,,,,1.0,,1.0,,,,,,3.0,,2.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,0.5,,0.5,,,,,0.5,,,0.5,,0.5,0.5,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
101181-1626169-1628379-202720-204038,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Jon Leuer, Langston Galloway","Calderon, Johnson, Kennard, Leuer, Galloway",101181-1626169-1628379-202720-204038,DET,1062.0,4,18.0,-10.0,36.0,34.0,2.0,,70.0,5.0,8.0,1.0,1.0,1.0,5.0,3.0,7.0,,7.0,16.0,12.0,5.0,28.0,38.0,1.0,1.0,,3.0,12.0,2.0,,2.0,6.0,9.0,4.0,1.0,21.0,14.0,14.0,15.0,1.0,1.0,2.0,1.0,1.0,5.0,,7.0,8.0,8.0,3.0,28.0,3.0,2.0,,0.8571428571428571,0.8571428571428571,0.4375,1.0,0.4107142857142857,1.0,0.4375,0.75,0.42857142857142855,0.125,0.125,0.4,0.7368421052631579,0.7,0.625,1.0,94.91525423728814,14.88888888888889,15.470588235294118,14.61111111111111,15.058823529411764,0.2857142857142857,0.625,0.7142857142857143,0.8,0.17857142857142858,0.2,0.25,1.0,0.10714285714285714,0.25,1.0,1.0,,0.7142857142857143,0.5051482142857143,0.4894,0.0967741935483871,0.15789473684210525,0.10714285714285714,7.3,24.833333333333332,0.05555555555555555,1.0,,,1.0,,3.0,,1.0,,,1.0,9.0,,7.0,1.0,3.0,1.0,1.0,,1.0,,2.0,1.0,0.25,,0.25,,,,0.1111111111111111,,0.05555555555555555,,,,0.14285714285714285,0.14285714285714285,1.0,,,,0.14285714285714285,0.4988,,1.0,3.0,,,0.3333333333333333,0.3333333333333333,5.0,,1.0,1.0,,,0.8,,0.17857142857142858,,1.0,,,0.2,,0.25,1.0,2.0,2.0,2.0,1.0,,1.0,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
