EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,3SecondViolations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,LongMidRangeFGM,ShortMidRangeAssists,LongMidRangeAssists,BlockedShortMidRange,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3FGA,PenaltyArc3Frequency,PenaltyArc3FGM,PtsUnassisted3s,LostBallSteals,PenaltyArc3Accuracy,SecondChanceFG2M,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChancePointsPct,LostBallOutOfBoundsTurnovers,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PtsPutbacks,OffThreePtRebounds,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,OffArc3ReboundPct,SecondChanceFtPoints,OffShortMidRangeReboundPct,Loose Ball Fouls,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,BlockedCorner3,SecondChanceTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,OffensiveGoaltends,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,BlockedLongMidRange,Defensive 3 Seconds Violations,HeaveMakes,Corner3PctBlocked,team_id,year,season,team_vs
101106-1626172-1626188-1628035-201973,1610612744,"Andrew Bogut, Kevon Looney, Quinn Cook, Alfonzo McKinnie, Jonas Jerebko","Bogut, Looney, Cook, McKinnie, Jerebko",101106-1626172-1626188-1628035-201973,GSW,60.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,48.0,15.0,45.0,15.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-1627814-1628395-2738,1610612744,"Andrew Bogut, Quinn Cook, Damion Lee, Jordan Bell, Andre Iguodala","Bogut, Cook, Lee, Bell, Iguodala",101106-1626188-1627814-1628395-2738,GSW,348.0,1,6.0,12.0,13.0,,,25.0,2.0,5.0,7.0,,1.0,1.0,,103.44827586206897,18.083333333333332,10.076923076923077,17.25,10.076923076923077,,-9.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,9.0,2.0,1.0,7.0,16.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2727272727272727,0.3181818181818182,0.18181818181818182,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.6,0.6,0.6666666666666666,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.0,0.6363636363636364,0.5403863636363636,0.623,0.09090909090909091,0.1111111111111111,7.277777777777778,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-1628035-1628395-201973,1610612744,"Andrew Bogut, Quinn Cook, Alfonzo McKinnie, Jordan Bell, Jonas Jerebko","Bogut, Cook, McKinnie, Bell, Jerebko",101106-1626188-1628035-1628395-201973,GSW,437.0,1,7.0,16.0,16.0,12.0,,32.0,1.0,3.0,6.0,12.0,0.25,0.4,0.3333333333333333,105.44622425629291,16.375,10.9375,16.25,10.4375,0.75,-10.0,1.0,,4.0,3.0,5.0,1.0,3.0,2.0,10.0,5.0,2.0,12.0,22.0,3.0,,4.0,3.0,,2.0,,6.0,2.0,1.0,3.0,,,1.0,1.0,,2.0,3.0,4.0,,1.0,,12.0,,,0.2,0.3333333333333333,0.35294117647058826,0.3333333333333333,0.5,0.2857142857142857,1.0,0.2,,,,1.0,,0.26666666666666666,,,,0.3333333333333333,0.06666666666666667,0.2,1.0,0.6,0.4629433333333333,0.45426666666666665,0.0625,0.09090909090909091,7.970000000000001,24.86,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,1.0,2.0,2.0,9.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,0.4,0.5,0.4,0.2222222222222222,0.3181818181818182,0.375,0.1,0.2,1.0,1.0,0.5,0.2222222222222222,0.4,0.5,0.13333333333333333,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.36363636363636365,0.18181818181818182,0.5,0.3333333333333333,0.4543909090909091,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-1628035-201973-2738,1610612744,"Andrew Bogut, Quinn Cook, Alfonzo McKinnie, Jonas Jerebko, Andre Iguodala","Bogut, Cook, McKinnie, Jerebko, Iguodala",101106-1626188-1628035-201973-2738,GSW,151.0,1,3.0,5.0,4.0,,,9.0,1.0,3.0,3.0,,0.3333333333333333,0.6,1.0,85.82781456953643,11.6,23.25,11.6,17.75,,1.0,,2.0,2.0,,,1.0,,2.0,3.0,,,4.0,3.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,2.0,,,,1.0,1.0,,2.0,1.0,,,,,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.5,,1.0,,,,,1.0,,0.6666666666666666,1.0,1.0,0.5,,0.3333333333333333,,,0.6666666666666666,0.534,,,,6.833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-1628395-201142-202691,1610612744,"Andrew Bogut, Quinn Cook, Jordan Bell, Kevin Durant, Klay Thompson","Bogut, Cook, Bell, Durant, Thompson",101106-1626188-1628395-201142-202691,GSW,440.0,1,7.0,18.0,17.0,,1.0,35.0,,3.0,3.0,,,0.3333333333333333,,114.54545454545455,13.61111111111111,11.470588235294118,13.61111111111111,10.529411764705882,,-7.0,,3.0,3.0,,2.0,2.0,5.0,5.0,7.0,8.0,5.0,24.0,31.0,,6.0,4.0,5.0,3.0,6.0,3.0,15.0,,2.0,,1.0,1.0,,,,,3.0,6.0,,3.0,,24.0,0.6,0.6,0.7142857142857143,0.6333333333333333,0.6666666666666666,0.5333333333333333,,,0.6666666666666666,,,,,0.6666666666666666,,0.2,1.0,1.0,1.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,,0.7333333333333333,0.5576466666666666,,0.16666666666666666,0.3,8.071428571428571,24.7,,2.0,,3.0,,,3.0,3.0,,,,,,,9.0,3.0,,3.0,3.0,,,1.0,,,,3.0,4.0,,,1.0,1.0,1.0,,,1.0,0.375,,0.375,,,,,,1.0,,,,1.0,1.0,0.2,,,,0.6,0.6,1.0,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201142-201939-203110,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Stephen Curry, Draymond Green","Bogut, Cook, Durant, Curry, Green",101106-1626188-201142-201939-203110,GSW,220.0,2,4.0,8.0,8.0,,2.0,16.0,1.0,2.0,2.0,,0.5,0.6666666666666666,0.5,104.72727272727273,12.125,15.375,12.125,14.0,,6.0,,3.0,3.0,,1.0,1.0,1.0,5.0,5.0,2.0,2.0,12.0,6.0,,10.0,,1.0,5.0,5.0,3.0,10.0,,1.0,,2.0,2.0,,,,,1.0,2.0,,1.0,,12.0,1.0,1.0,1.0,0.7142857142857143,0.75,0.2857142857142857,,,1.0,,,,,1.0,,0.42857142857142855,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0.7142857142857143,0.5533714285714286,,0.125,0.16666666666666666,5.2,25.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201142-201973-202691,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Jonas Jerebko, Klay Thompson","Bogut, Cook, Durant, Jerebko, Thompson",101106-1626188-201142-201973-202691,GSW,148.0,1,2.0,5.0,4.0,2.0,,9.0,1.0,1.0,1.0,2.0,0.5,0.5,,87.56756756756756,19.2,13.0,19.2,12.25,0.4,-1.0,,,,,1.0,,1.0,1.0,1.0,1.0,4.0,6.0,7.0,,2.0,,1.0,1.0,1.0,,2.0,,,,,,,1.0,,1.0,2.0,4.0,,2.0,,6.0,1.0,1.0,1.0,0.5,0.75,0.5,,,,,,,1.0,,,,,,,0.5,,0.5,,0.5,0.4919,,0.5,0.6666666666666666,12.8,26.5,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.5481,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201142-202691-2733,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Klay Thompson, Shaun Livingston","Bogut, Cook, Durant, Thompson, Livingston",101106-1626188-201142-202691-2733,GSW,74.0,1,1.0,2.0,2.0,,2.0,4.0,,,,,,,,77.83783783783784,26.0,11.0,26.0,11.0,,1.0,,,,,1.0,1.0,,2.0,2.0,,,4.0,3.0,,4.0,,,2.0,2.0,,4.0,,,,1.0,1.0,,,,,1.0,,,,,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.5,0.5,,,,0.37055,,,,14.05,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1627814-1628035-201939-203110,1610612744,"Andrew Bogut, Damion Lee, Alfonzo McKinnie, Stephen Curry, Draymond Green","Bogut, Lee, McKinnie, Curry, Green",101106-1627814-1628035-201939-203110,GSW,78.0,1,1.0,4.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,147.69230769230768,7.5,12.0,7.5,12.0,1.0,5.0,,,,,,,3.0,,,3.0,2.0,5.0,,,,,3.0,,,,,,,,2.0,,,,,,1.0,2.0,,,,5.0,,,,0.5,0.625,1.0,,,,,,,,,,,,,,,,1.0,,1.0,0.4419,,,,,29.133333333333336,,,,,,,1.0,1.0,,,1.0,3.0,2.0,5.0,,1.0,,,,,,,,,,,,,1.0,,,,5.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,0.625,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.4419,1.0,,,,,,,,,,,3.0,1.0,1.0,3.0,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1628035-1628980-201973-2738,1610612744,"Andrew Bogut, Alfonzo McKinnie, Jacob Evans, Jonas Jerebko, Andre Iguodala","Bogut, McKinnie, Evans, Jerebko, Iguodala",101106-1628035-1628980-201973-2738,GSW,76.0,1,1.0,3.0,4.0,2.0,,7.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,132.63157894736844,10.0,11.5,10.0,11.5,0.6666666666666666,1.0,,,,,2.0,,,2.0,2.0,,,4.0,3.0,,2.0,2.0,,1.0,1.0,,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,0.5,0.5,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,0.43375,,0.5,0.5,11.05,,,2.0,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,0.4207,0.5,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
