EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,DefensiveGoaltends,Charge Fouls,Charge Fouls Drawn,BlockedShortMidRange,OffLongMidRangeReboundPct,2pt And 1 Free Throw Trips,PtsUnassisted3s,Travels,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyTurnovers,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,Loose Ball Fouls,Blocked3s,BlockedCorner3,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,Clear Path Fouls,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,Corner3PctBlocked,HeaveAttempts,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1626220-1627777-1628378-1628960-202324,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Grayson Allen, Derrick Favors","O'Neale, Niang, Mitchell, Allen, Favors",1626220-1627777-1628378-1628960-202324,UTA,55.0,1,1.0,-2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.54545454545455,32.0,11.5,32.0,11.5,1.0,1.0,0.4806,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-1628960-202327,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Grayson Allen, Ekpe Udoh","O'Neale, Niang, Mitchell, Allen, Udoh",1626220-1627777-1628378-1628960-202327,UTA,21.0,1,,,1.0,,1.0,,,,,,,,,,,,,68.57142857142857,21.0,,21.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-1628960-203109,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Grayson Allen, Jae Crowder","O'Neale, Niang, Mitchell, Allen, Crowder",1626220-1627777-1628378-1628960-203109,UTA,35.0,1,1.0,1.0,2.0,1.0,3.0,,,1.0,,,,,,,,,,123.42857142857142,12.5,10.0,12.5,10.0,,1.0,0.613,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.613,1.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-1628960-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Grayson Allen, Rudy Gobert","O'Neale, Niang, Mitchell, Allen, Gobert",1626220-1627777-1628378-1628960-203497,UTA,320.0,4,5.0,7.0,12.0,12.0,24.0,2.0,2.0,8.0,2.0,3.0,6.0,7.0,3.0,0.18181818181818182,0.75,0.8333333333333334,1.0,108.0,13.0,13.666666666666666,13.0,12.666666666666666,0.18181818181818182,0.6363636363636364,0.5227136363636364,25.5,,,,,4.0,5.0,,,5.0,9.0,15.0,,,,4.0,2.0,3.0,2.0,7.0,2.0,13.0,,,0.4,0.5,0.5555555555555556,,0.5909090909090909,,0.625,,0.45454545454545453,0.8,0.8,0.5,,,,,7.688888888888889,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.2,1.0,1.0,1.0,0.5,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.5,0.6158,0.08333333333333333,0.1,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-200757-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Thabo Sefolosha, Rudy Gobert","O'Neale, Niang, Mitchell, Sefolosha, Gobert",1626220-1627777-1628378-200757-203497,UTA,1167.0,4,19.0,-15.0,37.0,41.0,78.0,10.0,12.0,48.0,10.0,8.0,11.0,18.0,8.0,0.35294117647058826,0.8888888888888888,0.7857142857142857,0.8333333333333334,96.24678663239075,16.405405405405407,13.658536585365853,15.216216216216216,13.170731707317072,0.29411764705882354,0.5588235294117647,0.46953235294117646,25.5,3.0,3.0,0.08108108108108109,14.0,2.0,7.0,,,8.0,22.0,33.0,1.0,3.0,7.0,6.0,3.0,7.0,,18.0,14.0,25.0,7.0,2.0,0.375,0.375,0.36363636363636365,0.3333333333333333,0.4117647058823529,0.625,0.4230769230769231,0.5833333333333334,0.20588235294117646,0.2857142857142857,0.3333333333333333,,,,0.428525,0.21212121212121213,6.572727272727272,6.0,1.0,3.0,14.0,1.0,1.0,3.0,4.0,5.0,2.0,4.0,8.0,10.0,12.0,,3.0,4.0,3.0,6.0,3.0,,7.0,4.0,2.0,2.0,2.0,5.0,8.0,9.0,,10.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.7,0.6666666666666666,,0.6,0.46153846153846156,0.3333333333333333,0.5,1.0,,1.0,0.4117647058823529,0.029411764705882353,1.0,1.0,0.3,0.3,1.0,0.6,0.3333333333333333,0.3,0.53198,0.08108108108108109,0.12,0.24242424242424243,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.14285714285714285,0.07142857142857142,0.375,0.125,0.4444444444444444,0.14285714285714285,0.3333333333333333,0.05,1.0,0.35714285714285715,0.38461538461538464,0.4,1.0,0.058823529411764705,0.5,0.5,1.0,0.2,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-201937-202324,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Ricky Rubio, Derrick Favors","O'Neale, Niang, Mitchell, Rubio, Favors",1626220-1627777-1628378-201937-202324,UTA,91.0,1,2.0,-5.0,2.0,3.0,5.0,,,7.0,,,,,,,,,,79.12087912087912,24.0,14.333333333333334,24.0,14.0,,,0.4058,,,,,,,,,,1.0,2.0,2.0,,,,2.0,1.0,1.0,,2.0,,2.0,,,1.0,1.0,0.5,,0.5,,0.5,,,,,,,,,,16.6,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-201937-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Ricky Rubio, Rudy Gobert","O'Neale, Niang, Mitchell, Rubio, Gobert",1626220-1627777-1628378-201937-203497,UTA,1134.0,11,19.0,-13.0,40.0,44.0,84.0,11.0,14.0,41.0,11.0,4.0,15.0,18.0,9.0,0.42424242424242425,0.8,0.7142857142857143,0.8,106.66666666666667,14.05,13.0,13.9,12.363636363636363,0.3333333333333333,0.5757575757575758,0.49614242424242416,24.7,5.0,5.0,0.125,6.0,1.0,5.0,,,7.0,19.0,28.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,10.0,8.0,28.0,4.0,,0.2857142857142857,0.2857142857142857,0.3684210526315789,1.0,0.30303030303030304,0.4,0.3783783783783784,0.4,0.15151515151515152,0.2,0.25,1.0,,,0.51871,0.14285714285714285,8.1,3.0,,1.0,11.0,,3.0,1.0,2.0,8.0,,2.0,,10.0,6.0,,1.0,2.0,1.0,3.0,11.0,,3.0,3.0,,3.0,,2.0,6.0,3.0,1.0,8.0,4.0,1.0,0.14285714285714285,0.14285714285714285,,,,,0.6875,0.25,0.125,0.25,0.7777777777777778,1.0,,0.3333333333333333,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,1.0,0.5,,0.09090909090909091,0.50535,0.10810810810810811,0.17391304347826086,,6.0,1.0,3.0,,,,3.0,,,,,3.0,,2.0,1.0,1.0,,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,5.0,2.0,5.0,4.0,,,,0.10526315789473684,0.2,0.09090909090909091,0.6666666666666666,,0.2,,0.4,0.045454545454545456,0.8,0.5454545454545454,0.6,0.16666666666666666,,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,,,,0.6,,1.0,1.0,1.0,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-202692,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Alec Burks","O'Neale, Niang, Mitchell, Favors, Burks",1626220-1627777-1628378-202324-202692,UTA,201.0,1,3.0,6.0,7.0,6.0,13.0,1.0,2.0,9.0,1.0,,2.0,2.0,1.0,0.2857142857142857,,0.5,,93.13432835820895,12.857142857142858,18.5,12.857142857142858,18.5,0.14285714285714285,0.7142857142857143,0.5103142857142857,24.05,,,,,3.0,3.0,,,4.0,5.0,15.0,,,,6.0,3.0,5.0,3.0,12.0,,15.0,,,0.75,0.75,0.8,,1.0,,1.0714285714285714,,0.42857142857142855,1.0,1.0,1.0,,,,,5.220000000000001,,,,2.0,,,1.0,2.0,1.0,,,,2.0,6.0,,1.0,2.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,0.5,,,,0.5,,,0.2857142857142857,,,,1.0,1.0,1.0,,,1.0,,0.14285714285714285,0.2,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,0.5,,1.0,0.5,0.5,,,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203109,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Jae Crowder","O'Neale, Niang, Mitchell, Favors, Crowder",1626220-1627777-1628378-202324-203109,UTA,74.0,1,1.0,,3.0,2.0,5.0,,,2.0,,,1.0,1.0,1.0,,,1.0,,97.29729729729729,14.666666666666666,15.0,14.666666666666666,15.0,,0.3333333333333333,0.48643333333333333,,,,,2.0,1.0,1.0,,,1.0,3.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,1.0,1.0,1.0,,,,,8.666666666666666,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Rudy Gobert","O'Neale, Niang, Mitchell, Favors, Gobert",1626220-1627777-1628378-202324-203497,UTA,101.0,1,2.0,-2.0,4.0,4.0,8.0,,,3.0,,2.0,2.0,2.0,1.0,,0.6666666666666666,0.6666666666666666,,114.05940594059406,14.25,11.0,14.25,9.25,,0.3333333333333333,0.3771,,2.0,2.0,0.5,4.0,,1.0,,1.0,,3.0,1.0,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,0.125,,0.3333333333333333,,,,0.5,,0.40255,,9.166666666666666,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
