EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Charge Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,SelfOReb,SecondChanceTurnovers,Blocked3s,BlockedCorner3,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,HeaveAttempts,Loose Ball Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,Defensive 3 Seconds Violations,PenaltyArc3FGM,PenaltyFG2A,StepOutOfBoundsTurnovers,PenaltyTurnovers,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,Charge Fouls Drawn,PenaltyFG2M,PenaltyFg2Pct,BadPassSteals,Offensive Fouls Drawn,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,2pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,3SecondViolations,LostBallOutOfBoundsTurnovers,Clear Path Fouls,DefensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1626179-1627759-1628369-1628400-202330,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Semi Ojeleye, Gordon Hayward","Rozier, Brown, Tatum, Ojeleye, Hayward",1626179-1627759-1628369-1628400-202330,BOS,6.0,1,-3.0,1.0,1.0,1.0,3.0,240.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628369-1628464-202330,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Daniel Theis, Gordon Hayward","Rozier, Brown, Tatum, Theis, Hayward",1626179-1627759-1628369-1628464-202330,BOS,57.0,1,-1.0,2.0,2.0,5.0,3.0,126.31578947368422,8.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.666666666666666,13.666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.41078333333333333,10.5,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628369-1628464-202694,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Daniel Theis, Marcus Morris","Rozier, Brown, Tatum, Theis, Morris",1626179-1627759-1628369-1628464-202694,BOS,97.0,1,2.0,3.0,,6.0,3.0,89.0721649484536,20.0,19.666666666666668,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,,5.0,,,5.0,1.0,1.0,1.0,1.25,1.25,0.5,12.333333333333334,12.333333333333334,,,,,0.5,0.5,0.5,0.473775,18.3,27.1,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628369-201143-202330,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Al Horford, Gordon Hayward","Rozier, Brown, Tatum, Horford, Hayward",1626179-1627759-1628369-201143-202330,BOS,1039.0,5,-13.0,32.0,6.0,66.0,35.0,91.4725697786333,14.28125,13.90625,17.0,34.0,4.0,7.0,3.0,6.0,8.0,20.0,10.0,22.0,6.0,6.0,3.0,4.0,2.0,9.0,6.0,10.0,17.0,0.375,0.42857142857142855,0.4,0.31666666666666665,0.34375,0.3333333333333333,17.11764705882353,16.0,0.23333333333333334,0.5714285714285714,0.6666666666666666,0.5,0.1,0.2,0.5666666666666667,0.48445499999999997,7.725,25.54,,,1.0,3.0,,1.0,,,4.0,13.0,18.0,4.0,1.0,7.0,5.0,,1.0,0.1,0.1,0.6666666666666666,0.8,0.75,,,,,,,,2.0,4.0,1.0,2.0,4.0,10.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,10.0,2.0,3.0,1.0,1.0,1.0,4.0,8.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.5,0.5,0.5,0.75,0.5,0.75,0.15,0.14285714285714285,0.2,0.42857142857142855,1.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.23809523809523808,0.5,0.3333333333333333,0.16666666666666666,0.5,0.8888888888888888,0.5,0.3333333333333333,0.4,0.5,0.25,0.13333333333333333,0.25,0.25,1.0,0.5,0.5,0.5,1.0,0.5,0.44206666666666666,0.48675,0.0625,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628369-201143-202681,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Al Horford, Kyrie Irving","Rozier, Brown, Tatum, Horford, Irving",1626179-1627759-1628369-201143-202681,BOS,694.0,4,23.0,21.0,,44.0,2.0,91.29682997118155,16.904761904761905,16.142857142857142,12.0,23.0,3.0,6.0,5.0,8.0,4.0,13.0,9.0,25.0,4.0,8.0,2.0,5.0,2.0,13.0,1.0,3.0,25.0,0.5,0.5,0.3076923076923077,0.5227272727272727,0.5434782608695652,0.4090909090909091,14.73913043478261,13.73913043478261,0.2727272727272727,0.5,0.5,0.6666666666666666,0.22727272727272727,0.36363636363636365,0.6818181818181818,0.5144227272727272,8.146153846153847,26.522222222222222,,4.0,5.0,9.0,4.0,3.0,2.0,,7.0,19.0,23.0,3.0,2.0,4.0,5.0,1.0,0.6,0.5555555555555556,0.5555555555555556,0.875,0.8636363636363636,0.6666666666666666,,,,0.5,0.5,0.5,0.5,,2.0,,1.0,1.0,2.0,1.0,1.0,,,,2.0,,1.0,,,,,,4.0,,,1.0,,2.0,2.0,12.0,,4.0,,,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,0.25,,0.2222222222222222,0.8571428571428571,0.5,0.3076923076923077,1.0,,0.5,1.0,0.8888888888888888,1.0,0.09090909090909091,0.5,0.5,,0.045454545454545456,1.0,1.0,1.0,0.5,,,,,0.578125,,0.043478260869565216,0.07142857142857142,,,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.8,0.07692307692307693,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628369-202330-203382,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Gordon Hayward, Aron Baynes","Rozier, Brown, Tatum, Hayward, Baynes",1626179-1627759-1628369-202330-203382,BOS,64.0,1,2.0,2.0,2.0,4.0,,90.0,12.0,11.0,1.0,2.0,,,,1.0,,,1.0,2.0,,1.0,,,,,,,2.0,,,,,0.5,1.0,20.0,20.0,,,,,,1.0,1.0,0.4983,,26.7,,,,,,,,,1.0,2.0,2.0,,,,1.0,,,,,0.5,0.6666666666666666,0.5,,,,,,,,2.0,,,,,,,,,,1.0,2.0,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,0.5,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.4983,,,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628369-202681-203382,1610612738,"Terry Rozier, Jaylen Brown, Jayson Tatum, Kyrie Irving, Aron Baynes","Rozier, Brown, Tatum, Irving, Baynes",1626179-1627759-1628369-202681-203382,BOS,79.0,1,-7.0,3.0,,6.0,7.0,109.36708860759494,8.333333333333334,8.333333333333334,1.0,3.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,0.5,18.0,18.0,,,,,,0.5,0.5,0.44105,5.5,26.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628400-1628464-202330,1610612738,"Terry Rozier, Jaylen Brown, Semi Ojeleye, Daniel Theis, Gordon Hayward","Rozier, Brown, Ojeleye, Theis, Hayward",1626179-1627759-1628400-1628464-202330,BOS,36.0,1,2.0,1.0,,2.0,,80.0,28.0,28.0,1.0,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,8.0,8.0,,,,,1.0,,,0.4226,15.4,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628400-1629057-202330,1610612738,"Terry Rozier, Jaylen Brown, Semi Ojeleye, Robert Williams III, Gordon Hayward","Rozier, Brown, Ojeleye, Williams III, Hayward",1626179-1627759-1628400-1629057-202330,BOS,22.0,1,,1.0,,1.0,,65.45454545454545,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
1626179-1627759-1628400-201143-202330,1610612738,"Terry Rozier, Jaylen Brown, Semi Ojeleye, Al Horford, Gordon Hayward","Rozier, Brown, Ojeleye, Horford, Hayward",1626179-1627759-1628400-201143-202330,BOS,305.0,2,-1.0,11.0,,21.0,7.0,99.14754098360656,12.272727272727273,11.363636363636363,5.0,10.0,,,3.0,5.0,1.0,4.0,5.0,6.0,2.0,4.0,1.0,1.0,,2.0,2.0,3.0,6.0,1.0,1.0,0.25,0.2777777777777778,0.3,0.5555555555555556,17.0,17.0,,,,,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.434075,15.775,32.339999999999996,1.0,1.0,1.0,,1.0,,,1.0,3.0,6.0,6.0,,,1.0,2.0,,,0.2,0.25,1.0,0.8571428571428571,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.2,,0.25,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,0.75,,,,,,,0.5,1.0,0.1111111111111111,,,,,,,,,,,,,,,0.1,0.2,,,,,,3.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2019,2018-19,False
