EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Fouls,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,Corner3Assists,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Charge Fouls,PenaltyFg3Pct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3FGM,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,HeaveAttempts,LostBallSteals,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,FTDefRebounds,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,LongMidRangeAssists,Travels,Blocked3s,BlockedArc3,LongMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffAtRimReboundPct,StepOutOfBoundsTurnovers,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,DefensiveGoaltends,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,3SecondViolations,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101150-1626149-1627820-1628983-201568,1610612746,"Lou Williams, Montrezl Harrell, Tyrone Wallace, Shai Gilgeous-Alexander, Danilo Gallinari","Williams, Harrell, Wallace, Gilgeous-Alexander, Gallinari",101150-1626149-1627820-1628983-201568,LAC,9.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-1629010-201163,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Jerome Robinson, Wilson Chandler","Williams, Harrell, Gilgeous-Alexander, Robinson, Chandler",101150-1626149-1628983-1629010-201163,LAC,81.0,1,,1.0,-3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,71.1111111111111,24.5,16.0,19.0,16.0,0.5,1.0,1.0,1.0,0.5,0.5,0.48555,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-1629010-201568,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Jerome Robinson, Danilo Gallinari","Williams, Harrell, Gilgeous-Alexander, Robinson, Gallinari",101150-1626149-1628983-1629010-201568,LAC,93.0,2,1.0,2.0,,4.0,3.0,,7.0,,,,2.0,2.0,8.0,8.0,,4.0,2.0,3.0,,7.0,1.0,8.0,1.0,1.0,1.0,1.1666666666666667,1.0,108.38709677419355,11.75,15.333333333333334,11.75,15.333333333333334,,,,,,0.3333333333333333,0.4187666666666667,7.15,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3471,0.25,0.3333333333333333,0.375,28.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-1629010-201976,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Jerome Robinson, Patrick Beverley","Williams, Harrell, Gilgeous-Alexander, Robinson, Beverley",101150-1626149-1628983-1629010-201976,LAC,183.0,1,2.0,3.0,2.0,7.0,7.0,,14.0,1.0,1.0,2.0,2.0,3.0,10.0,8.0,,2.0,1.0,3.0,1.0,8.0,1.0,10.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,110.16393442622952,11.285714285714286,14.857142857142858,11.285714285714286,14.857142857142858,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.519925,10.733333333333334,3.0,3.0,,,1.0,2.0,2.0,3.0,,1.0,1.0,,5.0,6.0,2.0,1.0,2.0,1.0,,1.0,,,5.0,3.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.5,,,,,0.3333333333333333,0.5,0.5,1.0,0.5,0.59155,,,0.5,25.333333333333332,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-1629013-201163,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Landry Shamet, Wilson Chandler","Williams, Harrell, Gilgeous-Alexander, Shamet, Chandler",101150-1626149-1628983-1629013-201163,LAC,31.0,1,2.0,1.0,-2.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,46.4516129032258,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-1629013-201568,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Landry Shamet, Danilo Gallinari","Williams, Harrell, Gilgeous-Alexander, Shamet, Gallinari",101150-1626149-1628983-1629013-201568,LAC,671.0,4,6.0,11.0,-2.0,22.0,24.0,1.0,46.0,3.0,3.0,3.0,8.0,14.0,26.0,28.0,,8.0,4.0,5.0,3.0,11.0,7.0,26.0,0.5,0.5,0.5714285714285714,0.5588235294117647,0.6190476190476191,98.71833084947839,14.545454545454545,14.625,14.409090909090908,13.333333333333334,0.17647058823529413,1.0,1.0,1.0,0.17647058823529413,0.35294117647058826,0.45739705882352943,9.428571428571429,18.0,18.0,3.0,8.0,1.0,3.0,1.0,3.0,7.0,7.0,12.0,7.0,24.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,4.0,24.0,18.0,1.0,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.6071428571428571,0.6666666666666666,0.17647058823529413,0.47058823529411764,0.375,0.75,0.3333333333333333,0.17647058823529413,0.3333333333333333,0.5,1.0,0.3333333333333333,0.4594821428571429,0.19047619047619047,0.2222222222222222,0.9230769230769231,26.933333333333334,0.8181818181818182,3.0,3.0,2.0,,,,,2.0,1.0,2.0,8.0,,5.0,8.0,10.0,2.0,2.0,1.0,3.0,1.0,0.5,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6666666666666666,,,,,0.21428571428571427,1.0,,,0.14285714285714285,1.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.3333333333333333,0.2857142857142857,0.5,0.3333333333333333,0.6666666666666666,0.6,0.3333333333333333,0.25,0.4,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-1629013-203210,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Landry Shamet, JaMychal Green","Williams, Harrell, Gilgeous-Alexander, Shamet, Green",101150-1626149-1628983-1629013-203210,LAC,372.0,1,1.0,6.0,6.0,13.0,12.0,1.0,25.0,4.0,5.0,1.0,4.0,9.0,15.0,9.0,1.0,6.0,3.0,5.0,3.0,12.0,5.0,13.0,0.75,1.0,0.4444444444444444,0.5,0.5,96.77419354838709,16.923076923076923,12.666666666666666,16.846153846153847,12.666666666666666,0.35714285714285715,0.8,0.8,0.75,0.07142857142857142,0.7142857142857143,0.46715769230769233,5.588888888888889,1.0,2.0,,3.0,2.0,5.0,2.0,5.0,1.0,,1.0,,,6.0,4.0,2.0,2.0,2.0,,1.0,3.0,2.0,,1.0,1.0,0.4,0.5,,,,0.35714285714285715,0.21428571428571427,,,,0.35714285714285715,0.4,0.4,1.0,0.5,0.3483,0.13333333333333333,0.2,,33.980000000000004,0.07692307692307693,,,,,,,,1.0,,1.0,2.0,,2.0,5.0,7.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,0.5,,1.0,,2.0,3.0,2.0,1.0,,1.0,,,,,,,0.1111111111111111,0.3333333333333333,,1.0,1.0,0.4,0.2857142857142857,0.6666666666666666,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5785,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-201163-201976,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Wilson Chandler, Patrick Beverley","Williams, Harrell, Gilgeous-Alexander, Chandler, Beverley",101150-1626149-1628983-201163-201976,LAC,45.0,1,,1.0,6.0,3.0,2.0,,5.0,1.0,1.0,,1.0,1.0,6.0,,,2.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.25,1.5,160.0,5.666666666666667,14.0,5.666666666666667,14.0,0.5,1.0,1.0,1.0,,1.0,0.55915,2.4,3.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,,,1.0,,,,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.25,1.5,0.5,,,,,,,,,,0.55915,0.5,1.0,1.0,23.7,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,2.0,,1.0,,1.0,,,,,,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-201163-202066,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Wilson Chandler, Garrett Temple","Williams, Harrell, Gilgeous-Alexander, Chandler, Temple",101150-1626149-1628983-201163-202066,LAC,113.0,1,2.0,2.0,,4.0,4.0,,8.0,,,1.0,,1.0,4.0,4.0,,,,,,,2.0,4.0,,,,,0.6666666666666666,101.94690265486726,14.25,14.0,14.25,14.0,,,,,1.0,,0.3904,16.3,4.0,4.0,,,,,,,4.0,,1.0,4.0,4.0,,,,,,,1.0,4.0,1.0,4.0,4.0,,,,,,0.6666666666666666,,,,,,,,,,,0.3904,0.5,0.5,1.0,,1.0,,,,,,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
101150-1626149-1628983-201568-201976,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Danilo Gallinari, Patrick Beverley","Williams, Harrell, Gilgeous-Alexander, Gallinari, Beverley",101150-1626149-1628983-201568-201976,LAC,1486.0,4,13.0,25.0,-41.0,55.0,55.0,4.0,110.0,6.0,11.0,7.0,12.0,36.0,40.0,81.0,2.0,10.0,5.0,7.0,3.0,16.0,10.0,36.0,0.4166666666666667,0.45454545454545453,0.3333333333333333,0.32608695652173914,0.38461538461538464,106.59488559892328,14.618181818181819,12.4,14.363636363636363,11.763636363636364,0.2391304347826087,0.5454545454545454,0.6666666666666666,0.5,0.15217391304347827,0.45652173913043476,0.4649608695652174,7.980555555555556,40.0,22.0,5.0,18.0,1.0,8.0,2.0,10.0,10.0,8.0,27.0,8.0,27.0,6.0,8.0,1.0,2.0,1.0,2.0,5.0,14.0,6.0,27.0,40.0,1.0,0.2,0.2,0.2962962962962963,0.2714285714285714,0.34615384615384615,0.21739130434782608,0.391304347826087,0.2777777777777778,0.29411764705882354,0.4,0.17391304347826086,0.125,0.14285714285714285,1.0,0.125,0.4679128571428572,0.12,0.15,0.675,26.43,0.7272727272727273,5.0,9.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,8.0,14.0,1.0,10.0,19.0,23.0,,,2.0,6.0,1.0,0.125,1.0,0.6538461538461539,1.0,0.14285714285714285,0.14285714285714285,0.043478260869565216,0.5,0.5,1.0,0.2571428571428571,0.5555555555555556,0.05714285714285714,0.5,0.17142857142857143,,3.0,1.0,3.0,7.0,4.0,4.0,3.0,1.0,1.0,4.0,,,2.0,0.1,0.08333333333333333,0.05555555555555555,0.125,0.6666666666666666,0.4375,0.125,0.125,0.15384615384615385,0.4,0.42857142857142855,,2.0,2.0,2.0,4.0,2.0,,,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5638333333333333,0.1,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,0.18181818181818182,0.6666666666666666,0.125,0.16666666666666666,0.14285714285714285,0.5,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,False
