EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls Drawn,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Assisted3sPct,SecondChanceFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShootingFouls,Offensive Fouls,DefAtRimReboundPct,LongMidRangeFGM,LostBallTurnovers,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SelfOReb,SelfORebPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,Arc3Assists,LongMidRangeAssists,FTDefRebounds,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimAccuracy,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,ShortMidRangePctAssisted,DefensiveGoaltends,SecondChanceFtPoints,BlockedShortMidRange,FTOffRebounds,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101109-1627846-1628390-1629126-203457,1610612760,"Raymond Felton, Abdel Nader, Terrance Ferguson, Deonte Burton, Nerlens Noel","Felton, Nader, Ferguson, Burton, Noel",101109-1627846-1628390-1629126-203457,OKC,211.0,1,4.0,-1.0,7.0,7.0,7.0,7.0,14,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.6,0.5,0.5,0.75,1.0,0.8,1.0,1.0,1.0,95.54502369668246,19.0,11.142857142857142,19.0,10.571428571428571,0.4,0.6,0.4,0.6,1.0,0.5199900000000001,0.5199900000000001,1.0,1.75,25.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-1627846-1629126-202331-203457,1610612760,"Raymond Felton, Abdel Nader, Deonte Burton, Paul George, Nerlens Noel","Felton, Nader, Burton, George, Noel",101109-1627846-1629126-202331-203457,OKC,19.0,1,,,1.0,1.0,1.0,1.0,2,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,151.57894736842107,16.0,3.0,16.0,3.0,1.0,,1.0,,1.0,0.5334,0.5334,,2.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-1628390-201566-202693-203457,1610612760,"Raymond Felton, Terrance Ferguson, Russell Westbrook, Markieff Morris, Nerlens Noel","Felton, Ferguson, Westbrook, Morris, Noel",101109-1628390-201566-202693-203457,OKC,18.0,1,,,,1.0,,1.0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,80.0,,18.0,,18.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-1628390-201566-203457-203924,1610612760,"Raymond Felton, Terrance Ferguson, Russell Westbrook, Nerlens Noel, Jerami Grant","Felton, Ferguson, Westbrook, Noel, Grant",101109-1628390-201566-203457-203924,OKC,10.0,1,,3.0,1.0,,1.0,,1,,,1.0,1.0,,1.0,,3.0,,,1.0,,3.0,1.0,,,,,,,,,,3.0,3.0,1.0,,,1.5,1.5,1.0,,,,,,,,,144.0,10.0,,10.0,,,1.0,,1.0,1.0,0.37035,0.37035,1.0,,24.8,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-1628390-201566-203500-203924,1610612760,"Raymond Felton, Terrance Ferguson, Russell Westbrook, Steven Adams, Jerami Grant","Felton, Ferguson, Westbrook, Adams, Grant",101109-1628390-201566-203500-203924,OKC,268.0,1,4.0,1.0,10.0,9.0,4.0,,19,2.0,,4.0,2.0,4.0,5.0,,12.0,11.0,1.0,2.0,,5.0,4.0,,,2.0,2.0,3.0,1.0,1.0,,,7.0,5.0,4.0,,,0.6666666666666666,0.8333333333333334,0.5555555555555556,,,1.0,,1.0,1.0,1.0,,102.08955223880596,13.9,14.333333333333334,13.1,14.333333333333334,0.2222222222222222,0.4444444444444444,,0.6666666666666666,0.7777777777777778,0.5308277777777778,0.50205,0.4166666666666667,6.95,24.56,0.4,,1.0,1.0,2.0,1.0,3.0,1.0,0.4,0.5,0.4,0.6666666666666666,0.8333333333333334,0.25,0.25,0.5,0.25,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,0.5,1.0,0.75,1.0,1.0,1.25,1.25,1.0,0.25,1.0,0.5,0.5,0.2222222222222222,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.586025,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-201566-202331-202693-203457,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Markieff Morris, Nerlens Noel","Felton, Westbrook, George, Morris, Noel",101109-201566-202331-202693-203457,OKC,89.0,2,1.0,1.0,3.0,3.0,,,6,1.0,,,,2.0,,1.0,3.0,2.0,,,,,,,1.0,,1.0,1.0,,1.0,2.0,,3.0,,,,,0.5,,,,,,1.0,1.0,,,,97.07865168539325,16.0,13.666666666666666,16.0,13.666666666666666,0.5,,,,0.5,0.5764,,,7.5,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,,1.0,,,,1.0,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-201566-202331-202693-203924,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Markieff Morris, Jerami Grant","Felton, Westbrook, George, Morris, Grant",101109-201566-202331-202693-203924,OKC,144.0,1,2.0,,4.0,5.0,,,9,1.0,,2.0,,1.0,2.0,,2.0,2.0,,,,,2.0,,2.0,2.0,4.0,4.0,2.0,1.0,,,2.0,,,,,0.3333333333333333,,0.6666666666666666,,,1.0,0.5,0.6666666666666666,,,0.3333333333333333,90.0,21.75,11.4,21.75,10.2,0.3333333333333333,0.6666666666666666,,,1.0,0.57585,,,1.3,25.35,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-201566-202331-203457-203924,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Nerlens Noel, Jerami Grant","Felton, Westbrook, George, Noel, Grant",101109-201566-202331-203457-203924,OKC,29.0,1,,-3.0,1.0,1.0,,,2,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,99.3103448275862,1.0,28.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-201566-202331-203500-203924,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Steven Adams, Jerami Grant","Felton, Westbrook, George, Adams, Grant",101109-201566-202331-203500-203924,OKC,72.0,1,1.0,-2.0,2.0,2.0,,,4,1.0,,,,2.0,,,2.0,4.0,,,,,,,,,,,,,,,2.0,,,,,0.5,,,,,,,,,,,80.0,27.5,8.5,27.5,8.5,0.5,,,,0.5,0.4444,,,7.65,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
101109-201566-202693-203457-203471,1610612760,"Raymond Felton, Russell Westbrook, Markieff Morris, Nerlens Noel, Dennis Schroder","Felton, Westbrook, Morris, Noel, Schroder",101109-201566-202693-203457-203471,OKC,110.0,2,2.0,3.0,5.0,4.0,2.0,1.0,9,1.0,,1.0,,2.0,1.0,2.0,7.0,4.0,1.0,,2.0,4.0,1.0,,2.0,,2.0,2.0,1.0,1.0,2.0,,7.0,4.0,2.0,,,0.875,1.0,0.3333333333333333,,,,1.0,1.0,,,1.0,117.81818181818183,12.0,12.5,12.0,12.5,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,0.5173,0.4799,0.5714285714285714,10.65,25.9,0.4,,1.0,,1.0,,3.0,1.0,1.0,,1.0,0.8333333333333334,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,0.3333333333333333,0.25,0.3333333333333333,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,True
