EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2A,FG3A,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,FTOffRebounds,OffRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,OffFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,FG2M,FG3M,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceFG3M,Loose Ball Fouls,SecondChanceFg3Pct,DefLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,PenaltyFG2M,PenaltyPoints,PtsUnassisted3s,SelfOReb,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyTurnovers,ShortMidRangePctBlocked,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,HeaveAttempts,LostBallTurnovers,FTDefRebounds,DefFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFtPoints,Fg3aBlocked,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Loose Ball Fouls Drawn,SecondChanceAtRimPctAssisted,Corner3PctBlocked,Defensive 3 Seconds Violations,BlockedLongMidRange,Blocked3s,BlockedArc3,LongMidRangePctBlocked,DefensiveGoaltends,3SecondViolations,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101106-1626172-1626188-1628035-201973,1610612744,"Andrew Bogut, Kevon Looney, Quinn Cook, Alfonzo McKinnie, Jonas Jerebko","Bogut, Looney, Cook, McKinnie, Jerebko",101106-1626172-1626188-1628035-201973,GSW,60.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,48.0,45.0,15.0,4.0,15.0,0.2,0.2,0.6,0.2,0.6,0.2,0.6,0.8,0.50022,0.5892,0.50022,12.0,25.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-1627814-1628395-2738,1610612744,"Andrew Bogut, Quinn Cook, Damion Lee, Jordan Bell, Andre Iguodala","Bogut, Cook, Lee, Bell, Iguodala",101106-1626188-1627814-1628395-2738,GSW,348.0,1,6.0,13.0,12.0,,,,25.0,,2.0,,,3.0,,,7.0,5.0,,,,,3.0,,,,6.0,,0.4166666666666667,,,,,,103.44827586206897,10.076923076923077,18.083333333333332,10.076923076923077,17.25,,0.16666666666666666,0.25,,,,,0.75,0.5711583333333333,,,8.357142857142858,24.580000000000002,,9.0,3.0,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16.0,7.0,4.0,6.0,6.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,16.0,0.4,0.4,1.0,0.4,0.4,0.7142857142857143,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.75,1.0,1.0,1.0,0.3333333333333333,0.75,0.75,0.3333333333333333,0.25,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-1628035-1628395-201973,1610612744,"Andrew Bogut, Quinn Cook, Alfonzo McKinnie, Jordan Bell, Jonas Jerebko","Bogut, Cook, McKinnie, Bell, Jerebko",101106-1626188-1628035-1628395-201973,GSW,437.0,1,7.0,16.0,16.0,,12.0,3.0,32.0,5.0,,,,2.0,,,13.0,2.0,2.0,,,,2.0,,,3.0,11.0,,0.13333333333333333,,,0.6,,,105.44622425629291,10.9375,16.375,10.4375,16.25,0.3333333333333333,,0.13333333333333333,,,,,0.5333333333333333,0.49418666666666666,0.56855,,7.6,27.25,,10.0,5.0,6.0,2.0,2.0,,1.0,9.0,1.0,22.0,12.0,8.0,10.0,3.0,1.0,4.0,1.0,5.0,1.0,,2.0,1.0,11.0,3.0,5.0,8.0,1.0,,,,3.0,1.0,3.0,20.0,0.4444444444444444,0.5,1.0,0.5,0.5,0.6923076923076923,0.7,0.6875,,0.7142857142857143,1.0,0.8,0.5,1.0,1.0,0.4,0.8333333333333334,1.0,0.4,0.13333333333333333,1.0,1.0,0.5,,,,0.5,0.5,1.0,0.5,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.07692307692307693,0.16666666666666666,0.75,1.0,0.6666666666666666,1.0,1.0,0.4,0.4,0.5,0.5,1.0,0.125,0.14285714285714285,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-1628035-201973-2738,1610612744,"Andrew Bogut, Quinn Cook, Alfonzo McKinnie, Jonas Jerebko, Andre Iguodala","Bogut, Cook, McKinnie, Jerebko, Iguodala",101106-1626188-1628035-201973-2738,GSW,151.0,1,3.0,4.0,5.0,,,2.0,9.0,1.0,1.0,1.0,,2.0,1.0,,3.0,3.0,,2.0,,,2.0,,,2.0,3.0,,0.5,,,0.4,,,85.82781456953643,23.25,11.6,17.75,11.6,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,,,0.8333333333333334,0.46280000000000004,0.4749,,5.0,24.833333333333332,,-1.0,,2.0,,,1.0,,,1.0,3.0,4.0,,,3.0,,,1.0,1.0,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,,0.25,0.25,,1.0,,1.0,,,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,,,,,,,,,,3.0,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,0.75,0.75,0.3333333333333333,0.5,0.6666666666666666,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-1628395-201142-202691,1610612744,"Andrew Bogut, Quinn Cook, Jordan Bell, Kevin Durant, Klay Thompson","Bogut, Cook, Bell, Durant, Thompson",101106-1626188-1628395-201142-202691,GSW,440.0,1,7.0,17.0,18.0,1.0,,3.0,35.0,1.0,3.0,,,6.0,2.0,,7.0,9.0,1.0,2.0,1.0,,6.0,1.0,,4.0,11.0,1.0,0.5625,,0.3333333333333333,0.6666666666666666,0.3333333333333333,,114.54545454545455,11.470588235294118,13.61111111111111,10.529411764705882,13.61111111111111,0.0625,0.1875,0.375,,0.6666666666666666,,,0.8125,0.5746875,0.565475,0.4039,7.271428571428571,24.700000000000003,0.058823529411764705,7.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,6.0,31.0,24.0,6.0,2.0,15.0,3.0,3.0,5.0,8.0,2.0,3.0,2.0,1.0,21.0,5.0,2.0,7.0,,,1.0,1.0,3.0,3.0,3.0,28.0,0.75,0.75,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.8125,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,,,1.0,0.25,0.5,0.6666666666666666,1.0,0.125,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.5,,1.0,1.0,5.0,,3.0,,1.0,,3.0,,1.0,2.0,1.0,,4.0,6.0,,2.0,,,,,,,0.5,0.5,0.14285714285714285,0.25,1.0,1.0,,1.0,,1.0,1.0,,0.3333333333333333,,0.16666666666666666,0.2222222222222222,0.0967741935483871,,1.0,,0.5,1.0,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.5,0.1111111111111111,0.06451612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-201142-201939-203110,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Stephen Curry, Draymond Green","Bogut, Cook, Durant, Curry, Green",101106-1626188-201142-201939-203110,GSW,220.0,2,4.0,8.0,8.0,2.0,,2.0,16.0,3.0,,,,1.0,,,4.0,1.0,,,,,1.0,,,1.0,3.0,2.0,0.2,,,0.3333333333333333,,,104.72727272727273,15.375,12.125,14.0,12.125,0.6,,0.2,,,,,0.4,0.48669,,,7.55,26.4,0.25,-6.0,1.0,1.0,,,,,2.0,,6.0,12.0,4.0,,,,2.0,,2.0,,,1.0,,4.0,2.0,,2.0,,,2.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,,,,0.5,0.4,0.5,0.6666666666666666,,1.0,1.0,,,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,2.0,,1.0,2.0,,1.0,,,,,,,,,0.25,,0.5,,0.5,1.0,,0.3333333333333333,0.5,1.0,,,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-201142-201973-202691,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Jonas Jerebko, Klay Thompson","Bogut, Cook, Durant, Jerebko, Thompson",101106-1626188-201142-201973-202691,GSW,148.0,1,2.0,4.0,5.0,,2.0,1.0,9.0,,,,,1.0,,,4.0,1.0,1.0,,,,1.0,,,1.0,2.0,,0.2,,,0.5,,,87.56756756756756,13.0,19.2,12.25,19.2,,,0.2,,,,,0.8,0.48630000000000007,0.5605,,6.625,26.7,,1.0,2.0,3.0,,1.0,,1.0,2.0,1.0,7.0,6.0,2.0,2.0,,1.0,1.0,,1.0,,,1.0,,2.0,1.0,,1.0,,,,,,2.0,2.0,5.0,0.5,0.5,,1.0,1.0,0.5,0.7,0.7,,,1.0,1.0,,,1.0,0.6,0.6666666666666666,1.0,0.5,0.2,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,1.0,,,,,,,1.0,1.0,,,0.2857142857142857,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1626188-201142-202691-2733,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Klay Thompson, Shaun Livingston","Bogut, Cook, Durant, Thompson, Livingston",101106-1626188-201142-202691-2733,GSW,74.0,1,1.0,2.0,2.0,2.0,,,4.0,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,2.0,1.0,,,,,,77.83783783783784,11.0,26.0,11.0,26.0,,,1.0,,,,1.0,1.0,0.50985,,0.50985,,26.4,1.0,-1.0,,,,,,1.0,,1.0,3.0,4.0,,,3.0,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,1.0,1.0,1.0,,1.0,3.0,,,1.0,1.0,1.0,,1.5,1.5,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,1.5,1.5,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1627814-1628035-201939-203110,1610612744,"Andrew Bogut, Damion Lee, Alfonzo McKinnie, Stephen Curry, Draymond Green","Bogut, Lee, McKinnie, Curry, Green",101106-1627814-1628035-201939-203110,GSW,78.0,1,1.0,4.0,4.0,4.0,4.0,,8.0,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,2.0,4.0,0.5,,,,,,147.69230769230768,12.0,7.5,12.0,7.5,0.5,,0.5,,,,0.5,0.5,0.4008,,0.4008,9.0,57.7,1.0,-5.0,,,,,,,,,,5.0,,,,,,,,,,,,,2.0,,2.0,,,2.0,,2.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
101106-1628035-1628980-201973-2738,1610612744,"Andrew Bogut, Alfonzo McKinnie, Jacob Evans, Jonas Jerebko, Andre Iguodala","Bogut, McKinnie, Evans, Jerebko, Iguodala",101106-1628035-1628980-201973-2738,GSW,76.0,1,1.0,4.0,3.0,,2.0,,7.0,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,1.0,,0.3333333333333333,,,,,,132.63157894736844,11.5,10.0,11.5,10.0,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,0.47469999999999996,,,15.4,23.3,,-1.0,,,1.0,1.0,,,1.0,,3.0,4.0,2.0,,,,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,,,,0.5,0.3333333333333333,0.375,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,True
