EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGA,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,OffThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,HeaveAttempts,Offensive Fouls Drawn,Travels,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChancePoints,Charge Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,FTDefRebounds,LostBallSteals,DefFTReboundPct,OffShortMidRangeReboundPct,OffAtRimReboundPct,SecondChanceCorner3FGA,PtsUnassisted3s,LongMidRangeAssists,Loose Ball Fouls,LongMidRangePctAssisted,SecondChanceCorner3Frequency,OffensiveGoaltends,BlockedShortMidRange,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ShortMidRangePctBlocked,SecondChanceFtPoints,SelfOReb,SelfORebPct,PtsPutbacks,StepOutOfBoundsTurnovers,Offensive Fouls,PenaltyTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,3SecondViolations,BlockedArc3,3pt And 1 Free Throw Trips,Corner3PctBlocked,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
101109-1627789-1629126-202335-203457,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Deonte Burton, Patrick Patterson, Nerlens Noel","Felton, Luwawu-Cabarrot, Burton, Patterson, Noel",101109-1627789-1629126-202335-203457,OKC,192.0,1,3.0,2.0,6.0,5.0,1.0,11.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,8.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.5,0.5,1.0,0.5,0.5,0.4,0.5,0.5714285714285714,0.2857142857142857,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,82.5,1.0,19.0,15.6,17.166666666666668,15.6,0.5714285714285714,0.5,0.5,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,0.8571428571428571,0.5166785714285714,0.5743,0.14285714285714285,0.2,4.779999999999999,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-1629126-202335-203471,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Deonte Burton, Patrick Patterson, Dennis Schroder","Felton, Luwawu-Cabarrot, Burton, Patterson, Schroder",101109-1627789-1629126-202335-203471,OKC,199.0,1,3.0,1.0,6.0,5.0,,11.0,1.0,1.0,,,,,4.0,1.0,2.0,2.0,4.0,,8.0,7.0,,2.0,,6.0,4.0,1.0,2.0,3.0,,1.0,8.0,,,1.0,,1.0,,1.0,,,,,,,,,,8.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,,,,,79.59798994974874,,16.0,20.6,16.0,17.8,0.16666666666666666,1.0,1.0,1.0,,,,,,0.6666666666666666,,0.8333333333333334,0.5270416666666666,,,,7.45,25.6,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-1629126-202335-203500,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Deonte Burton, Patrick Patterson, Steven Adams","Felton, Luwawu-Cabarrot, Burton, Patterson, Adams",101109-1627789-1629126-202335-203500,OKC,202.0,1,3.0,-4.0,7.0,7.0,2.0,14.0,1.0,2.0,,1.0,,,2.0,1.0,3.0,,2.0,,2.0,6.0,,,2.0,,2.0,,,,,,,1.0,1.0,3.0,2.0,5.0,,1.0,,,,,,,,,,2.0,,,,,,0.3333333333333333,0.2,0.2,0.4,1.0,0.5,1.0,0.5,1.0,1.0,,99.8019801980198,,15.142857142857142,13.714285714285714,13.571428571428571,13.714285714285714,0.4,0.5,1.0,,0.2,,,,,0.4,,0.8,0.58638,0.57915,,,7.566666666666666,26.15,,,,,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-202331-202335-203457,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Paul George, Patrick Patterson, Nerlens Noel","Felton, Luwawu-Cabarrot, George, Patterson, Noel",101109-1627789-202331-202335-203457,OKC,248.0,1,4.0,-1.0,10.0,11.0,,21.0,,1.0,1.0,1.0,,1.0,4.0,1.0,4.0,1.0,5.0,5.0,10.0,11.0,1.0,,2.0,3.0,4.0,,1.0,1.0,,,3.0,,1.0,2.0,1.0,3.0,,3.0,3.0,1.0,6.0,,1.0,,,,,10.0,,,1.0,0.2,0.2,0.25,0.2777777777777778,0.4166666666666667,0.5555555555555556,0.5,,0.6666666666666666,0.16666666666666666,,,,121.93548387096773,,12.7,11.0,12.7,10.363636363636363,0.1111111111111111,,,,0.1111111111111111,0.1111111111111111,,,,0.4444444444444444,1.0,0.6666666666666666,0.46076111111111107,,0.1,0.2,9.825,25.660000000000004,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.25,0.25,1.0,0.25,,,,1.0,2.0,2.0,,,,,,,,,,,,0.25,,,,10.0,10.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,5.0,10.0,2.0,10.0,10.0,2.0,2.0,0.2,0.25,0.2777777777777778,0.4166666666666667,1.0,1.0,0.5,0.5,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.25,0.46076111111111107,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-202331-202335-203471,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Paul George, Patrick Patterson, Dennis Schroder","Felton, Luwawu-Cabarrot, George, Patterson, Schroder",101109-1627789-202331-202335-203471,OKC,52.0,1,1.0,-4.0,3.0,3.0,,6.0,,2.0,,,,,1.0,,2.0,,1.0,,,4.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,1.0,,,,,166.15384615384616,,5.666666666666667,11.666666666666666,5.666666666666667,11.666666666666666,0.6666666666666666,,,,,,,,,0.3333333333333333,,1.0,0.5246,,,,2.35,49.5,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-202331-202335-203500,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Paul George, Patrick Patterson, Steven Adams","Felton, Luwawu-Cabarrot, George, Patterson, Adams",101109-1627789-202331-202335-203500,OKC,8.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-202331-203471-203500,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Paul George, Dennis Schroder, Steven Adams","Felton, Luwawu-Cabarrot, George, Schroder, Adams",101109-1627789-202331-203471-203500,OKC,93.0,1,2.0,,5.0,4.0,1.0,9.0,1.0,2.0,,,,,2.0,1.0,2.0,,2.0,,2.0,2.0,,,2.0,,2.0,,,,,,,,1.0,2.0,1.0,3.0,,,,,,,,,,,,2.0,,,,,,0.5,0.25,0.25,0.5,1.0,,1.0,0.3333333333333333,,,,139.3548387096774,,11.6,8.75,11.4,8.75,0.5,0.5,0.5,,,,,,,0.5,,1.0,0.6062125,,,,1.3,25.35,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,0.5,0.5,0.5,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627789-202335-203471-203500,1610612760,"Raymond Felton, Timothe Luwawu-Cabarrot, Patrick Patterson, Dennis Schroder, Steven Adams","Felton, Luwawu-Cabarrot, Patterson, Schroder, Adams",101109-1627789-202335-203471-203500,OKC,87.0,1,1.0,,3.0,4.0,,7.0,1.0,1.0,,,,,,2.0,2.0,,,,4.0,4.0,,2.0,2.0,,,1.0,,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,4.0,0.5,0.5,,,,1.0,1.0,1.0,,0.5,,0.5,,,,1.0,115.86206896551724,,8.666666666666666,15.25,8.666666666666666,15.0,0.5,1.0,1.0,1.0,,,,,,,,0.5,0.5993,,,,3.95,,1.0,,,,,,,0.5,,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627846-1628390-1628393-1629126,1610612760,"Raymond Felton, Abdel Nader, Terrance Ferguson, Jawun Evans, Deonte Burton","Felton, Nader, Ferguson, Evans, Burton",101109-1627846-1628390-1628393-1629126,OKC,34.0,1,1.0,,1.0,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,84.70588235294117,,22.0,12.0,22.0,12.0,,,,,,,,,,1.0,,1.0,0.414,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1627846-1628390-201566-202693,1610612760,"Raymond Felton, Abdel Nader, Terrance Ferguson, Russell Westbrook, Markieff Morris","Felton, Nader, Ferguson, Westbrook, Morris",101109-1627846-1628390-201566-202693,OKC,65.0,1,1.0,3.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,5.0,2.0,,2.0,,3.0,1.0,1.0,1.0,2.0,,,5.0,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,,,,,,,,88.61538461538463,,11.5,21.0,11.5,21.0,,,,,,,,,,0.5,,0.5,0.48505,,,,11.5,26.0,1.0,1.0,1.0,1.0,,,,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
