EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,NonHeaveArc3FGM,Arc3Assists,LostBallTurnovers,PenaltyTurnovers,FoulsDrawn,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted3s,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffArc3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGA,FtPoints,Fg2aBlocked,OffTwoPtRebounds,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedAtRim,BlockedCorner3,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG2A,PenaltyFtPoints,PtsPutbacks,SelfOReb,ThreePtShootingFoulsDrawn,AtRimPctBlocked,OffAtRimReboundPct,SelfORebPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceFtPoints,PenaltyFG2M,LongMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Steals,LostBallSteals,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BadPassSteals,ShortMidRangeFGM,SecondChanceCorner3FGA,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,ShortMidRangeAssists,ShortMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,OffLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Offensive Fouls,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,HeaveAttempts,LongMidRangePctBlocked,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
101181-1627748-1628379-1629017-204038,1610612765,"Jose Calderon, Thon Maker, Luke Kennard, Khyri Thomas, Langston Galloway","Calderon, Maker, Kennard, Thomas, Galloway",101181-1627748-1628379-1629017-204038,DET,260.0,1,4.0,-5.0,9.0,10.0,3.0,1.0,19,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,7.0,12.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,1.0,2.0,3.0,7.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7,0.7,0.6,0.6,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,105.23076923076924,17.444444444444443,10.3,16.555555555555557,10.3,0.4,1.0,1.0,0.5,0.4,0.5,0.5,1.0,0.2,1.0,0.55741,1.8,24.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1627748-1628971-1629017-204038,1610612765,"Jose Calderon, Thon Maker, Bruce Brown, Khyri Thomas, Langston Galloway","Calderon, Maker, Brown, Thomas, Galloway",101181-1627748-1628971-1629017-204038,DET,94.0,1,2.0,3.0,4.0,3.0,3.0,,7,,,,,1.0,,,1.0,1.0,3.0,,,,3.0,1.0,,1.0,1.0,,,3.0,,1.0,1.0,,2.0,,2.0,1.0,,1.0,,2.0,,,,3.0,,,1.0,1.0,1.0,,1.5,1.5,1.0,0.5,,1.0,1.0,,1.0,,,,1.0,,107.23404255319149,14.75,11.666666666666666,14.75,11.666666666666666,,,,,,,,,1.0,1.0,0.46995,,27.5,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46995,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1629017-202720-203922-2585,1610612765,"Jose Calderon, Khyri Thomas, Jon Leuer, Glenn Robinson III, Zaza Pachulia","Calderon, Thomas, Leuer, Robinson III, Pachulia",101181-1629017-202720-203922-2585,DET,226.0,1,4.0,-1.0,9.0,8.0,8.0,1.0,17,5.0,5.0,,,2.0,5.0,6.0,1.0,2.0,13.0,14.0,6.0,4.0,,2.0,3.0,,3.0,,3.0,6.0,1.0,,2.0,,2.0,1.0,3.0,1.0,1.0,,,1.0,,2.0,3.0,11.0,0.6,0.6,,0.5,0.5,0.8333333333333334,0.8125,0.8125,0.25,1.0,,1.0,,1.0,1.0,0.5,,,1.0,,108.31858407079646,15.666666666666666,10.625,14.11111111111111,10.5,0.625,1.0,1.0,0.6,,,,,0.25,0.875,0.50911875,3.783333333333333,26.2,,1.0,,,,,,1.0,,,,,,,,,,,,0.5,0.5,,,,0.5,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-1628971-201961-202397,1610612765,"Thon Maker, Luke Kennard, Bruce Brown, Wayne Ellington, Ish Smith","Maker, Kennard, Brown, Ellington, Smith",1627748-1628379-1628971-201961-202397,DET,198.0,1,3.0,-6.0,8.0,7.0,,1.0,15,1.0,2.0,,,,1.0,5.0,,,3.0,9.0,2.0,,,,1.0,,1.0,,1.0,2.0,,1.0,2.0,,3.0,1.0,4.0,1.0,1.0,2.0,,3.0,,1.0,4.0,1.0,1.0,1.0,,,,0.2,0.2,0.25,,0.3333333333333333,,0.5,1.0,,0.6,0.25,,0.3333333333333333,,1.0,109.0909090909091,11.625,15.0,11.125,14.285714285714286,0.4,0.5,0.5,1.0,,,,,,0.4,0.533,6.16,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,,0.5,,1.0,1.0,0.6666666666666666,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.25,0.3333333333333333,1.0,0.6,1.0,0.6654,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-1628971-202397-204038,1610612765,"Thon Maker, Luke Kennard, Bruce Brown, Ish Smith, Langston Galloway","Maker, Kennard, Brown, Smith, Galloway",1627748-1628379-1628971-202397-204038,DET,252.0,2,4.0,-2.0,9.0,10.0,5.0,2.0,19,1.0,4.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,10.0,12.0,,2.0,3.0,2.0,,1.0,1.0,1.0,,3.0,,1.0,2.0,,3.0,4.0,7.0,1.0,1.0,1.0,,2.0,,1.0,3.0,8.0,,,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.45454545454545453,0.3333333333333333,0.5,,1.0,1.0,,1.0,0.5714285714285714,,,1.0,,108.57142857142857,14.333333333333334,12.3,12.444444444444445,12.3,0.4444444444444444,0.25,0.3333333333333333,,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.7777777777777778,0.5253888888888889,4.033333333333333,26.5,4.0,,,1.0,1.0,2.0,8.0,,,,,2.0,,8.0,4.0,0.5,0.5,0.8,1.0,,,,0.3333333333333333,,,0.5309166666666667,0.8,0.4444444444444444,1.0,3.0,,1.0,3.0,2.0,,,,,,1.0,0.3333333333333333,0.25,0.25,,,,0.75,0.3333333333333333,0.2,2.0,5.0,1.0,4.0,,1.0,,5.0,1.0,,,,0.16666666666666666,,0.8,0.5,1.0,0.2222222222222222,,0.5679625,0.18181818181818182,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,0.25,1.0,0.16666666666666666,0.25,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-201933-201961-202397,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Wayne Ellington, Ish Smith","Maker, Kennard, Griffin, Ellington, Smith",1627748-1628379-201933-201961-202397,DET,142.0,1,2.0,-2.0,5.0,4.0,4.0,2.0,9,1.0,2.0,,,1.0,2.0,4.0,,1.0,7.0,9.0,2.0,2.0,,1.0,1.0,,1.0,,,2.0,1.0,,,,,3.0,3.0,,,,,,,1.0,2.0,6.0,0.5,0.5,,,,0.5,0.4,0.5,0.2,,,,,1.0,,1.0,,,,,91.26760563380282,16.2,15.25,13.6,15.25,0.4,0.5,0.5,,,,,,0.2,0.6,0.46767000000000003,7.0,25.6,5.0,,,1.0,,1.0,7.0,,,,,2.0,,7.0,5.0,,0.4,0.5,,,,,0.2,,,0.46767000000000003,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,,,0.16666666666666666,1.0,,0.2,,,0.14285714285714285,1.0,3.0,1.0,2.0,,,,4.0,1.0,,,,0.25,1.0,1.0,1.0,,0.2,,0.540925,0.16666666666666666,0.2,,,1.0,1.0,4.0,3.0,,1.0,,,1.0,0.5,0.5,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-201933-201961-202704,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Wayne Ellington, Reggie Jackson","Maker, Kennard, Griffin, Ellington, Jackson",1627748-1628379-201933-201961-202704,DET,158.0,2,3.0,4.0,6.0,6.0,3.0,,12,3.0,3.0,,,1.0,3.0,3.0,,1.0,13.0,9.0,4.0,2.0,,1.0,2.0,,2.0,,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,3.0,12.0,0.6666666666666666,0.6666666666666666,,,,1.0,0.75,0.8571428571428571,0.25,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,109.36708860759494,8.5,17.833333333333332,8.5,17.833333333333332,0.75,1.0,1.0,0.6666666666666666,,,,,0.25,1.0,0.5825125,1.7666666666666666,27.8,4.0,,,1.0,,1.0,8.0,,,,,4.0,,8.0,4.0,,0.5,0.7,,,,,0.5,,,0.570725,0.6153846153846154,0.6666666666666666,,,,,,1.0,,,,,,,,,0.5,1.0,,,,,0.07692307692307693,,7.0,,,,,,8.0,2.0,,,,,,,,1.0,,,,0.4,0.5,,,,,1.0,6.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,2.0,1.0,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-201933-202397-204038,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Ish Smith, Langston Galloway","Maker, Kennard, Griffin, Smith, Galloway",1627748-1628379-201933-202397-204038,DET,322.0,1,5.0,5.0,13.0,12.0,6.0,,25,1.0,4.0,,,4.0,1.0,5.0,2.0,4.0,12.0,7.0,2.0,,6.0,4.0,1.0,2.0,3.0,,1.0,8.0,,3.0,4.0,,7.0,,7.0,1.0,,,,1.0,,,,12.0,1.0,1.0,1.0,0.5,0.5,0.2,0.4444444444444444,0.5,0.4444444444444444,1.0,,0.8,1.0,,0.875,,,0.6666666666666666,1.0,1.0,111.80124223602485,11.307692307692308,14.583333333333334,11.307692307692308,13.666666666666666,0.4444444444444444,0.25,0.25,1.0,,,,,0.4444444444444444,0.8888888888888888,0.4613388888888889,5.96,26.2,6.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,1.0,,4.0,,6.0,6.0,0.5,0.375,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.4366625,0.5,0.46153846153846156,,,1.0,,,,,2.0,,2.0,1.0,,,,,,0.5,0.1111111111111111,,,,,4.0,,,,,,6.0,3.0,,2.0,,,,,,,,,,0.25,0.375,,,,,2.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,0.5,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-201961-202397-203922,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Ish Smith, Glenn Robinson III","Maker, Kennard, Ellington, Smith, Robinson III",1627748-1628379-201961-202397-203922,DET,68.0,1,1.0,-4.0,2.0,2.0,,1.0,4,,,,,1.0,,,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,84.70588235294117,17.0,17.0,6.5,17.0,,,,,,,,,1.0,1.0,0.49965,,27.0,2.0,,,1.0,,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,,0.49965,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
1627748-1628379-201961-202397-204038,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Ish Smith, Langston Galloway","Maker, Kennard, Ellington, Smith, Galloway",1627748-1628379-201961-202397-204038,DET,70.0,1,1.0,7.0,3.0,3.0,,,6,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,7.0,,,2.0,3.0,1.0,,1.0,1.0,,,3.0,,1.0,,,1.0,,1.0,,,,,,,,,7.0,,,1.0,1.0,1.0,1.0,1.25,1.1666666666666667,0.5,,,,1.0,,1.0,,,,,,123.42857142857142,9.0,14.333333333333334,9.0,14.333333333333334,0.5,1.0,1.0,,,,,,0.5,1.0,0.6368,1.4,25.2,3.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,,,1.0,,7.0,3.0,1.0,1.25,1.1666666666666667,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6368,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
